fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
A True Patriot and a Master Songwriter...Mohammed Zahur Khayyam - Wikipedia ,76,11,1,5,23,1,0,0,1,0,,"{""NP"": {""DT#NNP#NNP#CC#DT#NN"": 1, ""NP#NP"": 1, ""NNP#NNP#NNP"": 1, ""NP#:#NP"": 1}, ""FRAG"": {""NP#:#NP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,0.714,0.286,"{""D"": 2, ""A"": 1, ""N"": 3, ""&"": 1, "","": 2, ""^"": 4}"
Happy Birthday Gulzarji ..and thank you for your wisdom and words!,66,11,1,4,12,1,1,0,0,0,,"{""NP"": {""JJ#NN"": 1, ""NNP#."": 1, ""NP#NP#."": 1, ""PRP$#NN#CC#NNS"": 1}, ""ROOT"": {""NP"": 1, ""FRAG"": 1}, ""VP"": {""VB#NP#PP"": 1}, ""FRAG"": {""CC#VP#."": 1}}",0.0,0.447,0.553,"{""A"": 1, ""N"": 4, "","": 2, ""&"": 2, ""V"": 1, ""O"": 1, ""P"": 1, ""D"": 1}"
Congrats Kenny,14,2,1,0,12,1,0,0,1,0,💙:1,"{""ROOT"": {""NP"": 1}}",0.0,0.227,0.773,"{""!"": 1, ""^"": 1}"
Honoured!,9,1,1,0,9,1,0,0,1,0,,"{""VP"": {""VBN"": 1}, ""S"": {""VP#."": 1}}",0.0,0.0,1.0,"{""V"": 1, "","": 1}"
Beautiful,9,1,1,0,13,1,0,0,1,0,🌹:1,"{""ROOT"": {""NP"": 1}}",0.0,0.0,1.0,"{""A"": 1}"
Shot for the Independence Week special with Kiska Brand Bajega and spoke about my journey as a musician.Tune into CNBC-TV18 News this Friday at 10 pm IST to watch the full episode. ,181,33,5,20,13,11,1,2,0,2,,"{""NP"": {""DT#NN#NN"": 1, ""NNP#NNP#NNP"": 1, ""CD"": 1, ""DT#NAC#NN#NN"": 1, ""DT#JJ#NN"": 1, ""NP#SBAR"": 1}, ""ADJP"": {""JJ"": 1}, ""VP"": {""ADJP#PP"": 1, ""VBD#PP#PP#NP"": 1, ""VP#CC#VP"": 1}, ""NAC"": {""NNP#PP"": 1}, ""SBAR"": {""S"": 1}}",0.0,0.917,0.083,"{""N"": 7, ""P"": 7, ""D"": 5, ""^"": 7, ""A"": 2, ""&"": 1, ""V"": 3, "","": 2, ""$"": 1}"
Celebrate your  with Harmony again! ,36,5,1,2,7,1,0,0,1,2,,"{""NP"": {""PRP$"": 1}, ""VP"": {""VB#NP#PP#ADVP"": 1}, ""SQ"": {""VP#."": 1}, ""ROOT"": {""SQ"": 1}}",0.0,0.31,0.69,"{""V"": 1, ""D"": 1, ""P"": 1, ""N"": 1, ""R"": 1, "","": 1}"
"Jagao Mere Des Ko - A.R Rahman, Suchi, Blaaze - Coke Studio @ MTV Season 3  via YouTube",87,18,1,11,11,1,0,1,1,0,,"{""NP"": {""NNP#NNP#NNP#NNP"": 1, ""NNP#NNP#,#NNP#,#NNP"": 1, ""NP#:#NP"": 1, ""NNP#NN#CD"": 1, ""NP#:#NP#X"": 1}, ""X"": {""SYM"": 1, ""X#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 10, "","": 4, ""N"": 3, ""P"": 2, ""$"": 1}"
The beat goes on!,17,4,1,4,7,1,0,0,1,0,,"{""PRT"": {""RP"": 1}, ""VP"": {""VBZ#PRT"": 1}}",0.0,1.0,0.0,"{""D"": 1, ""N"": 1, ""V"": 1, ""T"": 1, "","": 1}"
Thankyou,8,1,1,0,12,1,0,0,1,1,🌹:1,"{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""!"": 1}"
