fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
"Heartiest congratulations Pvsindhu on becoming the first Indian to win a at the . What a feat to achieve,  you completely smashed it ",133,23,1,14,16,1,0,1,0,1,👏:2,"{""NP"": {""DT#JJ#JJ"": 1, ""DT#QP"": 1}, ""QP"": {""IN#DT"": 1}, ""VP"": {""VBG#NP#S"": 1, ""VBZ#NP#PP"": 1, ""VB"": 1, ""VBD#NP"": 1}, ""S"": {""SBAR#,#NP#ADVP#VP"": 1}, ""PP"": {""IN#S"": 1}, ""WHNP"": {""WP"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.0,0.7,0.3,"{""A"": 2, ""N"": 2, ""^"": 2, ""P"": 4, ""V"": 4, ""D"": 4, "","": 2, ""O"": 3, ""R"": 1}"
Been seeing heart-breaking & alarming pictures of the Amazon rainforest which has been on fire since more than 2 weeks!It is responsible for 20% of the worlds oxygen.This affects each one of us...the earth may survive climate change but we wont.  ,247,41,1,22,8,1,0,0,0,2,,"{""NP"": {""NN#CC#NN#NNS"": 1, ""DT#NNP#NN"": 1, ""QP#NN"": 1, ""NP#PP#SBAR"": 1, ""CD#NN"": 1, ""DT#NNS#NNS"": 1, ""NN#NN"": 1}, ""WHNP"": {""WDT"": 1}, ""QP"": {""JJR#IN#CD"": 1}, ""VP"": {""VBN#PP#PP"": 1, ""VBZ#VP"": 1, ""VBG#NP"": 1, ""VBN#VP"": 1, ""VBZ#NP"": 1, ""VBZ#ADJP#SBAR"": 1, ""MD#VP"": 1, ""VBP"": 1}, ""S"": {""S#VP"": 1, ""S#CC#S"": 1, ""S#:#S#."": 1}, ""SBAR"": {""WHNP#S"": 1, ""IN#S"": 1}, ""ADJP"": {""JJ"": 1}}",0.072,0.849,0.08,"{""V"": 9, ""A"": 4, ""&"": 2, ""N"": 8, ""P"": 7, ""D"": 5, ""^"": 2, ""$"": 3, "","": 4, ""O"": 4}"
This is amazing! Glad to know about this future scientist and learn about his Mission Mangal  Wishing him all the very best :),126,23,1,14,5,1,0,0,1,0,,"{""NP"": {""DT"": 1, ""DT#JJ#NN"": 1, ""PRP$#NNP#NNP#NNP"": 1, ""DT#RB"": 1}, ""ADJP"": {""JJ"": 1}, ""VP"": {""VBZ#ADJP"": 1, ""VB#PP"": 2, ""VP#CC#VP#NP"": 1, ""VBN#S#PP#-RRB-"": 1}, ""ROOT"": {""VP"": 1}, ""PP"": {""RB#FRAG"": 1}, ""ADVP"": {""NP#RB"": 1}, ""FRAG"": {""ADVP#:"": 1}}",0.0,0.518,0.482,"{""O"": 2, ""V"": 4, ""A"": 3, "","": 1, ""P"": 3, ""D"": 4, ""N"": 4, ""&"": 1, ""R"": 1, ""E"": 1}"
Nithya Menen Kirti Kulhari,26,4,1,0,8,1,0,2,0,0,,"{""NP"": {""NNP#NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 4}"
"Growing up I was always inclined towards sports & my mom ensured I got nutritious home-cooked meals to fuel my passion.But 11,72,604 children in India cant afford even a single meal a day!Its time to ask  with SavetheChildrenIndia.I nominate vidya balan taapsee pannu Sonakshi Sinha",282,45,1,21,8,1,1,4,0,1,,"{""ADVP"": {""RB#RB"": 1}, ""NP"": {""NP#CC#NP"": 1, ""JJ#JJ#NNS"": 1, ""PRP$#JJ#CD#NNS"": 1, ""RB#DT#JJ#NN"": 1, ""DT#JJ#NN"": 1, ""NP#NP#S"": 1, ""NN#NN#NN#NNP#NNP#NNP"": 1}, ""VP"": {""VBN#PP"": 1, ""VBD#ADVP#VP"": 1, ""VB#PP"": 1, ""VB#S"": 1, ""VBD#NP#S"": 1, ""VBD#SBAR"": 1}, ""S"": {""ADVP#NP#VP"": 1}, ""SBAR"": {""S"": 1}, ""SINV"": {""S#VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.951,0.049,"{""V"": 10, ""T"": 1, ""O"": 3, ""R"": 2, ""P"": 5, ""N"": 9, ""&"": 2, ""D"": 4, ""A"": 2, "","": 3, ""$"": 1, ""^"": 8, ""L"": 1}"
Thank you Neha :),17,4,1,3,4,1,0,0,1,0,,"{""S"": {""NP#NP"": 1}, ""VP"": {""VB#S"": 1, ""JJ"": 1, ""VP#:#VP"": 1}}",0.0,0.267,0.733,"{""V"": 1, ""O"": 1, ""^"": 1, ""E"": 1}"
Thank you and the entire team at Fox...always a pleasure. Looking forward to repeating the magic with  :),105,18,1,10,2,1,0,0,1,1,,"{""NP"": {""DT#JJ#NN"": 1}, ""VP"": {""NP#PP"": 1, ""VP#CC#VP"": 1, ""ADVP#NP"": 1, ""VP#:#VP"": 1, ""VBZ#S#PP#:"": 1}, ""PP"": {""IN"": 1}, ""S"": {""VP#."": 1}, ""ROOT"": {""PRN"": 1}, ""PRN"": {""S#-RRB-"": 1}}",0.0,0.603,0.397,"{""V"": 3, ""O"": 1, ""&"": 1, ""D"": 3, ""A"": 1, ""N"": 3, ""P"": 3, ""^"": 1, "","": 2, ""R"": 2, ""E"": 1}"
"Please say thank you to Aashna, it is indeed beautiful :)",57,11,1,6,13,1,0,0,1,0,,"{""NP"": {""NP#,#SBAR#:"": 1}, ""ADJP"": {""JJ"": 1}, ""VP"": {""VBZ#ADVP#ADJP"": 1, ""VB#NP#PP"": 1, ""VBP#VP"": 1}, ""SBAR"": {""S"": 1}, ""PRN"": {""S#-RRB-"": 1}, ""ROOT"": {""PRN"": 1}}",0.0,0.374,0.626,"{""V"": 4, ""O"": 2, ""P"": 1, ""^"": 1, "","": 1, ""R"": 1, ""A"": 1, ""E"": 1}"
"So glad to know little kids are understanding and learning from the film, we tried our best to keep it simple. The whole idea is to spark their curiosity about the world of science. Big hug to her ",197,38,1,25,10,1,0,0,1,0,,"{""NP"": {""JJ#NNS"": 1, ""PRP$#JJS"": 1, ""DT#JJ#NN"": 1, ""NP#NP"": 1}, ""VP"": {""VBG#CC#VBG#PP"": 1, ""VBP#VP"": 1, ""VB#S"": 1, ""VBD#NP#S"": 1, ""VB#NP#PP"": 1, ""VBZ#S"": 1}, ""S"": {""ADJP"": 1, ""ADVP#S#VP"": 1, ""NP#ADJP"": 1, ""S#,#NP#VP#."": 1}, ""ADJP"": {""JJ#S"": 1, ""JJ"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.731,0.269,"{""R"": 1, ""A"": 6, ""P"": 7, ""V"": 8, ""N"": 7, ""&"": 1, ""D"": 5, "","": 3, ""O"": 3}"
Thank you :),12,3,1,2,3,1,0,0,1,0,,"{""VP"": {""JJ"": 1, ""VP#:#VP"": 1}}",0.0,0.154,0.846,"{""V"": 1, ""O"": 1, ""E"": 1}"
"Had a super fun, interactive and enlightening meeting with the future scientists at INOX Leisure Ltd. today morning. The future definitely looks bright ",152,23,1,10,11,2,1,1,0,0,😁:1,"{""NP"": {""DT#JJ#NN"": 1, ""ADJP#NN"": 1, ""NP#,#NP"": 1, ""DT#JJ#NNS"": 1, ""NNP#NNP#NNP"": 1, ""NP#PP#NP"": 1}, ""ADJP"": {""JJ#CC#JJ"": 1, ""JJ"": 1}, ""VP"": {""VBD#NP#PP#NP"": 1, ""ADVP#VBZ#ADJP"": 1}, ""S"": {""VP#."": 1}}",0.0,0.514,0.486,"{""V"": 2, ""D"": 3, ""A"": 5, ""N"": 6, "","": 3, ""&"": 1, ""P"": 2, ""^"": 3, ""R"": 1}"
Thank you ,10,2,1,1,8,1,0,0,1,0,"🙏:1,🏻:1",{},0.0,0.286,0.714,"{""V"": 1, ""O"": 1}"
"This picture made my day...this was the motive behind making the the film, to inspire more kids and develop an interest in science. This is real success for me, not the box office numbers. Thank you so much for sharing ",219,40,1,25,6,1,0,0,1,0,,"{""NP"": {""DT"": 2, ""DT#DT#NN"": 1, ""JJR#NNS"": 1, ""JJ#NN"": 1, ""NN#NNS"": 1, ""NP#NP"": 1, ""NP#,#RB#NP"": 1}, ""VP"": {""VBD#NP"": 1, ""VBG#NP"": 1, ""VP#CC#VP"": 1, ""VBD#NP#PP#,#S"": 1, ""VBZ#NP"": 1, ""VBG"": 1, ""VB#S"": 1}, ""S"": {""S#:#S#."": 1, ""NP#ADJP"": 1}, ""PP"": {""IN#S"": 2}, ""ADJP"": {""RB#JJ#PP"": 1}}",0.0,0.687,0.313,"{""D"": 7, ""N"": 11, ""V"": 8, "","": 5, ""O"": 4, ""P"": 5, ""A"": 2, ""&"": 1, ""R"": 3}"
,0,0,0,0,6,1,0,0,1,0,"🙏:2,🏻:2",{},0.0,0.0,0.0,{}
Big hug to him ,15,4,1,4,6,1,0,0,1,0,,"{""NP"": {""NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.492,0.508,"{""A"": 1, ""N"": 1, ""P"": 1, ""O"": 1}"
Thank you Rahul,15,3,1,1,6,1,0,0,1,0,,"{""S"": {""NP#NP"": 1}, ""VP"": {""VB#S"": 1}}",0.0,0.444,0.556,"{""V"": 1, ""O"": 1, ""^"": 1}"
Thank you ,10,2,1,1,6,1,0,0,1,0,"🙏:1,🏻:1",{},0.0,0.286,0.714,"{""V"": 1, ""O"": 1}"
