fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Gems in my hair and I dont care Gonna keep shining EVERYWHERE!! Keep shining beautiful YOU,90,16,6,11,18,1,1,0,0,0,"🌈:3,💎:3","{""NP"": {""PRP$#NN#CC#NN#NN"": 1, ""VBG#JJ#NNS"": 1}, ""VP"": {""VBG#S"": 1, ""VB#S"": 1, ""VBP#S"": 1}}",0.131,0.646,0.223,"{""N"": 2, ""P"": 1, ""D"": 1, ""&"": 1, ""O"": 2, ""V"": 7, ""R"": 1, "","": 1, ""A"": 1}"
"Oh, hello there ",16,3,1,1,20,1,1,0,0,0,"👋:2,🏽:2","{""INTJ"": {""UH"": 1}, ""ADVP"": {""RB#RB"": 1}, ""FRAG"": {""INTJ#,#ADVP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""!"": 2, "","": 1, ""R"": 1}"
"See you on 9/21, VEGAS!!! iHeartRadio ",38,6,1,3,23,1,1,1,1,0,,"{""NP"": {""CD"": 1, ""NNP#NNP#NNP"": 1, ""NP#,#NP"": 1}, ""VP"": {""VB#NP#PP"": 1}}",0.0,1.0,0.0,"{""V"": 1, ""O"": 1, ""P"": 1, ""^"": 3, "","": 2}"
Take it in Stand tall Hands on hips Feel it all Chest out Shoulders back I am me Statin facts I am me Theres only one Hot girl vibesHead to the sun ,148,33,12,25,21,1,1,0,0,0,"🌟:3,💜:3","{""NP"": {""JJ#JJ#NNS"": 1, ""NNP#NNP#PRP"": 1, ""NP#PP#SBAR"": 1, ""JJ#NNS"": 1, ""RB#CD#JJ#NN"": 1, ""NP#VP"": 1, ""NP#SBAR"": 1}, ""WHNP"": {""DT#NN"": 1, ""WHNP#PP"": 1}, ""VP"": {""VBP#NP"": 1, ""VBP#SBAR"": 2, ""VB#NP#PP"": 1, ""VBN#PP"": 1, ""VBZ#NP"": 1}, ""SBAR"": {""S"": 3, ""WHNP#S"": 1}, ""SINV"": {""VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,1.0,0.0,"{""V"": 5, ""O"": 6, ""P"": 4, ""N"": 9, ""A"": 3, ""D"": 2, ""R"": 1, ""L"": 1, ""$"": 1}"
You know how to take over!! Youre just different SWIZZ BEATZ 3 nights in a row late night take over!!  Keep shining my love ,124,24,1,15,23,1,1,1,0,0,🔥:3,"{""NP"": {""NP#ADJP"": 1, ""CD#NNS"": 1, ""NP#NP#PP"": 1, ""JJ#NN"": 1, ""NP#VP"": 1}, ""WHADVP"": {""WRB"": 1}, ""PRT"": {""RP"": 1}, ""ADJP"": {""RB#JJ"": 1}, ""VP"": {""VBG#NP"": 1, ""VBP#PP"": 1, ""VB#PRT#NP#SBAR"": 1, ""VBP#SBAR"": 1}, ""S"": {""NP#NP#VP"": 1}, ""SBAR"": {""S"": 1, ""WHADVP#S"": 1}}",0.0,0.796,0.204,"{""O"": 1, ""V"": 5, ""R"": 2, ""P"": 2, ""T"": 2, "","": 2, ""L"": 1, ""A"": 2, ""N"": 6, ""$"": 1, ""D"": 2}"
When you went to the gym just to show off your neon pink fit ,61,14,1,14,0,3,1,0,0,0,,"{""WHADVP"": {""WRB"": 1}, ""NP"": {""PRP$#NN#NN#NN"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VB#PRT#NP"": 1, ""VBD#PP#ADVP#S"": 1}, ""SBAR"": {""WHADVP#S"": 1}, ""ROOT"": {""SBAR"": 1}}",0.0,0.839,0.161,"{""R"": 2, ""O"": 1, ""V"": 2, ""P"": 2, ""D"": 2, ""N"": 4, ""T"": 1}"
"Learned the Japanese word Komorebi, meaning the sunshine filtering through tree leaves theres no equivalent word in English. How BEAUTIFUL to have a word for this natural magic?  What other words am I missing out on?! Sending you sunshine & magic ",247,41,1,21,21,3,1,0,0,0,"🌳:2,💫:3,😘:3","{""NP"": {""DT#JJ#NN#NNP"": 1, ""NN#NNS"": 1, ""NP#VP"": 1, ""DT#NN#NN"": 1, ""DT#JJ#NN"": 1, ""NP#CC#NP"": 1}, ""VP"": {""VBG#PP"": 1, ""VBG#NP"": 1, ""VBN#NP#,#S"": 1, ""VBZ"": 1, ""VB#S"": 1, ""VBG#S"": 1, ""VBG#PRT#PP#S"": 1}, ""S"": {""NP#NP"": 1}, ""SINV"": {""VP#VP#NP#."": 1}, ""ROOT"": {""SINV"": 1, ""SBARQ"": 2}, ""WHNP"": {""WRB"": 1, ""WDT#JJ#NNS"": 1}, ""SQ"": {""VP"": 1, ""VBP#NP#VP"": 1}, ""SBARQ"": {""WHNP#SQ#."": 1, ""WHNP#SQ"": 1}, ""PRT"": {""RP"": 1}}",0.086,0.628,0.286,"{""V"": 8, ""D"": 5, ""^"": 2, ""N"": 10, "","": 4, ""P"": 5, ""Y"": 1, ""R"": 1, ""A"": 4, ""O"": 3, ""T"": 1, ""&"": 1}"
This beautiful  piece touches me so deeply Some of us may think of ballet and only think of one thing I love how this shows us a side we may not often seeArt is life,165,36,5,26,21,3,1,0,0,1,,"{""NP"": {""DT#JJ#NN#NNS"": 1, ""DT"": 2, ""CD#NN"": 1, ""NP#SBAR"": 1, ""NP#SBAR#SBAR"": 1}, ""ADVP"": {""RB#RB#NP"": 1}, ""VP"": {""VB#PP"": 1, ""ADVP#MD#VP"": 1, ""ADVP#VBP#PP"": 1, ""VP#CC#VP"": 1, ""VB"": 1, ""MD#RB#ADVP#VP"": 1, ""VBZ#NP#NP"": 1, ""VBP#SBAR"": 1, ""VBZ#NP"": 1}, ""SBAR"": {""S"": 3, ""WHADVP#S"": 1}, ""WHADVP"": {""WRB"": 1}}",0.0,0.793,0.207,"{""D"": 3, ""A"": 1, ""N"": 5, ""V"": 8, ""O"": 6, ""R"": 6, ""P"": 3, ""&"": 1, ""$"": 1, ""^"": 1}"
Yes!! !!,8,2,1,1,16,1,0,1,1,0,💜:3,"{""NP"": {""NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.205,0.795,"{""!"": 1, "","": 2}"
.Ryan Reynolds who wore it best? ,33,6,1,3,22,1,0,1,1,0,💜:2,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1, ""FRAG"": 1}, ""NP"": {""NP#SBAR"": 1}, ""WHNP"": {""WP"": 1}, ""ADVP"": {""RBS"": 1}, ""VP"": {""VBD#NP#ADVP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""FRAG"": {""NP#."": 1}}",0.0,0.543,0.457,"{"","": 2, ""^"": 2, ""O"": 2, ""V"": 1, ""A"": 1}"
Practicing  Request line is open. What do you want to hear next?,64,12,1,8,21,9,1,0,0,0,"🌊:1,👀:1","{""NP"": {""NNP#NNP#NN"": 1}, ""ADJP"": {""JJ"": 1}, ""VP"": {""VBZ#ADJP"": 1, ""VB#ADVP"": 1, ""VB#S"": 1}, ""ROOT"": {""SBARQ"": 1}, ""WHNP"": {""WP"": 1}, ""ADVP"": {""JJ"": 1}, ""SQ"": {""VBP#NP#VP"": 1}, ""SBARQ"": {""WHNP#SQ#."": 1}}",0.0,0.894,0.106,"{""V"": 5, ""N"": 2, ""A"": 2, "","": 2, ""O"": 2, ""P"": 1}"
".billie eilish  game is   Keep shining mama, writing that truth ",64,10,1,4,23,2,1,1,0,0,"💪:1,🏽:1,🔥:3,💜:3","{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1}, ""NP"": {""JJ#NN#NN"": 1, ""VBG#NN"": 1}, ""VP"": {""VBG#NP"": 1, ""VBZ#ADVP#NP#,#S"": 1}}",0.0,0.796,0.204,"{"","": 2, ""^"": 2, ""N"": 3, ""V"": 4, ""D"": 1}"
Dropping a cover this week. Heres a clue. Know what it is?  by ,63,13,1,8,2,1,0,0,0,0,"🌊:1,👀:1","{""NP"": {""NP#NP#."": 1}, ""VP"": {""VBG#NP#NP"": 1, ""VBZ"": 1}, ""S"": {""VP#."": 1}, ""ROOT"": {""NP"": 1, ""SBARQ"": 1, ""PP"": 1}, ""WHADJP"": {""RB#WP"": 1}, ""SQ"": {""NP#VP"": 1}, ""SBARQ"": {""WHADJP#SQ#."": 1}, ""PP"": {""IN"": 1}}",0.0,1.0,0.0,"{""V"": 3, ""D"": 3, ""N"": 3, "","": 3, ""L"": 1, ""O"": 2, ""P"": 1}"
Living life in full bloom + rose colored jumpsuits Who you giving this bucket of roses to?,90,17,3,10,0,1,1,0,0,0,"💞:1,💁:1,🏽:1,🌹:1","{""NP"": {""VBG#NN"": 1, ""JJ#NN#NNS"": 1, ""VBN#NNS"": 1, ""NP#SBAR"": 1}, ""PP"": {""TO"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VBD#NP"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.0,0.862,0.138,"{""V"": 2, ""N"": 5, ""P"": 3, ""A"": 2, ""&"": 1, ""^"": 1, ""O"": 2, ""D"": 1, "","": 1}"
Me + My MPC ,12,4,1,4,15,3,1,0,0,0,"🎶:2,💜:1","{""NP"": {""NNP#NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""O"": 1, ""&"": 1, ""D"": 1, ""^"": 1}"
"I these images. A reminder for us all; May we all build through, around, under, & over the walls meant to divide us.  &  conquer all. Learn more about gun reform at Everytown. Visit Shaun Kings page to learn about flipping the senate.",234,43,1,21,0,1,1,2,0,0,💜:2,"{""NP"": {""DT#NNS"": 2, ""NP#NP#."": 1, ""DT"": 2, ""NP#NP"": 1, ""NP#SBAR"": 1, ""NP#:#NP"": 1, ""IN#NP"": 1, ""NP#,#CC#NP"": 1, ""CC"": 1, ""JJR"": 1, ""NN#NN"": 1, ""NNP#NNP#NNPS"": 1}, ""ROOT"": {""NP"": 1}, ""PP"": {""IN"": 1, ""IN#S"": 1}, ""VP"": {""VB#ADVP#,#ADVP#,#PP"": 1, ""VBD#S"": 1, ""VB#NP#PP"": 1, ""VBG#NP"": 1, ""VB#PP"": 1, ""VBZ#S"": 1}, ""S"": {""NP#RB#VP"": 1, ""VP#."": 1}, ""SBAR"": {""S"": 1}}",0.066,0.934,0.0,"{""O"": 4, ""D"": 7, ""N"": 7, "","": 9, ""P"": 9, ""V"": 9, ""R"": 2, ""&"": 2, ""^"": 3}"
Life in full bloomNever mind the desert wind and stormsThe water here is always warm ~AKWishing you peace and love and endless blessings ,137,27,8,17,23,1,1,0,0,0,"🌈:2,😘:3","{""NP"": {""JJ#NN#NN"": 1, ""DT#NN#NN#CC#NN#NN"": 1, ""NP#SBAR"": 1, ""NN#CC#NN"": 1, ""JJ#NNS"": 1, ""NP#CC#NP"": 1}, ""ADJP"": {""JJ"": 1}, ""VP"": {""VBZ#ADVP#ADJP"": 1, ""VBG#S"": 1, ""VBZ#S"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""NP#NP"": 1}, ""SBAR"": {""S"": 1}}",0.0,0.592,0.408,"{""N"": 7, ""P"": 1, ""A"": 3, ""^"": 2, ""V"": 3, ""D"": 1, ""&"": 3, ""R"": 2, "","": 1, ""O"": 1}"
Beautiful!! ,12,1,1,0,21,1,0,0,1,0,"👏:3,🏽:3","{""ROOT"": {""NP"": 1}}",0.0,0.0,1.0,"{""A"": 1, "","": 1}"
"Show me your hands fam!!!  was nominated for Video Music Awards Best R&B song !!! Thank u 4 loving my special gift to you. You know, everything means nothing if I aint got you! Big love to THE-DREAM & Rance 1500 for writing w/me . ",231,45,1,29,23,9,1,3,1,1,"👐:1,🏽:1,💜:2,😘:1,🌹:1,🎶:2,🎹:1","{""NP"": {""PRP$#NNS"": 1, ""NNP#NNP#CD#JJS#NNP#NN#NNS"": 1, ""NN#CD"": 1, ""PRP$#JJ#NN"": 1, ""NP#VP"": 1, ""NNP#CC#NNP#NNP"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VBN#PP#S"": 1, ""VBD#VP"": 1, ""VBP#SBAR"": 2, ""VB#NP#SBAR"": 1, ""VBP"": 1, ""VBD#NP"": 1, ""VBZ#NP#SBAR"": 1, ""VBG#NP"": 1, ""VBP#PP"": 1}, ""S"": {""VP#."": 1, ""S#,#NP#VP#."": 1}, ""SBAR"": {""S"": 3, ""IN#S"": 1}}",0.0,0.573,0.427,"{""V"": 10, ""O"": 6, ""D"": 2, ""N"": 11, "","": 6, ""P"": 5, ""A"": 3, ""^"": 3, ""$"": 2, ""&"": 1}"
