fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
T 3268 - The NDRF .. a force to reckon with and be in the assurance of their immense commitment to rescue those in distress during Nature calamities .. pride and .. salute ,172,33,1,19,20,11,1,0,0,0,,"{""NP"": {""DT#NNP"": 1, ""PRP$#JJ#NN"": 1, ""DT"": 1, ""DT#NN#S"": 1, ""NNP#."": 1, ""NP#NP#."": 1}, ""FRAG"": {""NP#."": 1, ""NP#:#FRAG#."": 1}, ""ROOT"": {""FRAG"": 1, ""NP"": 2}, ""PP"": {""IN"": 1}, ""VP"": {""VB#PP"": 1, ""VB#NP#PP"": 1, ""VB#PP#S"": 1, ""VP#CC#VP"": 1, ""VBZ"": 1}, ""S"": {""NP#VP#.#."": 1}}",0.087,0.639,0.274,"{""G"": 1, ""$"": 1, "","": 4, ""D"": 4, ""^"": 1, ""N"": 7, ""P"": 7, ""V"": 4, ""&"": 2, ""A"": 1, ""O"": 1}"
.. an amiable soul .. considerate and ever friendly .. prayers and condolences ..,81,14,1,9,20,11,0,0,1,0,"🙏:1,🏻:1","{""NP"": {""FW#."": 1, ""DT"": 1, ""JJ#NN#."": 1, ""NNP#."": 1, ""NP#CC#NP"": 1, ""NP#."": 1}, ""ROOT"": {""NP"": 2, ""FRAG"": 1}, ""FRAG"": {""NP#NP#."": 1}, ""ADJP"": {""JJ"": 1}, ""PP"": {""ADVP#ADJP"": 1, ""CC#PP"": 1}, ""VP"": {""VB#PP#."": 1}, ""S"": {""VP#."": 1}}",0.0,0.663,0.337,"{"","": 4, ""D"": 1, ""A"": 3, ""N"": 3, ""&"": 2, ""R"": 1}"
aditinniversary,15,1,1,0,19,11,0,1,0,0,,"{""ROOT"": {""ADVP"": 1}}",0.0,1.0,0.0,"{""!"": 1}"
Walaa Zakariang falls apart .. smile,36,6,1,1,19,11,0,1,0,0,"🙏:1,😀:1","{""VP"": {""VBZ#ADVP"": 1}, ""S"": {""NP#VP#.#."": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.667,0.333,"{""^"": 2, ""V"": 1, ""N"": 2, "","": 1}"
T 3267 - 40 years of KALA PATHAR  .. so many stories of those times .. someday shall be recounted .. till then ,111,23,1,15,18,11,1,0,0,0,💕:1,"{""NP"": {""NNP#CD"": 1, ""CD#NNS"": 1, ""NNP#NNP#."": 1, ""NP#:#NP#."": 1, ""RB#JJ"": 1, ""DT#NNS"": 1, ""RB"": 2}, ""ROOT"": {""NP"": 1, ""FRAG"": 1, ""PP"": 1}, ""FRAG"": {""PP#."": 1, ""NP#:#FRAG#."": 1}, ""VP"": {""VBN"": 1, ""VB#VP"": 1, ""MD#VP"": 1}, ""S"": {""NP#VP#.#."": 1}}",0.0,1.0,0.0,"{""G"": 1, ""$"": 2, "","": 4, ""N"": 3, ""P"": 3, ""^"": 2, ""R"": 3, ""A"": 1, ""D"": 1, ""V"": 3}"
,0,0,0,0,13,14,0,1,0,0,"🙏:1,💖:1,🌹:1",{},0.0,0.0,0.0,{}
T 3266,6,2,2,2,7,14,0,0,1,0,,"{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""N"": 1, ""$"": 1}"
T 3266 - .. a brilliant concept & execution by the Pandey Brothers  .. Piyush & Prasoon  well done Piyush ji .. so original and endearing  .. no wonder you are World Champions ..!!!,181,34,1,20,6,14,1,0,0,0,"👏:5,🙏:2,🌹:1,💖:2","{""NP"": {""NNP#CD"": 1, ""NNP#."": 2, ""NP#NP#."": 2, ""DT#JJ#NN"": 1, ""CC#NN"": 1, ""DT#NNP#NNP#."": 1, ""NNP#CC#NNP"": 1, ""RB#JJ"": 1, ""NP#CC#NP"": 1, ""NP#."": 1, ""NNP#NNPS"": 1}, ""ROOT"": {""NP"": 4}, ""ADVP"": {""RB#RB"": 1}, ""VP"": {""ADVP#VBP#NP"": 1, ""VBP#NP"": 1, ""VB#SBAR"": 1}, ""S"": {""NP#VP#.#."": 1, ""INTJ#VP#."": 1}, ""INTJ"": {""UH"": 1}, ""SBAR"": {""S"": 1}}",0.056,0.61,0.334,"{""G"": 1, ""$"": 1, "","": 6, ""D"": 3, ""A"": 3, ""N"": 3, ""&"": 3, ""P"": 1, ""^"": 7, ""R"": 2, ""V"": 3, ""O"": 1}"
T 3266 - .. in admiration respect and awe .. ,45,10,1,8,6,11,0,0,1,0,,"{""NP"": {""NNP#CD"": 1, ""NNP#."": 1, ""NP#NP#."": 1, ""NN#NN#CC#NN"": 1}, ""ROOT"": {""NP"": 1, ""FRAG"": 1}, ""PP"": {""IN#NP#."": 1}, ""FRAG"": {""PP#."": 1}}",0.0,0.476,0.524,"{""G"": 1, ""$"": 1, "","": 3, ""P"": 1, ""N"": 2, ""&"": 1, ""!"": 1}"
T 3266 - Dear friend and colleague .. and my director of 'Teen' does a web series .. and my wishes as ever .. well done Ribhu .. so impressive !!,145,31,1,23,6,11,0,0,1,0,"🙏:1,👏:2,👍:1","{""NP"": {""NNP#CD"": 1, ""NNP#NN#CC#NN"": 1, ""NP#:#NP#."": 1, ""DT#NN#NN"": 1, ""PRP$"": 1, ""CD#."": 1, ""ADJP#NNPS"": 1}, ""FRAG"": {""NP#."": 1, ""ADVP#."": 1}, ""ROOT"": {""FRAG"": 1, ""NP"": 1}, ""PP"": {""IN#``#NP"": 1, ""RB#FRAG"": 1}, ""VP"": {""VBZ#NP"": 1, ""VBZ#PP"": 1, ""VBN#S"": 1}, ""S"": {""CC#NP#VP#.#."": 1, ""CC#NP#VP#."": 1, ""NP"": 1}, ""ADJP"": {""RB#JJ"": 1}}",0.0,0.616,0.384,"{""G"": 1, ""$"": 1, "","": 8, ""A"": 2, ""N"": 5, ""&"": 3, ""D"": 3, ""P"": 2, ""^"": 2, ""V"": 3, ""R"": 3}"
