fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
"thank u london for three beautiful sold out shows at the o2  what a special way to start this leg !!!! see u for two more next month. amsterdam, youre next. love u. ",165,33,1,22,22,1,1,0,0,0,"🌫:1,🏹:1","{""NP"": {""NN#NN"": 1, ""CD"": 2, ""DT#JJ#NN"": 1, ""DT#NN#NN"": 1, ""RBR#JJ#NN"": 1, ""NP#SBAR"": 1}, ""ADJP"": {""JJ"": 1}, ""S"": {""NP#ADJP"": 1, ""S#VP#."": 1, ""NP#,#VP#."": 1}, ""VP"": {""VB#S"": 2, ""VB#NP#NP"": 1, ""VBD#PRT#NP#PP"": 1, ""VB#ADVP"": 1}, ""PRT"": {""RP"": 1}, ""WHNP"": {""WP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""ADVP"": {""JJ"": 1}}",0.0,0.642,0.358,"{""V"": 5, ""O"": 4, ""^"": 3, ""P"": 4, ""$"": 2, ""A"": 5, ""T"": 1, ""N"": 4, ""D"": 3, "","": 5, ""L"": 1}"
my new fragrance  is now available at Ulta Beauty and online !!! go grab yours before joan grande literally buys all of them ... hope you love it   ,148,28,1,20,16,1,1,1,1,1,🌫:1,"{""NP"": {""PRP$#JJ#NN"": 1, ""JJ#NNS"": 1, ""NP#CC#NP"": 1, ""NN#NNS"": 1, ""NN#NN"": 1, ""DT"": 1}, ""ADJP"": {""JJ#PP"": 1}, ""VP"": {""VBP#NP"": 1, ""VBP#SBAR"": 1, ""VBZ#S"": 1, ""VB#NP#SBAR"": 1, ""VBZ#ADVP#ADJP#S"": 1}, ""S"": {""NP#:#VP"": 1, ""NP#ADVP#VP"": 1}, ""SBAR"": {""S"": 1, ""IN#S"": 1}}",0.0,0.68,0.32,"{""D"": 2, ""A"": 3, ""N"": 1, ""V"": 6, ""R"": 2, ""P"": 3, ""^"": 4, ""&"": 1, "","": 2, ""O"": 4}"
iiii loooveee u. see u again tomorrrow london.,46,8,1,4,15,1,0,0,0,0,,"{""NP"": {""JJ#NN#NN"": 1}, ""VP"": {""VBD#NP"": 1, ""VBP#SBAR"": 1}, ""S"": {""NP#ADVP#VP"": 1}, ""SBAR"": {""S"": 1}}",0.0,1.0,0.0,"{""O"": 3, ""V"": 2, "","": 2, ""R"": 2, ""^"": 1}"
love u so much pls send help,28,7,1,7,15,1,0,0,1,0,,"{""NP"": {""JJ#NN"": 1, ""VB"": 1}, ""VP"": {""VBP"": 1, ""VBP#NP#SBAR"": 1}, ""SBAR"": {""IN#S"": 1}, ""SINV"": {""VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.261,0.739,"{""V"": 4, ""O"": 1, ""R"": 1, ""A"": 1}"
iii loooove uuuuuuuu guys hi,28,5,1,3,15,1,0,0,1,0,,"{""NP"": {""JJ#JJ#NNS"": 1}, ""ADJP"": {""JJ"": 1}, ""S"": {""NP#ADJP"": 1}, ""VP"": {""VB#S"": 1}}",0.0,1.0,0.0,"{""O"": 2, ""V"": 1, ""N"": 1, ""!"": 1}"
mama !!!!!!!!!! how how how is someone this cute ?,50,10,1,8,14,1,0,0,1,0,,"{""NP"": {""NP#VP"": 1, ""NP#ADJP"": 1}, ""WHADVP"": {""WRB"": 1, ""WRB#WRB"": 1}, ""FRAG"": {""WHADVP"": 1}, ""SBAR"": {""WHADVP#FRAG"": 1}, ""VP"": {""VBG#SBAR"": 1, ""VBZ#NP"": 1}, ""ADJP"": {""DT#JJ"": 1}}",0.0,0.632,0.368,"{""N"": 2, "","": 2, ""R"": 3, ""V"": 1, ""D"": 1, ""A"": 1}"
 fragrance available now Ulta Beauty  ,38,5,1,2,14,1,0,1,1,1,,"{""ADJP"": {""JJ"": 1}, ""VP"": {""VBD#ADJP#ADVP"": 1}, ""SINV"": {""VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.513,0.487,"{""N"": 1, ""A"": 1, ""R"": 1, ""^"": 2}"
london i love u ... thank u for beyond magical opening night im soooo happy to be back !!!,90,19,2,11,14,1,0,0,0,0,,"{""NP"": {""NN#NNS"": 1, ""JJ#NN#NN#NN#NN"": 1}, ""VP"": {""VBP#NP"": 1, ""VBP#NP#PP"": 1, ""ADVP#VBN"": 1, ""VB#VP"": 1, ""VP#:#VP#ADJP"": 1}, ""PP"": {""IN#PP"": 1}, ""ADJP"": {""JJ#S"": 1}}",0.0,0.536,0.464,"{""^"": 1, ""O"": 3, ""V"": 4, "","": 2, ""P"": 3, ""A"": 2, ""N"": 1, ""L"": 1, ""R"": 2}"
opening night europeeee,23,3,1,0,13,1,0,0,0,0,,"{""NP"": {""NN#NN"": 1}, ""VP"": {""VBG#NP"": 1}}",0.0,1.0,0.0,"{""V"": 1, ""N"": 1, ""^"": 1}"
only one,8,2,1,2,18,1,0,0,0,0,,"{""NP"": {""RB#CD"": 1}, ""FRAG"": {""NP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""A"": 1, ""$"": 1}"
