fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
"Giving ourselves time to recharge and reset away from the office is invaluable. Still, I love Sharran Srivatsaa's advice on taking ""micro-vacations"" or daily ""bubbles of recharging time"" when a vacation isn't possible. ",219,33,1,14,16,22,0,0,1,0,,"{""NP"": {""NNP#NNP#POS"": 1, ""NP#NN"": 1, ""JJ#``#NNS"": 1, ""JJ#NN"": 1, ""NP#CC#NP"": 1}, ""VP"": {""VB"": 1, ""VBG#NP#NP#S"": 1, ""NN#ADVP#PP"": 1, ""VP#CC#VP"": 1, ""VBZ#ADJP"": 1, ""VBZ#RB#ADJP"": 1, ""VBG#``#NP#SBAR"": 1, ""VBP#NP#PP"": 1}, ""S"": {""S#VP#."": 1, ""ADVP#,#NP#VP#."": 1}, ""PP"": {""IN#S"": 1}, ""ADJP"": {""JJ"": 2}, ""WHADVP"": {""WRB"": 1}, ""SBAR"": {""WHADVP#S"": 1}}",0.0,0.815,0.185,"{""V"": 8, ""D"": 3, ""N"": 6, ""P"": 4, ""&"": 2, ""R"": 3, ""A"": 4, "","": 7, ""O"": 1, ""^"": 1, ""Z"": 1}"
"Love how Bryan Robinson, Ph.D. describes much of our negative thinking: ""heavy traffic is just heavy traffic. It didnt happen to make your life miserable. Your thoughts about the traffic cause your distress."" ",209,33,1,15,11,22,0,1,1,0,,"{""VP"": {""VBZ"": 1, ""VBZ#NP"": 1, ""VBZ#ADVP#NP"": 1, ""VB#S"": 2, ""VBP#VP"": 1, ""VBP#NP"": 1}, ""WHADVP"": {""WRB"": 1}, ""NP"": {""NNP#NNP#,#NNP"": 1, ""RB"": 1, ""PRP$#JJ#NN"": 1, ""JJ#NN"": 2, ""PRP$#NNS"": 1}, ""S"": {""NP#ADJP"": 1}, ""SBAR"": {""WHADVP#S"": 1}, ""SINV"": {""VP#SBAR#:#``#S#."": 1}, ""ROOT"": {""SINV"": 1}, ""ADJP"": {""JJ"": 1}}",0.168,0.73,0.102,"{""V"": 7, ""R"": 2, ""^"": 4, "","": 7, ""A"": 5, ""P"": 4, ""D"": 5, ""N"": 6, ""O"": 1}"
"Beautiful essay by Kristine Peter on finding, and later losing, a mentor but continuing to honor her legacy and lessons. What's the greatest lesson a mentor has taught you? ",173,29,1,12,1,22,0,0,1,0,,"{""NP"": {""PRP$#NN#CC#NNS"": 1, ""DT#JJS#NN"": 1, ""NP#SBAR"": 1}, ""VP"": {""VBG"": 1, ""ADVP#VBG"": 1, ""VBG#S"": 1, ""VP#,#CC#VP#,#ADVP#VP"": 1, ""VB#NP#PP"": 1, ""VBN#NP"": 1, ""VBZ#VP"": 1}, ""ADVP"": {""NP#RB"": 1}, ""S"": {""VP#."": 1}, ""PP"": {""IN#S"": 1}, ""ROOT"": {""SBARQ"": 1}, ""WHNP"": {""WP"": 1}, ""SBAR"": {""S"": 1}, ""SQ"": {""VBZ#NP"": 1}, ""SBARQ"": {""WHNP#SQ#."": 1}}",0.048,0.616,0.336,"{""A"": 2, ""N"": 6, ""P"": 3, ""^"": 2, ""V"": 6, "","": 4, ""&"": 3, ""R"": 1, ""D"": 4, ""L"": 1, ""O"": 1}"
Even a NASCAR racer like Julia Landauer makes time for positive self-talk as a way to reframe negative thoughts and be her own cheerleader. ,140,24,1,13,19,22,0,1,1,0,,"{""NP"": {""RB#DT#JJ#NN"": 1, ""JJ#NN"": 1, ""JJ#NNS"": 1, ""PRP$#JJ#NN"": 1, ""DT#NN#S"": 1}, ""VP"": {""VP#CC#VP"": 1, ""VBZ#NP#PP"": 1}}",0.125,0.606,0.269,"{""R"": 1, ""D"": 3, ""^"": 3, ""N"": 7, ""P"": 4, ""V"": 3, ""A"": 2, ""&"": 1, "","": 1}"
"""When you check your phone the first thing in the morning, you become reactive. It starts you off in a really, really crazy grind. So I leave my phone alone for an hour, and I spend an hour taking care of myself.""  Boris Kodjoe ",228,44,1,22,16,22,0,1,1,0,,"{""WHADVP"": {""WRB"": 1}, ""NP"": {""DT#JJ#NN"": 1, ""DT#ADJP#NN"": 1}, ""PP"": {""ADVP#IN#NP"": 1}, ""VP"": {""VB#NP#NP"": 1, ""VBP#ADJP"": 1, ""VBZ#NP#PRT#PP"": 1, ""VBP#NP#PP"": 1, ""VBG#NP"": 1, ""VBP#S"": 1}, ""S"": {""``#SBAR#,#NP#VP#."": 1, ""IN#NP#VP"": 1, ""S#,#CC#S#."": 1}, ""SBAR"": {""WHADVP#S"": 1}, ""ADJP"": {""JJ"": 1, ""RB#,#RB#JJ"": 1}, ""ROOT"": {""NP"": 1}, ""PRT"": {""RP"": 1}}",0.139,0.793,0.069,"{"","": 8, ""R"": 5, ""O"": 7, ""V"": 6, ""D"": 7, ""N"": 9, ""A"": 2, ""P"": 5, ""&"": 1, ""^"": 2}"
"As a recovering perfectionist, I fell in the ""self-oriented"" bucket, which was caused by my inner voice of self-doubt and self-judgment  or what I call the obnoxious roommate living in our head. These are great strategies for each type of perfectionist: ",254,41,1,23,12,22,0,0,1,0,,"{""NP"": {""DT#VBG#NN"": 1, ""DT#``#JJ#NN"": 1, ""PRP$#JJ#NN"": 1, ""NN#CC#NN"": 1, ""DT#JJ#NN#NN"": 1, ""NP#,#SBAR"": 1, ""DT"": 1, ""JJ#NNS"": 1}, ""WHNP"": {""WDT"": 1, ""WP"": 1}, ""VP"": {""VBN#PP"": 1, ""VBD#VP"": 1, ""VBP#NP"": 2, ""VBD#PP"": 1}, ""S"": {""PP#,#NP#VP#."": 1, ""NP#VP#:"": 1}, ""SBAR"": {""WHNP#S"": 2, ""SBAR#CC#SBAR"": 1}}",0.065,0.738,0.197,"{""P"": 7, ""D"": 7, ""N"": 12, "","": 6, ""O"": 4, ""V"": 6, ""A"": 3, ""&"": 2}"
"Love these easy-to-execute tips from the Thrive Global community for finding more mindfulness in our day. From ""dance every day"" to creating a ""to-feel list,"" which will you try? ",179,29,1,16,2,22,0,1,1,0,,"{""NP"": {""DT#JJ#NNS"": 1, ""DT#NNP#NNP#NN"": 1, ""JJR#NNS"": 1, ""DT#``#JJ#NN"": 1, ""``#S#,#SBAR"": 1}, ""PP"": {""IN#S"": 1, ""TO#S"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VB#NP#PP"": 2, ""VBG#NP"": 1, ""MD"": 1, ""VBP"": 1}, ""S"": {""VP#."": 1, ""PP#NP#VP#."": 1}, ""WHNP"": {""WDT"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.0,0.802,0.198,"{""V"": 6, ""D"": 6, ""A"": 2, ""N"": 6, ""P"": 6, ""^"": 2, "","": 7, ""O"": 1}"
"There isn't a one-size-fits-all morning routine, but some of these wake-up behaviors might make us less productive during the day ahead. ",137,21,1,9,17,22,0,0,1,0,,"{""NP"": {""EX"": 1, ""DT#JJ#NN#NN"": 1, ""DT"": 1, ""DT#JJ#NNS"": 1}, ""VP"": {""VBZ#RB#NP"": 1, ""VB#S"": 1, ""MD#VP"": 1}, ""S"": {""NP#ADJP"": 1, ""S#,#CC#S#."": 1}, ""PP"": {""IN#ADVP"": 1}, ""ADVP"": {""NP#RB"": 1}, ""ADJP"": {""RBR#JJ#PP"": 1}}",0.0,1.0,0.0,"{""X"": 1, ""V"": 3, ""D"": 4, ""A"": 3, ""N"": 5, "","": 2, ""&"": 1, ""P"": 2, ""O"": 1, ""R"": 1}"
"Great article on how we need a twofold approach to tackle mental health on college campuses by ""helping students not just avoid stress but also develop the tools to work through it."" ",183,32,1,16,16,22,0,0,1,0,,"{""NP"": {""JJ#NN"": 2, ""NN#NNS"": 1, ""DT#JJ#NN#S"": 1, ""DT#NNS"": 1, ""NP#PP#."": 1}, ""WHADVP"": {""WRB"": 1}, ""PP"": {""IN#``#S"": 1, ""IN#SBAR"": 1}, ""VP"": {""VBG#NP"": 1, ""VB#NP#PP#PP"": 1, ""VB#PP"": 1, ""ADVP#VB#S"": 1, ""VP#CC#VP"": 1, ""VBP#SBAR"": 1}, ""S"": {""NP#RB#ADVP#VP"": 1}, ""SBAR"": {""S"": 1, ""WHADVP#S"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.788,0.212,"{""A"": 2, ""N"": 9, ""P"": 6, ""R"": 4, ""O"": 2, ""V"": 6, ""D"": 2, "","": 3, ""&"": 1}"
"Music and meditation are some of our greatest tools to quiet a racing mind. Sound meditation, or sound bathing, combines them both; that's why . ",145,25,1,11,12,22,0,0,1,1,,"{""NP"": {""NN#CC#NN"": 1, ""DT"": 3, ""PRP$#JJS#NNS"": 1, ""DT#VBG#NN"": 1, ""NP#PP#S"": 1, ""JJ#NN"": 2, ""NP#,#CC#NP#,"": 1}, ""VP"": {""VBP#NP"": 1, ""VBZ#S"": 1, ""VBZ#FRAG"": 1}, ""S"": {""NP#NP"": 1, ""S#:#S#."": 1}, ""WHADVP"": {""WRB"": 1}, ""FRAG"": {""WHADVP"": 1}}",0.0,0.84,0.16,"{""N"": 7, ""&"": 2, ""V"": 5, ""D"": 3, ""P"": 2, ""A"": 1, "","": 5, ""O"": 2, ""L"": 1, ""R"": 1}"
