fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
"A good story gives you the chance to better understand someone elses life. It can help you find common ground. And its why Michelle and I were drawn to Higher Grounds first film, American Factory. Take a look at our conversation with the directors, and check it out on Netflix.",277,50,1,28,15,1,1,0,0,0,,"{""NP"": {""DT#JJ#NN"": 1, ""NN#NNS#NN"": 1, ""DT#NN#S"": 1, ""JJ#NN"": 3, ""PRP$#NNP#NNP"": 1, ""NP#CC#NP"": 1, ""NNP#NNPS"": 1, ""NP#,#NP"": 1, ""DT#NNS"": 1}, ""ADVP"": {""RBR"": 1}, ""VP"": {""ADVP#VB#NP"": 1, ""VBZ#NP#NP"": 1, ""VB#S"": 1, ""MD#VP"": 1, ""VBN#PP#NP"": 1, ""VBD#VP"": 1, ""VB#NP#PP"": 1, ""VB#NP#PRT#PP"": 1, ""VP#,#CC#VP"": 1}, ""S"": {""CC#NP#VP#."": 1, ""VP#."": 1}, ""PRT"": {""RP"": 1}}",0.0,0.804,0.196,"{""D"": 5, ""A"": 3, ""N"": 11, ""V"": 10, ""O"": 5, ""P"": 5, ""R"": 2, "","": 6, ""&"": 3, ""L"": 1, ""^"": 4, ""T"": 1}"
"Toni Morrison was a national treasure, as good a storyteller, as captivating, in person as she was on the page. Her writing was a beautiful, meaningful challenge to our conscience and our moral imagination. What a gift to breathe the same air as her, if only for a while.",271,49,1,33,15,2,1,0,0,0,,"{""NP"": {""DT#JJ#NN"": 2, ""JJ#DT#NN"": 1, ""DT#ADJP#NN"": 1, ""PRP$#JJ#NN"": 1, ""NP#CC#NP"": 1}, ""PP"": {""IN#S"": 1, ""PP#,#CONJP#PP"": 1}, ""VP"": {""VBD#PP"": 1, ""VBG#,#PP#SBAR"": 1, ""VBD#NP#,#PP#,#PP"": 1, ""VBD#NP#PP"": 1, ""VB#NP#PP"": 1}, ""SBAR"": {""IN#S"": 1, ""WHNP#S"": 1}, ""ROOT"": {""FRAG"": 1}, ""ADJP"": {""JJ#,#JJ"": 1}, ""WHNP"": {""WP"": 1}, ""CONJP"": {""IN#RB"": 1}, ""FRAG"": {""SBAR#."": 1}}",0.0,0.71,0.29,"{""^"": 2, ""V"": 5, ""D"": 9, ""N"": 11, "","": 8, ""R"": 3, ""A"": 6, ""P"": 8, ""O"": 4, ""&"": 1}"
"Until all of us stand up and insist on holding public officials accountable for changing our gun laws, these tragedies will keep happening: ",140,23,1,11,19,2,0,0,1,0,,"{""NP"": {""DT"": 1, ""JJ#NNS"": 1, ""PRP$#NN#NNS"": 1, ""DT#NNS"": 1}, ""PP"": {""IN#S"": 2}, ""PRT"": {""RP"": 1}, ""VP"": {""VBP#PRT"": 1, ""VBG#NP"": 1, ""VBG#S"": 1, ""VBP#PP"": 1, ""VP#CC#VP"": 1, ""VBG"": 1, ""VB#S"": 1, ""MD#VP"": 1}, ""S"": {""NP#ADJP"": 1, ""SBAR#,#NP#VP#:"": 1}, ""ADJP"": {""JJ#PP"": 1}, ""SBAR"": {""IN#S"": 1}}",0.202,0.798,0.0,"{""P"": 4, ""D"": 3, ""O"": 1, ""V"": 8, ""T"": 1, ""&"": 1, ""A"": 1, ""N"": 4, "","": 2}"
,0,0,0,0,19,2,1,0,0,0,,{},0.0,0.0,0.0,{}
"The families of our wounded warriors don't often get a lot of fanfare, but they're serving and sacrificing right alongside their loved ones. We all owe a debt to them, too, and Fisher House is always making sure we're serving those who serve us.",245,44,1,21,19,2,0,0,1,0,,"{""NP"": {""DT#NNS"": 1, ""PRP$#JJ#NNS"": 2, ""DT"": 1, ""NP#SBAR"": 1}, ""ADVP"": {""RB#PP"": 1, ""DT"": 1}, ""VP"": {""VBP#RB#ADVP#VP"": 1, ""VBG#CC#VBG#ADVP"": 1, ""VBP#VP"": 2, ""VBP#NP#PP#,#ADVP"": 1, ""VBP#NP"": 1, ""VBG#NP"": 1, ""VBG#ADJP"": 1, ""VBZ#ADVP#VP"": 1}, ""S"": {""S#,#CC#S#."": 2, ""NP#ADVP#VP"": 1}, ""WHNP"": {""WP"": 1}, ""SBAR"": {""WHNP#S"": 1, ""S"": 1}, ""ADJP"": {""JJ#SBAR"": 1}}",0.064,0.772,0.164,"{""D"": 7, ""N"": 6, ""P"": 4, ""A"": 2, ""V"": 10, ""R"": 4, "","": 5, ""&"": 3, ""L"": 2, ""O"": 4, ""^"": 2}"
Recent court decisions make it clear that the change we need to restore our democracy has to come from the ground up. All On The Lines work to ensure an accurate census count and achieve fair maps in 2021 has never been more important. Join us today: ,251,47,1,30,17,2,1,1,1,0,,"{""NP"": {""JJ#NN#NNS"": 1, ""NP#SBAR"": 1, ""DT"": 1, ""DT#ADJP#NN#NN"": 1, ""JJ#NNS"": 1, ""CD"": 1, ""DT#NNP#NN#S"": 1}, ""ADJP"": {""JJ"": 2, ""RBR#JJ"": 1}, ""S"": {""NP#ADJP"": 1, ""NP#PP#VP#."": 1, ""VP#:"": 1}, ""VP"": {""VBP#S"": 1, ""VB#PP"": 1, ""VBZ#S"": 1, ""VBP#S#SBAR"": 1, ""VB#NP#PP"": 1, ""VP#CC#VP"": 1, ""VBN#ADJP"": 1, ""VBZ#ADVP#VP"": 1, ""VBG#NP#NP"": 1}, ""SBAR"": {""S"": 1, ""IN#S"": 1}, ""ADVP"": {""NP#RB"": 1}, ""PP"": {""IN#ADVP"": 1}}",0.033,0.746,0.221,"{""A"": 5, ""N"": 11, ""V"": 10, ""O"": 3, ""P"": 7, ""D"": 5, ""T"": 1, "","": 3, ""X"": 1, ""&"": 1, ""$"": 1, ""R"": 2}"
"Heres a worthwhile Sunday read: nothing should temper partisanship more than an awareness that somewhere, on some issue, people with whom you disagree are telling a story that you really need to hear. ",201,33,1,16,18,2,0,0,1,0,,"{""NP"": {""DT#JJ#NNP"": 1, ""NP#NP"": 1, ""NP#SBAR"": 1, ""NP#,#NP"": 1}, ""VP"": {""VBD"": 1, ""VB"": 1, ""VBP#S"": 1, ""VBG#NP#SBAR"": 1, ""VBP#VP"": 1, ""VBP#SBAR"": 1, ""VB#NP#ADVP#SBAR#,#PP"": 1, ""MD#VP"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""S#:#S#."": 1}, ""ADVP"": {""RBR#PP"": 1}, ""FRAG"": {""ADVP"": 1}, ""SBAR"": {""IN#FRAG"": 1, ""IN#S"": 1, ""S"": 1, ""WHPP#S"": 1}, ""WHNP"": {""WP"": 1}, ""WHPP"": {""IN#WHNP"": 1}}",0.074,0.792,0.134,"{""L"": 1, ""D"": 4, ""A"": 2, ""^"": 1, ""V"": 7, "","": 4, ""N"": 7, ""P"": 6, ""R"": 2, ""O"": 3}"
"Ive always been proud of what this team accomplished during my administration. But more than what we did, Im proud of how theyre continuing to fight for an America thats better. ",178,31,1,19,18,2,0,0,1,0,,"{""WHNP"": {""WP"": 2}, ""NP"": {""JJR"": 1, ""WRB#JJ"": 1, ""DT#NNP"": 1}, ""VP"": {""VBN"": 1, ""ADVP#VBN#ADJP#PP"": 1, ""VB#VP"": 1, ""VB#PP"": 1, ""VBG#S"": 1, ""VBD#,#S"": 1, ""VBZ#ADJP"": 1}, ""S"": {""VP#."": 1, ""NP#ADJP#S"": 1, ""CC#NP#VP#."": 1}, ""SBAR"": {""WHNP#S"": 2}, ""PP"": {""IN#SBAR"": 2}, ""ADJP"": {""JJ#PP"": 2, ""JJR"": 1}}",0.082,0.628,0.29,"{""L"": 4, ""R"": 2, ""V"": 5, ""A"": 4, ""P"": 6, ""O"": 3, ""D"": 3, ""N"": 2, "","": 3, ""&"": 1, ""^"": 1}"
"Economist Raj Chetty is not only identifying the decline in opportunity weve seen in recent decadesbut trying to reverse it. Inequality, like many problems we face, is as vast as it is complex. But this article left me a little more hopeful: ",242,42,1,26,21,2,0,0,1,0,,"{""NP"": {""NNP#NNP#NNP"": 1, ""NN#NN"": 1, ""JJ#NN"": 1, ""NP#VP"": 2, ""JJ#NNS"": 1, ""NP#SBAR"": 1, ""DT#RB"": 1}, ""ADVP"": {""NP#RBR"": 1}, ""VP"": {""VBG#S"": 1, ""VBN#PP"": 1, ""VBG#NP#PP"": 1, ""VBZ#RB#ADVP#VP"": 1, ""VBP"": 1, ""VBZ#ADJP"": 1, ""VBZ#ADJP#SBAR"": 1, ""VBD#S"": 1}, ""S"": {""ADVP#,#PP#,#VP#."": 1, ""NP#ADJP"": 1, ""CC#NP#VP#:"": 1}, ""SBAR"": {""S"": 1, ""IN#S"": 1}, ""ADJP"": {""RB#JJ"": 1, ""JJ"": 1, ""ADVP#JJ"": 1}}",0.039,0.788,0.173,"{""^"": 3, ""V"": 8, ""R"": 4, ""D"": 3, ""N"": 7, ""P"": 5, ""L"": 1, ""A"": 6, ""O"": 4, "","": 5, ""&"": 1}"
Here are a couple of articles backed by new research that are worth taking a look at: A new study on the Medicaid expansion my administration fought for under the Affordable Care Actand how these policy decisions affect lives in real terms: ,241,42,1,22,21,2,0,0,1,0,,"{""VP"": {""VBP"": 1, ""VBP#NP"": 1, ""VBD#PP#SBAR"": 1, ""VBG#NP"": 1, ""VBP#ADJP"": 1, ""VBN#PP"": 1}, ""NP"": {""JJ#NN"": 1, ""DT#JJ#NN"": 1, ""DT#NNP#NN"": 1, ""DT#NNP#NNP#NNP"": 1, ""DT#NN#NNS"": 1, ""JJ#NNS"": 1, ""NP#PP#SBAR"": 1, ""NP#SBAR"": 1, ""NP#VP"": 1}, ""WHNP"": {""WDT"": 1}, ""PP"": {""IN#:#NP"": 1, ""IN#PP"": 1}, ""WHADVP"": {""WRB"": 1}, ""SBAR"": {""WHADVP#S"": 1, ""S"": 1, ""WHNP#S"": 1}, ""ADJP"": {""JJ#S"": 1}, ""SINV"": {""ADVP#VP#NP#:"": 1}, ""ROOT"": {""SINV"": 1}}",0.053,0.805,0.143,"{""R"": 2, ""V"": 7, ""D"": 7, ""N"": 10, ""P"": 8, ""A"": 4, "","": 2, ""^"": 4}"
