fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
"In Helsinki, President Trump sided with Vladimir Putin over our intelligence services. Today, he sided with Putin over President Obama. This isn't complicated: We need a president who sides with America over Russia.",215,33,1,14,17,1,0,0,1,0,,"{""NP"": {""PRP$#NN#NNS"": 1, ""DT"": 1, ""NP#SBAR"": 1}, ""VP"": {""VBD#PP#PP"": 3, ""VBZ#RB#ADJP"": 1, ""VBP#NP"": 1}, ""S"": {""PP#,#NP#VP#."": 1, ""NP#,#NP#VP#."": 1, ""S#:#S#."": 1}, ""ADJP"": {""VBN"": 1}, ""WHNP"": {""WP"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.0,0.909,0.091,"{""P"": 7, ""^"": 10, "","": 6, ""V"": 4, ""D"": 2, ""N"": 5, ""O"": 4, ""A"": 1}"
"On , let's celebrate the progress women have made in Americabut also recognize how much work we need to do to realize true equality. That isn't only on women; all of us, especially men, need to help our country live up to its promise of equality for all.",254,48,1,34,14,1,0,0,0,1,,"{""PP"": {""IN"": 1}, ""NP"": {""NNP#POS"": 1, ""DT#NN#NNS"": 1, ""JJ#NN"": 1, ""DT"": 3, ""RB#NNS"": 1, ""NP#,#NP#,"": 1}, ""WHNP"": {""WRB#JJ"": 1}, ""VP"": {""VB#S"": 2, ""VBP#S"": 2, ""VBP#SBAR"": 3, ""VBN#SBAR"": 1, ""VBP#VP"": 1, ""VBZ#RB#ADVP#PP"": 1, ""VB#PRT#PP"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""PP#,#NP#VP#."": 1, ""S#:#S#."": 1}, ""SBAR"": {""S"": 2, ""WHNP#S"": 1, ""IN#S"": 1}, ""PRT"": {""RP"": 1}}",0.0,0.746,0.254,"{""P"": 10, "","": 6, ""L"": 2, ""V"": 11, ""D"": 4, ""N"": 9, ""^"": 1, ""R"": 4, ""A"": 2, ""O"": 3, ""T"": 1}"
"For as long as he is president, they will continue to separate children from their parents. This is being done in our name, it is on all of our consciences, and it is up to us to prove we are better than this. ",210,43,1,31,1,2,0,0,1,0,,"{""NP"": {""JJ#NNS"": 1, ""PRP$#NNS"": 2, ""DT"": 3}, ""VP"": {""VBZ#NP"": 1, ""VB#PP#PP"": 1, ""MD#VP"": 1, ""VBN#PP"": 1, ""VBG#VP"": 1, ""VBZ#VP"": 1, ""VBZ#PP"": 1, ""VBP#ADJP"": 1, ""VB#SBAR"": 1, ""VBZ#ADVP#S"": 1}, ""S"": {""IN#SBAR#,#NP#VP#."": 1, ""S#PRN#CC#S#."": 1}, ""SBAR"": {""RB#RB#IN#S"": 1, ""S"": 1}, ""PRN"": {"",#S#,"": 1}, ""ADVP"": {""RB#PP"": 1}, ""ADJP"": {""JJR"": 1, ""ADJP#PP"": 1}}",0.0,0.935,0.065,"{""P"": 10, ""R"": 2, ""A"": 3, ""O"": 8, ""V"": 10, ""N"": 5, "","": 5, ""D"": 4, ""&"": 1}"
"Vladimir Putin led a coordinated attack on our democracyand President Trump's response is to invite him back into G7. Once again, Trump is providing Putin with a green light to interfere in our elections. He must be impeached.",226,38,1,20,21,2,0,0,1,0,,"{""NP"": {""DT#JJ#NN"": 2, ""NNP#NNP#POS"": 1, ""PRP$#JJ#NP#NN"": 1, ""PRP$#NNS"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VB#NP#PRT#PP"": 1, ""VBZ#S"": 1, ""VBD#SBAR"": 1, ""VB#PP"": 1, ""VBG#NP#S"": 1, ""VBZ#VP"": 1, ""VBN"": 1, ""VB#VP"": 1, ""MD#VP"": 1}, ""S"": {""ADVP#,#NP#VP#."": 1}, ""SBAR"": {""S"": 1}, ""ADVP"": {""RB#RB"": 1}}",0.08,0.879,0.041,"{""^"": 7, ""V"": 9, ""D"": 4, ""A"": 2, ""N"": 4, ""P"": 6, ""Z"": 1, ""O"": 2, ""R"": 3, "","": 4}"
We need a New Voting Rights Act that will guarantee no one is kept out of the ballot box.,89,19,1,15,16,3,1,0,0,0,,"{""NP"": {""DT#NNP#NNP#NNPS#NNP"": 1, ""NP#SBAR"": 1, ""DT#NN#NN"": 1}, ""WHNP"": {""WDT"": 1}, ""VP"": {""MD#VP"": 1, ""VBN#PRT#PP"": 1, ""VBZ#VP"": 1, ""VBP#SBAR"": 1}, ""SBAR"": {""WHNP#S"": 1, ""S"": 1}, ""PRT"": {""RP"": 1}}",0.109,0.792,0.099,"{""O"": 2, ""V"": 7, ""D"": 3, ""A"": 1, ""N"": 4, ""P"": 2, "","": 1}"
"The KKK is standing on American streets, in the light of day, in 2019with the comfort of knowing their president called some of them very fine people.",150,27,1,16,2,2,0,0,1,0,,"{""NP"": {""DT#NNP"": 1, ""NP#,#PP"": 1, ""DT"": 1, ""NP#SBAR"": 1, ""ADJP#NNS"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VBG#NP"": 1, ""VBD#S"": 1, ""VBG#PP"": 1, ""VBZ#VP"": 1}, ""S"": {""NP#ADJP"": 1}, ""ADJP"": {""RB#JJ"": 1, ""JJ#NP#,#PP"": 1}, ""SBAR"": {""S"": 1}}",0.0,0.845,0.155,"{""D"": 5, ""^"": 2, ""V"": 4, ""P"": 6, ""N"": 6, "","": 3, ""$"": 1, ""O"": 1, ""R"": 1, ""A"": 1}"
"One week ago, after releasing a plan that included mandatory buybacks of assault weapons, I visited a gun show in Arkansas. Heres how it went:",142,25,1,14,23,3,1,0,0,0,,"{""NP"": {""CD#NN"": 1, ""JJ#NNS"": 1, ""NN#NNS"": 1, ""NP#SBAR"": 2, ""DT#NN#NN"": 1, ""NP#:"": 1}, ""ADVP"": {""NP#RB"": 1}, ""WHNP"": {""WDT"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VBD#NP"": 1, ""VBG#NP"": 1, ""VBD#NP#PP"": 1, ""VBD"": 1}, ""S"": {""ADVP#,#PP#,#NP#VP#."": 1}, ""SBAR"": {""WHNP#S"": 1, ""WHADVP#S"": 1}, ""ROOT"": {""NP"": 1}, ""WHADVP"": {""WRB"": 1}}",0.32,0.634,0.046,"{""$"": 1, ""N"": 7, ""R"": 2, "","": 4, ""P"": 4, ""V"": 4, ""D"": 2, ""A"": 1, ""O"": 2, ""^"": 1, ""L"": 1}"
This decision is as baffling as it is alarming. Our planet is burning the least we can do as a party is debate what to do about it. ,132,28,2,19,21,2,0,0,1,0,,"{""NP"": {""DT#JJS"": 1, ""NP#SBAR"": 2}, ""ADJP"": {""RB#JJ"": 1, ""JJ"": 1}, ""VP"": {""VBZ#ADJP"": 1, ""VBZ#ADJP#SBAR"": 1, ""VB#PP"": 1, ""VBZ#NP"": 1, ""VB#SBAR"": 1, ""MD#VP"": 1, ""VBG#NP"": 1, ""VBZ#VP"": 1}, ""SBAR"": {""IN#S"": 2, ""WHNP#S"": 1, ""S"": 1}, ""WHNP"": {""WP"": 1}}",0.051,0.856,0.092,"{""D"": 4, ""N"": 4, ""V"": 8, ""R"": 1, ""A"": 3, ""P"": 4, ""O"": 4, "","": 2}"
"Climate change is our greatest existential threat. If you believe voters deserve to hear how every candidate will meet this challenge, add your name. ",150,24,1,12,18,2,0,0,1,0,,"{""NP"": {""NN#NN"": 1, ""PRP$#JJS#JJ#NN"": 1}, ""VP"": {""VBZ#NP"": 1, ""MD#VP"": 1, ""VB#SBAR"": 1, ""VBP#S"": 1, ""VBP#SBAR"": 1}, ""S"": {""SBAR#,#VP#."": 1}, ""WHADVP"": {""WRB"": 1}, ""SBAR"": {""WHADVP#S"": 1, ""S"": 1, ""IN#S"": 1}}",0.113,0.701,0.186,"{""N"": 7, ""V"": 7, ""D"": 4, ""A"": 2, "","": 3, ""P"": 2, ""O"": 1, ""R"": 1}"
We need to start treating the fight against climate change like our future depends on itbecause it does. Thats why we need a climate debate.,140,25,1,12,18,2,0,0,0,0,,"{""NP"": {""NN#NN"": 1, ""NP#SBAR"": 1, ""DT#NN#NN"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VBZ"": 1, ""VBZ#PP"": 1, ""VB#S#SBAR"": 1, ""VBP#S"": 1, ""VBP#NP"": 1, ""VB#SBAR"": 1}, ""S"": {""VP#."": 1}, ""SBAR"": {""S"": 1, ""IN#S"": 1, ""WHADVP#S"": 1}, ""WHADVP"": {""WRB"": 1}}",0.096,0.812,0.092,"{""O"": 3, ""V"": 6, ""P"": 5, ""D"": 3, ""N"": 6, "","": 2, ""L"": 1, ""R"": 1}"
"18 years after we entered Afghanistan, U.S. service members are still losing their lives. Our thoughts are with the families of Master Sgt. Louis DeLeon-Figueroa and Master Sgt. Jose Gonzalez. We must end these wars now.",220,36,1,18,17,2,0,0,0,0,,"{""NP"": {""CD#NNS"": 1, ""NNP#NN#NNS"": 1, ""PRP$#NNS"": 2, ""DT#NNS"": 2, ""NNP#NNP#NNP#NNP"": 2, ""NP#CC#NP"": 1}, ""VP"": {""VBD#NP"": 1, ""VBG#NP"": 1, ""VBP#ADVP#VP"": 1, ""VBP#PP"": 1, ""VB#NP#ADVP"": 1, ""MD#VP"": 1}, ""S"": {""SBAR#,#NP#VP#."": 1}, ""SBAR"": {""NP#IN#S"": 1}}",0.154,0.846,0.0,"{""$"": 1, ""N"": 8, ""P"": 3, ""O"": 2, ""V"": 6, ""^"": 9, "","": 6, ""R"": 2, ""D"": 4, ""&"": 1}"
This is how we rewrite our immigration laws in our own image:,61,12,1,9,16,3,1,0,0,0,,"{""NP"": {""DT"": 1, ""PRP$#NN#NNS"": 1, ""PRP$#JJ#NN"": 1}, ""WHADVP"": {""WRB"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VBZ#SBAR"": 1}, ""S"": {""NP#VP#:"": 1}, ""SBAR"": {""WHADVP#S"": 1}}",0.0,1.0,0.0,"{""O"": 2, ""V"": 2, ""R"": 1, ""D"": 2, ""N"": 3, ""P"": 1, ""A"": 1, "","": 1}"
"Three weeks have passed since the shooting in El Paso. A study found thats how long it takes for America to stop paying attentionbut we will not forget, we will not stop fighting until we end this epidemic.",206,38,1,21,14,2,0,0,0,0,,"{""NP"": {""CD#NNS"": 1, ""NP#SBAR"": 1}, ""VP"": {""VBN#PP"": 1, ""VBP#VP"": 1, ""VB"": 1, ""MD#RB#VP"": 2, ""VBG#NP"": 1, ""VB#S"": 2, ""VBZ#PP#S"": 1, ""VBD#NP#SBAR"": 1, ""VBG#SBAR"": 1}, ""S"": {""S#,#NP#VP#."": 1}, ""WHADVP"": {""WRB#RB"": 1}, ""SBAR"": {""S"": 1, ""WHADVP#S"": 1, ""IN#S"": 1}}",0.107,0.801,0.092,"{""$"": 1, ""N"": 4, ""V"": 12, ""P"": 6, ""D"": 3, ""^"": 3, "","": 3, ""L"": 1, ""R"": 3, ""A"": 1, ""O"": 4}"
"This guy knows exactly what hes doingripping apart an already divided country and inviting violence into our communities. Latinos here in El Paso, throughout America, feel like they have a target on their back.",210,34,1,17,1,3,1,0,0,0,,"{""NP"": {""DT#ADJP#NN"": 1, ""PRP$#NNS"": 1}, ""WHNP"": {""RB#WP"": 1}, ""PRT"": {""RP"": 1}, ""ADJP"": {""RB#VBN"": 1}, ""VP"": {""VBG#PRT#NP"": 1, ""VBG#NP#PP"": 1, ""VP#CC#VP"": 1, ""VBP#S"": 1, ""VBZ#SBAR"": 1, ""VBP#NP"": 1, ""VBP#SBAR"": 1}, ""PP"": {""ADVP#IN#NP"": 1}, ""S"": {""NP#,#PP#,#VP#."": 1}, ""SBAR"": {""WHNP#S"": 1, ""IN#S"": 1}}",0.105,0.771,0.123,"{""D"": 5, ""N"": 7, ""V"": 6, ""R"": 4, ""O"": 2, ""L"": 1, ""&"": 1, ""P"": 5, "","": 4, ""^"": 3}"
"When a president calls immigrants rapists and criminals,When a governor tells his supporters to take matters into their own hands against them,When our leaders spew hatred, ignorance, and bigotry,We cannot be surprised when it leads to violence.",245,40,7,19,23,2,0,0,1,0,,"{""WHADVP"": {""WRB"": 4}, ""NP"": {""JJ#NNS#CC#NNS"": 1, ""PRP$#NNS"": 2, ""PRP$#JJ#NNS"": 1, ""NN#,#NN#,#CC#NN"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VBZ#NP#S"": 1, ""VBD#NP"": 1, ""VBZ#NP#,#SBAR#,#SBAR"": 1, ""VBZ#PP"": 1, ""VB#ADJP#SBAR"": 1, ""MD#RB#VP"": 1}, ""S"": {""SBAR#,#NP#VP#."": 1}, ""SBAR"": {""WHADVP#S"": 4}, ""ADJP"": {""JJ"": 1}}",0.344,0.574,0.082,"{""R"": 4, ""D"": 5, ""N"": 12, ""V"": 8, ""&"": 2, "","": 6, ""P"": 4, ""A"": 2, ""O"": 3}"
"In Trump's America, your boss can fire you because of who you love or how you identify. We need to pass The Equality Act.",121,24,1,19,21,2,0,0,1,0,,"{""NP"": {""NNP#POS"": 1, ""NP#NNP"": 1, ""DT#NNP#NNP"": 1}, ""PP"": {""IN#SBAR"": 1}, ""WHNP"": {""WP"": 1}, ""WHPP"": {""IN#WHNP"": 1}, ""VP"": {""VBP"": 2, ""VB#NP#PP"": 1, ""MD#VP"": 1, ""VBP#S"": 1}, ""S"": {""PP#,#NP#VP#."": 1}, ""SBAR"": {""WHPP#S"": 1, ""WHADVP#S"": 1, ""SBAR#CC#SBAR"": 1}, ""WHADVP"": {""WRB"": 1}}",0.084,0.769,0.147,"{""P"": 4, ""Z"": 1, ""^"": 1, "","": 3, ""D"": 2, ""N"": 3, ""V"": 6, ""O"": 5, ""&"": 1, ""R"": 1}"
