fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Almost showtime in Denver!  ,28,4,1,1,0,3,1,0,1,1,,"{""NP"": {""RB#NN"": 1, ""NP#PP#."": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""R"": 1, ""N"": 1, ""P"": 1, ""^"": 1, "","": 1}"
SALT LAKE CITY TONIGHT!  ,25,4,1,3,22,3,1,0,1,1,,"{""NP"": {""NNP#NNP#NNP#NNP#."": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 2, ""N"": 2, "","": 1}"
"Tacoma, Washington tonight! ",28,3,1,0,22,3,1,0,1,0,,"{""INTJ"": {""UH"": 1}, ""FRAG"": {""INTJ#,#NP#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""^"": 2, "","": 2, ""N"": 1}"
FIRST SHOW IN PORTLAND TONIGHT!  ,33,5,1,2,1,3,0,0,1,1,,"{""NP"": {""NP#PP#."": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""A"": 1, ""N"": 1, ""P"": 1, ""^"": 1, ""R"": 1, "","": 1}"
VIP upgrade package selling out fast! Grab yours now  ,54,9,1,4,20,3,1,0,1,1,,"{""NP"": {""NNP#JJ#NN"": 1, ""NP#VP#."": 1, ""PRP$"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VBG#PRT#ADVP"": 1, ""VB#NP#ADVP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.649,0.351,"{""N"": 3, ""V"": 2, ""T"": 1, ""A"": 1, "","": 1, ""O"": 1, ""R"": 1}"
Get your tickets to the  featuring Tory Lanez $ex $ymbol Joyner Lucas &  NOW! ,78,14,3,8,22,3,1,3,1,2,,"{""NP"": {""PRP$#NNS"": 1, ""DT#NNP#NNP#NNP"": 1, ""$#CD"": 1, ""NP#ADJP"": 1, ""NNP#NNP#CC#NNP"": 1, ""NP#NP"": 2}, ""ADJP"": {""$#JJ"": 1}, ""VP"": {""VB#NP#PP"": 1}, ""S"": {""VP#."": 1}}",0.0,1.0,0.0,"{""V"": 1, ""D"": 2, ""N"": 2, ""P"": 1, ""^"": 6, ""&"": 1, ""R"": 1, "","": 1}"
,0,0,0,0,2,3,1,0,1,0,,{},0.0,0.0,0.0,{}
Starseed,8,1,1,0,16,1,1,0,0,0,,"{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 1}"
 ,1,0,1,0,0,3,1,0,1,1,,{},0.0,0.0,0.0,{}
YOU GOTTA FAST CAR  ,20,4,1,3,21,1,1,0,0,0,"🎼:1,💜:1","{""NP"": {""NNP#NNP#NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""O"": 1, ""V"": 1, ""A"": 1, ""N"": 1}"
Get your tickets to the  featuring Tory Lanez $ex $ymbol Joyner Lucas &  NOW! ,78,14,3,8,23,3,1,3,1,2,,"{""NP"": {""PRP$#NNS"": 1, ""DT#NNP#NNP#NNP"": 1, ""$#CD"": 1, ""NP#ADJP"": 1, ""NNP#NNP#CC#NNP"": 1, ""NP#NP"": 2}, ""ADJP"": {""$#JJ"": 1}, ""VP"": {""VB#NP#PP"": 1}, ""S"": {""VP#."": 1}}",0.0,1.0,0.0,"{""V"": 1, ""D"": 2, ""N"": 2, ""P"": 1, ""^"": 6, ""&"": 1, ""R"": 1, "","": 1}"
,0,0,0,0,4,3,1,0,1,0,,{},0.0,0.0,0.0,{}
,0,0,0,0,5,3,1,0,1,0,,{},0.0,0.0,0.0,{}
 available everywhere NOW!  ,28,3,1,1,23,3,0,0,1,1,🙏:1,"{""ADJP"": {""JJ"": 1}, ""VP"": {""VBG#ADVP"": 1}, ""FRAG"": {""ADJP#S#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""A"": 1, ""R"": 2, "","": 1}"
 ,1,0,1,0,23,3,0,0,1,1,,{},0.0,0.0,0.0,{}
#1 on the YouTube Music R&B Hotlist  ,37,7,1,4,22,3,1,1,1,1,,"{""NP"": {""##CD"": 1, ""DT#NNP#NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""$"": 1, ""P"": 1, ""D"": 1, ""^"": 4}"
Thank you for all the love on the new video!!!  ,48,10,1,8,17,1,1,0,1,1,,"{""NP"": {""PDT#DT#NN"": 1, ""DT#JJ#NN#NN"": 1}, ""VP"": {""VB#NP#PP"": 1}}",0.0,0.514,0.486,"{""V"": 1, ""O"": 1, ""P"": 2, ""D"": 3, ""N"": 2, ""A"": 1, "","": 1}"
 ,1,0,1,0,20,1,1,0,1,1,,{},0.0,0.0,0.0,{}
HAVE A WONDERUL SUMMER!!!   Drizzy ,35,5,1,2,16,1,1,1,1,1,🎬:1,"{""NP"": {""DT#NNP#NNP#NNP#NNP"": 1}}",0.0,1.0,0.0,"{""V"": 1, ""D"": 1, ""A"": 1, ""N"": 1, "","": 1, ""^"": 1}"
Somethings coming,17,2,1,0,13,1,1,0,0,0,,"{""NP"": {""VBG"": 1}}",0.0,1.0,0.0,"{""O"": 1, ""V"": 1}"
 THE ALBUM IS AVAILABLE EVERYWHERE NOW!,39,6,2,3,3,3,0,0,1,1,"🔮:1,🙏:1","{""NP"": {""DT#NNP"": 1}, ""VP"": {""VBZ#NP#ADVP"": 1}}",0.0,1.0,0.0,"{""D"": 1, ""N"": 1, ""V"": 1, ""A"": 1, ""R"": 2, "","": 1}"
VIP upgrade package selling out fast! Grab yours now  ,54,9,1,4,18,4,1,0,1,1,,"{""NP"": {""NNP#JJ#NN"": 1, ""NP#VP#."": 1, ""PRP$"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VBG#PRT#ADVP"": 1, ""VB#NP#ADVP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.649,0.351,"{""N"": 3, ""V"": 2, ""T"": 1, ""A"": 1, "","": 1, ""O"": 1, ""R"": 1}"
,0,0,0,0,18,4,1,0,1,0,,{},0.0,0.0,0.0,{}
What's some of y'all favorite songs from the album?   ,54,9,1,4,3,4,0,0,1,1,,"{""WHNP"": {""WP"": 1}, ""NP"": {""DT"": 1, ""ADJP#JJ#NNS"": 1}, ""ADJP"": {""RB#DT"": 1}, ""SQ"": {""VBZ#NP"": 1}, ""SBARQ"": {""WHNP#SQ#."": 1}, ""ROOT"": {""SBARQ"": 1}}",0.0,0.727,0.273,"{""L"": 1, ""D"": 3, ""P"": 2, ""A"": 1, ""N"": 2, "","": 1}"
,0,0,0,0,18,4,1,0,1,0,,{},0.0,0.0,0.0,{}
  ,2,0,1,0,18,4,0,0,1,1,🔮:1,{},0.0,0.0,0.0,{}
Get your VIP upgrade package now!  ,35,6,1,4,18,4,1,0,1,1,,"{""NP"": {""PRP$#NNP#NN#NN"": 1}, ""VP"": {""VB#NP#ADVP"": 1}, ""S"": {""VP#."": 1}}",0.0,0.536,0.464,"{""V"": 1, ""D"": 1, ""N"": 3, ""R"": 1, "","": 1}"
 available now! ,16,2,1,1,2,4,0,0,1,1,,"{""ADJP"": {""JJ#RB"": 1}, ""FRAG"": {""ADJP#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""A"": 1, ""R"": 1, "","": 1}"
THANKFUL ,9,1,1,0,23,4,0,0,1,0,🙏:3,"{""ROOT"": {""NP"": 1}}",0.0,0.0,1.0,"{""A"": 1}"
