fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Life can be pretty ruff out here on the campaign trail. ,56,11,1,8,16,4,1,0,0,1,,"{""NP"": {""DT#NN#NN"": 1}, ""PP"": {""IN#ADVP"": 1}, ""ADJP"": {""RB#JJ#PP"": 1}, ""VP"": {""VB#ADJP#PP"": 1, ""MD#VP"": 1}}",0.0,0.758,0.242,"{""N"": 3, ""V"": 2, ""R"": 2, ""A"": 1, ""P"": 2, ""D"": 1, "","": 1}"
"The right to vote is still so new for womenand even newer for women of color, whose right wasn't fully enshrined until the passage of the 1965 VRA. This , I honor the progress we've made. But I also recommit to being an ally in the ongoing fight for progress.",259,50,1,28,14,4,0,0,0,1,,"{""VP"": {""VB"": 1, ""ADVP#VBN#PP"": 1, ""VBD#RB#VP"": 1, ""VBD#NP"": 1, ""VBZ#ADVP#ADJP#SBAR"": 1, ""VBN"": 1, ""VBP#VP"": 1, ""VBG#NP"": 1, ""VBP#PP"": 1}, ""S"": {""CC#NP#ADVP#VP#."": 1}, ""NP"": {""DT#NN#S"": 1, ""RB#JJR"": 1, ""JJ"": 1, ""DT#CD#NN"": 1, ""NP#,#SBAR"": 1, ""DT"": 1, ""NP#SBAR"": 1, ""NP#,#S#."": 1, ""DT#JJ#NN"": 1}, ""ADJP"": {""RB#JJ"": 1}, ""WHNP"": {""WP$#NP"": 1}, ""PP"": {""TO#S"": 1}, ""SBAR"": {""WHNP#S"": 1, ""IN#S"": 1, ""S"": 1}, ""ROOT"": {""NP"": 1}}",0.063,0.791,0.147,"{""D"": 6, ""A"": 5, ""P"": 9, ""V"": 7, ""R"": 5, ""O"": 4, ""N"": 8, "","": 5, ""L"": 2, ""$"": 1, ""^"": 1, ""&"": 1}"
Our country has a painful history of mistreating Native Americans. I applaud the Cherokee Nation for taking a step toward justice by appointing its long-promised delegate to the House. Kimberly Teehee is an exceptional public servant & wed be lucky to have her voice in Congress.,279,46,1,22,13,1,0,0,1,0,,"{""NP"": {""DT#JJ#NN"": 1, ""JJ#NNS"": 1, ""DT#NNP#NN"": 1, ""PRP$#JJ#NN"": 1, ""DT#NNP"": 1, ""DT#JJ#JJ#NN"": 1, ""NP#CC#S"": 1}, ""VP"": {""VBG#NP"": 1, ""VBZ#NP"": 2, ""VBG#NP#PP"": 2, ""VBP#NP#PP"": 1, ""VB#ADJP"": 1, ""VBG#VP"": 1}, ""PP"": {""IN#S"": 3}, ""ADJP"": {""JJ#S"": 1}}",0.058,0.758,0.184,"{""D"": 7, ""N"": 10, ""V"": 9, ""A"": 6, ""P"": 7, "","": 3, ""O"": 1, ""^"": 4, ""L"": 1, ""&"": 1}"
"As president, I will make commonsense changes to our gun laws like requiring a license to purchase a gun, passing universal background checks, banning assault weapons & closing loopholes that allow domestic abusers and people on terrorist watch lists to get their hands on a gun.",279,46,1,22,0,4,0,0,0,0,,"{""NP"": {""JJ#NNS"": 1, ""PRP$#NN#NNS"": 1, ""DT#NN#S"": 1, ""JJ#NN#NNS"": 2, ""NN#NNS"": 1, ""VBG#NNS"": 1, ""JJ#NNS#CC#NNS"": 1, ""PRP$#NNS"": 1, ""NP#SBAR"": 1, ""NP#CC#NP"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VBG#NP"": 3, ""VBP#NP#PP#S"": 1, ""VP#,#VP#,#VP#PP"": 1, ""VB#NP#PP#PP"": 1, ""MD#VP"": 1}, ""S"": {""PP#,#NP#VP#."": 1}, ""WHNP"": {""WDT"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.379,0.546,0.075,"{""P"": 8, ""N"": 16, "","": 4, ""O"": 1, ""V"": 10, ""A"": 4, ""D"": 5, ""&"": 2}"
"Its not enough to simply decriminalize marijuanawe must repair the damage done to those communities that have been most harmed by the failed War on Drugs & we must expunge the records of those who have served their time. The end we seek is not just legalization, its justice.",275,49,1,30,18,4,0,0,0,0,,"{""ADJP"": {""RB#JJ"": 1, ""RB#RB#PP"": 1, ""RBS#VBN"": 1, ""ADJP#PP"": 1}, ""PP"": {""TO#ADJP"": 1}, ""NP"": {""PRP$#ADJP#NN"": 1, ""DT#NNS"": 2, ""DT#VBN#NN"": 1, ""NP#CC#NP"": 1, ""NP#SBAR"": 3, ""NP#VP"": 1, ""DT"": 1, ""NP#,#NP"": 1}, ""WHNP"": {""WDT"": 1, ""WP"": 1}, ""VP"": {""VBN#ADJP"": 1, ""VBP#VP"": 2, ""VBN#PP"": 1, ""VBN#NP"": 1, ""MD#VP"": 2, ""VB#SBAR"": 1, ""VBP"": 1, ""VBZ#RB#ADVP#NP"": 1}, ""SBAR"": {""WHNP#S"": 2, ""S"": 2}}",0.229,0.714,0.056,"{""L"": 2, ""R"": 6, ""P"": 6, ""V"": 13, ""^"": 1, ""D"": 6, ""N"": 9, ""A"": 1, ""&"": 1, ""O"": 4, "","": 3}"
"To make justice real for everyone, we must end the epidemic of gun violenceand I have the most sweeping gun violence prevention proposal ever put forth by a presidential candidate to do it: ",190,33,1,22,15,4,0,0,1,0,,"{""NP"": {""NN#JJ"": 1, ""DT#ADJP#NN#NN#NN#NN"": 1, ""DT#JJ#NN"": 1, ""NP#VP"": 1}, ""VP"": {""VB#NP#PP"": 1, ""ADVP#VBN#ADVP#PP#S"": 1, ""VBP#NP"": 1, ""VBD#SBAR"": 1, ""VB#SBAR"": 1, ""MD#VP"": 1}, ""S"": {""S#,#NP#VP#:"": 1}, ""ADJP"": {""RBS#JJ"": 1}, ""SBAR"": {""S"": 2}}",0.232,0.682,0.086,"{""P"": 6, ""V"": 7, ""N"": 9, ""A"": 2, "","": 2, ""O"": 3, ""D"": 3, ""R"": 3}"
"If you need a license to drive a car, you should need a license to buy and possess a gun. Some states are doing this alreadyand it saves lives.",143,29,1,19,17,1,0,0,0,0,,"{""NP"": {""DT#NN#S"": 1, ""DT#NNS"": 1, ""DT"": 1}, ""VP"": {""VBP#S"": 1, ""VB#CC#VB#NP"": 1, ""MD#VP"": 1, ""VBZ#NP"": 1, ""VBD#SBAR"": 1, ""VBG#SBAR"": 1, ""VBP#VP"": 1}, ""S"": {""SBAR#,#NP#VP#."": 1}, ""SBAR"": {""IN#S"": 1, ""S"": 2}}",0.091,0.909,0.0,"{""P"": 3, ""O"": 3, ""V"": 9, ""D"": 6, ""N"": 7, "","": 3, ""&"": 1}"
Trump may have won these states last electionbut this time I know it will be different.,87,16,1,11,15,2,1,0,0,0,,"{""NP"": {""DT#NNS"": 1, ""JJ#NN"": 1, ""NP#NP"": 1, ""NP#SBAR"": 1}, ""ADJP"": {""JJ"": 1}, ""VP"": {""VB#ADJP"": 1, ""MD#VP"": 2, ""VBP#SBAR"": 1, ""VBN#NP#NP"": 1, ""VB#VP"": 1}, ""SBAR"": {""S"": 2}}",0.0,0.791,0.209,"{""^"": 2, ""V"": 5, ""D"": 2, ""N"": 3, ""A"": 2, ""O"": 2, "","": 1}"
Some people think that speaking about hope and faith is a losing strategyI think its the only way we've ever won. ,114,21,1,12,21,11,1,0,0,1,,"{""NP"": {""DT#NNS"": 1, ""NN#CC#NN"": 1, ""DT#JJ#NN"": 1, ""DT#RB"": 1, ""PRP$#ADJP#NN"": 1, ""NP#SBAR"": 2}, ""VP"": {""VBG#PP"": 1, ""VBN"": 1, ""VBP#ADVP#VP"": 1, ""VBP#NP"": 1, ""VBZ#NP"": 1, ""VBP#SBAR"": 1}, ""S"": {""S#VP"": 1}, ""ADJP"": {""NP"": 1}, ""SBAR"": {""S"": 2, ""IN#S"": 1}}",0.093,0.571,0.336,"{""D"": 3, ""N"": 4, ""V"": 6, ""O"": 1, ""P"": 1, ""&"": 1, ""A"": 2, ""L"": 2, ""R"": 1, "","": 1}"
"Our campaign doesnt take a dime from corporate PACs, federal lobbyists, and fossil fuel or pharma execs. We rely on grassroots donations to power our movementcan you chip in to help us reach our end-of-month fundraising goal? ",226,37,1,20,19,4,0,0,1,0,,"{""NP"": {""PRP$#NN#NN"": 1, ""JJ#NNS"": 3, ""JJ#NN#CC#NN#NNS"": 1, ""NP#,#NP#,#CC#NP"": 1, ""PRP$#JJ#NN#NN"": 1, ""NP#SBAR"": 1}, ""VP"": {""VBP#NP#PP"": 1, ""VB#S"": 1, ""VBZ#PRT#S"": 1, ""VBP#PP#NP"": 1}, ""PRT"": {""RP"": 1}, ""SBAR"": {""S"": 1}}",0.0,0.899,0.101,"{""D"": 4, ""N"": 12, ""V"": 7, ""P"": 5, ""A"": 3, "","": 4, ""&"": 2, ""O"": 3, ""G"": 1}"
