fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
"This year continues to be equally surreal and amazing. Watch out for this one, me and Lisa have ",96,18,1,13,19,6,0,0,1,0,,"{""NP"": {""PRP#CC#NNP"": 1}, ""ADJP"": {""RB#JJ#CC#JJ"": 1}, ""VP"": {""VB#ADJP"": 1, ""VBZ#S"": 1, ""VB#PRT#PP"": 1, ""VBP"": 1}, ""S"": {""S#,#NP#VP"": 1}, ""PRT"": {""RP"": 1}}",0.0,0.817,0.183,"{""D"": 2, ""N"": 1, ""V"": 4, ""P"": 2, ""R"": 1, ""A"": 2, ""&"": 2, "","": 2, ""T"": 1, ""$"": 1, ""O"": 1, ""^"": 1}"
Just posted a photo ,20,4,1,2,3,6,0,0,1,0,,"{""VP"": {""VBD"": 1}, ""SINV"": {""ADVP#VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,1.0,0.0,"{""R"": 1, ""V"": 1, ""D"": 1, ""N"": 1}"
"First time Benny Blanco has seen an episode, here's his review ",63,11,1,5,2,6,0,1,1,0,,"{""NP"": {""NNP#NN#NNP#NNP"": 1}, ""VP"": {""VBN#NP"": 1, ""VBZ#VP"": 1, ""VBZ#NP"": 1, ""VP#,#ADVP#VP"": 1}}",0.0,1.0,0.0,"{""A"": 1, ""N"": 3, ""^"": 2, ""V"": 2, ""D"": 2, "","": 1, ""L"": 1}"
Throwback to the time I was a Lannister ,40,8,1,6,2,6,0,0,1,0,,"{""NP"": {""NP#SBAR"": 1}, ""VP"": {""VBD#NP"": 1, ""VB#PP"": 1}, ""SBAR"": {""S"": 1}}",0.0,1.0,0.0,"{""N"": 3, ""P"": 1, ""D"": 2, ""O"": 1, ""V"": 1}"
"Sunday = cat picture. Also, watch Game of Thrones tonight x ",60,11,1,5,15,6,0,0,1,0,,"{""NP"": {""NN#NN"": 1, ""RB"": 1, ""SYM"": 1, ""NP#NP"": 1}, ""VP"": {""SYM#NP"": 1, ""VBP#NP"": 1}, ""ROOT"": {""SINV"": 1}, ""SINV"": {""ADVP#,#VP#NP"": 1}}",0.0,1.0,0.0,"{""^"": 2, "","": 3, ""N"": 3, ""R"": 2, ""V"": 1, ""P"": 1, ""G"": 1}"
Mohegan sun night #2 ! ,23,5,1,3,2,6,0,0,1,0,,"{""NP"": {""NN#NN#NN"": 1, ""NP#QP#."": 1}, ""QP"": {""##CD"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 2, ""N"": 1, ""$"": 1, "","": 1}"
Filming something cool with jamie lawson and jamesblunt today ,62,9,1,3,22,6,0,1,1,0,,"{""NP"": {""NN#NN"": 1, ""JJ#NN#CC#NN"": 1}, ""VP"": {""VBG#NP#PP#NP"": 1}}",0.0,0.777,0.223,"{""V"": 1, ""N"": 3, ""A"": 1, ""P"": 1, ""^"": 2, ""&"": 1}"
Ur a long way from howum now seabiscuit buh ,44,9,1,7,18,6,0,0,1,0,,"{""NP"": {""DT#JJ#NN"": 1}, ""VP"": {""VB#NP#ADVP#VP"": 1}}",0.0,1.0,0.0,"{""L"": 1, ""D"": 1, ""A"": 1, ""N"": 1, ""P"": 1, ""^"": 2, ""R"": 1, ""&"": 1}"
Philly night #2 ! ,18,4,1,2,2,6,0,0,1,0,,"{""NP"": {""JJ#NN"": 1, ""NP#QP#."": 1}, ""QP"": {""##CD"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 1, ""N"": 1, ""$"": 1, "","": 1}"
Philly night #1 ! ,18,4,1,2,2,6,0,0,1,0,,"{""NP"": {""JJ#NN"": 1, ""NP#QP#."": 1}, ""QP"": {""##CD"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 1, ""N"": 1, ""$"": 1, "","": 1}"
"More stadium dates going up tomorrow in Europe too, as pretty much all of that has gone too. ",93,18,1,12,15,6,0,0,1,0,,"{""NP"": {""JJR#NN"": 1, ""NP#ADVP"": 1, ""NP#,#ADVP"": 1}, ""PRT"": {""RP"": 1}, ""ADVP"": {""RB#RB#RB#SBAR"": 1}, ""WHNP"": {""WDT"": 1, ""DT#WHPP"": 1}, ""WHPP"": {""IN#WHNP"": 1}, ""VP"": {""VBN#ADVP"": 1, ""VBZ#VP"": 1, ""VBG#PRT#NP#PP"": 1, ""VBZ#S"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.0,0.842,0.158,"{""A"": 2, ""N"": 3, ""V"": 3, ""T"": 1, ""P"": 3, ""^"": 1, ""R"": 3, "","": 2, ""D"": 1, ""O"": 1}"
"More uk stadiums announced, this is bonkers x ",46,8,1,5,14,6,0,0,1,0,,"{""NP"": {""JJR#NN#NNS"": 1, ""DT"": 1, ""SYM"": 1, ""NP#NP"": 1}, ""VP"": {""VBZ#NP"": 1, ""VBD#,#SBAR"": 1}, ""SBAR"": {""S"": 1}}",0.0,1.0,0.0,"{""A"": 2, ""N"": 2, ""V"": 2, "","": 1, ""O"": 1, ""E"": 1}"
Toronto night #2 ! ,19,4,1,2,2,6,0,0,1,0,,"{""NP"": {""NNP#NN"": 1, ""NP#QP#."": 1}, ""QP"": {""##CD"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 1, ""N"": 1, ""$"": 1, "","": 1}"
