fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Yes I look ridiculous but it was cold !! But in the cold of  Im showing you how to make the most amazing Salmon Scrambled Eggs:  and if you missed  catch it on the Nat Geo Channel app Gx,186,39,1,30,19,2,1,1,1,2,,"{""INTJ"": {""UH"": 1}, ""NP"": {""JJ#NNS"": 1, ""NNP#NNP#NNP"": 1, ""DT#ADJP#NP"": 1, ""NP#FRAG"": 1, ""DT#NNP#NNP#NNP"": 1}, ""ADJP"": {""JJ"": 1, ""RBS#JJ"": 1}, ""VP"": {""VBP#ADJP"": 1, ""VBD"": 1, ""VBG#NP#SBAR"": 1, ""VBD#NP"": 1, ""VBP#NP#PP"": 1}, ""S"": {""INTJ#NP#VP"": 1, ""S#CC#S"": 1}, ""PP"": {""IN#S"": 1}, ""WHADVP"": {""WRB"": 1}, ""SBAR"": {""WHADVP#S"": 1, ""IN#S"": 1, ""SBAR#:#CC#SBAR"": 1}, ""FRAG"": {""CC#PP"": 1}, ""SINV"": {""S#VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.098,0.729,0.173,"{""!"": 1, ""O"": 5, ""V"": 6, ""A"": 5, ""&"": 3, "","": 2, ""P"": 5, ""D"": 3, ""L"": 1, ""R"": 2, ""N"": 3, ""^"": 4}"
You cant beat a bank holiday breakfast !! Bread Street Kitchen,62,11,1,6,9,2,1,1,0,0,,"{""ADVP"": {""PRP#RB"": 1}, ""NP"": {""DT#NN#NN#NN"": 1, ""CD#NNP#NNP#NN"": 1}, ""VP"": {""VBD#NP"": 1}, ""SINV"": {""ADVP#VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.24,0.76,0.0,"{""O"": 1, ""V"": 2, ""D"": 1, ""N"": 6, "","": 1}"
"America, it's time to almost time to see picturesque  ! See you at the top of the hour on  on Nat Geo Channel",109,23,1,19,1,4,1,1,0,2,,"{""NP"": {""PRP#POS"": 1, ""NP#NN#S"": 1, ""NP#,#NP#."": 1, ""NNP#NNP#NNP"": 1}, ""VP"": {""ADVP#VB#S"": 1, ""VB#NP#PP"": 1}, ""ROOT"": {""NP"": 1}, ""PP"": {""IN#PP"": 1}}",0.0,0.81,0.19,"{""^"": 4, "","": 2, ""L"": 1, ""N"": 4, ""P"": 6, ""R"": 1, ""V"": 2, ""A"": 1, ""O"": 1, ""D"": 2}"
In just a few hours on Nat Geo Channel at 10/9c I'm heading to  !! And here's what you can cook up with some delicious King ....similar to what I am cooking up tonight,167,34,1,25,22,4,1,1,0,2,,"{""QP"": {""RB#DT#JJ"": 1}, ""NP"": {""QP#NNS"": 1, ""NNP#NNP#NNP"": 1, ""CD"": 1, ""RB"": 2, ""DT#NNP#NNP"": 1, ""NP#:#ADJP"": 1}, ""PP"": {""TO#SBAR"": 1}, ""WHNP"": {""WP"": 2}, ""PRT"": {""RP"": 2}, ""VP"": {""VBG#PRT#NP"": 1, ""VBP#VP"": 2, ""VB#PRT#PP"": 1, ""MD#VP"": 1, ""VBZ#SBAR"": 1, ""VB#SBAR"": 1, ""VBG#S"": 1}, ""S"": {""PP#NP#VP"": 1}, ""SBAR"": {""WHNP#S"": 2, ""CC#S"": 1}, ""ADJP"": {""JJ#PP"": 1}}",0.0,0.879,0.121,"{""P"": 6, ""R"": 2, ""D"": 2, ""A"": 3, ""N"": 1, ""^"": 4, ""$"": 1, ""L"": 2, ""V"": 5, "","": 2, ""&"": 1, ""O"": 4, ""T"": 2}"
"Tonight it's the Season Finale of  on Nat Geo Channel !!! And it may be hot in most of the US, so try and cool down with me :) See you at 10/9c !",145,34,1,29,15,4,1,1,0,1,,"{""NP"": {""DT#NN#NN"": 1, ""NNP#NNP#NNP#NNP"": 1, ""JJS"": 1, ""DT#NNP"": 1, ""CD"": 1}, ""PP"": {""IN#PP"": 1}, ""VP"": {""VBZ#NP"": 1, ""VB"": 1, ""VB#NP#PP"": 1, ""VBZ#VP"": 1, ""VB#PRT#SBAR"": 1, ""VP#CC#VP"": 1, ""VB#ADJP#PP#,#S"": 1, ""MD#VP"": 1}, ""S"": {""ADVP#NP#VP"": 1, ""RB#VP"": 1, ""S#CC#S#."": 1}, ""ADJP"": {""JJ"": 1}, ""PRT"": {""RP"": 1}, ""SBAR"": {""IN#S"": 1}}",0.0,0.822,0.178,"{""N"": 3, ""L"": 1, ""D"": 2, ""P"": 7, ""^"": 5, "","": 3, ""&"": 2, ""O"": 3, ""V"": 4, ""A"": 3, ""R"": 1, ""E"": 1}"
Wow ! What a burger.... make it yourself this Bank Holiday weekend with the recipe here:  Gx,92,17,1,11,10,2,1,0,1,0,,"{""INTJ"": {""UH#."": 1}, ""ROOT"": {""INTJ"": 1, ""SINV"": 1}, ""WHNP"": {""WP"": 1}, ""NP"": {""SYM"": 1, ""DT#NNP#NNP#NN"": 1, ""NP#ADVP"": 1, ""NP#:#NP"": 1}, ""VP"": {""VBZ"": 1, ""VBP#NP"": 1}, ""S"": {""SBAR#:#."": 1}, ""SBAR"": {""WHNP#S"": 1}, ""SINV"": {""VP#NP#NP#PP"": 1}}",0.0,0.657,0.343,"{""!"": 1, "","": 3, ""O"": 3, ""D"": 3, ""N"": 5, ""V"": 1, ""P"": 1, ""R"": 1, ""^"": 1}"
This Sunday on the Season Finale of  on Nat Geo Channel I'm freezing my hair off in  ! That doesn't mean I can't cook with some amazing ingredients...Here's a look,163,30,1,21,16,4,1,1,0,2,,"{""NP"": {""DT"": 2, ""DT#NN#NN"": 1, ""NNP#NNP#NNP"": 1, ""DT#JJ#NNS"": 1}, ""PP"": {""IN#PP"": 1, ""IN"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VBN#NP#PRT#PP"": 1, ""VBP#VP"": 1, ""VB#PP"": 1, ""MD#RB#VP"": 1, ""VB#SBAR"": 1, ""VBZ#RB#VP"": 1, ""VBZ#NP"": 1}, ""S"": {""NP#NP#PP#NP#VP#."": 1, ""ADVP#VP"": 1, ""S#:#S"": 1}, ""SBAR"": {""S"": 1}}",0.046,0.82,0.134,"{""D"": 5, ""^"": 4, ""P"": 6, ""N"": 5, ""L"": 2, ""V"": 5, "","": 2, ""O"": 2, ""A"": 1}"
Congratulations to everyone collecting their  today! Enjoy a slice on me..... gordonramsaystreetpizza Gx,104,13,1,4,6,2,1,1,0,1,,"{""NP"": {""NP#VP#."": 1, ""SYM"": 1}, ""VP"": {""VBG#NP"": 1, ""VBP#PP"": 1}, ""ROOT"": {""NP"": 2}, ""S"": {""ADVP#NP#VP#:#."": 1}}",0.0,0.575,0.425,"{""N"": 4, ""P"": 2, ""V"": 2, ""D"": 2, "","": 2, ""O"": 1, ""G"": 1, ""^"": 1}"
Me ? Smile ? Not tonight with Daphne Oz on  at the top of the hour !!,69,17,1,14,23,2,1,1,0,1,,"{""NP"": {""DT#NN#NN"": 1}, ""FRAG"": {""NP#."": 1, ""RB#ADJP"": 1}, ""ROOT"": {""FRAG"": 2, ""SQ"": 1}, ""VP"": {""VB"": 1}, ""SQ"": {""VP#."": 1}, ""PP"": {""IN#PP"": 1}, ""ADJP"": {""JJ#PP#PP"": 1}}",0.0,0.713,0.287,"{""O"": 1, "","": 3, ""N"": 3, ""R"": 2, ""P"": 4, ""^"": 2, ""D"": 2}"
Yes I kiss my stove with this mouth  find out why tonight on an all new MasterChef at 8/7c with guest judge (and now new mom) Daphne Oz !!,138,29,1,22,16,2,1,2,0,0,😉:1,"{""NP"": {""RB"": 1, ""DT#JJ#NN"": 1, ""CD"": 1, ""DT#NAC#NN"": 1, ""JJ#NN"": 1, ""NP#PRN"": 1}, ""VP"": {""VBD#NP#PP"": 1, ""VBZ"": 1, ""VBP#PRT#SBAR"": 1}, ""S"": {""ADVP#NP#VP"": 1}, ""PRT"": {""RP"": 1}, ""WHADVP"": {""WRB"": 1}, ""NAC"": {""NP#PP#PP"": 1}, ""PRN"": {""-LRB-#CC#ADVP#NP#-RRB-"": 1}, ""SBAR"": {""WHADVP#S"": 1}, ""SINV"": {""S#VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.81,0.19,"{""!"": 1, ""O"": 1, ""V"": 2, ""D"": 4, ""N"": 5, ""P"": 4, ""T"": 1, ""R"": 3, ""A"": 2, ""^"": 4, "","": 3, ""&"": 1}"
