fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Adele's grandfather built her family's home after he returned to St. John from World War IIand she won't give up on it. Neither can we.,135,25,1,15,16,4,0,0,1,0,,"{""NP"": {""NNP#POS"": 1, ""NP#NN"": 2, ""PRP$#NN#POS"": 1, ""NNP#NNP#NNP"": 1, ""NP#SBAR"": 1, ""DT"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VB#PRT#PP"": 1, ""MD#RB#VP"": 1, ""VBD#PP#PP"": 1, ""VBD#NP#SBAR"": 1, ""NP"": 1, ""MD#VP"": 1}, ""SBAR"": {""S"": 1, ""IN#S"": 1}}",0.14,0.86,0.0,"{""Z"": 1, ""N"": 3, ""V"": 5, ""D"": 2, ""P"": 4, ""O"": 4, ""^"": 4, ""L"": 1, ""T"": 1, "","": 2}"
"In the last 24 hours, the administration has announced:- They will seek the power to detain migrant children indefinitely- They wont provide flu shots to families in detentionSix children have already died, three in part from the flu.This is a recipe for more tragedy.",268,48,9,30,18,4,0,0,0,0,,"{""NP"": {""DT#JJ#CD#NNS"": 1, ""JJ#NNS"": 1, ""DT#NN#S"": 1, ""NN#NNS"": 2, ""CD"": 1, ""DT#NNS"": 1, ""JJR#NN"": 1}, ""VP"": {""VBN"": 2, ""VBZ#VP"": 1, ""VB#NP#ADVP"": 1, ""MD#VP"": 1, ""VB#NP#PP"": 1, ""VBP#ADVP#VP"": 1, ""VBP#SBAR"": 1, ""VBZ#NP"": 1}, ""S"": {""PP#,#NP#VP"": 1, ""S#VP"": 1, ""S#:#:#S#:#S#,#S#."": 1}, ""SBAR"": {""S"": 1}}",0.212,0.746,0.042,"{""P"": 7, ""D"": 5, ""A"": 3, ""$"": 2, ""N"": 11, "","": 6, ""V"": 10, ""O"": 3, ""R"": 2, ""^"": 2}"
"|L I Z Z O|t took a DNA test, turns out...""",43,11,1,8,13,4,0,1,0,0,,"{""NP"": {""NNP#NNP#PRP"": 1, ""NNP#NNP#NNP#NNP#NNP"": 1, ""DT#NN#NN"": 1}, ""VP"": {""VBD#NP"": 1, ""VBZ#PRT"": 1}, ""S"": {""NP#PRN#VP#."": 1}, ""PRN"": {""S#,"": 1}, ""PRT"": {""RP"": 1}}",0.0,1.0,0.0,"{""N"": 3, ""O"": 1, ""^"": 3, ""V"": 2, ""D"": 1, "","": 3, ""T"": 1}"
The debunked study youre referring to was based on 21 undecided voters. For context thats about half the number of people associated with your campaign who have been indicted.,175,29,1,14,19,4,0,0,1,0,,"{""NP"": {""DT#JJ#NN#NN"": 1, ""NP#VP"": 2, ""CD#JJ#NNS"": 1, ""QP"": 1, ""NP#SBAR"": 1}, ""PP"": {""TO"": 1}, ""VP"": {""VBG#PP"": 1, ""VBN#PP"": 2, ""VBD#VP"": 1, ""VBZ#NP"": 1, ""VBN"": 1, ""VBN#VP"": 1, ""VBP#VP"": 1}, ""ROOT"": {""SINV"": 1}, ""QP"": {""RB#PDT"": 1}, ""WHNP"": {""WP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""SINV"": {""PP#VP#NP#."": 1}}",0.063,0.894,0.043,"{""D"": 3, ""A"": 2, ""N"": 6, ""L"": 2, ""V"": 7, ""P"": 6, ""$"": 1, "","": 2, ""O"": 2}"
What democracy and peaceful protest look like: 1.7 million people marching yesterday in Hong Kong's Victoria Park. ,115,17,1,6,17,4,1,0,0,0,,"{""NP"": {""WP#NN"": 1, ""JJ#NN"": 1, ""NP#CC#NP"": 1, ""QP#NNS"": 1, ""NNP#NNP#POS"": 1, ""NP#NNP#NNP"": 1}, ""QP"": {""CD#CD"": 1}, ""PP"": {""IN#:#S"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VBP#PP"": 1}}",0.092,0.645,0.263,"{""O"": 1, ""N"": 4, ""&"": 1, ""A"": 1, ""V"": 2, ""P"": 2, "","": 2, ""$"": 2, ""^"": 3, ""Z"": 1}"
"Happy birthday, Bill Clinton! You can sign his card here: ",58,10,1,6,16,4,1,1,1,0,,"{""NP"": {""JJ#NN"": 1, ""NP#,#NP#."": 1}, ""ROOT"": {""NP"": 1}, ""VP"": {""VB#NP#ADVP"": 1, ""MD#VP"": 1}, ""S"": {""NP#VP#:"": 1}}",0.0,0.693,0.307,"{""A"": 1, ""N"": 2, "","": 3, ""^"": 2, ""O"": 1, ""V"": 2, ""D"": 1, ""R"": 1}"
"Asked why she persisted in the fight for womens suffrage, ratified August 18, 1920, Alice Paul said: When you put your hand to the plow, you cant put it down until you get to the end of the row. With thanks to our forebears for all they've fought for, the work continues.",271,52,5,35,14,4,1,0,0,0,,"{""WHADVP"": {""WRB"": 2}, ""NP"": {""JJ#NN"": 1, ""NNP#CD#,#CD"": 1, ""NP#PP#,#VP"": 1, ""PRP$#NNS"": 1, ""DT"": 1}, ""PP"": {""IN"": 1}, ""VP"": {""VBN#NP"": 1, ""VBD#PP"": 1, ""VBN#SBAR"": 1, ""VBD"": 1, ""VBD#NP#PP"": 1, ""VBP#PP"": 1, ""VB#NP#PRT#SBAR"": 1, ""VBZ#S"": 1, ""VBN#PP"": 1, ""VBP#VP"": 1, ""VBZ"": 1}, ""S"": {""S#,#NP#VP"": 1, ""SBAR#,#NP#VP"": 1, ""S#:#S#."": 1, ""ADVP#NP#VP"": 1, ""SBAR#,#NP#VP#."": 1}, ""SBAR"": {""WHADVP#S"": 2, ""IN#S"": 2}, ""PRT"": {""RP"": 1}, ""ADVP"": {""NNS#PP#PP"": 1}}",0.082,0.789,0.129,"{""V"": 10, ""R"": 2, ""O"": 5, ""P"": 10, ""D"": 8, ""N"": 9, ""A"": 1, "","": 8, ""^"": 3, ""$"": 2, ""T"": 1, ""L"": 1}"
Russias interference in our elections will continue to threaten our democracy until Republicans join Democrats to stop it. Michael Bennets new book shines a spotlight on this critical issue. Maybe we can all send a copy to Leader McConnell? ,241,39,6,21,16,4,0,2,1,0,,"{""NP"": {""JJ#NN"": 1, ""PRP$#NNS"": 1, ""NNPS"": 2, ""NNP#NNPS#JJ#NN"": 1, ""DT#JJ#NN"": 1}, ""VP"": {""VBP#S"": 1, ""VB#NP#SBAR"": 1, ""VB#S"": 1, ""MD#VP"": 1, ""VBZ#NP"": 1, ""VB#NP#PP"": 1, ""MD#RB#VP"": 1}, ""S"": {""ADVP#NP#VP#."": 1}, ""SBAR"": {""IN#S"": 1}}",0.174,0.774,0.052,"{""^"": 5, ""N"": 9, ""P"": 6, ""D"": 6, ""V"": 8, ""O"": 2, "","": 3, ""A"": 2, ""R"": 1}"
"It should be a given in America that every citizen has free and fair access to the ballot box. Right now, it simply isn't. Join Stacey Abrams in the fight for every voice to be heard:",183,36,3,20,14,4,0,1,1,0,,"{""NP"": {""DT#JJ"": 1, ""ADJP#NN"": 1, ""DT#NN#NN"": 1, ""NNP#NNP#NNP"": 1, ""DT#NN#S"": 1, ""NP#:"": 1}, ""ADJP"": {""JJ#CC#JJ"": 1}, ""VP"": {""VBZ#NP#PP"": 1, ""VB#NP#SBAR"": 1, ""MD#VP"": 1, ""VBZ#RB"": 1, ""VBN"": 1, ""VB#VP"": 1}, ""S"": {""ADVP#,#NP#ADVP#VP#."": 1}, ""SBAR"": {""IN#S"": 1}, ""ROOT"": {""NP"": 1}, ""ADVP"": {""RB#RB"": 1}}",0.109,0.754,0.136,"{""O"": 2, ""V"": 8, ""D"": 5, ""P"": 6, ""^"": 3, ""N"": 6, ""A"": 2, ""&"": 1, "","": 4, ""R"": 3}"
"May we all stand in solidarity with the people of Hong Kong as they speak out for democracy, freedom from repression, and a world they long to see.",147,28,1,20,14,4,0,0,0,0,,"{""NP"": {""DT#NNS"": 1, ""NP#SBAR"": 2, ""NP#,#NP#,#CC#NP"": 1}, ""ADVP"": {""DT"": 1}, ""PRT"": {""RP"": 2}, ""VP"": {""VBP#PRT#PP"": 1, ""VB"": 1, ""ADVP#VBP#PRT#NP#PP"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""NP#NP#VP#."": 1}, ""SBAR"": {""IN#S"": 1, ""S"": 1}}",0.079,0.727,0.194,"{""V"": 3, ""O"": 3, ""D"": 3, ""N"": 7, ""P"": 7, ""^"": 2, ""T"": 1, "","": 3, ""&"": 1, ""A"": 1}"
