fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Ramona is ready for ya!!!  Tickets going on pre-sale NOW for Hustlers. DONT MISS IT!! In theaters September 13th!!!!!  ,119,19,1,9,16,1,1,1,1,1,"💜:1,💰:1","{""NP"": {""NNP#NNP#NNP"": 3, ""NP#VP"": 1}, ""VP"": {""VBG#PP"": 1, ""VBZ#ADJP"": 1, ""VBP#S"": 1}, ""ADJP"": {""JJ#PP"": 1}, ""S"": {""NP#PP"": 1}, ""ROOT"": {""SINV"": 1}, ""SINV"": {""VP#NP"": 1}}",0.0,0.75,0.25,"{""^"": 2, ""V"": 4, ""A"": 1, ""P"": 4, ""O"": 2, "","": 4, ""N"": 4, ""R"": 1, ""$"": 1}"
Thank you all for making my last US stop of the  SOOOO special. My heart is still so full.    ,94,19,2,12,15,2,1,0,1,4,,"{""NP"": {""PRP$#JJ#NNP#NN"": 1, ""DT#NNP#NN"": 1}, ""ADVP"": {""DT"": 1}, ""PP"": {""ADVP#IN#S"": 1}, ""VP"": {""VBG#NP"": 1, ""VB#NP#PP"": 1, ""VBZ#ADVP#ADJP"": 1}, ""S"": {""VP#."": 1}, ""ADJP"": {""RB#JJ"": 1}}",0.094,0.684,0.222,"{""V"": 4, ""O"": 2, ""D"": 4, ""P"": 2, ""A"": 3, ""R"": 3, "","": 2, ""N"": 1}"
The Hustle begins in ONE MONTH!!!!  Hustlers is in theaters September 13th! Tickets go on sale this Friday!!  ,110,18,3,9,0,11,1,1,0,1,"😉:1,😏:1,🍿:1,💸:1","{""NP"": {""DT#NNP"": 1, ""CD#NNS"": 1, ""NNP#NNP#NNP"": 1, ""NP#SBAR"": 1, ""DT#NNP#NN"": 1}, ""VP"": {""VBZ#PP"": 2, ""VBP#PP"": 1}, ""SBAR"": {""S"": 1}, ""ROOT"": {""SINV"": 1}, ""SINV"": {""ADVP#VP#NP"": 1}}",0.0,1.0,0.0,"{""D"": 2, ""N"": 6, ""V"": 3, ""P"": 3, ""$"": 2, "","": 3, ""^"": 2}"
We were born to be Hustlers. Here is the official Hustlers poster - in theaters September 13!!! ,96,17,3,10,16,11,1,1,0,1,"😉:1,💸:1","{""NP"": {""DT#JJ#NNP#NN"": 1, ""CD#NN"": 1}, ""VP"": {""VBN#S"": 1, ""VBD#VP"": 1, ""VBZ#NP#:#FRAG"": 1}, ""ROOT"": {""SINV"": 1}, ""FRAG"": {""PP"": 1}, ""SINV"": {""ADVP#VP#NP"": 1}}",0.0,1.0,0.0,"{""O"": 1, ""V"": 4, ""P"": 2, ""N"": 4, "","": 3, ""R"": 1, ""D"": 1, ""A"": 1, ""^"": 1, ""$"": 1}"
The Coterie has turned on Callie. Dont miss the Good Trouble Summer Finale TONIGHT at 8/7c on Freeform!!!!  ,108,18,3,10,20,2,1,2,0,1,"👀:1,😱:1,😕:1,💞:1","{""NP"": {""DT#NNP"": 1, ""DT#JJ#NN"": 1, ""NNP#NNP#NNP"": 1}, ""VP"": {""VBN#PP"": 1, ""VBZ#VP"": 1, ""VBP#NP#NP"": 1}}",0.276,0.66,0.064,"{""D"": 2, ""N"": 4, ""V"": 4, ""P"": 3, ""^"": 3, "","": 2, ""A"": 1, ""R"": 1}"
,0,0,0,0,19,1,0,0,1,0,,{},0.0,0.0,0.0,{}
Epic night in Moscow! Thank you so much for everyone who came out for the .  I love you all!!! ,95,20,1,15,4,1,1,0,0,1,,"{""NP"": {""JJ#NN"": 1, ""NP#PP#."": 1, ""DT"": 1, ""NP#SBAR"": 1}, ""ROOT"": {""NP"": 1}, ""WHNP"": {""WP"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VBD#PRT#PP"": 1, ""VB#S"": 1, ""VBP#S"": 1}, ""S"": {""NP#ADJP"": 2, ""VP#."": 1}, ""SBAR"": {""WHNP#S"": 1}, ""ADJP"": {""RB#JJ#PP"": 1, ""RB#JJ"": 1}}",0.0,0.67,0.33,"{""A"": 1, ""N"": 2, ""P"": 3, ""^"": 1, "","": 3, ""V"": 3, ""O"": 4, ""R"": 2, ""T"": 1, ""D"": 2}"
"Amazing energy in Tel Aviv last night!! Over 50,000 strong!!! I love you so much  The party continues... ",105,18,1,11,3,1,1,0,0,1,"🌟:4,💕:4","{""NP"": {""JJ#NN"": 2, ""CD#JJ#NNS"": 1}, ""ADJP"": {""RB#JJ"": 1}, ""S"": {""NP#ADJP"": 1, ""PP#NP#VP"": 1, ""NP#NP#VP"": 1, ""SBAR#NP#VP#:"": 1}, ""VP"": {""VBP#S"": 1, ""VBD#SBAR"": 1, ""VBZ"": 1}, ""SBAR"": {""S"": 2}}",0.0,0.406,0.594,"{""A"": 3, ""N"": 3, ""P"": 2, ""^"": 2, "","": 3, ""$"": 1, ""O"": 2, ""V"": 2, ""R"": 2, ""D"": 1}"
See you all in September. Hustlers ,35,6,1,4,13,1,1,1,1,0,"😏:1,💕:1","{""PP"": {""DT#IN#NP"": 1}, ""VP"": {""VB#NP#PP"": 1}, ""S"": {""VP#."": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""V"": 1, ""O"": 1, ""D"": 1, ""P"": 1, ""^"": 1, "","": 1, ""N"": 1}"
Real change comes at a price.  Dont miss an all new episode of Good Trouble TONIGHT at 8/7c on Freeform!!!!  ,109,20,1,13,20,2,1,2,0,1,"👀:1,😱:1,📺:1,💞:1","{""NP"": {""JJ#NN"": 1, ""DT#RB#JJ#NN"": 1, ""JJ#NN#NN"": 1}, ""VP"": {""VBZ#PP"": 1, ""VBP#NP#PP"": 1}}",0.112,0.661,0.228,"{""A"": 3, ""N"": 4, ""V"": 3, ""P"": 4, ""D"": 3, "","": 2, ""R"": 1, ""^"": 2}"
Miami!!!! Im coming this November for the iHeartRadio Fiesta Latina! Who is joining me?!?! ?!  ,95,15,2,7,16,1,1,1,1,1,🎉:1,"{""NP"": {""NNP#NNP#NNP"": 1, ""DT#NNP"": 1, ""DT#NNP#NNP#NNP"": 1, ""NP#VP#."": 1}, ""VP"": {""VBG#NP"": 1, ""VBG#S"": 1, ""VBZ#VP"": 1}, ""ROOT"": {""NP"": 1, ""SBARQ"": 1}, ""WHNP"": {""WP"": 1}, ""ADJP"": {""RB#JJ"": 1}, ""S"": {""NP#ADJP"": 1}, ""SQ"": {""VP"": 1}, ""SBARQ"": {""WHNP#SQ"": 1}}",0.0,0.744,0.256,"{""^"": 5, "","": 4, ""L"": 1, ""V"": 3, ""D"": 2, ""P"": 1, ""O"": 2}"
