fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Drew House,10,2,1,1,5,2,1,0,0,0,,"{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""A"": 1, ""N"": 1}"
 ,1,0,1,0,13,2,0,0,1,0,😲:1,{},0.0,0.0,0.0,{}
I feel like we have a special connection,40,8,1,6,0,2,0,0,1,0,,"{""NP"": {""DT#JJ#NN"": 1}, ""VP"": {""VBP#NP"": 1, ""VBP#SBAR"": 1}, ""SBAR"": {""IN#S"": 1}}",0.0,0.435,0.565,"{""O"": 2, ""V"": 2, ""P"": 1, ""D"": 1, ""A"": 1, ""N"": 1}"
Time with my favorite person,28,5,1,3,0,2,0,0,0,0,,"{""NP"": {""PRP$#JJ#NN"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.571,0.429,"{""N"": 2, ""P"": 1, ""D"": 1, ""A"": 1}"
Love this life,14,3,1,3,14,2,0,0,0,0,,{},0.0,0.323,0.677,"{""V"": 1, ""D"": 1, ""N"": 1}"
nope congratulations,20,2,1,1,4,2,0,1,0,0,,"{""NP"": {""JJ#NNS"": 1}, ""ROOT"": {""NP"": 1}}",0.759,0.241,0.0,"{""!"": 2}"
Long day. Gonna relax and watch a movie.,40,8,1,4,5,2,0,0,0,0,,"{""NP"": {""JJ#NN#."": 1}, ""ROOT"": {""NP"": 1}, ""VP"": {""VB#CC#VB#NP"": 1, ""VB#S"": 1}, ""S"": {""VP#."": 1}}",0.0,0.674,0.326,"{""A"": 1, ""N"": 2, "","": 2, ""V"": 3, ""&"": 1, ""D"": 1}"
For all my fans in China I just wanted to say that I am super excited to be on Weibo. Look forward to sharing more. Some good music coming.,139,29,1,19,21,2,1,0,0,0,,"{""NP"": {""PDT#PRP$#NNS"": 1, ""JJR"": 1, ""DT#JJ#NN"": 1, ""NP#VP#."": 1}, ""PP"": {""TO#S"": 1}, ""VP"": {""VB#PP"": 1, ""VBP#ADJP"": 1, ""VB#SBAR"": 1, ""ADVP#VBD#S"": 1, ""VBG#NP"": 1, ""VB#ADVP#PP"": 1, ""VBG"": 1}, ""S"": {""PP#PP#NP#VP#."": 1, ""VP#."": 1}, ""ADJP"": {""RB#JJ#S"": 1}, ""SBAR"": {""IN#S"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.652,0.348,"{""P"": 7, ""D"": 3, ""N"": 2, ""^"": 2, ""O"": 2, ""R"": 3, ""V"": 7, ""A"": 3, "","": 3}"
I want my friend out.. I appreciate you trying to help him. But while your at it Donald J. Trump can you also let those kids out of cages?,138,29,1,20,4,2,0,1,0,0,,"{""NP"": {""NNP#NNP#NNP"": 1, ""DT#NNS"": 1}, ""PRT"": {""RP"": 2}, ""VP"": {""VBP#NP#PRT"": 1, ""VBG#S"": 1, ""VBP#S"": 1, ""MD"": 1, ""VBD#NP#PRT#PP"": 1}, ""S"": {""NP#VP#.#."": 1, ""NP#PP#NP#VP"": 1, ""CC#SBAR#NP#ADVP#VP#."": 1}, ""SBAR"": {""IN#S"": 1}}",0.0,0.768,0.232,"{""O"": 6, ""V"": 6, ""D"": 3, ""N"": 3, ""P"": 6, "","": 4, ""&"": 1, ""^"": 3, ""R"": 1}"
Swedish Officials:  Demand that Rocky Be Released from Swedish Officials  via Change.org,88,12,1,4,2,8,0,1,1,1,,"{""NP"": {""JJ#NNS"": 2, ""NP#:#NP"": 1}, ""VP"": {""VBN#PP"": 1, ""VB#VP"": 1}, ""SBAR"": {""IN#S"": 1}, ""FRAG"": {""NP#SBAR"": 1}, ""ROOT"": {""FRAG"": 1}}",0.12,0.88,0.0,"{""A"": 1, ""N"": 2, "","": 1, ""P"": 3, ""^"": 3, ""V"": 2, ""U"": 1}"
Popsiclehe original banana flavor please,40,5,1,0,22,2,0,1,0,0,,"{""NP"": {""JJ#NN#NN"": 1}, ""VP"": {""VB"": 1, ""VB#S"": 1}}",0.0,0.395,0.605,"{""^"": 1, ""A"": 1, ""N"": 2, ""V"": 1}"
Proud of Billie. Remix out now,30,6,1,3,0,2,1,0,0,0,,"{""NP"": {""RB"": 1}, ""VP"": {""VBN#PP"": 1, ""VB#PRT#NP"": 1}, ""S"": {""VP#."": 1}, ""PRT"": {""RP"": 1}}",0.0,0.617,0.383,"{""A"": 1, ""P"": 2, ""^"": 1, "","": 1, ""N"": 1, ""R"": 1}"
So proud of you billie eilish. Remix ,37,7,1,3,20,2,1,1,1,0,,"{""NP"": {""ADJP#NN"": 1}, ""ADJP"": {""JJ#PP"": 1}, ""VP"": {""VBP"": 1}, ""S"": {""IN#NP#VP#."": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.639,0.361,"{""R"": 1, ""A"": 1, ""P"": 1, ""O"": 1, ""^"": 2, "","": 1, ""N"": 1}"
Remix,5,1,1,0,16,2,0,0,0,0,,"{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""N"": 1}"
Damn Tom this didnt go as planned ,34,7,1,5,20,8,0,0,1,0,,"{""NP"": {""NP#NP"": 1}, ""ADJP"": {""RB#VBN"": 1}, ""VP"": {""VBP#ADJP"": 1}}",0.31,0.69,0.0,"{""!"": 1, ""^"": 1, ""D"": 1, ""V"": 3, ""P"": 1}"
I wanna challenge Tom Cruise to fight in the octagon. Tom if you dont take this fight your scared and you will never live it down. Who is willing to put on the fight? Dana White ?,179,37,1,25,0,8,0,1,0,0,,"{""NP"": {""NP#SBAR"": 1, ""DT"": 1, ""PRP$#VBN"": 1, ""NNP#NNP#."": 1}, ""VP"": {""VB#PP"": 2, ""VB#S"": 1, ""VBP#S"": 2, ""VBP"": 1, ""VB#NP#PRT"": 1, ""MD#ADVP#VP"": 1}, ""S"": {""S#CC#S#."": 1}, ""ROOT"": {""SBARQ"": 1, ""NP"": 1}, ""SBAR"": {""IN#S"": 1}, ""PRT"": {""RP"": 1}, ""WHNP"": {""WP"": 1}, ""ADJP"": {""JJ#S"": 1}, ""SQ"": {""VBZ#ADJP"": 1}, ""SBARQ"": {""WHNP#SQ#."": 1}}",0.261,0.708,0.031,"{""O"": 5, ""V"": 8, ""N"": 4, ""^"": 5, ""P"": 5, ""D"": 4, "","": 4, ""A"": 2, ""&"": 1, ""R"": 1, ""T"": 1}"
Stream ,7,1,1,0,18,2,0,0,1,0,,"{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""N"": 1}"
More music coming. Happy Sunday,31,5,1,1,18,2,0,0,0,0,,"{""NP"": {""JJR#NN"": 1, ""NP#VP#."": 1, ""JJ#NNP"": 1}, ""VP"": {""VBG"": 1}, ""ROOT"": {""NP"": 2}}",0.0,0.502,0.498,"{""A"": 2, ""N"": 1, ""V"": 1, "","": 1, ""^"": 1}"
Thoughts? Summer vibes ,23,3,1,0,17,2,0,0,1,0,,"{""NP"": {""NNS#."": 1, ""NNP#NNS"": 1}, ""ROOT"": {""NP"": 2}}",0.0,1.0,0.0,"{""N"": 3, "","": 1}"
