fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
I still dress like a child to offset adulting,45,9,1,4,23,1,0,0,1,0,😩:3,"{""VP"": {""ADVP#VBP#SBAR"": 1}, ""SBAR"": {""IN#S"": 1}}",0.0,0.706,0.294,"{""O"": 1, ""R"": 1, ""V"": 2, ""P"": 2, ""D"": 1, ""N"": 2}"
watch me perform Small Talk on theellenshow today for clear skin @ The Ellen Show,81,15,1,8,21,2,0,0,1,0,🎶:2,"{""NP"": {""JJ#NN"": 2, ""NN#NN"": 1, ""DT#NNP#NNP"": 1}, ""X"": {""SYM"": 1}, ""PP"": {""IN#NP#X"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VB#S"": 1}, ""SINV"": {""VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.833,0.167,"{""V"": 2, ""O"": 1, ""A"": 2, ""N"": 5, ""P"": 3, ""D"": 1, ""^"": 1}"
with my friend Ellen DeGeneres TODAY. Check your local listings,63,10,1,3,17,1,0,1,1,1,"🎶:2,🐶:1","{""NP"": {""PRP$#JJ#NNS"": 1}, ""VP"": {""VBZ"": 1}, ""SINV"": {""PP#VP#NP#."": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.738,0.262,"{""P"": 1, ""D"": 2, ""N"": 3, ""^"": 2, "","": 1, ""V"": 1, ""A"": 1}"
Make a connection with @katyperrycollections this,49,6,1,4,20,1,1,0,1,1,🌈:1,"{""NP"": {""DT"": 1}, ""VP"": {""VBP#NP#PP"": 1}, ""SINV"": {""VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,1.0,0.0,"{""V"": 1, ""D"": 1, ""N"": 1, ""P"": 1, ""@"": 1, ""O"": 1}"
"The line-up is complete! My friend DUA LIPA, Amit Trivedi, Ritviz, The Local Train, and aswekeepsearching will be joining me at the OnePlus Music Festival in Mumbai on November 16 Get your RIGHT NOW!",199,34,1,18,6,1,1,5,1,0,"💫:1,🎟:1","{""NP"": {""DT#JJ#NN"": 1, ""NP#,#NP#,#NP#,#NP#,#CC#NP"": 1, ""DT#NNP#NNP#NNP"": 1, ""NNP#CD"": 1, ""NP#SBAR"": 1}, ""ADJP"": {""JJ"": 1}, ""VP"": {""VBZ#ADJP"": 1, ""VBG#NP#PP#PP#PP"": 1, ""VB#VP"": 1, ""MD#VP"": 1, ""VBP#NP#ADVP"": 1}, ""SBAR"": {""S"": 1}}",0.0,0.821,0.179,"{""D"": 5, ""N"": 3, ""V"": 6, ""A"": 2, "","": 6, ""G"": 1, ""^"": 9, ""&"": 1, ""O"": 1, ""P"": 3, ""$"": 1, ""R"": 2}"
Love looks so good on you Elena Jopling ,40,8,1,5,4,2,0,0,1,0,,"{""ADJP"": {""RB#JJ#PP"": 1}, ""VP"": {""ADVP#VBZ#ADJP"": 1}, ""SINV"": {""VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.448,0.552,"{""V"": 2, ""R"": 1, ""A"": 1, ""P"": 1, ""O"": 1, ""^"": 2}"
Dont piss missnuggetperry offStream Small Talk! Link in bio @ Keep It Cute,74,13,1,9,16,2,0,0,1,0,🐶:1,"{""NP"": {""JJ#NNS"": 1, ""JJ#NN"": 1}, ""VP"": {""VBP#NP"": 1, ""VB#NP#NP"": 1, ""MD#VP"": 1}, ""S"": {""NP#ADVP#VP#."": 1}}",0.0,0.643,0.357,"{""V"": 4, ""^"": 3, ""N"": 2, "","": 1, ""P"": 2, ""O"": 1, ""A"": 1}"
"Was so proud to represent my family friend Patricia Bragg for Bragg Live Food Products, LLC at I have been using since I was in my early teens (thanks to my momma) to keep my",174,35,1,21,16,2,0,2,1,2,,"{""NP"": {""PRP$#NN#NN"": 1, ""NNP#NNP#NNP#NNPS"": 1, ""NP#,#NP"": 1, ""PRP$#JJ#NNS"": 1, ""NP#PRN"": 1, ""PRP$"": 1}, ""VP"": {""VBD#ADJP"": 1, ""VBD#PP#S"": 1, ""VBG#SBAR"": 1, ""VBN#VP"": 1, ""VBP#VP"": 1}, ""ADJP"": {""RB#JJ#S"": 1}, ""PRN"": {""-LRB-#NP#-RRB-"": 1}, ""SBAR"": {""IN#S"": 2}, ""SINV"": {""VP#NP#SBAR"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.825,0.175,"{""V"": 8, ""R"": 1, ""A"": 2, ""P"": 7, ""D"": 4, ""N"": 7, ""^"": 4, "","": 3, ""O"": 2}"
"The category is Disco Fever! The star is The Adora! Tune in, call in, buy in QVC tonight at 9:00p ET I will be LIVE/LOVE/LAUGHING tonight IRL for Katy Perry Shoes",162,31,1,21,23,1,1,2,0,1,"🌟:1,👠:1","{""NP"": {""DT#NNP"": 1, ""CD#NN#NNP"": 1, ""NNP#NNP#NNP"": 1, ""NP#SBAR"": 1}, ""VP"": {""VBZ#NP"": 2, ""VB#PRT"": 2, ""VBG#NP"": 1, ""VB#VP"": 1, ""MD#VP"": 1, ""VB#PP#NP#PP"": 1, ""VP#,#VP#,#VP"": 1}, ""PRT"": {""RP"": 2}, ""SBAR"": {""S"": 1}}",0.0,1.0,0.0,"{""D"": 3, ""N"": 6, ""V"": 8, ""^"": 6, "","": 4, ""T"": 1, ""P"": 4, ""$"": 1, ""O"": 1, ""R"": 2}"
"What do you talk about when youve been through everything but have nothing left to say?  , Explained.",101,18,1,12,22,1,1,0,1,1,"🏼:1,💔:1","{""WHNP"": {""WP"": 1}, ""NP"": {""NNP#NNP#."": 1}, ""WHADVP"": {""WRB"": 1}, ""PP"": {""IN#SBAR"": 1}, ""VP"": {""VBN#PP"": 1, ""VB"": 1, ""VBN#S"": 1, ""VBP#ADVP#VP"": 1, ""VP#CC#VP"": 1, ""VB#PP"": 1}, ""ADVP"": {""NN"": 1}, ""SBAR"": {""WHADVP#S"": 1}, ""SQ"": {""VBP#NP#VP"": 1}, ""SBARQ"": {""WHNP#SQ#."": 1}, ""ROOT"": {""SBARQ"": 1, ""NP"": 1}}",0.0,1.0,0.0,"{""O"": 2, ""V"": 7, ""P"": 3, ""R"": 1, ""L"": 1, ""N"": 2, ""&"": 1, "","": 3}"
