fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
 my nighttime routine. Its simple and it works.  Try my routine here: ,70,12,1,6,20,1,1,0,1,1,,"{""NP"": {""NP#CC#NP"": 1}, ""ADJP"": {""JJ"": 1}, ""S"": {""NP#ADJP#."": 1, ""VP#:"": 1}, ""VP"": {""VBZ"": 1, ""VB#NP#ADVP"": 1}}",0.0,1.0,0.0,"{""D"": 2, ""N"": 3, "","": 3, ""L"": 1, ""A"": 1, ""&"": 1, ""O"": 1, ""V"": 2, ""R"": 1}"
Cant leave the house without my must-have skincare products!  ,62,9,1,3,17,1,1,0,1,1,,"{""NP"": {""PRP$#JJ#NN#NNS"": 1}, ""VP"": {""VBP#NP#PP"": 1}}",0.0,0.847,0.153,"{""V"": 2, ""D"": 2, ""N"": 4, ""P"": 1, "","": 1}"
Im so excited for you! ,23,5,1,4,19,1,0,0,1,1,,"{""ADJP"": {""RB#JJ#PP"": 1}, ""VP"": {""VB#ADJP"": 1}, ""S"": {""VP#."": 1}}",0.0,0.573,0.427,"{""L"": 1, ""R"": 1, ""A"": 1, ""P"": 1, ""O"": 1, "","": 1}"
 ,1,0,1,0,18,1,0,0,1,1,,{},0.0,0.0,0.0,{}
my MOON must-haves  ,20,3,1,2,15,1,1,1,1,1,,"{""NP"": {""NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""D"": 1, ""N"": 2}"
Good things come in threes ,27,5,2,3,19,1,0,0,2,1,,"{""NP"": {""JJ#NNS"": 1}, ""VP"": {""VBN#PP"": 1}}",0.0,0.58,0.42,"{""A"": 1, ""N"": 2, ""V"": 1, ""P"": 1}"
"needs yours  i only ever wanna inspire you guys to love yourself and live your best life! have a great Sundayyyy, go do something that makes you happy :)",153,29,1,18,14,1,0,1,0,0,,"{""NP"": {""PRP$#FW"": 1, ""NP#NP"": 1, ""PRP#NNS"": 1, ""PRP$#JJS#NN"": 1, ""DT#JJ#NN"": 1}, ""VP"": {""VP#CC#VP"": 1, ""VB#S"": 1, ""VBP#S"": 1, ""VBZ#S"": 1, ""VB#S#SBAR#-RRB-"": 1, ""VP#,#VP"": 1}, ""S"": {""NP#ADVP#ADVP#VP#."": 1, ""NP#ADJP"": 1, ""VP#:"": 1}, ""ADJP"": {""JJ"": 1}, ""SBAR"": {""IN#S"": 1}}",0.0,0.475,0.525,"{""V"": 9, ""O"": 5, ""R"": 2, ""N"": 4, ""P"": 2, ""&"": 1, ""D"": 2, ""A"": 3, "","": 2, ""E"": 1}"
"When my acne was at its worst, I was a high schooler who didnt want to leave the house. Now Im content with my skin. If you want to try Proactiv, you wont regret it.  ",167,35,2,26,15,1,1,0,1,1,,"{""WHADVP"": {""WRB"": 1}, ""NP"": {""PRP$#JJS"": 1, ""DT#JJ#NN"": 1, ""NP#SBAR"": 1}, ""VP"": {""VBD#PP"": 1, ""VBP#S"": 2, ""VBD#NP"": 1, ""VB#ADJP"": 1, ""VBP#VP"": 1}, ""S"": {""SBAR#,#NP#VP#."": 2, ""ADVP#VP#."": 1}, ""SBAR"": {""WHADVP#S"": 1, ""WHNP#S"": 1, ""IN#S"": 1}, ""WHNP"": {""WP"": 1}, ""ADJP"": {""JJ#PP"": 1}}",0.172,0.736,0.092,"{""R"": 2, ""D"": 5, ""N"": 5, ""V"": 9, ""P"": 5, ""A"": 2, "","": 5, ""O"": 5, ""L"": 1, ""^"": 1}"
"2 out of 5 accurate, thanks",27,6,1,4,13,1,0,0,1,0,,"{""NP"": {""CD"": 1, ""CD#NNS"": 1, ""NP#,#NP"": 1}, ""ADVP"": {""NP#IN"": 1}, ""PP"": {""ADVP#IN#NP"": 1}, ""ROOT"": {""PP"": 1}}",0.0,0.508,0.492,"{""$"": 2, ""P"": 2, ""A"": 1, "","": 1, ""N"": 1}"
  ,2,0,1,0,11,1,0,0,2,2,,{},0.0,0.0,0.0,{}
HAPPY 4th of JULY LIVE NOW  ,28,6,2,5,16,1,0,0,1,1,,"{""NP"": {""NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.53,0.47,"{""A"": 2, ""P"": 1, ""^"": 1, ""V"": 1, ""R"": 1}"
Never not taking care of my skin Proactiv     ,46,8,1,5,2,1,1,1,1,3,,"{""ADVP"": {""RB#RB"": 1}, ""NP"": {""PRP$#NN#NN"": 1}, ""VP"": {""ADVP#VBG#NP"": 1}}",0.0,0.76,0.24,"{""R"": 2, ""V"": 1, ""N"": 3, ""P"": 1, ""D"": 1}"
"Acne isnt just about what happens on the surface of your face.  During , Proactiv is working to bring awareness to the emotional impact that acne can have of teens and young adults. ",182,33,1,19,17,1,1,1,0,2,,"{""NP"": {""RB#RB"": 1, ""NP#SBAR"": 1, ""DT#JJ#NN"": 1, ""JJ#NNS"": 1, ""NP#CC#NP"": 1}, ""WHNP"": {""WP"": 1}, ""PP"": {""IN"": 1}, ""VP"": {""VBZ#PP"": 1, ""VBP#NP"": 1, ""VB#PP"": 1, ""MD#VP"": 1, ""VB#NP#PP#SBAR"": 1, ""VBG#S"": 1, ""VBZ#VP"": 1}, ""S"": {""PP#,#NP#VP#."": 1}, ""SBAR"": {""WHNP#S"": 1, ""IN#S"": 1}}",0.0,0.951,0.049,"{""N"": 8, ""V"": 7, ""R"": 1, ""P"": 8, ""O"": 1, ""D"": 3, "","": 3, ""^"": 1, ""A"": 2, ""&"": 1}"
Shopping my MOON whitening pen  ,32,5,1,3,19,1,1,1,1,1,,"{""NP"": {""PRP$#NNP#NN#NN"": 1}}",0.0,1.0,0.0,"{""V"": 2, ""D"": 1, ""N"": 2}"
My daily face washing routine never gets oldProactiv  ,54,8,1,3,17,1,1,1,1,1,,"{""NP"": {""PRP$#JJ#NN"": 1, ""NP#VP"": 1}, ""ADJP"": {""JJ"": 1}, ""VP"": {""VBG#ADJP"": 1, ""ADVP#VBZ#NP"": 1}}",0.0,1.0,0.0,"{""D"": 1, ""A"": 1, ""N"": 2, ""V"": 2, ""R"": 1, ""^"": 1}"
Acne affects everyone differently. Support is out there.   ,59,8,1,3,22,1,0,0,1,2,,"{""NP"": {""RB"": 1}, ""VP"": {""VBZ#NP#ADVP"": 1, ""VBZ#PP"": 1}}",0.0,0.722,0.278,"{""N"": 3, ""V"": 2, ""R"": 2, "","": 2, ""P"": 1}"
This is what I use for breakouts and YES IT WORKS   ,52,11,1,9,20,1,1,0,1,2,,"{""NP"": {""DT"": 1, ""NNP#NNP#NNP"": 1, ""NP#CC#NP"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBP#PP"": 1, ""VBZ#SBAR"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.0,0.724,0.276,"{""O"": 4, ""V"": 4, ""P"": 1, ""N"": 1, ""&"": 1}"
 MOON ,6,1,2,1,15,1,1,1,1,1,🖤:1,"{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""N"": 1}"
emotionally not ok,18,3,1,2,23,1,0,0,1,0,,"{""ADJP"": {""RB#RB#JJ"": 1}, ""ROOT"": {""ADJP"": 1}}",0.486,0.514,0.0,"{""R"": 2, ""!"": 1}"
