fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Thank you! ,11,2,1,1,1,1,0,0,1,0,💋:3,"{""S"": {""VP#."": 1}}",0.0,0.264,0.736,"{""V"": 1, ""O"": 1, "","": 1}"
 has free shipping all month!!!,31,5,1,3,1,1,0,0,2,0,,"{""NP"": {""JJ#NN"": 1, ""DT#NN#NN"": 1}, ""VP"": {""VBZ#NP"": 1}, ""SINV"": {""VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.489,0.511,"{""V"": 1, ""A"": 1, ""N"": 2, ""D"": 1, "","": 1}"
Enjoy them! ,12,2,1,0,1,1,0,0,1,0,💋:3,"{""FRAG"": {""ADVP#NP#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,0.223,0.777,"{""V"": 1, ""O"": 1, "","": 1}"
Youre gonna love them all! Kylie couldnt decide so had to don3 separate fragrances,82,14,1,7,1,1,0,0,1,0,,"{""NP"": {""DT"": 1, ""NP#VP#."": 1, ""JJ#NN"": 1, ""JJ#JJ#NNS"": 1}, ""S"": {""NP#NP"": 1}, ""VP"": {""VB#S"": 1, ""VBG#S"": 1, ""VBD#PP"": 1, ""VBP#SBAR"": 1}, ""ROOT"": {""NP"": 1}, ""SBAR"": {""IN#S"": 1}}",0.0,0.743,0.257,"{""L"": 1, ""V"": 6, ""O"": 1, ""D"": 1, "","": 1, ""^"": 1, ""R"": 1, ""P"": 1, ""A"": 1, ""N"": 1}"
You get it done early! My kinda girl,36,8,1,6,1,1,0,0,1,0,,"{""NP"": {""PRP$#NN#NN"": 1}, ""ADVP"": {""RB#RB"": 1}, ""VP"": {""VBP#NP#ADVP"": 1}, ""ROOT"": {""FRAG"": 1}, ""FRAG"": {""NP"": 1}}",0.0,1.0,0.0,"{""O"": 2, ""V"": 2, ""A"": 2, "","": 1, ""D"": 1, ""N"": 1}"
Its so juicy youre gonna love it ,33,7,1,4,1,1,0,0,1,0,,"{""ADJP"": {""RB#JJ"": 1}, ""NP"": {""PRP$#ADJP#NN"": 1, ""NP#VP"": 1}, ""VP"": {""VBG#S"": 1}, ""S"": {""NP"": 1}}",0.0,0.588,0.412,"{""L"": 2, ""R"": 1, ""A"": 1, ""V"": 2, ""O"": 1}"
I cant wait for you to try them! ,33,8,1,7,1,1,0,0,1,0,💋:1,"{""VP"": {""VBP#SBAR"": 1}, ""S"": {""NP#ADVP#VP#."": 1}, ""SBAR"": {""IN#S"": 1}}",0.0,1.0,0.0,"{""O"": 3, ""V"": 3, ""P"": 2, "","": 1}"
Youre gonna love it! ,21,4,1,2,1,1,0,0,1,0,💋:1,"{""NP"": {""NP#VP#."": 1}, ""VP"": {""VBG#S"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.4,0.6,"{""L"": 1, ""V"": 2, ""O"": 1, "","": 1}"
Youre gonna love them! Dying to know which scent is your fave! ,63,12,1,5,1,1,0,0,1,0,💋:1,"{""NP"": {""NP#VP#."": 1}, ""VP"": {""VBG#S"": 1, ""VBZ#NP"": 1, ""VB#SBAR"": 1}, ""ROOT"": {""NP"": 1, ""ADJP"": 1}, ""WHNP"": {""WDT"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""ADJP"": {""JJ#S#."": 1}}",0.0,0.565,0.435,"{""L"": 1, ""V"": 5, ""O"": 1, "","": 2, ""P"": 1, ""D"": 2, ""N"": 2}"
Who got the KKW X KYLIE slips perfumes? Which color did you get and why?,72,15,1,10,0,1,0,0,0,0,,"{""WHNP"": {""WP"": 1, ""WDT#NN"": 1}, ""NP"": {""DT#NNP#NNP#NNP"": 1}, ""VP"": {""VBZ#NP"": 1, ""VBD#SBAR"": 1, ""VB#CC#VB"": 1}, ""SBAR"": {""S"": 1}, ""SQ"": {""VP"": 1, ""VBD#NP#VP"": 1}, ""SBARQ"": {""WHNP#SQ#."": 2}, ""ROOT"": {""SBARQ"": 2}}",0.0,1.0,0.0,"{""O"": 2, ""V"": 4, ""D"": 2, ""^"": 2, ""E"": 1, ""N"": 2, "","": 2, ""&"": 1, ""R"": 1}"
"My KKW FRAGRANCE collab with Kylie Jenner is finally here!! The Red, Nude and Pink Lips offer notes of liquid amber, peony, and coconut. I cant wait for you guys to try all of these delicious scents. ",200,37,1,22,0,1,1,2,1,0,,"{""NP"": {""PRP$#NNP#NNP#NN"": 1, ""DT#NNP#,#NNP#CC#NNP#NNP#NN#NNS"": 1, ""JJ#NN"": 1, ""NP#,#NP#,#CC#NP"": 1, ""DT"": 1, ""DT#ADJP#NNS"": 1, ""NNS#S"": 1}, ""VP"": {""ADVP#VBG#NP#PP"": 1, ""VBZ#ADVP#VP"": 1, ""VB#PP#NP"": 1, ""MD#VP"": 1}, ""ADJP"": {""JJ"": 1}}",0.0,0.891,0.109,"{""D"": 4, ""^"": 5, ""P"": 5, ""V"": 4, ""R"": 2, "","": 6, ""A"": 6, ""&"": 2, ""N"": 7, ""O"": 2}"
"Im so excited for you guys to finally shop my KKW FRAGRANCE collaboration with Kylie Jenner!!! These gorgeous Red, Pink and Nude lip-shaped bottles are available for $40 each. Each scent is so amazing I cant wait for you guys to smell them.  ",242,43,1,27,19,1,1,2,1,0,,"{""NP"": {""ADJP#NNS"": 1, ""PRP$#NNP#NNP#NN"": 1, ""NNP#NNP#NNP"": 1, ""DT#JJ#NNP#,#NNP#CC#NNP#JJ#NNS"": 1, ""$#CD"": 1, ""DT"": 1, ""NP#NP"": 1, ""NNS#S"": 1}, ""ADJP"": {""RB#JJ#PP"": 1, ""JJ#PP"": 1, ""RB#JJ#SBAR"": 1}, ""VP"": {""VBP#ADJP"": 1, ""ADVP#VB#NP#PP#SBAR"": 1, ""VB#S"": 1, ""VB#PP#NP"": 1, ""MD#VP"": 1, ""VBZ#ADJP"": 1}, ""S"": {""VP#."": 1}, ""SBAR"": {""S"": 2}}",0.0,0.758,0.242,"{""L"": 1, ""R"": 3, ""A"": 6, ""P"": 6, ""O"": 4, ""N"": 7, ""V"": 6, ""D"": 3, ""^"": 5, "","": 4, ""&"": 1, ""$"": 1}"
"My KKW FRAGRANCE collab with Kylie Jenner just dropped!!! We had so much fun designing these bottles and the fragrances are the perfect mix of our favorite notes. Three different scents packaged in lip-shaped bottles for $40 in Red, Pink and Nude. ",248,42,1,23,19,1,1,2,1,0,,"{""NP"": {""PRP$#NNP#NNP#NN"": 1, ""ADJP#NN"": 1, ""DT#NNS"": 2, ""DT#JJ#NN"": 1, ""PRP$#JJ#NNS"": 1, ""CD#JJ#NNS"": 1, ""JJ#NNS"": 1, ""$#CD"": 1, ""NNP#,#NNP#CC#NNP"": 1}, ""ADJP"": {""RB#JJ"": 1}, ""VP"": {""VBG#NP"": 1, ""VBD#NP#S"": 1, ""VBP#NP"": 1, ""VBD#SBAR"": 1, ""VBN#PP"": 1}, ""S"": {""ADVP#NP#VP"": 1, ""S#CC#S"": 1, ""NP#ADVP#VP#."": 1}, ""SBAR"": {""S"": 1}}",0.0,0.778,0.222,"{""D"": 5, ""^"": 6, ""P"": 5, ""R"": 2, ""V"": 5, "","": 4, ""O"": 1, ""A"": 7, ""N"": 7, ""&"": 2, ""$"": 2}"
"My KKW FRAGRANCE collab with Kylie Jenner launches in one hour!!! Three colorful lip-shaped 30mL bottles for $40 each in red, pink and nude. Available to shop today at 12pm pst at ",180,32,1,19,18,1,1,2,1,0,,"{""NP"": {""PRP$#NNP#NNP#NN"": 1, ""NNP#NNP#NNS"": 1, ""CD#NN"": 1, ""CD#JJ#JJ#JJ#NNS"": 1, ""$#CD"": 1, ""DT"": 1, ""NP#NP"": 1, ""CD#NN#NN"": 1}, ""PP"": {""IN#ADJP"": 1, ""IN#ADVP"": 1}, ""ADJP"": {""JJ#,#JJ#CC#JJ"": 1, ""JJ#S#PP"": 1}, ""VP"": {""VBD#NP#PP#PP"": 1}, ""ROOT"": {""ADJP"": 1}, ""ADVP"": {""NP#IN"": 1}}",0.0,1.0,0.0,"{""D"": 2, ""^"": 5, ""P"": 7, ""V"": 1, ""$"": 5, ""N"": 6, "","": 3, ""A"": 5, ""&"": 1}"
