fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
"Revenge Body season finale, tonight at 10/9c on E!  So inspired by all of our amazing participants this season. You guys showed us what it means to love yourself,  ",164,29,1,17,0,1,1,0,0,1,"🙌:1,🏼:1","{""NP"": {""NN#NN"": 1, ""RB"": 1, ""NP#,#NP"": 1, ""DT"": 1, ""PRP$#JJ#NNS"": 1, ""PRP#NNS"": 1}, ""ADVP"": {""NP#IN"": 1}, ""VP"": {""VBD#PP#NP"": 1, ""VBZ#S"": 1, ""VBD#NP#SBAR"": 1}, ""S"": {""NP#ADVP#VP#."": 1, ""NP#VP#,"": 1}, ""WHNP"": {""WP"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.083,0.613,0.304,"{""N"": 7, "","": 4, ""R"": 1, ""P"": 6, ""$"": 1, ""^"": 1, ""V"": 4, ""D"": 3, ""A"": 1, ""O"": 5}"
Its the season finale of Revenge Body tonight!! Watch with me at 10/9c on E!   ,79,15,1,9,14,1,1,1,0,2,💕:1,"{""NP"": {""DT#NN#NN"": 1, ""NN#NN#NN"": 1, ""PRP$#NP"": 1, ""NP#PP#PP"": 1, ""NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.234,0.766,0.0,"{""L"": 1, ""D"": 1, ""N"": 5, ""P"": 4, "","": 2, ""V"": 1, ""O"": 1, ""$"": 1, ""^"": 1}"
,0,0,0,0,18,1,1,0,0,1,,{},0.0,0.0,0.0,{}
Get ready for a brand new Twisted Sisters tonight at 10/9c on DiscoveryID,73,13,1,6,17,4,1,1,0,0,,"{""NP"": {""JJ#NNP#NNS"": 1, ""RB"": 1}, ""ADJP"": {""JJ#PP"": 1}, ""VP"": {""VBP#ADJP"": 1}, ""SINV"": {""VP#NP#NP#PP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.815,0.185,"{""V"": 1, ""A"": 2, ""P"": 3, ""D"": 1, ""N"": 3, ""^"": 2, ""$"": 1}"
Chi: I heard my mama say vacation calories dont countTrue: Dont tell me twice Chi,81,16,2,10,16,4,1,0,0,0,,"{""NP"": {""NN#NNS"": 1}, ""ADJP"": {""JJ"": 1, ""RB#JJ"": 1}, ""S"": {""NP#ADJP"": 1}, ""VP"": {""VB#S"": 1, ""VBP#ADJP#:#S"": 1, ""VBP#SBAR"": 1, ""VBD#SBAR"": 1}, ""SBAR"": {""S"": 2}, ""FRAG"": {""NP#:#S"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""^"": 3, "","": 2, ""O"": 2, ""V"": 5, ""D"": 1, ""N"": 3, ""R"": 1}"
Work to get your happy back!!  Revenge Body Tonight at 10/9c on E!,66,13,1,8,18,1,1,1,0,1,,"{""NP"": {""CD"": 2, ""PRP$#ADJP#NN#NN#NN"": 1}, ""ADJP"": {""JJ#ADVP#NP"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VB#S"": 1}}",0.179,0.58,0.241,"{""N"": 4, ""P"": 3, ""V"": 1, ""D"": 1, ""A"": 1, ""R"": 1, "","": 2, ""$"": 1, ""^"": 1}"
 my beach baby and Me ,22,5,1,4,16,1,1,0,0,0,🐚:2,"{""NP"": {""PRP$#NN#NN"": 1, ""NP#CC#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""D"": 1, ""N"": 2, ""&"": 1, ""O"": 1}"
 This summer I have been focused on ME. Me from within. Mind. Body. Soul.    ,77,14,1,8,14,1,1,0,0,3,,"{""NP"": {""IN"": 1, ""NN#."": 1}, ""VP"": {""VBN#PP"": 1, ""VBN#VP"": 1, ""VBP#VP"": 1, ""PP"": 1, ""VBN"": 1, ""VB"": 1}, ""S"": {""NP#NP#VP#."": 1, ""VP#."": 2}, ""ROOT"": {""NP"": 1}}",0.0,0.822,0.178,"{""D"": 1, ""N"": 4, ""O"": 3, ""V"": 3, ""P"": 3, "","": 5}"
Our GOOD AMERICAN Miami store is officially open! Aventura Mall Whos coming to check it out this weekend?!,106,18,1,9,22,4,1,2,0,0,,"{""NP"": {""PRP$#NNP#NNP#NNP#NN"": 1, ""NNP#NNP#NNPS"": 1, ""DT#NN#NN"": 1}, ""ADJP"": {""RB#JJ"": 1}, ""VP"": {""VBZ#ADJP"": 1, ""VB#NP#PP"": 1, ""VBG#S"": 1}, ""ROOT"": {""FRAG"": 1}, ""FRAG"": {""NP#S"": 1}}",0.0,0.801,0.199,"{""D"": 2, ""A"": 1, ""^"": 4, ""N"": 2, ""V"": 4, ""R"": 1, "","": 2, ""L"": 1, ""P"": 1, ""O"": 1, ""T"": 1}"
This GOOD AMERICAN galaxy print you guys  Who is wearing this with me?! ,72,13,1,9,16,4,1,1,1,0,,"{""NP"": {""DT#NNP#NNP#NN"": 1, ""DT"": 1, ""NP#SBAR"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBG#NP#ADVP"": 1, ""VBZ#VP"": 1, ""VBP#S"": 1}, ""S"": {""NP#NP"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.0,0.754,0.246,"{""D"": 1, ""A"": 1, ""^"": 1, ""N"": 2, ""V"": 3, ""O"": 4, ""P"": 1, "","": 1}"
