fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Tomatoes and oil. Citrus and greens. Beans and rice. What do these foods have in common? Find out on Poosh ,107,20,1,11,4,1,1,1,1,0,,"{""NP"": {""NNS#CC#NN"": 2, ""NP#CC#NP"": 1, ""NP#."": 1, ""DT#NNS"": 1, ""JJ"": 1}, ""FRAG"": {""NP#."": 2}, ""ROOT"": {""FRAG"": 2, ""NP"": 1, ""SBARQ"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VB#PP"": 1, ""VB#PRT#PP"": 1}, ""SQ"": {""VBP#NP#VP"": 1}, ""SBARQ"": {""WHNP#SQ#."": 1}, ""PRT"": {""RP"": 1}}",0.0,1.0,0.0,"{""N"": 7, ""&"": 3, "","": 4, ""A"": 2, ""O"": 1, ""V"": 3, ""D"": 1, ""P"": 2, ""T"": 1}"
Big summer vibe. Patricia Manfield in our  towel turban. Shop now: ,67,11,1,5,16,1,1,0,1,1,,"{""NP"": {""PRP$#NN#NN"": 1, ""NP#PP#."": 1}, ""VP"": {""VBP"": 1, ""VBG#ADVP"": 1}, ""S"": {""NP#NP#VP#."": 1, ""VP#:"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""A"": 1, ""N"": 5, "","": 3, ""^"": 2, ""P"": 1, ""D"": 1, ""R"": 1}"
Tune in to my Italy playlist today on Poosh ,44,9,1,5,16,1,1,1,1,0,,"{""NP"": {""PRP$#NNP#NN"": 1}, ""PP"": {""IN#PP"": 1}, ""VP"": {""VB#PP#NP#PP"": 1}}",0.0,1.0,0.0,"{""V"": 1, ""P"": 3, ""D"": 1, ""^"": 1, ""N"": 2, ""A"": 1}"
"Back-to-school season is here, & Poosh is making sure you earn an A+ in getting your kids to eat healthier. ",108,20,1,13,1,1,1,1,1,1,,"{""NP"": {""NNP#NN"": 1, ""RB"": 1, ""DT#NNP#NNP"": 1, ""PRP$#NNS"": 1, ""NP#,#CC#NP#SBAR#PP"": 1}, ""VP"": {""VBP#NP"": 1, ""VBG#ADJP"": 1, ""VBZ#VP"": 1, ""VB#ADJP"": 1, ""VBG#NP#S"": 1, ""VBZ#NP"": 1}, ""SBAR"": {""S"": 2}, ""ADJP"": {""JJ#SBAR"": 1, ""RBR"": 1}, ""PP"": {""IN#S"": 1}}",0.0,0.887,0.113,"{""A"": 3, ""N"": 2, ""V"": 6, ""R"": 1, "","": 2, ""&"": 1, ""^"": 2, ""O"": 1, ""D"": 2, ""P"": 2}"
Have you shopped our  collab yet?  Poosh,40,7,1,4,21,1,1,1,1,1,,"{""VP"": {""VBN#NP#ADVP"": 1}, ""SQ"": {""VBP#NP#VP#."": 1}, ""ROOT"": {""SQ"": 1, ""NP"": 1}}",0.0,1.0,0.0,"{""V"": 2, ""O"": 1, ""D"": 1, ""N"": 1, ""R"": 1, "","": 1, ""A"": 1}"
What is the best neckline to enhance your chest? Find out on Poosh ,67,13,1,9,21,1,1,1,1,0,,"{""WHNP"": {""WP"": 1}, ""NP"": {""DT#JJS#NN"": 1, ""NP#S"": 1}, ""VP"": {""VB#PRT#PP"": 1}, ""SQ"": {""VBZ#NP"": 1}, ""SBARQ"": {""WHNP#SQ#."": 1}, ""ROOT"": {""SBARQ"": 1}, ""PRT"": {""RP"": 1}}",0.0,0.741,0.259,"{""O"": 1, ""V"": 3, ""D"": 2, ""A"": 2, ""N"": 2, ""P"": 2, "","": 1, ""T"": 1}"
"Watch me and my pastor friends talk about love, family, and religion Poosh chad veach   ",88,15,1,6,18,1,1,2,1,1,,"{""NP"": {""PRP$#NN#NNS#NN"": 1, ""NN#,#NN#,#CC#NN#NN"": 1, ""JJ#NN"": 1}, ""VP"": {""NP#PP"": 1, ""VP#CC#VP"": 1}, ""SINV"": {""VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.64,0.36,"{""V"": 2, ""O"": 1, ""&"": 2, ""D"": 1, ""N"": 5, ""P"": 1, "","": 2, ""A"": 1, ""^"": 2}"
My stylist shares the best denim finds: ,40,7,1,3,0,1,1,0,1,0,,"{""NP"": {""DT#JJS#NN"": 1}, ""VP"": {""VBZ"": 1, ""VBZ#SBAR"": 1}, ""S"": {""NP#VP#:"": 1}, ""SBAR"": {""S"": 1}}",0.0,0.439,0.561,"{""D"": 2, ""N"": 2, ""V"": 2, ""A"": 1, "","": 1}"
Its finally here: our Aquis x Poosh limited-edition leopard hair towel turban. This has completely rehabilitated my hair. Im so excited to share one of my hair secrets with you. Shop now: ,188,32,1,18,18,1,1,1,1,0,,"{""NP"": {""PRP$#NN#RB"": 1, ""PRP$#NNP#NNP#NNP#JJ#JJ#NN#NN#NN"": 1, ""NP#:#NP#."": 1, ""DT"": 1, ""CD"": 1, ""PRP$#NN#NNS"": 1}, ""ROOT"": {""NP"": 1}, ""VP"": {""VBN#NP"": 1, ""VBZ#ADVP#VP"": 1, ""VB#NP#PP"": 1, ""VB#ADJP"": 1, ""VBG#ADVP"": 1}, ""S"": {""VP#."": 1, ""VP#:"": 1}, ""ADJP"": {""RB#JJ#S"": 1}}",0.0,0.839,0.161,"{""L"": 2, ""R"": 5, "","": 5, ""D"": 3, ""^"": 1, ""G"": 1, ""A"": 3, ""N"": 8, ""O"": 2, ""V"": 3, ""P"": 3, ""$"": 1}"
Have you ever been ghosted? Heres how to handle:  Poosh,55,10,1,6,4,1,1,1,1,0,,"{""NP"": {""NP#ADVP"": 1}, ""VP"": {""VBN"": 1, ""VBN#VP"": 1, ""VB#:#NP"": 1, ""VB#SBAR"": 1}, ""SQ"": {""VBP#NP#VP#."": 1}, ""ROOT"": {""SQ"": 1}, ""WHADVP"": {""WRB"": 1}, ""SBAR"": {""WHADVP#S"": 1}}",0.0,1.0,0.0,"{""V"": 4, ""O"": 1, ""R"": 2, "","": 2, ""L"": 1, ""P"": 1, ""A"": 1}"
6 tips for bringing your best self to a new relationship on Poosh:  ,68,13,1,10,22,1,1,1,1,1,,"{""NP"": {""CD#NNS"": 1, ""PRP$#JJS#NN"": 1, ""DT#JJ#NN"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VBG#NP#PP"": 1}, ""X"": {""NP#PP#:"": 1}, ""ROOT"": {""X"": 1}}",0.0,0.704,0.296,"{""$"": 1, ""N"": 3, ""P"": 3, ""V"": 1, ""D"": 2, ""A"": 2, ""^"": 1, "","": 1}"
