fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
get free shipping when you shop my fragrance bundle!  KKW FRAGRANCE ,68,11,1,7,15,1,1,1,1,0,💋:1,"{""NP"": {""JJ#NN"": 1, ""PRP$#NN#NN"": 1}, ""WHADVP"": {""WRB"": 1}, ""VP"": {""VB#NP#SBAR"": 1}, ""S"": {""VP#."": 1}, ""SBAR"": {""WHADVP#S"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.736,0.264,"{""V"": 2, ""A"": 1, ""N"": 4, ""R"": 1, ""O"": 1, ""D"": 1, "","": 1, ""^"": 1}"
skin concealer  all 30 shades are available now at Ulta Beauty  ,64,11,1,7,14,1,1,1,0,1,💗:1,"{""NP"": {""NN#NN"": 1, ""CD#NNS"": 1, ""NP#ADVP"": 1}, ""ADVP"": {""RB#NP"": 1}, ""PP"": {""ADVP#IN#NP"": 1}, ""ADJP"": {""JJ#PP"": 1}, ""VP"": {""VBP#ADJP"": 1}}",0.0,0.725,0.275,"{""N"": 3, ""D"": 1, ""$"": 1, ""V"": 1, ""A"": 1, ""R"": 1, ""P"": 1, ""^"": 2}"
shop my fragrance collab with Kim Kardashian West at   Im wearing the nude today! ,82,14,1,9,19,1,1,1,1,0,"💋:1,💕:1","{""NP"": {""PRP$#NN#NN"": 1, ""NNP#NNP#NNP"": 1, ""DT#JJ#NN"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VBG#NP"": 1, ""VB#NP#PP"": 1}, ""S"": {""VP#."": 1}}",0.0,1.0,0.0,"{""N"": 4, ""D"": 2, ""P"": 2, ""^"": 3, ""L"": 1, ""V"": 1, ""A"": 1, "","": 1}"
weekend sale at KYLIE COSMETICS! Get $5 lip liners and a free sharpener at   be quick to get your shades!,105,20,1,13,15,1,1,1,1,0,😘:1,"{""NP"": {""NN#NN"": 1, ""NP#PP#."": 1, ""QP#NNS"": 1, ""DT#JJ#NN"": 1, ""NP#CC#NP"": 1, ""PRP$#NNS"": 1}, ""ROOT"": {""NP"": 1}, ""QP"": {""$#CD#CD"": 1}, ""ADVP"": {""IN"": 1}, ""VP"": {""VB#ADJP"": 1, ""VB#NP#ADVP#VP"": 1}, ""S"": {""VP#."": 1}, ""ADJP"": {""JJ#S"": 1}}",0.0,0.823,0.177,"{""N"": 7, ""P"": 3, ""^"": 1, "","": 2, ""V"": 3, ""$"": 1, ""&"": 1, ""D"": 2, ""A"": 2}"
,0,0,0,0,1,1,0,0,1,0,,{},0.0,0.0,0.0,{}
My fragrance collab with Kim Kardashian West is available NOW on   cant wait for you guys to try these 3 beautiful scents!,122,22,1,15,19,1,1,1,1,0,💋:1,"{""NP"": {""PRP$#NN#NN"": 1, ""NNP#NNP#NNP"": 1, ""NN#NN"": 1, ""DT#CD#JJ#NNS"": 1}, ""PP"": {""ADVP#IN#NP"": 1}, ""ADJP"": {""JJ#PP"": 1}, ""VP"": {""VBZ#S"": 1, ""VBZ#ADJP#SBAR"": 1}, ""SBAR"": {""IN#S"": 1}}",0.0,0.827,0.173,"{""D"": 2, ""N"": 4, ""P"": 4, ""^"": 3, ""V"": 4, ""A"": 2, ""R"": 1, ""O"": 1, ""$"": 1, "","": 1}"
1 hour till my KKW FRAGRANCE collaboration with my sis Kim Kardashian West launches on !!!!  what scent are you getting? i cant wait.,133,24,1,17,17,1,1,2,1,0,💗:1,"{""NP"": {""CD#NN"": 1, ""PRP$#NNP#NNP#NN"": 1, ""NNP#NNP#NNP"": 1, ""NP#VP"": 1, ""NP#SBAR"": 1}, ""PP"": {""NP#IN#NP"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBG"": 1, ""VBP#NP"": 1, ""VBZ#PP"": 1, ""VBP"": 1}, ""S"": {""PP#NP#VP#."": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.0,1.0,0.0,"{""$"": 1, ""N"": 4, ""P"": 3, ""D"": 2, ""^"": 5, ""V"": 5, "","": 3, ""O"": 3}"
2 MORE DAYS. KYLIE JENNER BY KKW FRAGRANCE launches Friday 8.23 at 12pm pst on   ,81,15,1,9,16,4,1,0,1,1,💋:1,"{""NP"": {""CD"": 1, ""JJR#NNS"": 1, ""NP#NP#."": 1, ""NNP#NNP#NNP#NNP#NNP"": 1, ""NNP#CD"": 1, ""CD#NN#NN"": 1}, ""ROOT"": {""NP"": 1}, ""PP"": {""IN"": 1}, ""VP"": {""VBZ#NP#PP#PP"": 1}}",0.0,1.0,0.0,"{""$"": 3, ""A"": 1, ""N"": 2, "","": 1, ""^"": 5, ""P"": 3, ""V"": 1}"
,0,0,0,0,4,1,0,0,1,0,,{},0.0,0.0,0.0,{}
i get so excited to wake up to this every morning  blessed af,61,13,1,9,17,4,1,0,0,0,💗:1,"{""NP"": {""FW"": 1, ""DT"": 1, ""NP#NP"": 1, ""NP#VP"": 1}, ""ADVP"": {""RB#PP"": 1}, ""VP"": {""ADVP#VBN#NP"": 1, ""VBP#ADJP"": 1}, ""ADJP"": {""RB#JJ#PP"": 1}}",0.0,0.603,0.397,"{""O"": 2, ""V"": 2, ""P"": 3, ""A"": 2, ""T"": 1, ""D"": 1, ""N"": 2}"
my Kylie Skin sets are BACK and selling fast!! Get yours at  before they're gone!,81,15,1,8,16,4,1,1,1,0,,"{""NP"": {""PRP$#NNP#NNP#NNS"": 1, ""JJ#NNS"": 1}, ""VP"": {""VBG"": 1, ""VBN"": 1, ""VBP#VP"": 2, ""VB#ADJP"": 1, ""VBG#S"": 1, ""VP#CC#VP"": 1}, ""SBAR"": {""IN#S"": 1}, ""PP"": {""IN#SBAR"": 1}, ""ADJP"": {""JJ#PP"": 1}}",0.0,1.0,0.0,"{""D"": 1, ""^"": 1, ""N"": 2, ""V"": 4, ""R"": 1, ""&"": 1, ""A"": 1, "","": 2, ""O"": 1, ""P"": 2, ""L"": 1}"
