fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Franch Toast HAUS LABORATORIES,30,4,1,1,1,1,1,1,0,0,,"{""NP"": {""NNP#NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 4}"
,0,0,0,0,3,1,1,0,0,0,,{},0.0,0.0,0.0,{}
"A note to Dayton, El Paso, and Gilroy ",38,8,1,5,17,1,0,0,1,0,,"{""NP"": {""NP#,#NP#,#CC#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""D"": 1, ""N"": 1, ""P"": 1, ""^"": 4, "","": 2, ""&"": 1}"
Thank u MTV Video Music Awards for the 2 nominations for Shallow!  ,67,12,1,6,19,1,1,2,1,0,💝:1,"{""NP"": {""NNP#NNP#NNP#NNP#NNP"": 1, ""DT#CD#NNS"": 1}, ""S"": {""VP#."": 1}}",0.0,0.58,0.42,"{""V"": 1, ""O"": 1, ""^"": 1, ""N"": 4, ""P"": 2, ""D"": 1, ""$"": 1, ""A"": 1, "","": 1}"
To the launch of . Cheers to a wonderful day 1   HAUS LABORATORIES,66,13,1,9,4,1,1,1,0,1,,"{""NP"": {""DT#JJ#NN"": 1, ""CD#NNS"": 1}, ""PP"": {""IN"": 1}, ""FRAG"": {""PP#."": 1, ""ADJP#ADJP"": 1}, ""ROOT"": {""FRAG"": 2}, ""ADJP"": {""JJ#PP"": 1, ""NP#JJ"": 1}}",0.0,0.541,0.459,"{""P"": 3, ""D"": 2, ""N"": 4, "","": 1, ""A"": 1, ""$"": 1, ""^"": 1}"
Pre-order HAUS LABORATORIES now  And watch me on Amazon.com Live! now while Sarah Tanno and I walk you through all of our products! ,132,23,2,13,21,1,1,2,1,0,💋:1,"{""NP"": {""NP#CC#NP"": 1, ""DT"": 1, ""PRP$#NNS"": 1}, ""VP"": {""VBZ#ADVP"": 1, ""VB#NP#PP"": 1, ""VBP#NP#PP"": 1}, ""S"": {""S#CC#S#."": 1}, ""ROOT"": {""FRAG"": 1}, ""SBAR"": {""IN#S"": 1}, ""FRAG"": {""ADVP#SBAR#."": 1}}",0.0,1.0,0.0,"{""V"": 3, ""^"": 6, ""R"": 2, ""&"": 2, ""O"": 3, ""P"": 4, "","": 2, ""D"": 2, ""N"": 1}"
Pre-order HAUS LABORATORIES now  ,33,4,1,2,7,1,1,1,1,0,💋:1,"{""NP"": {""NNP#NNP#NNP"": 1, ""NP#ADVP"": 1}, ""FRAG"": {""NP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""V"": 1, ""^"": 2, ""R"": 1}"
Tomorrow we welcome you to our HAUS.  goes up for pre-order at midnight PT  HAUS LABORATORIES,93,16,1,10,19,1,1,1,0,1,💋:1,"{""NP"": {""PRP$#NNS"": 1, ""NNP#NNP#NNP"": 1}, ""VP"": {""VBP#NP#PP"": 1, ""VBZ#PRT#PP"": 1}, ""S"": {""NP#NP#VP#."": 1}, ""ROOT"": {""SINV"": 1}, ""PRT"": {""RP"": 1}, ""SINV"": {""VP#NP"": 1}}",0.0,0.833,0.167,"{""N"": 5, ""O"": 2, ""V"": 3, ""P"": 3, ""D"": 1, "","": 1, ""T"": 1, ""^"": 1}"
Introducing Kitty in HAUS LABORATORIES Glam Attack in CHAINED BALLERINA on her eyes and lips!,93,15,1,8,19,1,1,1,0,0,,"{""NP"": {""NNP#NNP#NNP#NNP"": 1, ""PRP$#NNS#CC#NNS"": 1, ""NP#PP#PP#."": 1}, ""ROOT"": {""NP"": 1}}",0.195,0.805,0.0,"{""V"": 1, ""N"": 4, ""P"": 3, ""^"": 4, ""A"": 1, ""D"": 1, ""&"": 1, "","": 1}"
Here are all of the HAUS OF METALHEAD shades on different skin tones. Follow HAUS LABORATORIES to see the rest & pre-order at  on July 15 ,138,26,1,19,15,1,1,1,1,0,,"{""NP"": {""DT"": 1, ""DT#NNS"": 1, ""JJ#NNS"": 1, ""JJ#NN#NNS"": 1, ""DT#NN#CC#NN"": 1, ""NNP#CD"": 1}, ""PP"": {""IN#PP"": 1}, ""SINV"": {""ADVP#VBP#NP#."": 1}, ""ROOT"": {""SINV"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VB#S"": 1}}",0.0,1.0,0.0,"{""R"": 1, ""V"": 4, ""D"": 3, ""P"": 6, ""N"": 5, ""^"": 4, ""A"": 1, "","": 1, ""&"": 1, ""$"": 1}"
Modeling the HAUS OF METALHEAD collection from HAUS LABORATORIES in a look created by Sarah Tanno!,98,16,1,9,15,1,1,1,0,0,,"{""NP"": {""DT#NNS"": 1, ""JJ#NN"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VBN#PP"": 1}, ""S"": {""S#VP#."": 1}}",0.0,0.859,0.141,"{""V"": 2, ""D"": 2, ""N"": 3, ""P"": 4, ""^"": 5, "","": 1}"
 HAUS LABORATORIES,18,2,1,1,19,1,1,1,0,0,💋:1,"{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""N"": 2}"
HAUS LABORATORIESPRE-ORDER AVAILABLE 7/15 HAUS LABORATORIESMUSIC BY BloodPop & TCHAMI,85,12,5,5,18,2,1,3,0,1,,"{""NP"": {""NNP#NNP#NNP"": 1, ""CD#NNS"": 1, ""NNP#NNP#NNP#CC#NNP"": 1, ""NP#NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""N"": 1, ""V"": 1, ""A"": 1, ""^"": 6, ""&"": 1}"
LADY GAGA ENIGMA / JAZZ & PIANOTHE LAS VEGAS RESIDENCY AT ParkTheaterLVDECEMBER 2019 + SPRING 2020 TICKETSON SALE NOW  ,119,22,5,14,17,2,1,1,1,1,,"{""NP"": {""NNP#NNP#NNP"": 2, ""NNP#CC#NNP#NNP"": 1, ""NNP#NNP#NNP#CD#NNP"": 1, ""NP#VP"": 1}, ""VP"": {""VBG#NP#ADVP"": 1, ""VBZ#NP"": 1}, ""FRAG"": {""NP#:#S"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""^"": 10, ""N"": 2, "","": 1, ""&"": 2, ""P"": 1, ""$"": 2, ""R"": 1}"
The whole gang is coming back to Vegas  And if youre a Little Monster you have a special pre-sale code for Brians show in your inbox ,133,26,1,16,17,1,0,0,1,0,,"{""NP"": {""DT#JJ#NN"": 2, ""DT#JJ#JJ#NN"": 1}, ""VP"": {""VBG#ADVP#PP"": 1, ""VBZ#VP"": 1, ""VBP#NP"": 2, ""VBP#PRT"": 1}, ""S"": {""SBAR#NP#VP"": 1, ""S#CC#S"": 1}, ""SBAR"": {""IN#S"": 1}, ""PRT"": {""RP"": 1}, ""SINV"": {""S#VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.895,0.105,"{""D"": 4, ""A"": 3, ""N"": 6, ""V"": 3, ""R"": 1, ""P"": 4, ""^"": 2, ""&"": 1, ""L"": 1, ""O"": 1}"
"Celebrate  & donate to   Ur donation means helping young people feel supported for WHO THEY ARE and the world they wish to create. The Starbucks Foundation will double your impact and match donations through June 30 up to $250,000  ",232,39,1,21,21,1,1,0,1,2,🌈:1,"{""NP"": {""NNP#CC#NNP"": 1, ""NNP#NN"": 1, ""JJ#NNS"": 1, ""NNP#NNP#NNP"": 1, ""NP#CC#NP"": 1, ""DT#NNP#NNP"": 1, ""PRP$#NN#CC#NN#NNS"": 1, ""NNP#CD"": 1, ""$#CD"": 1}, ""VP"": {""VBN#PP"": 1, ""VB#VP"": 1, ""VBG#S"": 1, ""VBZ#S"": 1, ""VB"": 1, ""VBP#S"": 1, ""VB#NP#PP#ADVP"": 1, ""MD#VP"": 1}, ""S"": {""S#NP#VP#."": 1}, ""ADVP"": {""RB#PP"": 1}}",0.0,0.717,0.283,"{""V"": 11, ""&"": 3, ""P"": 5, ""D"": 4, ""N"": 7, ""A"": 1, ""O"": 3, "","": 1, ""^"": 2, ""$"": 2, ""T"": 1, ""G"": 1}"
LADY GAGA ENIGMA / JAZZ & PIANOTHE LAS VEGAS RESIDENCY AT ParkTheaterLVLITTLE MONSTERS PRE-SALE NOW,99,17,3,9,17,1,1,1,1,1,,"{""NP"": {""NNP#NNP#NNP"": 1, ""NNP#CC#NNP#NNP"": 1, ""NNP#NNP#NNP#NNP#NNP"": 1}, ""VP"": {""VBZ#NP#ADVP"": 1}, ""FRAG"": {""NP#:#S"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""^"": 9, ""N"": 2, "","": 1, ""&"": 1, ""P"": 1, ""R"": 1}"
LADY GAGA ENIGMA / JAZZ & PIANOTHE LAS VEGAS RESIDENCY AT ParkTheaterLVDECEMBER 2019 + SPRING 2020 TICKETSLITTLE MONSTERS PRE-SALE TOMORROWSIGN UP FOR YOUR UNIQUE CODEON SALE 6/28 ,180,32,7,19,13,2,1,1,1,1,,"{""NP"": {""NNP#NNP#NNP"": 1, ""NNP#CC#NNP#NNP"": 1, ""NNP#NNP#NNP#CD#CD#NNP#CD#NNP#NNP#NN"": 1, ""JJ#NNP#NNP#NNP#CD"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VB#PRT#PP"": 1, ""VBZ#S"": 1}, ""FRAG"": {""NP#:#S"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""^"": 8, ""N"": 7, "","": 1, ""&"": 2, ""P"": 2, ""$"": 3, ""V"": 1, ""T"": 1, ""D"": 1, ""A"": 1}"
Im very excited to bring Haus history to Las Vegas at  at Park MGM curated by nicola formichetti! The experience opens at 12pm tomorrow ,136,24,1,14,1,1,1,2,0,1,"👛:1,👠:1,💅:1,💕:1","{""NP"": {""NNP#NN"": 1, ""NN#NNS"": 1, ""NP#VP"": 1, ""CD"": 1, ""JJ#NN"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VBN#PP"": 1, ""VB#ADJP"": 1, ""VBZ#PP#NP"": 1}, ""S"": {""VP#."": 1}, ""ADJP"": {""RB#JJ#S"": 1, ""ADJP#ADVP"": 1}, ""ADVP"": {""IN#PP"": 1}}",0.0,0.885,0.115,"{""L"": 1, ""R"": 1, ""A"": 1, ""P"": 6, ""V"": 3, ""^"": 7, ""N"": 3, "","": 1, ""D"": 1, ""$"": 1}"
 May 30th only at Park MGM ,27,6,1,6,21,2,1,1,0,1,💋:1,"{""VP"": {""VBD#ADVP#PP"": 1}}",0.0,1.0,0.0,"{""V"": 1, ""A"": 1, ""R"": 1, ""P"": 1, ""^"": 2}"
 See u in Vegas Brian! ,23,5,1,3,0,1,0,0,1,0,🎺:1,"{""VP"": {""VB#NP#PP"": 1}, ""S"": {""VP#."": 1}}",0.0,1.0,0.0,"{""V"": 1, ""O"": 1, ""P"": 1, ""^"": 2, "","": 1}"
"Im so proud of Cynthia Germanotta for being asked to serve as Goodwill Ambassador for World Health Organization (WHO). The goal of Born This Way is to bring awareness to mental health and empower everyone to create a kinder and braver world, and this is a huge part of that ",274,50,1,28,20,1,0,3,1,0,💕:1,"{""NP"": {""NNP#NNP#NNP"": 1, ""NP#PRN"": 1, ""JJ#NN"": 1, ""DT#ADJP#NN"": 1, ""DT"": 2, ""DT#JJ#NN"": 1}, ""PP"": {""IN#S"": 2}, ""ADJP"": {""RB#JJ#PP"": 1, ""JJR"": 1, ""JJ"": 1, ""ADJP#CC#ADJP"": 1}, ""PRN"": {""-LRB-#NP#-RRB-"": 1}, ""VP"": {""VB#PP"": 1, ""VBN#S"": 1, ""VBG#VP"": 1, ""VB#ADJP#PP"": 1, ""NNP#NP"": 1, ""VB#NP#PP"": 1, ""VBZ#S"": 1, ""VBP#NP#S"": 1, ""VP#CC#VP"": 1, ""VBZ#NP"": 1}, ""S"": {""VP#."": 1, ""S#,#CC#S"": 1}}",0.0,0.749,0.251,"{""L"": 1, ""R"": 1, ""A"": 4, ""P"": 10, ""^"": 6, ""V"": 9, ""N"": 9, "","": 4, ""O"": 3, ""D"": 4, ""&"": 3}"
      I love you Alabama prayers to all women and young girls here are my thoughts:,83,15,1,9,17,1,1,0,0,6,,"{""NP"": {""DT#NNS"": 1, ""JJ#NNS"": 1, ""PRP$#NNS"": 1}, ""VP"": {""VBD#NP#PP"": 1, ""VBP#NP"": 1, ""VBP#SBAR"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""S#CC#S"": 1, ""NP#VP#:"": 1}, ""SBAR"": {""S"": 1}}",0.0,0.756,0.244,"{""O"": 2, ""V"": 2, ""^"": 1, ""N"": 4, ""P"": 1, ""D"": 2, ""&"": 1, ""A"": 1, ""R"": 1, "","": 1}"
Camp is a part of who we are. Its not something that we have to try to be. Watch the full video on Vogue Magazine!    ,118,25,1,20,0,2,1,1,1,3,,"{""NP"": {""RB#NN"": 1, ""DT#JJ#NN"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBP"": 1, ""VBZ#NP"": 1, ""VB"": 1, ""VB#S"": 1, ""VBP#S"": 1, ""VB#NP#SBAR"": 1, ""VB#NP#PP"": 1}, ""S"": {""VP#."": 2}, ""SBAR"": {""WHNP#S"": 1, ""IN#S"": 1}, ""PP"": {""IN#SBAR"": 1}}",0.0,1.0,0.0,"{""^"": 3, ""V"": 6, ""D"": 2, ""N"": 3, ""P"": 5, ""O"": 3, "","": 3, ""L"": 1, ""R"": 1, ""A"": 1}"
  3 John Shearer Getty Images,29,5,2,2,4,1,1,1,0,2,📸:1,"{""NP"": {""NNP#NNP#NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""$"": 1, ""^"": 3, ""N"": 1}"
  1,3,1,1,1,4,1,1,0,0,2,,"{""NP"": {""CD"": 1}, ""FRAG"": {""NP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,0.0,0.0,"{""$"": 1}"
    ,4,0,1,0,4,1,0,0,1,5,,{},0.0,0.0,0.0,{}
WERK!     ,10,1,1,0,3,1,0,0,1,5,,"{""FRAG"": {""NP#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""N"": 1, "","": 1}"
. Lady Gaga X Brandon Maxwell      ,35,6,1,4,3,1,0,2,1,5,,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1, ""NP"": 1}, ""NP"": {""NNP#NNP#NNP#NNP#NNP"": 1}}",0.0,1.0,0.0,"{"","": 1, ""^"": 4, ""E"": 1}"
 thank u Karlie see u tonight ,30,6,1,3,19,1,0,0,1,0,"😭:1,💞:1","{""NP"": {""JJ#NN"": 1}, ""VP"": {""VB#S"": 1}}",0.0,0.545,0.455,"{""V"": 2, ""O"": 2, ""^"": 1, ""R"": 1}"
Im so proud of my mom for joining  this year with the mission of calling on ALL of us to speak more about mental health and support each other. I'm so grateful for Cynthia Germanotta every single day  Follow her and read her beautiful words ,241,45,1,27,0,3,0,1,2,1,💗:1,"{""NP"": {""JJR"": 1, ""JJ#NN"": 1, ""DT#JJ"": 1, ""DT#JJ#NN"": 1, ""PRP$#JJ#NNS"": 1, ""NP#SBAR"": 1}, ""PP"": {""IN#S"": 2}, ""ADJP"": {""RB#JJ#PP"": 2}, ""VP"": {""VB#NP#PP"": 1, ""VP#CC#VP"": 2, ""VBG#PP#S"": 1, ""VBG#NP#PP"": 1, ""VB#ADJP#PP"": 1, ""VBP#ADJP"": 1}, ""S"": {""VP#."": 1}, ""SBAR"": {""S"": 1}}",0.0,0.747,0.253,"{""L"": 2, ""R"": 3, ""A"": 5, ""P"": 9, ""D"": 7, ""N"": 7, ""V"": 6, ""O"": 2, ""&"": 2, "","": 1, ""^"": 2}"
Thank u so much  iHeartRadio,28,5,1,3,5,1,1,1,0,0,💞:1,"{""ADJP"": {""RB#JJ"": 1}, ""NP"": {""JJ#ADJP#NN"": 1}}",0.0,0.545,0.455,"{""V"": 1, ""O"": 1, ""R"": 1, ""A"": 1, ""^"": 1}"
"Rumors Im pregnant? Yeah, Im pregnant with ",43,7,1,3,23,1,0,0,0,1,,"{""ADJP"": {""JJ"": 1}, ""S"": {""NP#ADJP#."": 1}, ""ROOT"": {""FRAG"": 1}, ""INTJ"": {""UH"": 1}, ""PP"": {""IN"": 1, ""NP#PP"": 1}, ""FRAG"": {""INTJ#,#PP"": 1}}",0.0,0.732,0.268,"{""N"": 1, ""L"": 2, ""A"": 2, "","": 2, ""!"": 1, ""P"": 1}"
.Cynthia Germanotta! I celebrate and honor her for  (and every day) for helping me lead Born This Way to create a movement to increase awareness around mental wellness and decrease stigma through programs like   Who do YOU celebrate? ,234,38,1,20,15,1,0,2,1,3,💝:1,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1, ""NP"": 1}, ""NP"": {""NNP#NNP#."": 1, ""JJ#NNS"": 1, ""DT#NN#S"": 2}, ""VP"": {""VBP"": 1, ""VB#NP#PP"": 1, ""VB"": 1, ""VB#NP#PP#PP"": 2, ""VP#CC#VP"": 2, ""VBN#NP"": 1, ""VB#VP"": 1, ""VBG#S"": 1}, ""PP"": {""CC#NP"": 1, ""IN#PRN"": 1, ""IN#SBARQ"": 1, ""IN#S"": 1}, ""PRN"": {""-LRB-#PP#-RRB-"": 1}, ""WHNP"": {""WP"": 1}, ""SQ"": {""VBP#NP#VP"": 1}, ""SBARQ"": {""WHNP#SQ#."": 1}}",0.0,0.55,0.45,"{"","": 5, ""^"": 2, ""O"": 5, ""V"": 10, ""&"": 3, ""P"": 7, ""D"": 3, ""N"": 8}"
I cant believe the soundtrack and Shallow are number one this week  I couldnt be more proud of this film and the entire team behind it. Thank u so much. ,153,30,1,20,17,1,0,0,1,0,"😭:1,🌟:1","{""NP"": {""NP#CC#NP"": 2, ""NN#CD"": 1, ""NP#NP"": 1, ""DT#JJ#NN"": 1, ""NP#SBAR"": 1}, ""ADVP"": {""RB#RB"": 1}, ""ADJP"": {""RBR#JJ#PP"": 1}, ""VP"": {""VB#ADJP#PP"": 1, ""VBP#VP"": 1, ""VBP#NP"": 1, ""VBP#SBAR"": 1, ""VB#NP#ADVP"": 1}, ""S"": {""NP#ADVP#VP#."": 1, ""VP#."": 1}, ""SBAR"": {""S"": 2}}",0.091,0.785,0.124,"{""O"": 4, ""V"": 6, ""D"": 4, ""N"": 5, ""&"": 2, ""A"": 4, ""$"": 1, ""R"": 2, ""P"": 2, "","": 2}"
