fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Happy 99th Birthday to the 19th Amendment!   The Constitution guaranteed women the right to vote 99 years ago today!!,117,19,1,10,13,1,0,0,0,0,🎂:1,"{""NP"": {""JJ#JJ#NN"": 1, ""DT#JJ#NN"": 1, ""NP#PP#."": 1, ""DT#NNP"": 1, ""CD#NNS"": 1, ""DT#ADJP#NN"": 1, ""NP#NP"": 1}, ""ROOT"": {""NP"": 1}, ""ADVP"": {""NP#RB"": 1}, ""VP"": {""VB#ADVP#NP"": 1, ""VBD#NP"": 1}, ""ADJP"": {""JJ#S"": 1}}",0.0,0.797,0.203,"{""A"": 4, ""$"": 2, ""N"": 6, ""P"": 3, ""D"": 3, "","": 2, ""V"": 1}"
,0,0,0,0,13,1,0,0,1,0,,{},0.0,0.0,0.0,{}
Intriguing how much the fate of our constitutional democracy seems to be within Xis power to shape. ,100,17,2,10,11,1,0,0,1,0,,"{""WHADJP"": {""WRB#JJ"": 1}, ""NP"": {""PRP$#JJ#NN"": 1, ""NNP#NN"": 1}, ""VP"": {""VB"": 1, ""VB#PP#S"": 1, ""VBZ#S"": 1, ""VBG#SBAR"": 1}, ""S"": {""VP#."": 1}, ""SBAR"": {""WHADJP#S"": 1}}",0.0,1.0,0.0,"{""A"": 3, ""R"": 1, ""D"": 2, ""N"": 4, ""P"": 4, ""V"": 2, ""^"": 1, "","": 1}"
"Mazel Tov, Trump. Youve Revived the Jewish Left.",48,8,1,2,9,1,0,0,1,0,,"{""NP"": {""NP#,#NP#."": 1, ""DT#JJ#NN"": 1}, ""ROOT"": {""NP"": 1}, ""VP"": {""VBD#NP"": 1}}",0.0,1.0,0.0,"{""!"": 2, "","": 3, ""^"": 3, ""L"": 1, ""V"": 1, ""D"": 1}"
"Born 1776, Gabriel led a slave revolt that almost succeeded. Executed by hanging on Oct. 10, 1800, exactly 141 years to the day before my birth, this brilliant visionary sought freedom for his people. We should celebrate his birth each Independence Day. ",254,42,2,20,17,1,0,0,1,0,,"{""NP"": {""CD"": 1, ""DT#NN#NN"": 1, ""NP#SBAR"": 1, ""NNP#CD#,#CD"": 1, ""CD#NNS"": 1, ""DT#JJ#NN"": 1, ""PRP$#NNS"": 1, ""DT#NNP#NNP"": 1}, ""VP"": {""NNP#NP"": 1, ""VBN"": 1, ""VBD#NP"": 1, ""VBG#PRT#NP#,#ADVP#PP"": 1, ""VBN#PP"": 1, ""VBD#NP#PP"": 1, ""VB#S"": 1, ""MD#VP"": 1}, ""S"": {""ADVP#VP"": 1, ""S#,#NP#VP#."": 2, ""NP#NP"": 1}, ""WHNP"": {""WDT"": 1}, ""ADVP"": {""RB#NP#PP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""PRT"": {""RP"": 1}, ""PP"": {""IN#S"": 1}}",0.0,0.663,0.337,"{""V"": 8, ""$"": 4, "","": 8, ""^"": 2, ""D"": 7, ""N"": 11, ""P"": 6, ""R"": 2, ""A"": 1, ""O"": 1}"
"The National Park Service tomorrow will mark the 400th anniversary of the landing of the first enslaved Africans in the English colonies  at Point Comfort, Va.  with a nationwide bell-ringing at 3 PM. Bells will ring simultaneously for four minutesone minute for each century.",276,44,1,24,16,1,0,0,0,0,,"{""NP"": {""DT#NNP#NNP#NNP#NN"": 1, ""DT#JJ#NN"": 2, ""DT#JJ#JJ#NNPS"": 1, ""DT#JJ#NNS"": 1, ""NP#,#NP"": 1, ""CD#NN"": 1, ""NNPS"": 1, ""CD#JJ#NN"": 1}, ""VP"": {""VB#NP#PP#PP"": 1, ""MD#VP"": 2, ""VB#ADVP#PP"": 1}, ""ROOT"": {""FRAG"": 1}, ""FRAG"": {""PP#."": 1}}",0.06,0.885,0.055,"{""D"": 7, ""N"": 11, ""^"": 7, ""V"": 5, ""A"": 3, ""P"": 8, "","": 4, ""$"": 2, ""R"": 1}"
An impeached Trump who escapes conviction in the Senate will be weaker in 2020 than a Trump who can brag that not even a Democratically controlled House could impeach him. And GOP Senators who give him a pass will be easier to defeat than ones whore spared any need to be counted,279,52,1,34,13,1,0,0,0,0,,"{""NP"": {""DT#NNP#NNP"": 1, ""DT#NNP"": 3, ""NP#SBAR"": 3, ""CD"": 1, ""DT"": 1, ""DT#NN#S"": 1}, ""WHNP"": {""WP"": 3}, ""VP"": {""VBZ#NP"": 1, ""MD#VP"": 4, ""VBD#SBAR"": 1, ""VB#NP#SBAR"": 1, ""VB#ADJP"": 1, ""VBN"": 1, ""VB#VP"": 1, ""VBD#NP"": 1, ""VB#SBAR"": 1, ""VB#ADJP#S"": 1, ""VBP#NP#NP"": 1, ""VBZ#SBAR"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""CC#NP#VP"": 1}, ""SBAR"": {""WHNP#S"": 3, ""S"": 2, ""RB#RB#S"": 1, ""IN#S"": 1}, ""ADJP"": {""JJR#PP#PP"": 1, ""JJR"": 1}}",0.174,0.752,0.074,"{""D"": 6, ""V"": 17, ""^"": 4, ""O"": 6, ""N"": 6, ""P"": 6, ""A"": 2, ""$"": 1, ""R"": 3, "","": 1, ""&"": 1}"
".Anthony Scaramucci is making sense now. Im as cynical as the next guy, and maybe I just want to give a former student the benefit of the doubt, but I say better late than never. Can Republican leaders who still fear Trump be persuaded that hes a lost cause? That is the big question.",284,54,1,35,21,1,0,1,1,0,,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1, ""SQ"": 1}, ""NP"": {""DT#JJ#NN"": 4, ""DT"": 1}, ""ADVP"": {""RBR#RB"": 1, ""ADVP#PP"": 1}, ""VP"": {""VBG#NP#ADVP"": 1, ""VBZ#VP"": 1, ""VB#ADJP#PP#,#FRAG"": 1, ""VB#NP#NP"": 1, ""VBP#S"": 2, ""VBP#ADVP"": 1, ""VBP#NP"": 1, ""VBN#SBAR"": 1, ""VB#VP"": 1, ""VBZ#NP"": 1}, ""S"": {""S#ADVP#VP"": 1, ""S#,#CC#S#."": 1, ""ADVP#VP"": 1}, ""ADJP"": {""RB#JJ"": 1}, ""PP"": {""IN#ADVP"": 1}, ""FRAG"": {""CC#RB#NP"": 1}, ""WHNP"": {""WP"": 1}, ""SBAR"": {""IN#S"": 1, ""WHNP#S"": 1}, ""SQ"": {""VBD#NP#NP#SBAR#."": 1}}",0.178,0.707,0.115,"{"","": 7, ""^"": 3, ""V"": 10, ""N"": 7, ""R"": 7, ""L"": 2, ""A"": 7, ""P"": 6, ""D"": 6, ""&"": 2, ""O"": 4}"
"Right. The clerks personal beliefs, religious or otherwise, clearly cant excuse her violation of anyones constitutional rights. If she couldnt in good conscience perform her duties, she shouldve resigned. ",205,29,2,11,21,1,0,0,1,0,,"{""ADVP"": {""RB#."": 1}, ""ROOT"": {""ADVP"": 1}, ""NP"": {""DT#JJ#JJ#NNS"": 1, ""NP#,#ADJP#,"": 1, ""JJ#JJ#NNS"": 1, ""JJ#NN"": 1, ""PRP$#NNS"": 1}, ""ADJP"": {""JJ#CC#RB"": 1}, ""VP"": {""MD#VP"": 1, ""VBP#PP#S"": 1, ""VBD"": 1}, ""S"": {""NP#ADVP#VP#."": 1, ""SBAR#,#NP#ADVP#VP#."": 1}, ""SBAR"": {""IN#S"": 1}}",0.161,0.687,0.152,"{""!"": 1, "","": 6, ""D"": 4, ""N"": 6, ""A"": 4, ""&"": 1, ""R"": 2, ""V"": 6, ""P"": 3, ""O"": 2}"
,0,0,0,0,19,1,0,0,1,0,,{},0.0,0.0,0.0,{}
