fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
alisha th,9,2,1,1,15,1,0,1,0,0,🐻:1,"{""NP"": {""NN#NN"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 1, ""G"": 1}"
Children with Cancer UKs so much fun it was amazing to meet you Suki ,69,14,1,11,15,1,0,1,0,0,,"{""NP"": {""ADJP#NN"": 1, ""NP#SBAR"": 1}, ""ADJP"": {""RB#JJ"": 1, ""JJ#S"": 1}, ""VP"": {""VBD#ADJP"": 1, ""VBZ#PP#NP"": 1}, ""SBAR"": {""S"": 1}, ""SINV"": {""VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.193,0.483,0.324,"{""N"": 2, ""P"": 2, ""^"": 3, ""R"": 1, ""A"": 2, ""O"": 2, ""V"": 2}"
Twinkle twinkle hand in hand ,29,5,1,3,14,1,1,0,0,0,💫:1,"{""NP"": {""JJ#NN"": 1}, ""VP"": {""VB#NP#PP"": 1}}",0.0,0.319,0.681,"{""^"": 2, ""N"": 2, ""P"": 1}"
I went on an amazing adventure with Anthony Middleton....cant wait for you to see it on Sky One and Now TV later this year! ,124,24,1,18,10,1,1,2,0,1,,"{""NP"": {""DT#JJ#NN"": 1, ""NNP#CD"": 1, ""RBR#DT#NN"": 1}, ""VP"": {""VBD#PP#PP"": 1, ""VB#S"": 1, ""VBP#SBAR"": 1}, ""S"": {""NP#PP"": 1, ""ADVP#NP#NP"": 1, ""S#CC#S"": 1, ""S#:#S#."": 1}, ""SBAR"": {""IN#S"": 1}}",0.0,0.767,0.233,"{""O"": 3, ""V"": 4, ""P"": 5, ""D"": 2, ""A"": 1, ""N"": 3, ""^"": 3, "","": 2, ""$"": 1, ""&"": 1, ""R"": 2}"
So sorry to announce that the  event for Children with Cancer UK tonight is cancelled due to weather. Hope to see you all very soon x,133,26,1,18,11,1,1,1,0,1,,"{""ADJP"": {""RB#JJ"": 1, ""JJ#S"": 1}, ""NP"": {""SYM"": 1}, ""VP"": {""VB"": 1, ""VBN#ADJP"": 1, ""VBZ#VP"": 1, ""VB#SBAR"": 1, ""VB#S"": 1}, ""S"": {""NP#NP#VP"": 1, ""NP#ADVP#NP"": 1}, ""SBAR"": {""IN#S"": 1}, ""FRAG"": {""ADJP#S#."": 1, ""NP#S"": 1}, ""ROOT"": {""FRAG"": 2}, ""ADVP"": {""DT#RB#RB"": 1}}",0.251,0.658,0.091,"{""R"": 3, ""A"": 2, ""P"": 6, ""V"": 5, ""D"": 2, ""N"": 3, ""^"": 3, "","": 1, ""O"": 1, ""E"": 1}"
B is for...,11,3,1,2,16,12,1,0,0,0,,"{""PP"": {""IN"": 1}, ""VP"": {""VBZ#PP"": 1}, ""S"": {""NP#VP#:"": 1}}",0.0,1.0,0.0,"{""N"": 1, ""V"": 1, ""P"": 1, "","": 1}"
"This was such a special show, thanks for having me Brazil ",58,11,1,6,16,12,1,0,0,0,,"{""NP"": {""DT"": 1, ""PDT#DT#JJ#NN"": 1}, ""VP"": {""VB"": 1, ""VBG#S"": 1, ""VBD#NP#,#PP"": 1}, ""PP"": {""NP#IN#S"": 1}}",0.0,0.588,0.412,"{""O"": 2, ""V"": 2, ""A"": 2, ""D"": 1, ""N"": 2, "","": 1, ""P"": 1, ""^"": 1}"
"My  show for Children with Cancer UK is supporting children with cancer. I want to give away some tickets for those of you that cant buy them so you can see the fantastic work thats done. To be entered for your chance to win a pair, click here  for details.",257,50,1,35,20,1,1,1,1,1,,"{""NP"": {""DT#NNS"": 1, ""DT"": 1, ""DT#ADJP#NN#NNS"": 1, ""NP#VP"": 1, ""PRP$#NN#S"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VBZ#VP"": 1, ""VBN"": 1, ""MD#VP"": 1, ""VBP#NP#SBAR"": 1, ""VB#PRT#NP#SBAR"": 1, ""VBP#S"": 1, ""VB#ADVP#PP"": 1, ""VP#,#VP"": 1, ""VBN#PP"": 1, ""VB#VP"": 1}, ""S"": {""VP#."": 1}, ""PRT"": {""RP"": 1}, ""ADJP"": {""JJ"": 1}, ""SBAR"": {""IN#S"": 2}}",0.139,0.647,0.215,"{""D"": 6, ""N"": 8, ""P"": 11, ""^"": 3, ""V"": 13, "","": 4, ""O"": 5, ""R"": 2, ""A"": 1, ""L"": 1}"
Finally... someone that talks my language ,42,6,1,2,17,1,1,0,0,0,😂:1,"{""NP"": {""NP#SBAR"": 1, ""NP#:#NP"": 1}, ""WHNP"": {""WDT"": 1}, ""VP"": {""VBZ#NP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""R"": 1, "","": 1, ""N"": 2, ""P"": 1, ""V"": 1, ""D"": 1}"
So proud to welcome everyone to the new HUGO BOSS Corporate store! Great to see all of these people in Miami and the reaction to the HUGO collection! ,150,28,1,17,20,1,1,1,0,1,,"{""ADJP"": {""RB#JJ"": 1, ""JJ#S#."": 1}, ""NP"": {""DT#JJ#NNP#NNP#JJ#NN"": 1, ""DT"": 1, ""DT#NNS"": 1, ""NP#CC#NP"": 1, ""DT#NNP#NN"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VB#NP#PP#PP"": 1}, ""FRAG"": {""ADJP#S#."": 1}, ""ROOT"": {""FRAG"": 1, ""ADJP"": 1}}",0.0,0.688,0.312,"{""R"": 1, ""A"": 4, ""P"": 6, ""V"": 2, ""N"": 6, ""D"": 5, ""^"": 3, "","": 2, ""&"": 1}"
