fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Also gonna be playing some new songs at Madrid! Exciting,56,10,1,5,11,1,0,0,0,0,,"{""NP"": {""DT#JJ#NNS"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VB#VP"": 1, ""VB#S"": 1}, ""S"": {""ADVP#VP#."": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.602,0.398,"{""R"": 1, ""V"": 3, ""D"": 1, ""A"": 2, ""N"": 1, ""P"": 1, ""^"": 1, "","": 1}"
Madrid is gonna be MASSIVE! Cant fucking wait now!,50,9,1,5,11,1,0,0,0,0,,"{""NP"": {""JJ#NN"": 1}, ""ADJP"": {""JJ"": 1}, ""VP"": {""VB#ADJP"": 1, ""VBG#S"": 1, ""VBZ#VP"": 1, ""VBP#ADVP"": 1}}",0.0,1.0,0.0,"{""^"": 1, ""V"": 6, ""A"": 1, "","": 2, ""R"": 1}"
Papi De La I Need 10 Plumbers grumpy fucker Mr Bouller,54,11,1,7,11,1,0,1,0,0,,"{""NP"": {""NNP#NNP#NNP#NNP#NNP"": 1, ""CD#NNS"": 1, ""NN#NN#NNP#NNP"": 1, ""NP#NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.323,0.677,0.0,"{""^"": 5, ""O"": 1, ""V"": 1, ""$"": 1, ""N"": 2, ""A"": 1}"
Just another thank you to everyone who voted for the award. Youre all incredible!! Not long now.....,100,17,1,9,13,1,0,0,0,0,,"{""ADVP"": {""RB#RB#RB"": 1}, ""NP"": {""DT"": 1, ""NP#SBAR"": 1, ""DT#JJ#NN"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBD#PP"": 1, ""VBP#NP#PP"": 1, ""VB#NP#ADVP"": 1}, ""S"": {""ADVP#NP#VP#."": 1, ""VP#:"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.0,0.695,0.305,"{""R"": 4, ""D"": 3, ""V"": 2, ""O"": 2, ""P"": 2, ""N"": 2, "","": 3, ""L"": 1, ""A"": 1}"
Just wanted to say a massive congratulations to Daniel James Youre clearly a strong lad mentally. Wishing you all the best mate!,128,22,2,11,23,1,0,1,0,0,,"{""NP"": {""DT#JJ#NNS"": 1, ""RB#DT#JJ#NN"": 1, ""NP#ADJP"": 1, ""DT#JJS#NN"": 1}, ""PP"": {""RB#NP"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VBD#S"": 1, ""VBG#NP#PP"": 1}, ""S"": {""VP#."": 1}, ""ADJP"": {""NP#RB"": 1}, ""SINV"": {""ADVP#VP#NP#."": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.479,0.521,"{""R"": 3, ""V"": 3, ""P"": 2, ""D"": 4, ""A"": 3, ""N"": 3, ""^"": 2, ""L"": 1, "","": 2, ""O"": 1}"
tori re missing the point haha,30,6,1,4,16,1,0,1,0,0,,"{""NP"": {""DT#NN#NN"": 1}, ""VP"": {""VBG#NP"": 1, ""VBP#S"": 1}}",0.239,0.435,0.326,"{""^"": 1, ""N"": 2, ""V"": 1, ""D"": 1, ""!"": 1}"
hugo  only just updated it...,29,5,1,3,16,1,0,1,0,0,,"{""VP"": {""VBZ#NP"": 1}, ""S"": {""NP#ADVP#ADVP#VP#:"": 1}}",0.0,1.0,0.0,"{""^"": 1, ""R"": 2, ""V"": 1, ""O"": 1, "","": 1}"
Moonnything to do with the fact its your username haha? Sorry love,66,12,1,8,16,1,0,1,0,0,,"{""ADJP"": {""JJ"": 2}, ""NP"": {""PRP$#ADJP#NN"": 1, ""PRP$#NP"": 1, ""NP#NP"": 1, ""JJ#NN"": 1}, ""VP"": {""VB#PP"": 1}, ""FRAG"": {""ADJP#S#."": 1}, ""ROOT"": {""FRAG"": 1, ""NP"": 1}}",0.074,0.514,0.411,"{""V"": 2, ""P"": 2, ""D"": 2, ""N"": 3, ""L"": 1, ""!"": 1, "","": 1, ""A"": 1}"
y/n  is at a festival laraelaura one is on the album. Might even be a single,76,16,1,11,16,1,0,3,0,0,,"{""NP"": {""DT#NN#NN"": 1, ""NP#SBAR"": 1, ""DT#JJ"": 1}, ""VP"": {""VBZ#PP"": 2, ""VB#RB#VP"": 1}, ""SBAR"": {""S"": 1}}",0.0,0.802,0.198,"{""!"": 1, ""V"": 4, ""P"": 3, ""D"": 3, ""N"": 2, ""$"": 1, "","": 1, ""R"": 1, ""A"": 1}"
   &  there,11,2,1,1,16,1,0,1,0,0,🏹:1,"{""NP"": {""SYM"": 1, ""RB"": 1, ""NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""&"": 1, ""R"": 1}"
kaat tlaura haha? Sorry to disappoint but not one of my tunes,61,12,1,7,16,1,0,2,0,0,,"{""NP"": {""NN#NN"": 1, ""RB#CD"": 1, ""PRP$#NNS"": 1}, ""VP"": {""VB"": 1}, ""SQ"": {""VP#."": 1}, ""ROOT"": {""SQ"": 1, ""UCP"": 1}, ""ADJP"": {""RB#S"": 1}, ""UCP"": {""ADJP#CC#NP"": 1}}",0.214,0.643,0.143,"{""^"": 2, ""!"": 1, "","": 1, ""A"": 1, ""P"": 2, ""V"": 1, ""&"": 1, ""R"": 1, ""$"": 1, ""D"": 1, ""N"": 1}"
luca THANK YOU LOUISot a pic?,29,6,1,4,16,1,0,3,0,0,,"{""VP"": {""VBD#S"": 1}}",0.0,0.553,0.447,"{""^"": 1, ""V"": 2, ""O"": 1, ""D"": 1, ""N"": 1, "","": 1}"
