fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
 thank you to whoever decided to reference this song. Only the hardcore fans know it but it means so much to me on an artistic and personal level,145,28,1,18,23,1,0,0,1,0,"😮:2,🙏:1","{""NP"": {""RB#DT#NN#NNS"": 1, ""DT#JJ#CC#JJ#NN"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBD#S"": 1, ""VB#NP#PP"": 1, ""VBZ#ADVP#PP"": 1, ""VBP#NP#SBAR"": 1}, ""S"": {""VP#."": 1}, ""SBAR"": {""WHNP#S"": 1, ""CC#S"": 1}, ""PP"": {""TO#SBAR"": 1}, ""ADVP"": {""RB#RB"": 1, ""ADVP#PP"": 1}}",0.0,0.939,0.061,"{""V"": 5, ""O"": 5, ""P"": 4, ""D"": 3, ""N"": 4, "","": 1, ""R"": 3, ""&"": 2, ""A"": 2}"
Me: Liking a friend's 19th duck face selfie of the dayAlso me:,62,13,2,10,2,1,1,0,0,0,,"{""NP"": {""DT#NN#POS"": 1, ""NP#JJ#NN#NN#NN"": 1, ""NP#NP"": 1, ""DT#NN#PRP"": 1, ""NP#:#NP#PP#:"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.787,0.213,"{""O"": 2, "","": 2, ""V"": 1, ""D"": 2, ""S"": 1, ""A"": 1, ""N"": 3, ""P"": 1, ""^"": 1}"
Let's go Mr. H!!! Extra credit for all!,39,8,1,5,22,1,0,0,1,0,,"{""NP"": {""NNP#POS"": 1, ""NNP#NNP#NNP#NNP#NN"": 1, ""DT"": 1}, ""VP"": {""VBP#NP"": 1}}",0.0,0.65,0.35,"{""L"": 1, ""V"": 1, ""^"": 2, "","": 2, ""A"": 1, ""N"": 1, ""P"": 1, ""D"": 1}"
,0,0,0,0,8,1,0,1,0,0,😂:3,{},0.0,0.0,0.0,{}
"Wow the lambily really knows ""this one"" and that one, by the pool, on the beach, in the streets!! Do you know this one? ",120,24,1,17,8,1,0,0,1,0,😂:1,"{""INTJ"": {""UH"": 1}, ""NP"": {""DT#CD#CC#DT#NN"": 1, ""NP#,#PP#,"": 1, ""DT#NNS#NN"": 1}, ""VP"": {""VBZ#``#NP#,#PP"": 1, ""VBP"": 1, ""VBP#SBAR"": 1}, ""S"": {""INTJ#NP#ADVP#VP"": 1}, ""SBAR"": {""S"": 1}, ""SINV"": {""S#VP#NP#."": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.84,0.16,"{""!"": 1, ""D"": 7, ""^"": 1, ""R"": 1, ""V"": 3, "","": 7, ""$"": 3, ""&"": 1, ""P"": 3, ""N"": 3, ""O"": 1}"
"Thank you dahhling, I do try to make time for travel! ",54,11,1,8,7,1,0,0,1,0,💋:1,"{""ADJP"": {""JJ"": 1}, ""S"": {""NP#ADJP"": 1, ""S#,#NP#VP#."": 1}, ""VP"": {""VB#S"": 2, ""VB#NP#PP"": 1, ""VBP#VP"": 1}}",0.0,0.763,0.237,"{""V"": 4, ""O"": 2, ""N"": 3, "","": 2, ""P"": 2}"
I was just checking!!,21,4,1,3,7,1,0,0,1,0,,"{""VP"": {""VBG#NP"": 1, ""VBD#ADVP#VP"": 1}}",0.0,1.0,0.0,"{""O"": 1, ""V"": 2, ""R"": 1, "","": 1}"
Awwwww  me and demkids singing along right now!,47,8,1,3,7,1,0,0,1,0,💖:1,"{""VP"": {""VBG#NP"": 1, ""VBG#ADVP#ADVP"": 1}, ""S"": {""ADVP#VP"": 1, ""S#CC#S#."": 1}, ""ADVP"": {""RB#RB"": 1}}",0.0,1.0,0.0,"{""!"": 1, ""O"": 1, ""&"": 1, ""V"": 2, ""P"": 1, ""R"": 2, "","": 1}"
I prefer to wait until the day after Thanksgiving but that's just me ,69,13,1,8,3,1,1,0,1,0,,"{""VP"": {""VB#PP#PP"": 1, ""VBZ#ADVP#NP"": 1, ""VBP#SBAR"": 1}, ""SBAR"": {""S"": 1, ""WHNP#S"": 1, ""SBAR#CC#SBAR"": 1}, ""WHNP"": {""WDT"": 1}}",0.0,1.0,0.0,"{""O"": 2, ""V"": 2, ""P"": 3, ""D"": 1, ""N"": 1, ""^"": 1, ""&"": 1, ""L"": 1, ""R"": 1}"
Mark Sundstromt is time for bed!,32,6,1,5,10,1,0,1,0,0,😴:1,"{""VP"": {""VBZ#NP"": 1}}",0.0,1.0,0.0,"{""^"": 2, ""V"": 1, ""N"": 2, ""P"": 1, "","": 1}"
"At the end of the day, it's just for laughs!!  ",47,10,1,9,10,1,1,0,1,0,😂:1,"{""VP"": {""VBZ#ADVP#PP"": 1}, ""S"": {""PP#,#NP#VP"": 1}}",0.0,0.704,0.296,"{""P"": 3, ""D"": 2, ""N"": 2, "","": 2, ""L"": 1, ""R"": 1, ""V"": 1}"
Me right now: ,14,3,1,2,10,1,1,0,1,0,,"{""ADVP"": {""RB#RB"": 1}, ""VP"": {""VBG#ADVP"": 1}, ""S"": {""VP#:"": 1}}",0.0,1.0,0.0,"{""O"": 1, ""R"": 2, "","": 1}"
"Off to put some finishing touches on ""in the mix""!  mixed-ish",61,11,1,7,22,1,1,1,0,0,🎶:1,"{""NP"": {""DT#VBG#NNS"": 1}, ""X"": {""IN#NP"": 1}, ""PP"": {""IN#``#X"": 1}, ""ADJP"": {""JJ#S#."": 1}, ""ROOT"": {""ADJP"": 1, ""NP"": 1}}",0.0,1.0,0.0,"{""P"": 4, ""V"": 3, ""D"": 2, "","": 3, ""N"": 1, ""A"": 1}"
,0,0,0,0,0,1,0,1,0,0,😂:2,{},0.0,0.0,0.0,{}
Ok lambily where are you sitting? I'll be table hopping,55,10,2,5,0,1,1,0,0,0,💃:1,"{""WHADVP"": {""ADVP#WRB"": 1}, ""NP"": {""NP#VP"": 1}, ""VP"": {""VBG"": 2, ""MD#VP"": 1}, ""SQ"": {""VBP#NP#VP"": 1}, ""SBARQ"": {""RB#WHADVP#SQ#."": 1}, ""ROOT"": {""SBARQ"": 1}}",0.0,0.804,0.196,"{""!"": 1, ""R"": 2, ""V"": 4, ""O"": 1, "","": 1, ""L"": 1, ""N"": 1}"
,0,0,0,0,18,1,1,0,1,0,,{},0.0,0.0,0.0,{}
"For the first time in the US, DAYDREAM is now available on metallic gold vinyl exclusively through Vinyl Me, Please. Get your copy @ ",133,24,1,15,21,1,1,1,1,0,,"{""NP"": {""DT#JJ#NN"": 1, ""DT#NNP"": 1, ""JJ#NN#NN"": 1, ""NP#ADVP"": 1, ""PRP$#NN#NN"": 1}, ""ADVP"": {""RB#PP"": 1}, ""ADJP"": {""RB#JJ#PP"": 1}, ""INTJ"": {""UH"": 1}, ""VP"": {""VBZ#ADJP#,#INTJ"": 1}, ""S"": {""PP#,#NP#VP#."": 1}}",0.0,0.905,0.095,"{""P"": 5, ""D"": 3, ""A"": 3, ""N"": 6, ""^"": 1, "","": 3, ""V"": 3, ""R"": 2, ""O"": 1}"
Love takes time.. but so does binging this amazing show!! No spoilers please!! PoseFX Billy Porter Steven Canals Janet Mock ,124,20,1,7,20,1,1,4,1,0,,"{""NP"": {""DT#JJ#NN#NN"": 1, ""DT#NNS"": 1, ""NP#SBAR"": 1, ""NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP"": 1}, ""VP"": {""VBZ#NP"": 1, ""VBP"": 1, ""VBG#NP"": 1, ""VBZ#S"": 1}, ""S"": {""NP#VP#.#."": 1}, ""ROOT"": {""SINV"": 1}, ""ADVP"": {""RB#RB"": 1}, ""SBAR"": {""S"": 1}, ""SINV"": {""ADVP#VP#NP"": 1}}",0.189,0.435,0.376,"{""V"": 5, ""N"": 3, "","": 3, ""&"": 1, ""R"": 1, ""D"": 2, ""A"": 1, ""^"": 7}"
"The ""baaaah"" took me out ",25,5,1,4,16,1,0,0,1,0,"😭:1,😂:1","{""NP"": {""DT#``#NN"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VBD#NP#PRT"": 1}}",0.0,1.0,0.0,"{""D"": 1, "","": 2, ""!"": 1, ""V"": 1, ""O"": 1, ""T"": 1}"
Reggie Aqui make an exception for you! ,39,7,1,5,13,1,0,1,0,0,,"{""VP"": {""VBP#NP"": 1}}",0.0,1.0,0.0,"{""^"": 2, ""V"": 1, ""D"": 1, ""N"": 1, ""P"": 1, ""O"": 1, "","": 1}"
