fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
The fires in the Amazon rainforest are an international emergency and will only accelerate the climate crisisbut responsible action can put an end to it. The future of our planet is at stake. ,192,33,1,20,18,4,0,0,1,1,,"{""NP"": {""DT#NNS"": 1, ""DT#NNP#NN"": 1, ""DT#JJ#NN"": 1, ""DT#NN#NN"": 1}, ""VP"": {""PP#VBP#NP"": 1, ""VB#NP#PP"": 1, ""MD#VP"": 1, ""VB#S"": 1, ""MD#ADVP#VP"": 1, ""VP#CC#VP"": 1, ""VBZ#PP"": 1}, ""ADJP"": {""JJ"": 1}, ""S"": {""NP#ADJP#SBAR"": 1}, ""SBAR"": {""S"": 1}}",0.071,0.82,0.109,"{""D"": 7, ""N"": 11, ""P"": 4, ""^"": 1, ""V"": 6, ""&"": 1, ""R"": 1, ""A"": 1, ""O"": 1, "","": 2}"
John McCain understood that progress requires civil dialogue between those who hold different views. Its up to all of us to follow his example. ,144,24,1,12,21,4,0,0,1,1,,"{""NP"": {""JJ#NN"": 1, ""DT"": 2, ""JJ#NNS"": 1, ""NP#SBAR"": 1, ""PRP$"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBP#NP"": 1, ""VBZ#NP"": 1, ""VBD#SBAR"": 1, ""ADVP#S"": 1}, ""SBAR"": {""WHNP#S"": 1, ""IN#S"": 1}, ""ADVP"": {""RB#PP"": 1}}",0.0,0.891,0.109,"{""^"": 2, ""V"": 4, ""D"": 3, ""N"": 4, ""A"": 2, ""P"": 4, ""O"": 3, "","": 2, ""L"": 1, ""T"": 1}"
"Governor Roy Cooper, @GovEvers hasGovernor Tony Eversmilar initiative, taking executive action to move his state forward to become carbon-free by 2050. Thanks to this kind of leadership at the state level, the United States is closer to moving #BeyondCarbon/aIrOsxmmbR",268,39,1,16,17,4,0,2,1,1,,"{""NP"": {""NNP#NNP#NNP"": 1, ""NNS#NN#NNP#NNP#NN"": 1, ""JJ#NN"": 1, ""CD"": 1, ""NP#,#NP#,#VP#."": 1, ""DT#NN#NN"": 1, ""DT#NNP#NNPS"": 1, ""JJ#JJ#NN"": 1}, ""PP"": {""TO#S"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VB#NP#ADVP#S"": 1, ""VBG#NP#S"": 1, ""VBG#PP#PP"": 1, ""VBG#NP"": 1, ""VBZ#ADJP"": 1}, ""S"": {""S#,#NP#VP"": 1}, ""ROOT"": {""NP"": 1}, ""ADJP"": {""JJR"": 1, ""ADJP#PP"": 1}}",0.0,0.867,0.133,"{""^"": 7, "","": 4, ""@"": 1, ""N"": 11, ""V"": 5, ""P"": 7, ""D"": 4, ""R"": 2, ""$"": 1, ""#"": 1, ""G"": 1}"
"In the face of national inaction, states continue to push the country forward on climate. Just last week, Governor Roy Cooper released a plan to transition North Carolina to 100% clean energy, cutting carbon pollution and saving the state money. ",246,40,1,18,17,4,0,1,1,0,,"{""NP"": {""JJ#NN"": 1, ""RB#JJ#NN"": 1, ""NNP#NNP#NNP"": 1, ""NN#NNP#NNP"": 1, ""ADJP#JJ#NN"": 1, ""NN#NN"": 1, ""DT#NN#NN"": 1}, ""VP"": {""VB#NP#ADVP#PP"": 1, ""VBP#S"": 1, ""VBG#NP"": 2, ""VP#CC#VP"": 1, ""VBD#NP#PP#PP#,#S"": 1}, ""S"": {""PP#,#NP#VP#."": 1, ""NP#,#NP#VP#."": 1}, ""ADJP"": {""CD#NN"": 1}}",0.081,0.808,0.111,"{""P"": 6, ""D"": 4, ""N"": 13, ""A"": 3, "","": 5, ""V"": 5, ""R"": 2, ""^"": 5, ""$"": 1, ""&"": 1}"
Thanks Jay Inslee for highlighting the urgent need for action on climate change throughout your campaign and setting a strong example of leadership in Washington.,162,25,1,11,13,1,0,1,1,0,,"{""NP"": {""NNP#NNP#NNP"": 1, ""DT#JJ#NN"": 2, ""NN#NN"": 1, ""NP#PP#."": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VBG#NP"": 1, ""VP#CC#VP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.724,0.276,"{""N"": 8, ""^"": 3, ""P"": 6, ""V"": 2, ""D"": 3, ""A"": 2, ""&"": 1, "","": 1}"
Its key that our representatives hear from us  at rallies and on the phones.Text CHECKS to 644-33 to tell your senators you expect their support on comprehensive background checks and a strong Red Flag law.,206,36,3,23,17,4,0,0,0,0,,"{""NP"": {""PRP$#NNS"": 2, ""NP#SBAR"": 2, ""CD"": 1, ""JJ#NN#NNS"": 1, ""DT#JJ#NNP#NNP#NN"": 1, ""NP#CC#NP"": 1}, ""PP"": {""PP#CC#PP"": 1}, ""VP"": {""VBP#PP#PP"": 1, ""VBP#NP#PP"": 1, ""VBZ#PP#S"": 1}, ""SBAR"": {""IN#S"": 1, ""S"": 1}}",0.0,0.795,0.205,"{""L"": 1, ""A"": 4, ""P"": 7, ""D"": 5, ""N"": 8, ""V"": 6, ""O"": 2, ""&"": 2, "","": 2, ""$"": 1}"
We will not let this moment pass.,33,7,1,5,17,4,0,0,1,0,,"{""NP"": {""DT#NN#NN"": 1}, ""VP"": {""MD#RB#VP"": 1}}",0.0,1.0,0.0,"{""O"": 1, ""V"": 2, ""R"": 1, ""D"": 1, ""N"": 2, "","": 1}"
"Always great to discuss the importance of leadership, recognizing your staff, and what it takes to build a great team  especially with the innovative senior staff who joined us today for the Bloomberg Harvard City Leadership Initiative convening. Katherine Oliver",263,40,1,17,22,1,1,2,0,0,,"{""NP"": {""DT#JJ#NN"": 1, ""DT#JJ#JJ#NN"": 1, ""DT#NNP#NNP#NNP#NNP#NNP#NNP"": 1, ""NP#SBAR"": 1}, ""VP"": {""VBG#NP"": 1, ""VB#NP#,#S"": 1, ""VBD#NP#NP#PP"": 1, ""VB#NP#ADVP#PP"": 1, ""VBZ#S"": 1}, ""S"": {""NP#ADJP"": 1, ""X#NP#VP"": 1, ""S#,#CC#S#."": 1}, ""ADJP"": {""JJ#S"": 1}, ""X"": {""WP"": 1}, ""WHNP"": {""WP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.716,0.284,"{""R"": 2, ""A"": 4, ""P"": 5, ""V"": 6, ""D"": 5, ""N"": 7, "","": 3, ""&"": 1, ""O"": 4, ""^"": 6}"
"One of my favorite parts of the Bloomberg LP European HQ in London is the Roman artifacts uncovered beneath it, including a rare Roman pen inscribed with a joke. Its on view for the first time at Oxford's Ashmolean Museum, free to visit until January 2020. ",257,46,1,25,14,4,0,1,1,0,,"{""NP"": {""CD"": 1, ""PRP$#JJ#NNS"": 1, ""DT#NNP#NNP#NNP#NNP"": 1, ""NP#PP#PP"": 1, ""DT#JJ#NNS"": 1, ""DT#JJ#NNP#NN"": 1, ""NP#VP"": 2, ""PRP$"": 1, ""DT#JJ#NN"": 1, ""NNP#POS"": 1, ""NP#NNP#NNP"": 1, ""NNP#CD"": 1}, ""PP"": {""VBG#NP"": 1}, ""VP"": {""VBN#PP"": 1, ""VBN#PP#,#PP"": 1, ""VBZ#NP"": 1, ""VB#PP"": 1, ""VBP#PP#PP#,#ADJP"": 1}, ""S"": {""NP#ADVP#VP#."": 1}, ""ADJP"": {""JJ#S"": 1}}",0.0,0.828,0.172,"{""$"": 2, ""P"": 10, ""D"": 6, ""A"": 4, ""N"": 6, ""^"": 10, ""V"": 5, ""O"": 1, "","": 4, ""L"": 1, ""Z"": 1}"
"Thanks to leaders like Narendra Modi and Nitin Gadkari, the Motor Vehicles Amendment Bill will save countless lives in India  congratulations on this historic achievement for the country and road safety. ",204,31,1,15,2,1,0,2,1,0,,"{""NP"": {""NP#CC#NP"": 1, ""DT#NNP#NNPS#NNP#NNP"": 1, ""JJ#NNS"": 1, ""NNP#NNS"": 1, ""DT#JJ#NN"": 1, ""DT#NN#CC#NN#NN"": 1}, ""PP"": {""VBG#PP"": 1}, ""VP"": {""VB#NP#PP"": 1, ""MD#VP"": 1}, ""S"": {""PP#,#NP#VP#."": 1}}",0.0,0.63,0.37,"{""N"": 8, ""P"": 5, ""^"": 9, ""&"": 2, "","": 2, ""D"": 3, ""V"": 2, ""A"": 2}"
