fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
"I am proud to say, I am simply in a different place from where i was when I was a younger.",90,21,1,15,17,11,0,0,0,0,,"{""NP"": {""DT#JJ#NN"": 1, ""FW"": 1, ""DT#JJR"": 1}, ""VP"": {""VB"": 1, ""VBP#ADJP"": 1, ""VBD#NP"": 1, ""VBD#SBAR"": 1, ""VBP#ADVP#PP"": 1}, ""S"": {""S#,#NP#VP#."": 1}, ""ADJP"": {""JJ#S"": 1}, ""WHADVP"": {""WRB"": 2}, ""SBAR"": {""WHADVP#S"": 2}, ""PP"": {""IN#SBAR"": 1}}",0.0,0.819,0.181,"{""O"": 4, ""V"": 5, ""A"": 3, ""P"": 3, "","": 2, ""R"": 3, ""D"": 2, ""N"": 1}"
"BUT at this point I had to make a healthy decision for myself to leave a previous life behind. I am the healthiest and happiest I have been in a long time.  You can say I am a twerking, pot smoking , foul mouthed hillbilly but I am not a liar.",243,51,1,36,17,11,0,0,0,0,,"{""NP"": {""DT"": 1, ""DT#JJ#NN"": 3, ""DT#NN#CC#NN"": 1, ""NP#SBAR"": 1, ""DT#VBG#,#NN#NN#,#JJ#NN"": 1, ""NP#ADVP"": 1}, ""VP"": {""VB#NP#ADVP"": 1, ""VBD#S#S"": 1, ""VBP#SBAR"": 1, ""VBN#PP"": 1, ""VBP#VP"": 1, ""VBP#NP"": 2, ""VB#SBAR"": 1, ""MD#VP"": 1, ""VBP#RB#NP"": 1}, ""S"": {""S#CC#S#."": 1}, ""SBAR"": {""S"": 3}}",0.026,0.717,0.257,"{""&"": 3, ""P"": 6, ""D"": 7, ""N"": 9, ""O"": 7, ""V"": 11, ""A"": 6, "","": 5, ""R"": 1}"
"I can admit to a lot of things but I refuse to admit that my marriage ended because of cheating. Liam and I have been together for a decade. Ive said it before & it remains true, I love Liam and always will.",207,43,1,28,17,11,0,0,0,0,,"{""NP"": {""NNP#CC#PRP"": 1, ""SYM"": 1, ""NP#SBAR"": 1}, ""PP"": {""RB#IN#NP"": 1}, ""VP"": {""VB#PP"": 1, ""MD#VP"": 1, ""VBD#PP"": 1, ""VB#SBAR"": 1, ""VBP#S"": 1, ""VBN#ADVP#PP"": 1, ""VBP#VP"": 1, ""VBZ#ADJP"": 1, ""VBD#NP#PP"": 1, ""VBP#NP"": 1, ""MD"": 1, ""VP#CC#ADVP#VP"": 1}, ""S"": {""S#CC#S#."": 1, ""S#,#NP#VP#."": 1}, ""SBAR"": {""IN#S"": 1, ""S"": 1}, ""ADJP"": {""JJ"": 1}}",0.152,0.591,0.258,"{""O"": 6, ""V"": 12, ""P"": 8, ""D"": 3, ""N"": 4, ""&"": 4, "","": 4, ""^"": 2, ""R"": 2, ""L"": 1, ""A"": 1}"
"But the truth is, once Liam & I reconciled,I meant it, & I was committed. There are NO secrets to uncover here. Ive learned from every experience in my life. Im not perfect, I dont want to be, its boring. Ive grown up in front of you, but the bottom line is, I HAVE GROWN UP.",275,56,1,38,17,11,0,0,0,0,,"{""NP"": {""NNP#CC#NNP"": 1, ""NP#SBAR"": 1, ""NP#,#CC#NP"": 1, ""EX"": 1, ""DT#NNS#S"": 1, ""DT#JJ#NN"": 1}, ""VP"": {""VBD"": 1, ""VBN"": 1, ""VBD#VP"": 1, ""VBD#NP"": 1, ""VBZ#,#SBAR"": 1, ""VB#ADVP"": 1, ""VBP#NP"": 1, ""VBD#PP#PP"": 1, ""VB#ADJP"": 1, ""VB"": 1, ""VB#S#,#NP"": 1, ""VBP#S"": 1, ""VBN#PRT#PP"": 1, ""VB#NP#PRT"": 1, ""VBZ#,#S"": 1}, ""S"": {""SBAR#,#NP#VP"": 1, ""CC#NP#VP#."": 1, ""S#,#NP#VP#."": 1, ""S#,#CC#S#."": 1}, ""SBAR"": {""IN#S"": 1, ""S"": 2}, ""ADJP"": {""RB#JJ"": 1}, ""PRT"": {""RP"": 2}}",0.176,0.713,0.111,"{""&"": 4, ""D"": 5, ""N"": 7, ""V"": 15, "","": 12, ""R"": 3, ""^"": 1, ""O"": 7, ""X"": 1, ""P"": 6, ""L"": 4, ""A"": 2, ""T"": 2}"
There are probably more nudes of me on the internet than maybe any woman in history.,84,16,1,9,17,11,0,0,0,0,,"{""NP"": {""EX"": 1, ""JJR#NNS"": 1, ""RB#DT#NN"": 1}, ""VP"": {""VBP#ADVP#NP#PP#PP"": 1}}",0.0,1.0,0.0,"{""X"": 1, ""V"": 1, ""R"": 2, ""A"": 1, ""N"": 4, ""P"": 4, ""O"": 1, ""D"": 2, "","": 1}"
I swung on a wrecking ball naked.,33,7,1,4,17,11,0,0,0,0,,"{""NP"": {""DT#JJ#NN"": 1}, ""ADVP"": {""JJ"": 1}, ""VP"": {""VBD#PP#ADVP"": 1}}",0.0,1.0,0.0,"{""O"": 1, ""V"": 1, ""P"": 1, ""D"": 1, ""A"": 2, ""N"": 1, "","": 1}"
I got kicked off hotel Transylvania for buying Liam a penis cake for his birthday and licking it.,97,18,1,11,17,11,0,0,0,0,,"{""NP"": {""NN#NNS"": 1, ""DT#JJ#NN"": 1}, ""PRT"": {""RP"": 1}, ""PP"": {""IN#S"": 1}, ""S"": {""NP#NP"": 1}, ""VP"": {""VBG#S"": 1, ""VBG#NP"": 1, ""VP#CC#VP"": 1, ""VBD#PRT#NP#PP"": 1, ""VBD#SBAR"": 1}, ""SBAR"": {""S"": 1}}",0.0,1.0,0.0,"{""O"": 2, ""V"": 4, ""T"": 1, ""N"": 4, ""^"": 2, ""P"": 2, ""D"": 2, ""&"": 1, "","": 1}"
I lost a massive Walmart deal at 17 for ripping a bong.,55,12,1,8,17,11,0,0,0,0,,"{""NP"": {""DT#JJ#NNP#NN"": 1, ""CD"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VBG#NP"": 1, ""VBD#NP#PP#PP"": 1}}",0.223,0.777,0.0,"{""O"": 1, ""V"": 2, ""D"": 2, ""A"": 1, ""^"": 1, ""N"": 2, ""P"": 2, ""$"": 1, "","": 1}"
I fucked up and cheated in relationships when I was young.,58,11,1,7,17,11,0,0,0,0,,"{""PRT"": {""RP"": 1}, ""VP"": {""VBD#PRT"": 1, ""VBD#ADJP"": 1, ""VBD#PP#SBAR"": 1, ""VP#CC#VP"": 1}, ""WHADVP"": {""WRB"": 1}, ""ADJP"": {""JJ"": 1}, ""SBAR"": {""WHADVP#S"": 1}}",0.524,0.476,0.0,"{""O"": 2, ""V"": 3, ""T"": 1, ""&"": 1, ""P"": 1, ""N"": 1, ""R"": 1, ""A"": 1, "","": 1}"
"It is no secret that I was into partying in my teens and early 20s. I have not only smoked, but advocated for weed, Ive experimented with drugs, my biggest song to date is about dancing on molly and snorting lines in the bathroom.",230,44,1,28,17,11,0,0,0,0,,"{""NP"": {""PRP$#NNS"": 1, ""JJ#NNS"": 1, ""NP#CC#NP"": 1, ""NP#VP"": 1, ""NP#,#NP"": 1, ""PRP$#JJS#NN"": 1}, ""ADJP"": {""RB#JJ"": 1}, ""PP"": {""IN#S"": 2}, ""VP"": {""VBG#PP"": 2, ""VBD#PP"": 1, ""VBZ#ADJP#SBAR"": 1, ""VBN"": 1, ""VBP#RB#ADVP#VP"": 1, ""VBN#PP"": 2, ""VBG#NP"": 1, ""VP#CC#VP"": 1, ""VBZ#PP"": 1}, ""S"": {""S#,#NP#VP"": 1, ""S#,#CC#S#."": 1}, ""SBAR"": {""IN#S"": 1}}",0.037,0.922,0.041,"{""O"": 3, ""V"": 10, ""D"": 4, ""N"": 8, ""P"": 9, ""&"": 3, ""A"": 2, ""$"": 1, "","": 5, ""R"": 2, ""L"": 1, ""^"": 1}"
