fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
DID I LIE??!?!! *my voice* ugh! Love that for us. ,50,10,1,8,0,1,0,0,1,0,😌:1,"{""NP"": {""NNP#NNP#NNP#NNP"": 1, ""DT"": 1, ""NP#NP#."": 1}, ""X"": {""SYM"": 1}, ""FRAG"": {""X#NP"": 1}, ""VP"": {""VBZ#NP#FRAG"": 1}, ""ROOT"": {""NP"": 1}}",0.178,0.446,0.376,"{""V"": 3, ""O"": 3, "","": 5, ""D"": 1, ""N"": 1, ""!"": 1, ""P"": 1}"
"All my pretty btchs, high sadity btchs, got a milli btchs on go!!!  All these silly btchs, ima kill these btchs, YO POP WHO TF WANT ",132,26,1,14,16,1,0,0,0,0,💨:1,"{""NP"": {""DT#PRP$#JJ#NNS"": 1, ""JJ#NN#NNS"": 1, ""NP#,#NP#,"": 1, ""DT#NNS"": 2, ""PDT#DT#JJ#NNS"": 1, ""NP#SBAR"": 1, ""S#,#NP"": 1}, ""VP"": {""VBG#NP"": 1, ""VB#S#,#ADVP#VP"": 1, ""VBP"": 1, ""VBZ#PP"": 1, ""VBD#SBAR"": 1}, ""WHNP"": {""WP"": 1}, ""SBAR"": {""WHNP#S"": 1, ""S"": 1}}",0.143,0.638,0.219,"{""X"": 2, ""D"": 4, ""A"": 4, ""N"": 7, "","": 5, ""V"": 5, ""P"": 1, ""L"": 1, ""O"": 2}"
 Fendi MOON boots got me WALKING round like Im Michael tho  ,60,11,1,6,16,1,0,0,1,0,🌙:1,"{""NP"": {""NNP#NNP#NNS"": 1, ""NNP#NNP#NNP"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VBD#S"": 1}}",0.0,0.8,0.2,"{""^"": 2, ""N"": 3, ""V"": 2, ""O"": 1, ""P"": 1, ""L"": 1, ""R"": 1}"
,0,0,2,0,16,1,0,0,1,0,🔥:12,{},0.0,0.0,0.0,{}
 ,1,0,1,0,4,1,0,0,1,0,"🙏:1,🏾:1",{},0.0,0.0,0.0,{}
,0,0,0,0,4,1,0,0,1,0,,{},0.0,0.0,0.0,{}
Barbz can I just know why yall trending  instead of the name of the actual song? ffs  ,86,17,1,12,3,1,0,0,1,2,"🏽:1,😂:1","{""NP"": {""DT#JJ#NN"": 1}, ""VP"": {""MD"": 1, ""VBG#PP"": 1, ""VBP#S"": 1, ""ADVP#VBP#SBAR"": 1}, ""S"": {""S#NP#VP#."": 1}, ""WHADVP"": {""WRB"": 1}, ""PP"": {""RB#IN#NP"": 1}, ""SBAR"": {""WHADVP#S"": 1}, ""ROOT"": {""NP"": 1}}",0.202,0.798,0.0,"{""N"": 3, ""V"": 3, ""O"": 2, ""R"": 3, ""P"": 2, ""D"": 2, ""A"": 1, "","": 1, ""!"": 1}"
yoooooo I love that for us ,27,6,1,5,19,1,0,0,1,0,😂:1,"{""NP"": {""DT"": 1, ""NP#SBAR"": 1}, ""VP"": {""VBP#NP"": 1}, ""SBAR"": {""S"": 1}, ""FRAG"": {""NP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,0.488,0.512,"{""!"": 1, ""O"": 3, ""V"": 1, ""P"": 1}"
yall Ive been having the time of my fkng life ,46,10,1,9,19,1,0,0,1,0,,"{""NP"": {""PRP$#JJ#NN"": 1}, ""VP"": {""VBG#NP"": 1, ""VBN#VP"": 1}, ""SINV"": {""NP#VP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,1.0,0.0,"{""O"": 1, ""L"": 1, ""V"": 2, ""D"": 2, ""N"": 2, ""P"": 1, ""A"": 1}"
"Charlemagne get so excited when he thinks some1 bout to say smthn negative about me  that tail get to wagging, that lil pussy get to poppin, he get to giggling They banned me from the show but always talkn bout me. Im pullin up cuz we in NY soon. Id rather be invited tho js",274,55,1,37,18,1,0,0,0,0,"😭:1,😂:1","{""NP"": {""NN#JJ"": 1, ""JJ#NN#S"": 1, ""NN#NN"": 2}, ""WHADVP"": {""WRB"": 1}, ""VP"": {""VB"": 2, ""VBP#S"": 3, ""VB#NP#PP#SBAR"": 1, ""VBZ#NP"": 1, ""VBP#ADJP#,#SBAR"": 1, ""VBD#NP#PP"": 1, ""VBG#NP"": 1, ""ADVP#VBP#S"": 1, ""VP#CC#VP"": 1, ""VB#SBAR"": 1, ""VBP#NP#PP#ADVP"": 1, ""VBN#NP"": 1, ""VB#VP"": 1, ""VB#RB#VP"": 1}, ""S"": {""S#,#NP#VP#."": 1, ""NP#ADVP#VP#."": 1}, ""SBAR"": {""IN#S"": 2, ""WHADVP#S"": 1, ""S"": 1}, ""ADJP"": {""RB#JJ#SBAR"": 1}}",0.074,0.862,0.064,"{""^"": 2, ""V"": 14, ""P"": 11, ""A"": 3, ""R"": 5, ""O"": 8, ""N"": 4, ""D"": 3, "","": 4, ""&"": 1, ""L"": 2, ""T"": 1, ""G"": 1}"
Even back then I believed in myself enough to not sign a 360 deal. Love that for me,83,18,1,14,17,1,0,0,0,0,,"{""ADVP"": {""RB#RB"": 1, ""ADVP#IN"": 1}, ""NP"": {""RB"": 1, ""DT#CD#NN"": 1, ""DT"": 1, ""NP#NP"": 1}, ""VP"": {""RB#VB#NP"": 1, ""VBD#PP#NP#S"": 1}, ""S"": {""ADVP#NP#VP#."": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.781,0.219,"{""R"": 5, ""O"": 4, ""V"": 3, ""P"": 3, ""D"": 1, ""$"": 1, ""N"": 1, "","": 1}"
Lmfao,5,1,1,0,17,1,0,0,0,0,,"{""ROOT"": {""NP"": 1}}",0.0,0.0,1.0,"{""!"": 1}"
I tell him all the time hes no diff than the barbz when it comes to that. Yall both mean well ,94,21,1,18,2,1,0,0,1,0,😅:1,"{""NP"": {""PDT#DT#NN"": 1, ""DT"": 2}, ""WHADVP"": {""WRB"": 1}, ""VP"": {""VBZ#PP"": 1, ""VBP#NP#PP#SBAR"": 1, ""VBP#SBAR"": 1, ""VB#ADVP"": 1, ""VB#S"": 1}, ""S"": {""NP#NP#VP"": 1}, ""SBAR"": {""WHADVP#S"": 1, ""S"": 1}}",0.099,0.807,0.094,"{""O"": 6, ""V"": 4, ""X"": 1, ""D"": 3, ""N"": 3, ""P"": 2, ""R"": 1, "","": 1, ""!"": 1}"
"I wouldve never yelled like that if he were in the room. He doesnt take it like Im doing my job, he thinks its like a street fight chile I be like boy if u dont step out! ",171,38,1,28,2,1,0,0,1,0,,"{""NP"": {""DT"": 1, ""PRP$"": 1, ""DT#NN#NN"": 1, ""NN#NN"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VBD#PP"": 1, ""ADVP#VBD#PP#SBAR"": 1, ""VBG#NP"": 1, ""VB#NP#PP"": 1, ""VBP#VP"": 1, ""VB#PRT"": 1, ""PP#SBAR"": 1, ""VB#VP"": 1, ""VBP#S"": 1, ""VBZ#NP#SBAR"": 1}, ""S"": {""NP#ADVP#VP#."": 1, ""S#,#NP#VP#."": 1}, ""SBAR"": {""IN#S"": 3}, ""PRT"": {""RP"": 1}}",0.281,0.719,0.0,"{""O"": 8, ""V"": 10, ""R"": 1, ""P"": 7, ""D"": 3, ""N"": 6, "","": 3, ""L"": 2, ""T"": 1}"
Love you sm ,12,3,1,3,19,1,0,0,0,0,,"{""VP"": {""VB"": 1}, ""SINV"": {""VBZ#NP#VP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.323,0.677,"{""V"": 1, ""O"": 1, ""G"": 1}"
Thx. Im posting the audio for all the fake blogs,48,10,1,7,23,1,0,0,1,0,,"{""VP"": {""VB"": 1, ""VBG#NP"": 1, ""VB#S"": 1}, ""S"": {""VP#."": 1}, ""NP"": {""PDT#DT#JJ#NNS"": 1}}",0.228,0.588,0.184,"{""N"": 3, "","": 1, ""L"": 1, ""V"": 1, ""D"": 3, ""P"": 1, ""A"": 1}"
We still recording ur show right? Im ready ,43,8,1,4,23,1,0,0,1,0,,"{""NP"": {""NN#NN"": 1}, ""VP"": {""VBZ#NP#ADVP"": 1, ""VB#ADJP"": 1}, ""S"": {""NP#ADVP#VP#."": 1}, ""ADJP"": {""JJ"": 1}}",0.0,0.737,0.263,"{""O"": 1, ""R"": 1, ""V"": 1, ""D"": 1, ""N"": 2, "","": 1, ""L"": 1, ""A"": 1}"
Ill post the full Joe section cuz the blogs posted the drugs part knowing damn well its misleading. We were discussing him lying on Motorsport & saying Im lying about HotGirlSummer,180,31,1,18,23,1,0,0,0,0,,"{""NP"": {""DT#JJ#NNP#NN#NN"": 1, ""DT#NNS"": 1, ""DT#NNS#NN"": 1, ""PRP$#JJ"": 1, ""NP#SBAR"": 1, ""NP#VP"": 1, ""NP#CC#S"": 1}, ""ADVP"": {""RB#RB"": 1}, ""VP"": {""VBG#ADVP#NP"": 1, ""VBD#NP#S"": 1, ""NN#NP"": 1, ""VBG#PP"": 1, ""VBG#NP"": 1, ""VBG#PRT#NP"": 1, ""VBG#S"": 1, ""VBD#VP"": 1}, ""SBAR"": {""S"": 1}, ""PRT"": {""RP"": 1}}",0.365,0.584,0.051,"{""L"": 3, ""V"": 8, ""D"": 3, ""A"": 2, ""^"": 3, ""N"": 4, ""P"": 3, ""R"": 1, ""!"": 1, "","": 1, ""O"": 2, ""&"": 1}"
,0,0,0,0,20,1,0,0,0,1,,{},0.0,0.0,0.0,{}
,0,0,0,0,19,1,0,0,1,0,,{},0.0,0.0,0.0,{}
LMFAOOOOOOOOOOOOOOO  in one hour,32,4,1,3,18,1,0,0,0,1,,"{""NP"": {""CD#NN"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""!"": 1, ""P"": 1, ""$"": 1, ""N"": 1}"
Omg thank you Keke. That means so much to me ,45,10,1,7,17,1,0,0,1,0,,"{""NP"": {""DT"": 1}, ""ADJP"": {""JJ"": 1}, ""S"": {""NP#ADJP"": 1}, ""VP"": {""VBP#S"": 1, ""VBZ#ADVP#PP"": 1}, ""ADVP"": {""RB#RB"": 1}}",0.0,0.783,0.217,"{""!"": 1, ""V"": 2, ""O"": 3, ""^"": 1, "","": 1, ""R"": 2, ""P"": 1}"
"Tomorrow Im creating a new segment on QR. if youve ever left ur own page & ur own life to tell someone whos on their OWN page living their OWN LIFE what YOU DONT like about WHO or what they posted instead of just scrolling past, youre a ummm... what do they call it? A ",269,55,1,40,17,1,0,0,0,0,,"{""NP"": {""DT#JJ#NN"": 1, ""NP#VP#."": 1, ""NN#JJ#NN"": 1, ""NN#NNS"": 1, ""PRP$#NNP#NN"": 1, ""PRP$#NNP#NNP"": 1, ""QP"": 1, ""NP#VP"": 1, ""JJ#JJ#NN#S"": 1, ""NP#CC#NP"": 1, ""NP#:#SBARQ"": 1, ""S"": 1}, ""PP"": {""RB#IN#S"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VBP#PP"": 1, ""VBG#NP"": 1, ""VBD#PP"": 1, ""VBG#NP#SBAR"": 1, ""VB#NP#PP"": 1, ""VBD#NP"": 1}, ""ROOT"": {""NP"": 3}, ""WHNP"": {""WP"": 3}, ""QP"": {""RB#CD"": 1}, ""S"": {""ADVP#VP"": 1, ""NP#ADVP#VP"": 1, ""SBAR#,#VP"": 1}, ""SBAR"": {""WHNP#S"": 2, ""SBAR#CC#SBAR"": 1, ""IN#S"": 1}, ""SQ"": {""VBP#NP#VP"": 1}, ""SBARQ"": {""WHNP#SQ#."": 1}}",0.04,0.919,0.041,"{""N"": 8, ""L"": 4, ""V"": 10, ""D"": 7, ""A"": 6, ""P"": 6, "","": 4, ""R"": 3, ""&"": 2, ""O"": 8, ""G"": 1}"
 MONDAY @ 12 NOON PST,21,5,1,4,21,1,0,0,0,1,,"{""NP"": {""CD"": 1, ""NP#NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 1, ""P"": 1, ""$"": 1, ""N"": 2}"
On meg live,11,3,1,3,4,1,0,0,0,0,,"{""VP"": {""VBP"": 1}, ""S"": {""PP#VP"": 1}, ""FRAG"": {""S"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""P"": 1, ""^"": 1, ""V"": 1}"
 ,1,0,1,0,18,1,0,0,1,1,,{},0.0,0.0,0.0,{}
,0,0,0,0,5,1,0,0,1,0,,{},0.0,0.0,0.0,{}
,0,0,0,0,4,1,0,0,1,0,"🙏:1,🏽:1,😘:1",{},0.0,0.0,0.0,{}
 ,1,0,1,0,4,1,0,0,1,1,,{},0.0,0.0,0.0,{}
 @ midnight.,12,2,1,1,20,1,1,0,0,1,,"{""X"": {""SYM"": 1}, ""VP"": {""VBZ"": 1}, ""FRAG"": {""X#VP#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""P"": 1, ""N"": 1, "","": 1}"
Barbz yall ready?   ,20,3,1,1,19,1,0,0,1,1,"🐎:1,🔥:9","{""ADJP"": {""JJ"": 1}, ""VP"": {""VBP#ADJP"": 1}}",0.0,0.444,0.556,"{""N"": 1, ""O"": 1, ""A"": 1, "","": 1}"
,0,0,0,0,17,1,0,0,1,0,🐎:1,{},0.0,0.0,0.0,{}
