fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
"In honor of , we are proud to say that more women serve in the US Congress than ever before. Thanks to their achievement, more experiences & perspectives are brought to the table than ever before. It is an honor to serve alongside them. ",237,44,1,26,16,1,1,0,1,1,,"{""NP"": {""JJR#NNS"": 2, ""DT#NNP#NNP"": 1, ""NP#CC#NP"": 1, ""RB#RB"": 1, ""DT#NN#S"": 1}, ""PP"": {""IN"": 1}, ""ADVP"": {""IN#RB#RB"": 1}, ""VP"": {""VBP#PP#ADVP"": 1, ""VB#SBAR"": 1, ""VBP#ADJP"": 1, ""VBN#PP"": 1, ""VBP#VP"": 1, ""VB#PP"": 1, ""VBZ#NP"": 1}, ""S"": {""PP#,#NP#VP#."": 1, ""NP#,#NP#VP#."": 1}, ""SBAR"": {""IN#S"": 1}, ""ADJP"": {""JJ#S"": 1}}",0.0,0.754,0.246,"{""P"": 10, ""N"": 8, "","": 5, ""O"": 4, ""V"": 7, ""A"": 3, ""D"": 4, ""^"": 2, ""R"": 4, ""&"": 1}"
"An activist & a trailblazer, Shirley Chisholm became the first Black woman elected to Congress, running under the slogan, Unbought & unbossed. A champion for social change, she spoke out against racial & gender inequality, and paved the way for future Black leaders.",266,43,1,16,17,2,1,0,0,0,,"{""NP"": {""NP#CC#NP"": 2, ""DT#JJ#JJ#NN"": 1, ""NP#VP"": 1, ""NNP#CC#NNP"": 1, ""NP#,#NP"": 1, ""JJ#NN"": 1, ""JJ"": 1, ""NN#NN"": 1, ""JJ#JJ#NNS"": 1}, ""S"": {""NP"": 2, ""S#,#NP#VP#."": 2}, ""VP"": {""VBN#PP"": 1, ""VBG#PP"": 1, ""VBD#NP#,#S"": 1, ""VBD#PRT#PP"": 1, ""VBD#NP#PP"": 1, ""VP#,#CC#VP"": 1}, ""PRT"": {""RP"": 1}}",0.0,0.905,0.095,"{""D"": 6, ""N"": 10, ""&"": 4, "","": 7, ""^"": 4, ""V"": 5, ""A"": 7, ""P"": 5, ""O"": 1, ""T"": 1}"
"Jeanette Rankin was solidified into American history when she became the first woman elected to Congress. Unafraid to take a controversial stand, she fought for women's suffrage, safer working conditions & the US to abstain from both World Wars and to instead seek peace.",271,44,1,21,17,2,1,0,0,0,,"{""NP"": {""JJ#NN"": 1, ""DT#JJ#NN"": 2, ""NP#VP"": 1, ""NNS#POS"": 1, ""NP#NN"": 1, ""ADJP#NNS"": 1, ""DT#NNP"": 1, ""DT#NNP#NNPS"": 1, ""NP#SBAR"": 1, ""NP#CC#NP"": 1, ""NP#,#NP"": 1}, ""WHADVP"": {""WRB"": 1}, ""VP"": {""VBN#PP"": 1, ""VBD#NP"": 1, ""VBN#PP#SBAR"": 1, ""VBD#VP"": 1, ""VBN#S"": 1, ""VB#PP"": 1, ""TO#ADVP#VP"": 1, ""VP#CC#VP"": 1, ""VBD#PP"": 1}, ""S"": {""S#,#NP#VP#."": 1}, ""SBAR"": {""WHADVP#S"": 1, ""S"": 1}, ""ADJP"": {""JJR#VBG"": 1}}",0.151,0.725,0.124,"{""^"": 7, ""V"": 9, ""P"": 7, ""N"": 6, ""R"": 2, ""O"": 2, ""D"": 4, ""A"": 4, "","": 4, ""S"": 1, ""&"": 2}"
".Rep. Dean Phillips came to Congress because he was tired of seeing a government that often places special interests before our common interests. Today, House Democrats reaffirm our pledge to end Washingtons  & have a government that works .",241,39,1,17,21,3,1,2,0,2,,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1}, ""NP"": {""NNP#NNP#NNP"": 1, ""JJ#NNS"": 1, ""PRP$#JJ#NNS"": 1, ""NP#SBAR"": 2, ""NNP#NNPS"": 1, ""NP#CC#S"": 1, ""PRP$#NN#S"": 1}, ""PP"": {""IN#S"": 1}, ""WHNP"": {""WDT"": 2}, ""VP"": {""VBZ#NP#PP"": 1, ""VBG#NP"": 1, ""VBD#ADJP"": 1, ""VBD#PP#SBAR"": 1, ""VBZ"": 1, ""VBZ#NP"": 1}, ""S"": {""ADVP#VP"": 1, ""NP#,#NP#VP#."": 1}, ""SBAR"": {""WHNP#S"": 2, ""IN#S"": 1}, ""ADJP"": {""JJ#PP"": 1}}",0.071,0.764,0.165,"{"","": 4, ""^"": 7, ""V"": 7, ""P"": 7, ""O"": 1, ""A"": 3, ""D"": 4, ""N"": 8, ""&"": 1}"
"A crusader for change, Ida B. Wells organized economic boycotts as a tool to combat racial discrimination. Wells was an accomplished journalist & activist, reporting cases of racial injustice with pioneering journalism techniques that are still used today.",256,38,1,16,16,2,1,0,0,0,,"{""NP"": {""NNP#NNP#NNP"": 1, ""NP#,#NP"": 1, ""JJ#NNS"": 1, ""JJ#NN"": 2, ""DT#JJ#NN"": 1, ""NP#CC#NP"": 1, ""JJ#NN#NNS"": 1, ""NP#SBAR"": 1, ""NP#,#VP"": 1}, ""VP"": {""VBD#NP#PP#S"": 1, ""VBN#NP"": 1, ""VBP#ADVP#VP"": 1, ""VBG#NP#PP"": 1, ""VBD#NP"": 1}, ""WHNP"": {""WDT"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.191,0.653,0.155,"{""D"": 3, ""N"": 12, ""P"": 6, "","": 5, ""^"": 4, ""V"": 6, ""A"": 5, ""&"": 1, ""R"": 1}"
".Donald J. Trumps abandoned Department of State rescissions package was an unlawful move that would have harmed our national security. Moving forward, we must all recognize our national security interests & Congresss constitutional power of the purse. ",252,37,3,15,22,2,0,2,1,0,,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1}, ""NP"": {""NNP#NNP#NNPS"": 1, ""NNP#NNP#NN"": 1, ""DT#JJ#NN"": 1, ""PRP$#JJ#NN"": 1, ""NP#SBAR"": 1, ""PRP$#JJ#NN#NNS"": 1, ""NNP#JJ#NN"": 1, ""NP#CC#NP"": 1}, ""WHNP"": {""WDT"": 1}, ""VP"": {""VBN#NP"": 1, ""VB#VP"": 1, ""MD#VP"": 1, ""VBD#NP"": 1, ""VBD#SBAR"": 1, ""VBG#ADVP"": 1, ""MD#RB#VP"": 1}, ""S"": {""S#,#NP#VP#."": 1}, ""SBAR"": {""WHNP#S"": 1, ""S"": 1}}",0.139,0.706,0.155,"{"","": 5, ""^"": 4, ""V"": 9, ""N"": 9, ""P"": 3, ""D"": 5, ""A"": 4, ""R"": 1, ""O"": 1, ""&"": 1}"
"As an abolitionist & womens rights activist, Sojourner Truth was a major force in the fight to end slavery. After escaping slavery, she used her experiences to educate others & fight for freedom & equal rights. Her powerful speeches influenced many, including Abraham Lincoln.",276,44,1,17,17,2,1,0,0,0,,"{""NP"": {""JJ#NNS#NN"": 1, ""NP#CC#NP"": 3, ""DT#JJ#NN"": 1, ""DT#NN#S"": 1, ""PRP$#NNS"": 1, ""JJ#NNS"": 1, ""PRP$#JJ#NNS"": 1}, ""PP"": {""IN#S"": 1, ""VBG#NP"": 1}, ""VP"": {""VBD#NP"": 1, ""VBG#NP"": 1, ""VBD#NP#S"": 1, ""VBD#ADJP#,#PP"": 1}, ""S"": {""PP#,#NP#VP#."": 2}, ""ADJP"": {""JJ"": 1}}",0.258,0.558,0.183,"{""P"": 6, ""D"": 5, ""N"": 12, ""&"": 3, ""^"": 5, "","": 6, ""V"": 8, ""A"": 4, ""O"": 1}"
"Russia is continuing their sweeping & unprecedented attack on U.S. elections, & Donald J. Trump wants to allow them back into the G7. Why does President Trump choose to reward Putin instead of defending the integrity of American elections?",239,39,3,18,17,2,0,1,0,0,,"{""NP"": {""PRP$#JJ"": 1, ""JJ#NN"": 1, ""NNP#NNS"": 1, ""NNP#NNP#NNP"": 1, ""NP#SBAR"": 1, ""CC#NP#,#CC#NP"": 1, ""JJ#NNS"": 1}, ""PP"": {""RB#IN#S"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VB#NP#PRT#PP"": 1, ""VBZ#S"": 1, ""VBG#NP#S"": 1, ""VBZ#VP"": 1, ""VBG#NP"": 1, ""VB#S"": 1}, ""S"": {""NP"": 1}, ""SBAR"": {""S"": 1}, ""ROOT"": {""SBARQ"": 1}, ""WHADVP"": {""WRB"": 1}, ""SQ"": {""VBZ#NP#VP"": 1}, ""SBARQ"": {""WHADVP#SQ#."": 1}}",0.07,0.745,0.185,"{""^"": 10, ""V"": 8, ""D"": 3, ""N"": 5, ""&"": 2, ""A"": 1, ""P"": 6, "","": 4, ""O"": 1, ""R"": 3}"
".Donald J. Trump is seeking to codify child abuse, plain and simple.  His family incarceration plan would rip away basic protections for children & violate every standard of morality. It will be swiftly defeated in the courts. ",227,37,1,16,16,2,0,1,1,0,,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1}, ""NP"": {""NNP#NNP#NNP"": 1, ""NN#NN"": 1, ""NP#,#ADJP"": 1, ""PRP$#NN#NN#NN"": 1, ""JJ#NNS"": 1, ""VP#PP"": 1, ""NP#CC#NP"": 1, ""DT#NNS"": 1}, ""ADJP"": {""NN#CC#NN"": 1}, ""VP"": {""VBG#S"": 1, ""VBZ#VP"": 1, ""VB#PRT#NP"": 1, ""MD#VP"": 2, ""ADVP#VBN#PP"": 1, ""VB#VP"": 1}, ""PRT"": {""RP"": 1}}",0.235,0.716,0.049,"{"","": 6, ""^"": 3, ""V"": 9, ""P"": 4, ""N"": 10, ""A"": 3, ""&"": 2, ""D"": 3, ""R"": 2, ""O"": 1}"
"This week, as we approach the 99th anniversary of the adoption of the , well be sharing stories of iconic women throughout American history who fought for equal rights and justice for generations to come.",204,35,1,18,15,2,0,0,0,1,,"{""NP"": {""DT#JJ#NN"": 1, ""DT"": 1, ""JJ#NNS"": 1, ""JJ#NN"": 1, ""JJ#NNS#CC#NN"": 1, ""NP#SBAR"": 1}, ""VP"": {""VBP#NP"": 1, ""VB"": 1, ""VBD#PP#PP#S"": 1, ""VBG#NP#PP"": 1, ""VB#S"": 1}, ""S"": {""NP#,#SBAR#,#ADVP#VP#."": 1}, ""SBAR"": {""IN#S"": 1, ""WHNP#S"": 1}, ""WHNP"": {""WP"": 1}}",0.057,0.739,0.204,"{""D"": 4, ""N"": 9, "","": 3, ""P"": 8, ""O"": 2, ""V"": 5, ""$"": 1, ""R"": 1, ""A"": 2, ""^"": 1, ""&"": 1}"
