fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
"Wonderful meeting with HM Hamad bin Isa bin Salman Al Khalifa, King of the Kingdom of Bahrain. His Majesty and I reviewed the complete range of India-Bahrain relations and we look forward to increased cooperation for the mutual benefit of our citizens.",252,42,1,23,19,1,1,0,0,0,,"{""NP"": {""JJ#NN"": 1, ""NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP"": 1, ""DT#NNP"": 1, ""NP#,#NP"": 1, ""NP#PP#PP#."": 1, ""NP#CC#NP"": 1, ""DT#JJ#NN"": 2, ""JJ#NNS"": 1, ""VBN#NN"": 1, ""PRP$#NNS"": 1}, ""ROOT"": {""NP"": 1}, ""VP"": {""VBN#NP"": 1, ""VBP#ADVP#PP"": 1}, ""S"": {""S#CC#S#."": 1}}",0.0,0.812,0.188,"{""A"": 3, ""N"": 8, ""P"": 7, ""!"": 1, ""^"": 9, ""G"": 1, "","": 3, ""D"": 5, ""&"": 2, ""O"": 2, ""V"": 3, ""R"": 1}"
"I humbly accept The King Hamad Order of the Renaissance. This is a recognition of Indias strong friendship with Bahrain, which goes back hundreds of years and is expanding rapidly in the 21st century.",200,34,1,18,19,1,1,0,0,0,,"{""NP"": {""DT#NNP#NNP#NNP"": 1, ""DT#NNP"": 1, ""DT"": 1, ""NNP#JJ#NN"": 1, ""DT#JJ#NN"": 1, ""NP#,#SBAR"": 1, ""NP#PP#PP"": 1}, ""VP"": {""VBP#NP"": 1, ""VBZ#PRT#NP"": 1, ""VBG#ADVP#PP"": 1, ""VBZ#VP"": 1, ""VP#CC#VP"": 1, ""VBZ#NP"": 1}, ""S"": {""NP#ADVP#VP#."": 1}, ""WHNP"": {""WDT"": 1}, ""PRT"": {""RP"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.0,0.767,0.233,"{""O"": 2, ""R"": 3, ""V"": 5, ""D"": 5, ""^"": 3, ""N"": 7, ""P"": 5, "","": 3, ""Z"": 1, ""A"": 2, ""&"": 1}"
"My friend Arun Jaitley loved India, loved his party and loved being among people. It is upsetting and unbelievable that a person I have known since our youth is no longer in our midst. I pay my tributes to him.",210,40,5,21,17,2,1,0,0,0,,"{""NP"": {""PRP$#NN#NNP#NNP"": 1, ""NP#SBAR"": 1, ""PRP$#NNS"": 1}, ""VP"": {""VBD#NP"": 2, ""VBG#PP"": 1, ""VBD#S"": 1, ""VP#,#VP#CC#VP"": 1, ""VBN#PP"": 1, ""VBP#VP"": 1, ""VBZ#ADVP#PP"": 1, ""VBZ#ADJP#SBAR"": 1, ""VBP#NP#PP"": 1}, ""ADJP"": {""JJ#CC#JJ"": 1}, ""SBAR"": {""S"": 1, ""IN#S"": 1}, ""ADVP"": {""RB#RB"": 1}}",0.124,0.518,0.359,"{""D"": 7, ""N"": 8, ""^"": 3, ""V"": 9, "","": 4, ""&"": 2, ""P"": 5, ""O"": 4, ""A"": 2}"
That was a rapturous welcome. Thank you Bahrain !,49,9,3,5,17,1,1,0,0,0,,"{""NP"": {""DT"": 1}, ""ADJP"": {""DT#JJ#JJ"": 1}, ""VP"": {""VBD#ADJP"": 1, ""VB#S"": 1}, ""S"": {""NP#NP"": 1, ""VP#."": 1}}",0.0,0.32,0.68,"{""O"": 2, ""V"": 2, ""D"": 1, ""A"": 2, "","": 2, ""^"": 1}"
Addressing a huge community programme in Bahrain. Watch. ,57,8,1,3,15,4,0,0,1,0,,"{""NP"": {""DT#JJ#NN#NN"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VB"": 1}, ""S"": {""VP#."": 2}}",0.0,0.723,0.277,"{""V"": 2, ""D"": 1, ""A"": 1, ""N"": 2, ""P"": 1, ""^"": 1, "","": 2}"
"Honoured to have met HH Prince Khalifa Bin Salman Al Khalifa, Prime Minister of the Kingdom of Bahrain. Our talks were comprehensive and included a wide range of subjects concerning India-Bahrain relations.",206,32,1,15,14,1,1,0,0,0,,"{""VP"": {""VB"": 1, ""VBN#S"": 1, ""VBD"": 1, ""VBD#ADJP"": 1, ""VBD#NP"": 1, ""VP#CC#VP"": 1}, ""NP"": {""NNP#NNP#NNP#NNP#NNP#NNP#NNP"": 1, ""DT#NNP"": 1, ""NP#,#NP"": 1, ""PRP$#NNS"": 1, ""DT#JJ#NN"": 1, ""JJ#NNS"": 1}, ""PP"": {""VBG#NP"": 1}, ""SINV"": {""VP#VP#NP#."": 1}, ""ROOT"": {""SINV"": 1}, ""ADJP"": {""JJ"": 1}}",0.0,0.848,0.152,"{""V"": 6, ""P"": 4, ""^"": 9, "","": 3, ""A"": 3, ""N"": 6, ""D"": 3, ""&"": 1}"
Landed in Bahrain. This visit is historical and will improve ties between our nations. I look forward to meeting the top spectrum of leaders and interacting with the Indian diaspora.,182,30,1,16,12,1,1,0,0,0,,"{""NP"": {""PRP$#NNS"": 1, ""DT#JJ#NN"": 2}, ""PP"": {""TO#S"": 1}, ""VP"": {""VBN#PP"": 1, ""VBZ#ADJP"": 1, ""MD#VP"": 1, ""VP#CC#VP"": 2, ""VBG#NP"": 1, ""VBG#PP"": 1, ""VBP#ADVP#PP"": 1}, ""S"": {""VP#."": 1}, ""ADJP"": {""JJ"": 1}}",0.0,0.852,0.148,"{""V"": 7, ""P"": 5, ""^"": 2, "","": 3, ""D"": 4, ""N"": 6, ""A"": 2, ""&"": 2, ""O"": 1, ""R"": 1}"
"Had an excellent meeting with His Highness Crown Prince   . We spoke about multiple subjects, including ways to improve trade and people-to-people relations between India and UAE. His personal commitment to strong bilateral relations is very strong.",249,37,1,15,10,1,1,1,0,0,,"{""NP"": {""DT#JJ#NN"": 1, ""PRP$#NNP#NNP#NNP#."": 1, ""JJ#NNS"": 1, ""NN#CC#JJ#NNS"": 1, ""NNP#CC#NNP"": 1, ""NNS#S"": 1, ""PRP$#JJ#NN"": 1, ""JJ#JJ#NNS"": 1}, ""PP"": {""VBG#NP"": 1}, ""SINV"": {""VBD#NP"": 1}, ""ROOT"": {""SINV"": 1}, ""VP"": {""VBD#PP#,#PP"": 1, ""VBZ#ADJP"": 1}, ""ADJP"": {""RB#JJ"": 1}}",0.0,0.662,0.338,"{""V"": 5, ""D"": 3, ""A"": 6, ""N"": 10, ""P"": 5, ""^"": 3, "","": 4, ""O"": 1, ""&"": 2, ""R"": 1}"
"Humbled to be conferred the Order of Zayed a short while ago. More than an individual, this award is for Indias cultural ethos and is dedicated to 130 crore Indians. I thank the UAE Government for this honour.",209,38,3,21,10,1,1,0,0,0,,"{""VP"": {""VB"": 1, ""VBN#S"": 1, ""VBD#NP#NP"": 1, ""VBZ#PP"": 1, ""VBN#PP"": 1, ""VBZ#VP"": 1, ""VP#CC#VP"": 1, ""VBP#NP"": 1}, ""S"": {""S#VP#."": 1, ""ADVP#,#NP#VP#."": 1}, ""NP"": {""DT#JJ#NN#RB"": 1, ""NNP#JJ#NN"": 1, ""CD"": 1, ""ADJP#NNPS"": 1, ""DT#NNP#NNP"": 1}, ""ADVP"": {""RBR#PP"": 1}, ""ADJP"": {""NP#JJ"": 1}}",0.0,0.696,0.304,"{""V"": 7, ""P"": 7, ""D"": 6, ""N"": 5, ""^"": 4, ""A"": 4, ""R"": 1, "","": 4, ""Z"": 1, ""&"": 1, ""$"": 1, ""O"": 1}"
"With the demise of Arun Jaitley Ji, I have lost a valued friend, whom I have had the honour of knowing for decades. His insight on issues and nuanced understanding of matters had very few parallels. He lived well, leaving us all with innumerable happy memories. We will miss him!",279,50,1,31,7,1,0,0,0,0,,"{""NP"": {""NNP#NNP#NNP"": 1, ""DT#JJ#NN"": 1, ""NP#,#SBAR"": 1, ""JJ#NN"": 1, ""NP#CC#NP"": 1, ""ADJP#NNS"": 2}, ""PP"": {""IN#S"": 1, ""ADVP#IN#NP"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBG#PP"": 1, ""VBN#NP"": 2, ""VBP#VP"": 2, ""VBD#NP"": 1, ""VBG#NP#PP"": 1, ""VBD#ADVP#,#S"": 1, ""MD#VP"": 1}, ""S"": {""PP#,#NP#VP#."": 1}, ""SBAR"": {""WHNP#S"": 1}, ""ADJP"": {""RB#JJ"": 1, ""JJ#JJ"": 1}, ""ADVP"": {""DT"": 1}}",0.065,0.651,0.284,"{""P"": 7, ""D"": 5, ""N"": 9, ""^"": 3, "","": 7, ""O"": 7, ""V"": 11, ""A"": 5, ""&"": 1, ""R"": 2}"
