fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Allen Leecheyond a joke now,27,5,1,3,9,1,0,1,0,0,,"{""NP"": {""RB"": 1, ""NP#NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.577,0.423,"{""^"": 2, ""D"": 1, ""N"": 1, ""R"": 1}"
waiter just said to me  did anyone ever tell you that you look exactly like the guy from Downton Abbey? Allen Leech .,117,23,1,16,15,1,0,1,0,0,,"{""NP"": {""NNP#NNP#."": 1}, ""VP"": {""VBP#ADVP#PP"": 1, ""VB#NP#SBAR"": 1, ""VBD#SBAR"": 2}, ""S"": {""NP#ADVP#VP"": 1, ""NP#ADVP#VP#."": 1}, ""SBAR"": {""IN#S"": 1, ""S"": 1, ""TO#S"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.894,0.106,"{""N"": 3, ""R"": 3, ""V"": 4, ""P"": 4, ""O"": 3, ""D"": 1, ""^"": 4, "","": 2}"
n me ,5,2,1,2,20,1,0,1,0,0,😂:1,{},0.0,1.0,0.0,"{""&"": 1, ""O"": 1}"
Last two days Ive been doing my mate The Body Coach s 20 minute workouts on YouTube. These things are off the charts. Im in bits ,129,26,1,18,11,1,0,1,0,0,😭:1,"{""NP"": {""JJ#CD#NNS#NNS"": 1, ""NP#VP"": 1, ""DT#NNP#NNP"": 1, ""CD#JJ#NNS"": 1, ""DT#NNS"": 2}, ""VP"": {""VBG#NP"": 1, ""VBN#VP"": 1, ""VBZ#NP"": 1, ""VBP#PP"": 1, ""VB#PP"": 1}, ""S"": {""NP#NP#VP#."": 1}}",0.0,1.0,0.0,"{""A"": 1, ""$"": 2, ""N"": 9, ""L"": 2, ""V"": 3, ""D"": 4, ""G"": 1, ""P"": 3, ""^"": 1, "","": 2}"
niall horan love bot,20,4,1,2,20,1,0,1,0,0,,"{""NP"": {""JJ#NN#NN#NNS"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.417,0.583,"{""^"": 2, ""N"": 2}"
juliawfina 109d get me.,23,4,1,3,20,1,0,2,0,0,,"{""NP"": {""NN#NNS"": 1}, ""VP"": {""VBP#NP"": 1}}",0.0,1.0,0.0,"{""^"": 2, ""V"": 1, ""O"": 1, "","": 1}"
juliaefina 109me ,17,2,1,0,20,1,0,2,0,0,😂:1,"{""NP"": {""NNP#NNPS"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 1, ""$"": 1}"
fina 109stop tweeting because people dont get sarcasm on twitter. . Hahahahah . Its so funny watching peoples reactions,119,19,1,8,20,1,0,1,0,0,,"{""NP"": {""NN#NNS"": 1, ""NNS#NN"": 1, ""NP#VP"": 1, ""PRP$#RB#JJ#NN"": 1, ""NP#NP#NP"": 1}, ""VP"": {""VBG#PP"": 1, ""VB#PP#."": 1, ""VBP#S"": 1, ""VB"": 1}, ""S"": {""VP#."": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.735,0.265,"{""V"": 6, ""P"": 2, ""N"": 4, ""^"": 1, "","": 3, ""!"": 1, ""L"": 1, ""R"": 1, ""A"": 1}"
Can I not ?,11,4,1,4,20,1,0,3,0,0,,"{""NP"": {""RB"": 1}, ""SQ"": {""VBD#NP#NP#."": 1}, ""ROOT"": {""SQ"": 1}}",0.0,1.0,0.0,"{""V"": 1, ""O"": 1, ""R"": 1, "","": 1}"
 tha,4,1,1,1,20,1,0,2,0,0,😂:4,"{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""D"": 1}"
thathat literally 90 percent of replies on this are  oh Niall youre so confident . Im clearly joking ,101,18,1,9,20,1,0,1,0,0,😂:2,"{""NP"": {""CD#NN"": 1, ""DT"": 1, ""NP#ADVP"": 1}, ""ADVP"": {""RB#NP#PP"": 1}, ""ADJP"": {""RB#JJ"": 2}, ""S"": {""NP#ADJP"": 1}, ""VP"": {""VBG#S"": 1, ""VBP#VP"": 1, ""VB#ADJP"": 1}}",0.0,0.609,0.391,"{""^"": 2, ""R"": 3, ""$"": 1, ""N"": 2, ""P"": 2, ""O"": 1, ""V"": 2, ""!"": 1, ""L"": 2, ""A"": 1, "","": 1}"
Match of the Dayrget it,23,5,1,3,20,1,1,1,0,0,,"{""NP"": {""DT#NNP"": 1, ""NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""N"": 2, ""P"": 1, ""D"": 1, ""O"": 1}"
Thank you very much for your support !,38,8,1,6,15,1,0,0,1,0,,"{""ADJP"": {""RB#JJ#PP"": 1}, ""S"": {""NP#ADJP"": 1, ""VP#."": 1}, ""VP"": {""VB#S"": 1}}",0.0,0.477,0.523,"{""V"": 1, ""O"": 1, ""R"": 1, ""A"": 1, ""P"": 1, ""D"": 1, ""N"": 1, "","": 1}"
Justin Thomas  Justin Thomas,28,4,1,0,21,1,0,1,0,0,👏:6,"{""NP"": {""NNP#NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 4}"
