fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
"Anthony Sparksible way to offer your talent. This season speaks to your Service thru  Art.So grateful to you, @ava and the enAva DuVernay #QueenSugar teaavo!",157,26,2,14,4,1,0,2,0,1,"👏:2,🏽:2","{""NP"": {""NP#,#NP#CC#NP"": 1, ""NNP#ADJP#JJ#NN#NN"": 1}, ""VP"": {""VBP#NP#S"": 1, ""VBZ#PP"": 1}, ""ADJP"": {""JJ#PP"": 1}}",0.0,0.791,0.209,"{""^"": 7, ""N"": 4, ""P"": 4, ""V"": 2, ""D"": 4, "","": 4, ""R"": 1, ""A"": 1, ""O"": 1, ""@"": 1, ""&"": 1}"
ARRAYTAva DuVernayaFelicia PridesChlo Hunggar,45,4,1,0,2,1,0,4,0,1,,"{""NP"": {""NNP#NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 4}"
Aniesia Williamst I look like right now I am  my own crying Gif watching. #QueenSugar,85,15,1,9,2,1,0,1,0,1,,"{""NP"": {""NNP#NNP#PRP"": 1, ""PRP$#JJ#NNP#NNP#NN"": 1}, ""ADVP"": {""RB#RB"": 1}, ""VP"": {""VBP#NP"": 1, ""VBP#SBAR"": 1}, ""S"": {""ADVP#NP#VP"": 1}, ""SBAR"": {""IN#S"": 1}, ""ROOT"": {""NP"": 1}}",0.187,0.663,0.151,"{""^"": 3, ""O"": 2, ""V"": 4, ""P"": 1, ""R"": 2, ""D"": 1, ""N"": 1, "","": 1, ""#"": 1}"
Megecially for children. #QueenSugarTalks,41,4,1,1,0,1,0,1,0,1,"🕸:2,🕷:2,🐘:2","{""NP"": {""NP#PP#."": 1}, ""ROOT"": {""NP"": 2}}",0.0,1.0,0.0,"{""^"": 1, ""P"": 1, ""N"": 1, "","": 1, ""#"": 1}"
Educate to Liberate LLCiIyanla VanzantrARRAYrPeter Djentuh Rashad Robinson acknowledgement of what happened to you? Which is a much better question than whats wrong with yoy,173,25,1,11,0,1,0,5,0,0,,"{""NP"": {""NNP#NNP#NNP#NNP#NNP#NNP#NN"": 1, ""DT#ADJP#NN"": 1, ""NP#ADJP"": 1}, ""PP"": {""IN#SBAR"": 1}, ""WHNP"": {""WP"": 2}, ""VP"": {""VBD#PP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""ADJP"": {""JJ#PP#PP#."": 1, ""RB#JJR"": 1, ""JJ#PP"": 1}, ""ROOT"": {""ADJP"": 1, ""SBARQ"": 1}, ""SQ"": {""VBZ#NP"": 1}, ""SBARQ"": {""WHNP#SQ"": 1}}",0.111,0.786,0.104,"{""V"": 4, ""P"": 5, ""^"": 5, ""N"": 2, ""O"": 4, "","": 1, ""D"": 1, ""A"": 3, ""L"": 1}"
Blackual factsout getting whipped as a child and then told you better stop that cryin and put that lip in! #QueenSugarTalks,123,21,1,13,0,1,0,1,0,1,,"{""NP"": {""JJ#NN"": 1, ""RB"": 1, ""NP#CC#NP"": 1, ""NP#VP"": 1}, ""PP"": {""IN"": 1}, ""VP"": {""VBN#PP"": 1, ""VBG#S"": 1, ""VB#NP#PP"": 1, ""VP#CC#VP"": 1, ""VBD#SBAR"": 1}, ""S"": {""NP#ADVP#VP"": 1}, ""SBAR"": {""S"": 1}, ""ROOT"": {""NP"": 1}}",0.094,0.769,0.136,"{""^"": 2, ""V"": 5, ""A"": 1, ""P"": 2, ""D"": 2, ""N"": 2, ""&"": 2, ""R"": 2, ""O"": 2, "","": 1, ""#"": 1}"
Ava DuVernaygmalkia devich cyrils of T-shirts after this session.#QueenSugarTalks,81,9,1,3,0,1,0,2,0,1,"👊:1,🏽:1,🙌:1,🏾:1","{""VP"": {""VBP#NP#PP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 4, ""P"": 2, ""N"": 2, ""D"": 1, "","": 1, ""#"": 1}"
"AvaDuVernay Fans. Straight up child abuse, is happening daily at the border. And no matter what happens next, those children are changed forever because of it. #QueenSugarTALKS",176,27,1,10,23,1,0,1,0,1,,"{""NP"": {""CD#NNS#."": 1, ""NN#NN"": 1, ""DT#NNS"": 1}, ""ROOT"": {""NP"": 2}, ""PRT"": {""RP"": 1}, ""VP"": {""VB#PRT#NP"": 1, ""VBG#ADVP#PP"": 1, ""VBZ#VP"": 1, ""VBZ#ADJP"": 1, ""VBN#ADVP#PP"": 1, ""VBP#VP"": 1}, ""S"": {""S#,#VP#."": 1, ""CC#ADVP#,#NP#VP#."": 1}, ""ADVP"": {""DT#NN#SBAR"": 1}, ""PP"": {""RB#IN#NP"": 1}, ""WHNP"": {""WP"": 1}, ""ADJP"": {""JJ"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.198,0.71,0.093,"{""^"": 1, ""N"": 6, "","": 5, ""V"": 6, ""T"": 1, ""A"": 2, ""P"": 3, ""D"": 3, ""&"": 1, ""O"": 2, ""R"": 1, ""#"": 1}"
"The most powerful lesson I ever heard on Trauma came from Iyanla Vanzant  Until you heal the wounds of your past, you will continue to bleed.Thats what were witnessing even when we dont recognize it. Folks bleeding out thru, drugs, alcohol, rage, et all! ",255,44,1,25,23,1,0,1,0,1,,"{""ADJP"": {""RBS#JJ"": 1}, ""NP"": {""DT#ADJP#NN"": 1, ""NP#SBAR"": 2, ""DT#NNS"": 1, ""NNP#,#NNS#,#NN#,#NN#,#FW"": 1, ""NP#VP#."": 1}, ""ADVP"": {""DT"": 1}, ""VP"": {""VBD#PP"": 1, ""VBD#PP#SBAR"": 1, ""VBP#VP"": 1, ""VBG#ADVP#SBAR"": 1, ""VBD#VP"": 1, ""VB#PP"": 1, ""MD#VP"": 1, ""VBG#PP#ADVP"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""S#,#NP#VP#."": 1}, ""SBAR"": {""S"": 1, ""IN#S"": 1, ""WHADVP#S"": 1, ""WHNP#S"": 1}, ""WHNP"": {""WP"": 1}, ""WHADVP"": {""WRB"": 1}, ""ROOT"": {""NP"": 1}}",0.134,0.803,0.062,"{""D"": 4, ""R"": 4, ""A"": 2, ""N"": 8, ""O"": 6, ""V"": 12, ""P"": 5, ""^"": 2, "","": 8, ""L"": 1, ""T"": 1}"
This was one of my favorite moments because it speaks volumes of truth about all trauma. ,89,16,1,8,22,1,1,0,0,1,,"{""NP"": {""DT"": 1, ""CD"": 1, ""PRP$#JJ#NNS"": 1}, ""VP"": {""VBZ#NP"": 1, ""VBD#NP#SBAR"": 1}, ""SBAR"": {""IN#S"": 1}}",0.133,0.616,0.251,"{""O"": 2, ""V"": 2, ""$"": 1, ""P"": 4, ""D"": 2, ""A"": 1, ""N"": 4, "","": 1}"
