fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Prime Minister Netanyahu:We will deepen our roots and strike at our enemies. We will continue to strengthen and develop settlement.,131,21,2,10,8,11,0,0,0,0,,"{""NP"": {""NNP#NNP#NNP"": 1, ""PRP$#NNS"": 2, ""NP#:#S#."": 1}, ""VP"": {""VB#PP"": 1, ""VP#CC#VP"": 1, ""MD#VP"": 2, ""VB#CC#VB#NP"": 1, ""VB#S"": 1}, ""ROOT"": {""NP"": 1}}",0.196,0.708,0.096,"{""A"": 1, ""N"": 5, ""^"": 1, "","": 3, ""O"": 2, ""V"": 6, ""D"": 2, ""&"": 2, ""P"": 2}"
"Prime Minister Benjamin Netanyahu directed the Director General of the Prime Ministers Office to submit for Planning Committee approval, at its next meeting, the establishment of a new neighborhood in Dolev with approximately 300 new residential housing units.",260,38,1,16,8,11,0,0,0,0,,"{""NP"": {""NNP#NNP#NNP#NNP"": 1, ""DT#NNP#NNP"": 1, ""DT#NNP#NNP#NNP"": 1, ""NNP#NNP#NN"": 1, ""PRP$#JJ#NN"": 1, ""DT#JJ#NN"": 1, ""QP#JJ#JJ#NN#NNS"": 1, ""NP#,#NP"": 1}, ""VP"": {""VB#PP"": 1, ""VBD#NP#S#,#PP"": 1}, ""QP"": {""RB#CD"": 1}}",0.0,0.921,0.079,"{""A"": 5, ""N"": 10, ""^"": 6, ""V"": 3, ""D"": 5, ""P"": 7, "","": 3, ""R"": 1, ""$"": 1}"
"Jair M. Bolsonaro Netanyahu expressed his appreciation for President's Bolsonaro efforts to battle the flames in the Amazon rain forests, including by mobilizing the army for this purpose.",188,28,1,14,21,11,0,1,0,0,,"{""NP"": {""NNP#NNP#NNP#NNP"": 1, ""NNP#POS"": 1, ""NP#NNP#NNS"": 1, ""DT#NNS"": 1, ""DT#NNP#NN#NNS"": 1}, ""PP"": {""IN#S"": 1, ""VBG#PP"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VBG#NP"": 1, ""VBD#NP#PP#S#,#PP"": 1}}",0.08,0.767,0.153,"{""^"": 6, "","": 3, ""V"": 4, ""D"": 5, ""N"": 7, ""P"": 5, ""Z"": 1}"
Prime Minister Netanyahu spoke this evening with Brazilian President Jair M. Bolsonaro and offered to  immediately dispatch flame retardants. The Brazilian president thanked the prime minister and accepted the offer.,216,30,1,10,21,11,0,1,0,0,,"{""NP"": {""NNP#NNP#NNP"": 1, ""JJ#NNP#NNP#NNP#NNP"": 1, ""NN#NNS"": 1, ""DT#JJ#NN"": 2}, ""VP"": {""VBD#NP#PP"": 1, ""ADVP#VB#NP"": 1, ""VBD#S"": 1, ""VP#CC#VP"": 2, ""VBD#NP"": 2}}",0.0,0.848,0.152,"{""A"": 4, ""N"": 9, ""^"": 4, ""V"": 4, ""D"": 4, ""P"": 2, "","": 3, ""&"": 2, ""R"": 1}"
"Any country that allows its territory to be used for aggression against Israel will face the consequences, and I repeat: The country will face the consequences.",160,26,1,16,15,3,0,0,0,0,,"{""NP"": {""PRP$#NN#S"": 1, ""NP#SBAR"": 1, ""DT#NNS"": 2}, ""WHNP"": {""WDT"": 1}, ""VP"": {""VBN#PP"": 1, ""VB#VP"": 1, ""VBZ#NP"": 1, ""MD#VP"": 2, ""VB"": 1}, ""S"": {""S#,#CC#S"": 1, ""S#:#S#."": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.084,0.916,0.0,"{""D"": 4, ""N"": 6, ""P"": 4, ""V"": 8, ""L"": 1, ""^"": 1, "","": 3, ""&"": 1, ""O"": 1}"
Henceforth we will expose any attempt by Iran to attack us and any Iranian effort to hide behind this or that excuse.I would like to stress that we will not tolerate aggression against Israel from any country in the region.,223,41,3,25,15,3,0,0,0,0,,"{""NP"": {""DT#JJ#NN"": 1, ""NP#CC#NP"": 1, ""DT"": 1}, ""VP"": {""VB#PP"": 1, ""VB#S"": 2, ""VB#NP#PP#S"": 1, ""MD#VP"": 2, ""VB#NP#PP"": 1, ""MD#RB#VP"": 1, ""VB#SBAR"": 2}, ""S"": {""VP#."": 1}, ""SBAR"": {""S"": 1, ""IN#S"": 2, ""SBAR#CC#SBAR"": 1}}",0.193,0.714,0.092,"{""R"": 2, ""O"": 6, ""V"": 11, ""D"": 4, ""P"": 9, ""^"": 2, ""&"": 2, ""A"": 1, ""N"": 4, "","": 2}"
"I would like to emphasize: This was an initiative of Iran, under the command of Iran, at the behest of Iran.In a daring decision, and in a perfect IDF operational and intelligence effort, we pre-empted them and thwarted this attack; we prevented serious attacks.",262,45,3,24,15,3,0,0,0,0,,"{""NP"": {""DT"": 1, ""DT#ADJP#NN"": 1, ""DT#JJ#NNP#JJ#CC#NN#NN"": 1, ""JJ#NNS"": 1}, ""VP"": {""VB"": 1, ""VB#S"": 1, ""MD#VP"": 1, ""VBG#NP"": 1, ""VBD#NP#,#PP#,#PP"": 1, ""VBD#NP"": 3, ""VP#CC#VP"": 1}, ""S"": {""PP#,#NP#VP"": 1, ""S#,#CC#S"": 1, ""S#:#S#:#S#."": 1}, ""PP"": {""IN#S"": 1}, ""ADJP"": {""JJ"": 1}}",0.166,0.595,0.24,"{""O"": 5, ""V"": 7, ""P"": 8, "","": 8, ""D"": 6, ""N"": 8, ""^"": 4, ""A"": 4, ""&"": 3}"
"PM Netanyahu: 'If someone rises up to kill you, kill him first.' In a complicated operation by the security establishment, we revealed that Iran's Quds Force dispatched a special unit of Shi'ite militants to Syria to kill Israelis on the Golan Heights with explosives-laden UAVs",278,45,1,25,15,2,1,0,0,0,,"{""NP"": {""NP#:#``#S"": 1, ""DT#JJ#NN"": 2, ""DT#NN#NN"": 1, ""NNP#POS"": 1, ""NP#NNP#NNP"": 1, ""NNP#NNS"": 1, ""NNPS"": 1, ""DT#NNP#NNPS"": 1, ""JJ#NNS"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VBZ#PRT#S"": 1, ""VB#NP#ADVP"": 1, ""VB#NP#PP#PP"": 1, ""VBD#NP#PP#S"": 1, ""VBD#SBAR"": 1}, ""S"": {""SBAR#,#VP"": 1, ""VP#."": 1, ""PP#,#NP#VP"": 1}, ""SBAR"": {""IN#S"": 2}}",0.247,0.664,0.089,"{""N"": 9, ""^"": 8, "","": 6, ""P"": 10, ""V"": 6, ""T"": 1, ""O"": 3, ""A"": 3, ""D"": 4, ""Z"": 1}"
"'If someone rises up to kill you, kill him first.' I have directed that our forces be prepared for any scenario. We will continue to take determined and responsible action against Iran and its proxies for the security of Israel.",228,40,1,25,21,33,0,0,0,0,,"{""NP"": {""PRP$#NNS"": 2, ""ADJP#NN"": 1, ""NP#CC#NP"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VBZ#PRT#S"": 1, ""VB#NP#ADVP"": 1, ""VBN#PP"": 1, ""VB#VP"": 1, ""VBN#SBAR"": 1, ""VBP#VP"": 1, ""VB#NP#PP#PP"": 1, ""VB#S"": 1, ""MD#VP"": 1}, ""S"": {""``#SBAR#,#VP#."": 1}, ""SBAR"": {""IN#S"": 2}, ""ADJP"": {""JJ#CC#JJ"": 1}}",0.183,0.642,0.175,"{"","": 6, ""P"": 8, ""N"": 6, ""V"": 9, ""T"": 1, ""O"": 4, ""A"": 4, ""D"": 3, ""&"": 2, ""^"": 2, ""L"": 1}"
"Prime Minister and Defense Minister Netanyahu:""In a major operational effort, we have thwarted an attack against Israel by the Iranian Quds force and Shi'ite militias. I reiterate: Iran has no immunity anywhere. Our forces operate in every sector against the Iranian aggression.",278,43,2,17,21,33,0,0,0,0,,"{""NP"": {""NNP#NNP#CC#NNP#NNP#NNP"": 1, ""DT#JJ#JJ#NN"": 1, ""DT#JJ#NNP#NN"": 1, ""NP#CC#NP"": 1, ""NP#:#``#S#."": 1, ""PRP$#NNS"": 1, ""DT#JJ#NN"": 1}, ""VP"": {""VBN#NP#PP"": 1, ""VBP#VP"": 1, ""VBP"": 1, ""VBZ#NP#ADVP"": 1, ""VBP#PP"": 1}, ""S"": {""PP#,#NP#VP"": 1, ""S#:#S#."": 1}, ""ROOT"": {""NP"": 1}}",0.191,0.776,0.033,"{""A"": 6, ""N"": 11, ""&"": 2, ""^"": 4, "","": 7, ""P"": 5, ""D"": 7, ""O"": 2, ""V"": 5, ""R"": 1}"
