fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
The unstoppable Simone Biles!! Heres to you girl...as you create history yet again!! You truly are an inspiration to everyone!! Super proud  ,141,22,1,9,13,33,0,1,0,2,,"{""NP"": {""DT#JJ#NNP#NNP#NNP#NNP"": 1, ""PRP#NN"": 1, ""NP#:#SBAR"": 1, ""DT#NN#S"": 1}, ""VP"": {""VBP#NP#ADVP#ADVP"": 1, ""VB#S"": 1, ""VBP#NP"": 1, ""VBD#SBAR"": 1}, ""S"": {""NP#ADJP"": 1, ""NP#ADVP#VP"": 1}, ""SBAR"": {""IN#S"": 1, ""S"": 1}, ""ADJP"": {""JJ"": 1}}",0.052,0.466,0.482,"{""D"": 2, ""A"": 2, ""^"": 2, "","": 4, ""V"": 3, ""P"": 3, ""O"": 3, ""N"": 4, ""R"": 4}"
Happy birthday rohini iyer! May this year shine as bright as u!! Love u,71,14,1,8,3,33,1,1,0,0,,"{""NP"": {""JJ#NN#NNS"": 1, ""NN#CD#NN#NN"": 1}, ""VP"": {""VBP"": 1, ""VBP#ADJP#PP"": 1}, ""S"": {""NP#NP#VP"": 1}, ""ADJP"": {""RB#JJ"": 1}}",0.0,0.461,0.539,"{""A"": 2, ""N"": 2, ""^"": 2, "","": 2, ""V"": 3, ""D"": 1, ""R"": 1, ""P"": 1, ""O"": 2}"
,0,0,0,0,2,33,0,0,1,0,😘:1,{},0.0,0.0,0.0,{}
A big congratulations to all the winners of the 66th . Its so great to see new talent and compelling stories receive such recognition. Exciting times for the film industry across India and I am so proud to be a part of it.,222,43,1,29,21,33,0,0,0,1,,"{""NP"": {""DT#JJ"": 1, ""PDT#DT#NNS"": 1, ""DT#NNS"": 1, ""JJ#NN"": 2, ""PRP$#ADJP#NNS"": 1, ""DT#NN#NN"": 1}, ""VP"": {""VBZ#PP"": 1, ""VBP#NP"": 1, ""VBG#NP#PP"": 1, ""VBP#ADJP"": 1}, ""S"": {""S#CC#S#."": 1}, ""ADJP"": {""RB#JJ#S"": 2, ""JJ"": 1, ""ADJP#CC#ADJP"": 1}}",0.0,0.57,0.43,"{""D"": 5, ""A"": 7, ""N"": 9, ""P"": 7, ""X"": 1, "","": 3, ""L"": 1, ""R"": 2, ""V"": 5, ""&"": 2, ""^"": 1, ""O"": 2}"
Im so proud to have produced a special film like . Congratulations to our director Adinath Kothare & to the entire team Purple Pebble Pictures madhu chopra Siddharth Chopra for our second National Award.,203,34,2,16,20,33,1,4,1,1,,"{""NP"": {""DT#JJ#NN"": 2, ""NNP#NNP#NNP#NNP#NNP#NNP#NNP"": 1, ""PRP$#JJ#NNP#NN"": 1, ""PP#NP#PP"": 1, ""NP#CC#NP"": 1}, ""PP"": {""IN"": 1}, ""VP"": {""VBN#NP#PP"": 1, ""VB#VP"": 1, ""VB#ADJP"": 1, ""VBP#NP"": 1}, ""S"": {""VP#."": 1}, ""ADJP"": {""RB#JJ#S"": 1}}",0.0,0.619,0.381,"{""L"": 1, ""R"": 1, ""A"": 4, ""P"": 5, ""V"": 2, ""D"": 4, ""N"": 7, "","": 2, ""^"": 8, ""&"": 1}"
"So proud of you Adinath Kothare ! Not bad for a directorial debut! Lol! Can't wait to c everything u unleash onto the world of entertainment,.. Always knew this one was special! Here's to team ",193,36,2,23,20,33,0,1,1,1,,"{""NP"": {""NP#NP"": 1, ""DT#JJ#NN"": 1, ""NN#NN"": 1, ""RB"": 1}, ""PP"": {""IN#NP#,"": 1}, ""ADJP"": {""JJ#PP"": 2, ""JJ"": 1}, ""FRAG"": {""RB#ADJP#."": 2}, ""ROOT"": {""FRAG"": 2}, ""VP"": {""VB"": 1, ""VB#PP#."": 1, ""VB#S"": 2, ""MD#RB#VP"": 1, ""VBD#ADJP"": 1, ""VBD#SBAR"": 1, ""VBZ#PP"": 1}, ""S"": {""VP#."": 2}, ""SBAR"": {""S"": 1}}",0.0,0.677,0.323,"{""R"": 3, ""A"": 4, ""P"": 6, ""O"": 2, ""V"": 7, ""^"": 1, "","": 5, ""D"": 3, ""N"": 5, ""!"": 1, ""$"": 1, ""L"": 1}"
"Extending a warm welcome to the 3rd generation of the Deol family... Loads of love & luck to  as you take the legacy forward, & to you,  for . May this be the start of something bright and beautiful  Big hug to Sunny Deol  love always",234,46,1,33,18,33,0,1,1,3,,"{""NP"": {""DT#JJ#NN"": 1, ""DT#NNP"": 1, ""DT#JJ#ADJP#NN"": 1, ""NP#NP"": 1, ""NP#CC#NP"": 1, ""SYM"": 1, ""NP#:#NP#,#NP#,#PP#."": 1, ""DT"": 1, ""NN#ADJP#NNP#NN"": 1, ""NP#SBAR"": 1}, ""PP"": {""TO#SBAR"": 1, ""IN"": 1}, ""ADJP"": {""JJ#PP"": 1, ""JJ#CC#JJ"": 1}, ""VP"": {""VBP#NP#ADVP"": 1, ""VBP#ADVP"": 1}, ""SBAR"": {""IN#S"": 1, ""S"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.532,0.468,"{""V"": 6, ""D"": 5, ""A"": 5, ""P"": 9, ""N"": 9, ""^"": 3, "","": 4, ""&"": 3, ""O"": 3, ""R"": 2}"
So inspired by the women behind :  & . This is literally what I wanted to be growing up & these women have shown me it can be a reality. Thank you girls for setting such a great example. So proud of team ISRO Courtesy:PIB India,227,46,2,28,22,33,1,2,0,3,🎥:1,"{""NP"": {""DT#NNS"": 2, ""SYM"": 2, ""NP#RRC"": 1, ""DT"": 1, ""NP#SBAR"": 1, ""PDT#DT#JJ#NN"": 1, ""NN#NN#NNP#:#NNP#NNP"": 1}, ""ADVP"": {""RB#:"": 1}, ""RRC"": {""ADVP#NP"": 1}, ""PP"": {""IN#S"": 1}, ""ADJP"": {""JJ#PP"": 2}, ""FRAG"": {""RB#ADJP#."": 1, ""RB#ADJP"": 1}, ""ROOT"": {""FRAG"": 2}, ""WHNP"": {""WP"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VBN#NP"": 1, ""VBP#VP"": 1, ""VBG#PRT#NP"": 1, ""VB#VP"": 1, ""VBD#S"": 1, ""VBZ#ADVP#SBAR"": 1, ""MD#VP"": 1, ""VBG#NP"": 1, ""VB#S"": 1}, ""S"": {""S#NP#VP#."": 1, ""NP#NP"": 1, ""VP#."": 1}, ""SBAR"": {""S"": 1, ""WHNP#S"": 1}}",0.0,0.691,0.309,"{""P"": 6, ""V"": 11, ""D"": 4, ""N"": 7, "","": 5, ""&"": 2, ""O"": 6, ""R"": 2, ""T"": 1, ""A"": 3, ""^"": 3}"
So proud to announce that  is the only film from Asia to have an official selection at ! Can't wait to be back this year in the dual role of actor & producer. I hope to see many of you at the world premiere on Sep 13. Thank you for all the love & support.,255,55,1,44,18,33,1,0,0,2,🙏:1,"{""ADJP"": {""RB#JJ"": 1}, ""NP"": {""DT#JJ#NN"": 3, ""NP#PP#S"": 1, ""NP#CC#NP"": 2, ""JJ"": 1, ""DT#NN#NN"": 1, ""NNP#CD"": 1, ""PDT#DT#NN"": 1}, ""PP"": {""IN"": 1}, ""VP"": {""VB#NP#PP"": 3, ""VBZ#NP"": 1, ""VB#SBAR"": 1, ""VB#ADVP#NP"": 1, ""VB#S#PP"": 1, ""MD#RB#VP"": 1, ""VBP#S"": 1}, ""S"": {""VP#."": 2}, ""SBAR"": {""IN#S"": 1}, ""FRAG"": {""ADJP#S#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,0.742,0.258,"{""R"": 2, ""A"": 4, ""P"": 12, ""V"": 9, ""O"": 4, ""D"": 7, ""N"": 11, ""^"": 2, "","": 4, ""&"": 2, ""$"": 1}"
Four major  nominations for The Jonas Brothers today! Unbelievably proud  Nick Jonas kevin jonas J O E  J O N A S Go vote! -&gt; ,129,25,1,13,19,33,0,4,1,1,"👏:1,🏼:1","{""NP"": {""CD#JJ#NNS"": 1, ""DT#NNP#NNPS#NN"": 1, ""NP#PP#."": 1, ""ADJP#NNP#NNP#NNP"": 1, ""NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 2}, ""ADJP"": {""RB#JJ"": 1}, ""VP"": {""VBZ#S"": 1}}",0.0,0.801,0.199,"{""$"": 1, ""A"": 2, ""N"": 3, ""P"": 1, ""D"": 2, ""^"": 11, "","": 2, ""R"": 1, ""&"": 1, ""V"": 2, ""G"": 1}"
