fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Today I asked Granite Staters to raise their hands if they or someone they know have been touched by our nation's mental health care and addiction crisis. I saw a room full of hands. We can no longer wait to actthat's why I just released a plan to meet this urgent crisis.,272,52,1,32,1,11,1,0,0,0,,"{""NP"": {""PRP$#NNS"": 1, ""NP#SBAR"": 1, ""NP#CC#NP"": 1, ""PRP$#NN#POS"": 1, ""NP#JJ#NN#NN#CC#NN#NN"": 1, ""DT#JJ#NN"": 1, ""DT#NN#S"": 1}, ""VP"": {""VBP"": 1, ""VBN#PP"": 1, ""VBN#VP"": 1, ""VBP#VP"": 1, ""VB#NP#SBAR"": 2, ""VBD#S"": 1, ""VBD#NP"": 2, ""VB#S"": 1, ""MD#ADVP#VP"": 1}, ""S"": {""NP#NP#VP#."": 1, ""NP#ADVP#VP"": 1}, ""SBAR"": {""S"": 1, ""IN#S"": 1, ""WHADVP#S"": 1}, ""PP"": {""JJ#IN#NP"": 1}, ""ADVP"": {""RB#RB"": 1}, ""WHADVP"": {""WRB"": 1}}",0.181,0.729,0.09,"{""N"": 12, ""O"": 6, ""V"": 11, ""^"": 2, ""P"": 6, ""D"": 6, ""&"": 2, ""S"": 1, ""A"": 3, "","": 3, ""Z"": 1, ""R"": 2}"
"Freedom means living free of discrimination because of who you are or whom you love. By arguing to legalize discrimination against LGBTQ+ Americans, this administration put themselves on the wrong side of historyand our values. As president, I'll sign the Equality Act into law.",278,44,1,25,0,11,0,0,1,0,,"{""NP"": {""JJ"": 1, ""NNP#NNP#NNPS"": 1, ""DT#JJ#NN"": 1, ""PRP$#NNS"": 1, ""DT#NNP#NNP"": 1}, ""PP"": {""IN#SBAR"": 1, ""IN#S"": 2}, ""WHNP"": {""WP"": 2}, ""WHPP"": {""IN#WHNP"": 1}, ""VP"": {""VBP"": 2, ""VBG#NP#PP"": 1, ""VBZ#S"": 1, ""VB#NP#PP"": 2, ""VBG#S"": 1, ""VBG#NP"": 1, ""VBD#NP#PP"": 1, ""MD#VP"": 1}, ""S"": {""PP#,#NP#VP#."": 2}, ""SBAR"": {""WHPP#S"": 1, ""WHNP#S"": 1, ""SBAR#CC#SBAR"": 1}}",0.104,0.65,0.246,"{""N"": 9, ""V"": 10, ""A"": 2, ""P"": 10, ""O"": 5, ""&"": 1, "","": 5, ""^"": 2, ""D"": 4, ""L"": 1}"
"At this critical time in our nation's history, I'm grateful for good people who put their hand up and offer to serve. Congratulations on your announcement John Hickenlooperand thank you for your continued leadership.",216,34,1,20,21,1,0,1,1,0,,"{""NP"": {""DT#JJ#NN"": 1, ""PRP$#NN#POS"": 1, ""NP#NN"": 1, ""JJ#NNS"": 1, ""NP#SBAR"": 1, ""NP#NP"": 1, ""PRP$#VBN#NN"": 1}, ""WHNP"": {""WP"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VBP#NP#PRT"": 1, ""VB"": 1, ""VBP#S"": 1, ""VP#CC#VP"": 1, ""VBP#ADJP"": 1, ""VBP#NP#PP"": 1}, ""S"": {""PP#,#NP#VP#."": 1}, ""SBAR"": {""WHNP#S"": 1}, ""ADJP"": {""JJ#PP"": 1}}",0.05,0.611,0.338,"{""P"": 6, ""D"": 5, ""A"": 4, ""N"": 8, ""S"": 1, "","": 3, ""L"": 1, ""O"": 2, ""V"": 3, ""T"": 1, ""&"": 1, ""^"": 2}"
".Seth Moulton is a patriot who defended our nation and our values as a Marine and as a Congressman.He understands the urgency of this moment, and I'm grateful for his voice and for his service.",193,36,3,22,20,1,0,1,1,0,,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1}, ""NP"": {""PRP$#NNS"": 1, ""NP#CC#NP"": 1, ""DT#NNP"": 2, ""NP#SBAR"": 1}, ""WHNP"": {""WP"": 1}, ""PP"": {""PP#CC#PP"": 1}, ""VP"": {""VBD#NP#PP"": 1, ""VBZ#NP"": 2, ""VBP#ADJP"": 1}, ""S"": {""S#,#CC#S#."": 1}, ""SBAR"": {""WHNP#S"": 1, ""IN#S"": 1, ""SBAR#CC#SBAR"": 1}, ""ADJP"": {""JJ#PP"": 1}}",0.0,0.84,0.16,"{"","": 4, ""^"": 2, ""V"": 3, ""D"": 9, ""N"": 8, ""O"": 2, ""&"": 4, ""P"": 5, ""A"": 2, ""L"": 1}"
"We're in the midst of a devastating opioid epidemic that is harming communities across the country. In a few moments, I'll be speaking live from Manchester, NH to unveil my new plan to tackle the crisis head on and reduce deaths of despair by 1 million.  ",255,46,1,27,17,2,0,0,1,0,,"{""NP"": {""DT#JJ#JJ#NN"": 1, ""NP#SBAR"": 1, ""DT#JJ#NNS"": 1, ""PRP$#JJ#NN"": 1, ""DT#NN#NN"": 1, ""QP"": 1}, ""WHNP"": {""WDT"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VBZ#VP"": 1, ""VBP#PP"": 1, ""VBG#ADVP#PP"": 1, ""VB#VP"": 1, ""VB#NP#PRT"": 1, ""VB#NP#S"": 1, ""VB#S"": 1, ""VB#NP#PP"": 1, ""VP#,#VP#CC#VP"": 1, ""MD#VP"": 1}, ""S"": {""PP#,#NP#VP#."": 1}, ""SBAR"": {""WHNP#S"": 1}, ""PRT"": {""RP"": 1}, ""QP"": {""CD#CD"": 1}}",0.254,0.676,0.07,"{""L"": 2, ""P"": 11, ""D"": 6, ""N"": 12, ""A"": 3, ""V"": 8, "","": 4, ""^"": 2, ""&"": 1, ""$"": 1}"
"Young people are in the throes of Americas mental health crisis, and its not hard to understand why. But young people also have the power to address it, and now is the time. We cant wait any longer.",198,38,1,24,16,1,0,0,1,0,,"{""NP"": {""NNP#NNS"": 1, ""DT#NNS"": 1, ""NNP#JJ#NN#NN"": 1, ""PRP$"": 1, ""JJ#NNS"": 1, ""DT#NN#S"": 1, ""RB"": 1}, ""VP"": {""VBP#PP"": 1, ""VB#SBARQ"": 1, ""VBP#NP"": 1, ""VBZ#NP"": 1, ""VB#ADVP"": 1, ""MD#VP"": 1}, ""S"": {""NP#ADJP"": 1, ""S#,#CC#S#."": 2, ""CC#NP#ADVP#VP"": 1}, ""WHADVP"": {""WRB"": 1}, ""SBARQ"": {""WHADVP"": 1}, ""SBAR"": {""S"": 1}, ""ADJP"": {""RB#JJ#SBAR"": 1}, ""ADVP"": {""DT#RBR"": 1}}",0.064,0.907,0.029,"{""A"": 3, ""N"": 7, ""V"": 7, ""P"": 4, ""D"": 4, ""^"": 2, "","": 5, ""&"": 3, ""L"": 1, ""R"": 5, ""O"": 2}"
"For too long, the Black community has been disproportionately impacted by Americas mental health care crisis. Now is the time to pursue transformative policies and save lives. We cant wait any longer.",200,32,1,18,14,1,0,0,1,0,,"{""ADJP"": {""RB#JJ"": 1}, ""PP"": {""IN#ADJP"": 1}, ""NP"": {""DT#NNP#NN"": 1, ""JJ#JJ#NN#NN#NN"": 1, ""RB"": 1, ""JJ#NNS"": 1, ""DT#NN#S"": 1}, ""ADVP"": {""DT#RBR"": 1}, ""VP"": {""ADVP#VBN#PP"": 1, ""VBN#VP"": 1, ""VBZ#VP"": 1, ""VP#CC#VP"": 1, ""VBZ#NP"": 1, ""VB#ADVP"": 1, ""MD#VP"": 1}, ""S"": {""PP#,#NP#VP#."": 1}}",0.104,0.734,0.162,"{""P"": 3, ""R"": 4, ""A"": 2, "","": 4, ""D"": 3, ""^"": 3, ""N"": 7, ""V"": 8, ""&"": 1, ""O"": 1}"
"Americas addiction and mental health care crisis has been building for decadesdue to decades of neglect by political leaders in Washington. Today, Im proposing a new approach that tackles this crisis with the urgency and care it deserves.",238,38,1,19,11,11,1,0,0,0,,"{""NX"": {""NN"": 1, ""JJ#NN"": 1, ""NX#CC#NX"": 1}, ""NP"": {""NNP#NX"": 1, ""JJ#NNS"": 1, ""DT#JJ#NN"": 1, ""NP#SBAR"": 1, ""NP#VP"": 1}, ""VP"": {""VBG#PP#PP"": 1, ""VBN#VP"": 1, ""VBZ#VP"": 1, ""VBP#SBAR"": 1, ""VBZ#NP#PP"": 1, ""VBP#NP"": 1, ""VP#CC#VP"": 1, ""VBG#NP"": 1, ""VBZ"": 1}, ""S"": {""NP#,#NP#VP#."": 1}, ""SBAR"": {""S"": 1, ""WHNP#S"": 1}, ""WHNP"": {""WDT"": 1}}",0.226,0.645,0.129,"{""^"": 2, ""N"": 12, ""&"": 2, ""A"": 3, ""V"": 7, ""P"": 7, "","": 3, ""L"": 1, ""D"": 3, ""O"": 1}"
"Our country is in the midst of a mental health and addiction crisis, worsened by decades of stigma and political neglect. Ill bring a new approach, rooted in commitment and community, to tackle this crisis with the urgency it deserves. ",236,40,1,20,10,11,0,0,1,0,,"{""NP"": {""DT#NX"": 1, ""NN#CC#JJ#NN"": 1, ""NP#,#VP"": 1, ""DT#JJ#NN"": 1, ""NN#CC#NN"": 1, ""NP#,#VP#,"": 1, ""NP#SBAR"": 1}, ""NX"": {""JJ#NN"": 1, ""NN#NNS"": 1, ""NX#CC#NX"": 1}, ""VP"": {""VBN#PP"": 2, ""VBZ#PP"": 1, ""VBZ"": 1, ""VB#NP#PP"": 1, ""VBP#S"": 1}, ""SBAR"": {""S"": 1}}",0.328,0.621,0.05,"{""D"": 6, ""N"": 14, ""V"": 6, ""P"": 7, ""&"": 3, "","": 5, ""A"": 2, ""L"": 1, ""O"": 1}"
Fires like the one raging in the Amazon are a reminder not only of the urgency to act on climate change but also of the failure of our politics to meet the great challenges of our time. Politicians can no longer fiddle while the world burns. The time to act is now.,265,52,1,34,22,11,0,0,0,0,,"{""NP"": {""DT#NNP"": 1, ""NP#VP"": 1, ""NN#NN"": 1, ""DT#NN#S"": 2, ""DT#JJ#NNS"": 1, ""PRP$#NNS#S"": 1}, ""PP"": {""CONJP#PP#CONJP#PP"": 1}, ""VP"": {""VBG#PP"": 1, ""VB#PP"": 1, ""VBP#NP#PP"": 1, ""VBZ"": 1, ""VB#SBAR"": 1, ""MD#ADVP#VP"": 1, ""VB"": 1, ""VBZ#ADVP"": 1}, ""CONJP"": {""RB#JJ"": 1, ""CC#RB"": 1}, ""ADVP"": {""RB#RB"": 1}, ""SBAR"": {""IN#S"": 1}}",0.132,0.705,0.163,"{""V"": 8, ""P"": 11, ""D"": 11, ""$"": 1, ""^"": 1, ""N"": 14, ""R"": 4, ""&"": 1, ""A"": 1, "","": 3}"
