fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Watch Queen of the South tonight 10/9c and catch Voli 305 Vodka on Only two more episodes this season!,102,19,1,10,23,4,1,2,0,0,📺:1,"{""NP"": {""DT#NNP#NN#NNS"": 1, ""NNP#NNP#NNP"": 1, ""QP"": 1, ""ADJP#NNS"": 1}, ""VP"": {""VB#NP#NP"": 1, ""VP#CC#VP"": 1}, ""QP"": {""RB#CD"": 1}, ""ADJP"": {""NP#JJR"": 1}, ""S"": {""VP#."": 1}}",0.0,1.0,0.0,"{""V"": 2, ""^"": 5, ""P"": 2, ""D"": 2, ""R"": 2, ""$"": 2, ""&"": 1, ""A"": 1, ""N"": 2, "","": 1}"
Always!,7,1,1,0,17,1,0,0,1,0,,"{""FRAG"": {""ADVP#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""R"": 1, "","": 1}"
Always have goals. Always have vision. Always have strategy. ,61,9,1,3,16,4,0,0,0,1,,"{""VP"": {""VBP#NP"": 3}}",0.0,0.8,0.2,"{""R"": 3, ""V"": 3, ""N"": 3, "","": 3}"
Been taking life from a negative to positive for nearly a decade now time flies!  ,82,15,1,9,17,1,0,0,1,1,,"{""NP"": {""RB#DT#NN"": 1, ""DT#ADJP#NN"": 1}, ""ADJP"": {""JJ#TO#JJ"": 1, ""ADJP#PP"": 1}, ""ADVP"": {""NP#RB"": 1}, ""PP"": {""IN#ADVP"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VBN#VP"": 1, ""VBZ"": 1}, ""S"": {""S#VP#."": 1}}",0.215,0.592,0.194,"{""V"": 3, ""N"": 3, ""P"": 3, ""D"": 2, ""A"": 2, ""R"": 2, "","": 1}"
"""Round and round and round we go...""  , the new single from yours truly, is out now! Watch the video on YouTube: ",113,22,3,12,22,1,1,1,1,1,"😉:1,💃:1,🏻:1","{""NP"": {""NN#CC#NN"": 1, ""NP#SBAR"": 1, ""``#NP#CC#NP"": 1, ""DT#JJ#JJ"": 1, ""PRP$#RB"": 1, ""NP#,#NP#,"": 1}, ""VP"": {""VBP"": 1, ""VBZ#ADVP#ADVP"": 1, ""VB#NP#PP"": 1}, ""S"": {""VP#:"": 1}, ""SBAR"": {""S"": 1}}",0.0,0.862,0.138,"{"","": 7, ""N"": 3, ""&"": 2, ""V"": 4, ""O"": 2, ""D"": 2, ""A"": 2, ""P"": 2, ""R"": 3, ""^"": 1}"
"""Every day above ground is a great day...""  The new video for  by papayomusic ft. Ky-Mani Marley and yours truly is out now! Watch on YouTube: ",143,26,3,13,17,1,1,3,1,1,"🔥:1,🙏:1","{""NP"": {""DT#JJ#NN"": 2, ""JJ#NN#NNP#NNP#CC#NNP"": 1}, ""PP"": {""IN#PP"": 1}, ""VP"": {""VBZ#NP"": 1, ""VBZ#ADVP#ADVP"": 1, ""VB#PP"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""``#S#:#S#."": 1, ""VP#:"": 1}}",0.0,0.759,0.241,"{"","": 6, ""D"": 3, ""N"": 3, ""P"": 4, ""^"": 5, ""V"": 4, ""A"": 2, ""&"": 1, ""O"": 1, ""R"": 3}"
"Thank you John Travolta for the great moves in the ""3 to Tango"" video! Good Morning America and John - appreciate the love, Dale ",129,24,1,14,16,4,0,1,1,0,🎶:1,"{""NP"": {""DT#JJ#NNS"": 1, ""CD"": 1, ""DT#``#NX#NN"": 1, ""NNP#NNP#NNP#CC#NNP"": 1, ""NP#,#NP"": 1, ""NP#:#S"": 1}, ""NX"": {""NP#PP"": 1}, ""S"": {""NP#NP"": 1, ""VP#."": 1}, ""VP"": {""VB#S"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.519,0.481,"{""V"": 3, ""O"": 1, ""^"": 5, ""P"": 3, ""D"": 3, ""A"": 2, ""N"": 4, "","": 5, ""$"": 1, ""&"": 1}"
"Live life, dont let life live you. ",35,7,1,6,17,1,0,0,0,1,,"{""NP"": {""JJ#NN"": 1}, ""VP"": {""VBP#NP"": 1, ""VBD#SBAR"": 1}, ""S"": {""NP#,#NP#VP#."": 1}, ""SBAR"": {""S"": 1}}",0.0,1.0,0.0,"{""A"": 1, ""N"": 2, "","": 2, ""V"": 3, ""O"": 1}"
Bring on the night with   Available now on Pandora!  ,53,9,1,5,20,4,1,1,1,1,🎶:1,"{""PP"": {""IN#S"": 1}, ""VP"": {""VBG#ADVP#PP"": 1}, ""ADJP"": {""JJ#PP#PP#."": 1}, ""ROOT"": {""ADJP"": 1}}",0.0,1.0,0.0,"{""V"": 1, ""P"": 3, ""D"": 1, ""N"": 1, ""A"": 1, ""R"": 1, ""^"": 1, "","": 1}"
"Get ready for the weekend with ""3 to Tango""  Available now on Apple Music!",74,14,1,8,19,4,1,1,0,0,🎶:1,"{""NP"": {""CD"": 1}, ""PP"": {""IN#``#NP"": 1}, ""ADJP"": {""JJ#PP"": 1}, ""VP"": {""VB#ADJP#PP#ADVP#PP"": 1}, ""S"": {""VP#."": 1}}",0.0,0.823,0.177,"{""V"": 2, ""A"": 2, ""P"": 4, ""D"": 1, ""N"": 2, "","": 3, ""$"": 1, ""R"": 1, ""^"": 1}"
"""3 To Tango"" out now and tops Deezer's Feel Good Tunes! ",56,11,1,8,16,4,0,1,1,0,,"{""NP"": {""CD#TO#CD"": 1, ""RB"": 1, ""``#NP#PP"": 1, ""NNP#POS"": 1, ""NP#NNP#NNP#NNP"": 1, ""NP#NP"": 1, ""NP#CC#NP"": 1}, ""FRAG"": {""NP#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,0.581,0.419,"{"","": 3, ""$"": 1, ""P"": 1, ""V"": 3, ""T"": 1, ""R"": 1, ""&"": 1, ""Z"": 1, ""A"": 1, ""N"": 1}"
"The video for ""3 To Tango"" features an unexpected appearance from a friend...  Watch it now on YouTube!",103,18,3,10,18,1,0,1,1,0,😉:1,"{""NP"": {""CD#TO#CD"": 1, ""DT#JJ#NN"": 1}, ""PP"": {""IN#``#NP"": 1}, ""VP"": {""VB#NP#ADVP#PP"": 1, ""VBZ#NP#PP#:#S"": 1}}",0.0,1.0,0.0,"{""D"": 3, ""N"": 3, ""P"": 4, "","": 4, ""$"": 1, ""V"": 3, ""A"": 1, ""O"": 1, ""R"": 1, ""^"": 1}"
Check out  by yours truly on Spotify NOW! ,42,8,1,4,19,4,1,1,1,1,,"{""PRT"": {""RP"": 1}, ""NP"": {""PRP$#RB"": 1}, ""VP"": {""VB#PRT#PP#PP"": 1}, ""S"": {""VP#."": 1}}",0.0,0.687,0.313,"{""V"": 1, ""T"": 1, ""P"": 2, ""O"": 1, ""R"": 2, ""^"": 1, "","": 1}"
It's an honor to open a multicultural agency with HMI and discuss our plans with The Wall Street Journal. ,106,19,1,12,1,4,1,2,1,0,,"{""NP"": {""DT#JJ#NN"": 1, ""PRP$#NNS"": 1, ""DT#NNP#NNP#NNP"": 1, ""DT#NN#S"": 1}, ""VP"": {""VB#NP#PP"": 2, ""VP#CC#VP"": 1, ""VBZ#NP"": 1}}",0.0,0.842,0.158,"{""L"": 1, ""D"": 4, ""N"": 4, ""P"": 3, ""V"": 2, ""^"": 4, ""&"": 1, "","": 1}"
"Come for the new video from yours truly, stay for a surprise from the one and only John Travolta! ",98,19,1,14,19,1,0,0,1,0,,"{""NP"": {""DT#JJ#NN"": 1, ""PRP$#RB"": 1, ""RB#NNP#NNP"": 1, ""NP#CC#NP"": 1}, ""PP"": {""VBN#PP"": 1}, ""VP"": {""VB#PP#PP"": 1}, ""S"": {""PP#,#VP#."": 1}}",0.0,0.751,0.249,"{""V"": 2, ""P"": 4, ""D"": 3, ""A"": 1, ""N"": 2, ""O"": 1, ""R"": 2, "","": 2, ""$"": 1, ""&"": 1, ""^"": 2}"
 know best! ,12,2,1,1,18,4,0,0,1,1,😉:1,"{""ADVP"": {""RBS"": 1}, ""VP"": {""VB#ADVP"": 1}, ""S"": {""VP#."": 1}}",0.0,0.182,0.818,"{""V"": 1, ""A"": 1, "","": 1}"
Who said we'll never use math after high school?  Thank you MTV NEWS,68,13,1,8,17,4,0,1,1,0,😉:1,"{""WHNP"": {""WP"": 1}, ""NP"": {""JJ#NN"": 1}, ""VP"": {""VB#NP#PP"": 1, ""MD#ADVP#VP"": 1, ""VBD#SBAR"": 1}, ""SBAR"": {""S"": 1}, ""SQ"": {""VP"": 1}, ""SBARQ"": {""WHNP#SQ#."": 1}, ""ROOT"": {""SBARQ"": 1, ""SINV"": 1}, ""SINV"": {""VP#NP"": 1}}",0.0,0.828,0.172,"{""O"": 2, ""V"": 3, ""L"": 1, ""R"": 1, ""N"": 3, ""P"": 1, ""A"": 1, "","": 1, ""^"": 1}"
" 1, 2,  is out now!  Watch the ""3 To Tango"" video: Directed by David Rousseau Featuring TheMostBadOnes and... ",110,18,4,9,13,4,1,2,1,1,"🔥:2,😉:1","{""NP"": {""CD"": 2, ""NP#,#NP#,"": 1, ""CD#TO#CD"": 1, ""DT#``#NP#NN"": 1, ""NNP#NNP#NNP#NNPS#NNP"": 1, ""NP#:#NP#:"": 1}, ""VP"": {""VBZ#ADVP#ADVP"": 1}}",0.0,1.0,0.0,"{""$"": 3, "","": 6, ""V"": 5, ""R"": 2, ""D"": 1, ""P"": 2, ""N"": 1, ""^"": 3, ""&"": 1, ""~"": 1}"
"Thank you, Good Morning America Summer Concert Series. Look forward to taking the stage in Central Park  Dale!",110,18,1,7,4,4,1,1,0,0,🔥:1,"{""NP"": {""JJ#NN#NNP#NNP#NNP#NNP"": 1, ""NNP#NNP#NNP"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VB#ADVP#PP"": 1}, ""S"": {""VP#,#NP#."": 1, ""VP#."": 1}, ""PP"": {""TO#S"": 1}}",0.0,0.738,0.262,"{""V"": 3, ""O"": 1, "","": 3, ""A"": 1, ""N"": 4, ""^"": 5, ""R"": 1, ""P"": 2, ""D"": 1}"
"Surprise! A new song from yours truly called ""3 To Tango"" is out everywhere TOMORROW! Stay tuned...   ",102,17,1,9,20,4,1,0,1,0,"💃:1,🏻:1,🔥:1,🎶:1","{""INTJ"": {""UH#."": 1}, ""ROOT"": {""INTJ"": 1, ""NP"": 1}, ""NP"": {""DT#JJ#NN"": 1, ""PRP$#RB"": 1, ""CD"": 1, ""NNP#NNP#:"": 1}, ""ADVP"": {""IN#RB"": 1}, ""ADJP"": {""ADVP#JJ"": 1}, ""VP"": {""VBZ#ADJP"": 1, ""VBD#SBAR"": 1}, ""S"": {""``#NP#VP"": 1}, ""SBAR"": {""S"": 1}}",0.0,0.715,0.285,"{""N"": 3, "","": 5, ""D"": 1, ""A"": 1, ""P"": 2, ""O"": 1, ""R"": 3, ""V"": 5, ""$"": 1}"
Now thats dedication! Dale!,27,4,1,1,20,1,0,0,1,0,,"{""NP"": {""JJ#NN"": 1}, ""FRAG"": {""ADVP#NP#."": 1}, ""ROOT"": {""FRAG"": 1, ""INTJ"": 1}, ""INTJ"": {""UH#."": 1}}",0.0,1.0,0.0,"{""R"": 1, ""L"": 1, ""N"": 1, "","": 2, ""^"": 1}"
,0,0,0,0,17,4,0,0,1,0,🔥:3,{},0.0,0.0,0.0,{}
Don't just exist. Live it up!,29,6,1,4,16,4,1,0,0,0,,"{""VP"": {""VB"": 1, ""VBP#RB#ADVP#VP"": 1, ""VB#NP#PRT"": 1}, ""S"": {""VP#."": 2}, ""PRT"": {""RP"": 1}}",0.0,1.0,0.0,"{""V"": 3, ""R"": 1, "","": 2, ""O"": 1, ""T"": 1}"
"Check out Kim Vieras new single ""Ay Ay Ay"" featuring yours truly Mr. Worldwide on all streaming platforms. Dale! ",113,19,2,9,19,3,0,1,1,1,,"{""PRT"": {""RP"": 1}, ""NP"": {""NNP#NNP#JJ#JJ#``#NN#NN#NN"": 1, ""PRP$#JJ#NNP#NNP"": 1, ""DT#NN#NNS"": 1, ""NP#VP"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VB#PRT#NP"": 1}, ""S"": {""VP#."": 1}, ""ROOT"": {""INTJ"": 1}, ""INTJ"": {""UH#."": 1}}",0.0,0.849,0.151,"{""V"": 2, ""T"": 1, ""^"": 4, ""Z"": 1, ""A"": 2, "","": 4, ""!"": 3, ""O"": 1, ""R"": 1, ""P"": 1, ""D"": 1, ""N"": 2}"
"Always a great ride, isn't it? Appreciate the love billboard!",61,10,1,4,17,1,0,1,1,0,,"{""NP"": {""DT#RB#NN#,"": 1}, ""VP"": {""VBZ#RB#NP"": 1, ""VBD"": 1}, ""S"": {""ADVP#NP#VP#."": 2}}",0.134,0.356,0.51,"{""R"": 1, ""D"": 2, ""A"": 1, ""N"": 3, "","": 3, ""V"": 2, ""O"": 1}"
"If you think Im burning out, I never am. ",41,9,1,6,18,1,1,0,0,0,🔥:3,"{""NP"": {""NP#VP"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VBG#PRT"": 1, ""VBP#NP"": 1, ""VBP"": 1}, ""S"": {""SBAR#,#NP#ADVP#VP#."": 1}, ""SBAR"": {""IN#S"": 1}}",0.0,1.0,0.0,"{""P"": 1, ""O"": 2, ""V"": 3, ""L"": 1, ""T"": 1, "","": 2, ""R"": 1}"
Join yours truly at South Bend Cubs Four Winds Field in August. Tickets for the new date are on sale now at   ,110,22,1,15,20,3,1,1,1,0,🎉:3,"{""NP"": {""NNP#NNP#NNP#NNP#NNP#NNP"": 1, ""DT#JJ#NN"": 1}, ""ADVP"": {""RB#IN"": 1}, ""VP"": {""VBD#ADVP#PP"": 1, ""VBP#PP#ADVP"": 1}}",0.0,0.797,0.203,"{""V"": 2, ""O"": 1, ""R"": 2, ""P"": 5, ""^"": 7, "","": 1, ""N"": 3, ""D"": 1, ""A"": 1}"
Celebrate imperfection More fun with  movie in July Blu-rayTM and digital releases this month   and check out the UglyDolls YouTube channel now to join in the sing-along!,170,27,2,15,19,2,1,0,1,1,🎉:2,"{""NP"": {""JJR#NN"": 1, ""JJ#NNS"": 1, ""NP#NP"": 1, ""NP#CC#NP"": 1, ""DT#NNP#NNP#NN"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VB#PP"": 1, ""VB#PRT#NP#ADVP#S"": 1, ""VP#CC#VP"": 1}, ""PRT"": {""RP"": 1}, ""S"": {""ADVP#VP#."": 1}}",0.0,0.71,0.29,"{""V"": 3, ""N"": 7, ""A"": 2, ""P"": 4, ""^"": 4, ""&"": 2, ""D"": 3, ""T"": 1, ""R"": 1, "","": 1}"
What is failure? It's the mother of all success. ,49,9,1,6,17,1,1,0,0,1,,"{""WHNP"": {""WP"": 1}, ""SQ"": {""VBZ#NP"": 1}, ""SBARQ"": {""WHNP#SQ#."": 1}, ""ROOT"": {""SBARQ"": 1}, ""VP"": {""VBZ#NP"": 1}}",0.236,0.5,0.264,"{""O"": 1, ""V"": 1, ""N"": 3, "","": 2, ""L"": 1, ""D"": 2, ""P"": 1}"
"Want to go behind the scenes with yours truly, Daddy Yankee and NATTI NATASHA??  via YouTube",92,16,1,7,18,3,0,3,1,0,,"{""NP"": {""DT#NNS"": 1, ""NNP#NNP#NNP"": 1, ""NP#,#NP#CC#NP"": 1}, ""VP"": {""VB#PP#PP"": 1, ""VB#S"": 1}}",0.0,0.754,0.246,"{""V"": 2, ""P"": 4, ""D"": 1, ""N"": 3, ""O"": 1, ""R"": 1, "","": 2, ""&"": 1, ""^"": 3}"
"""It's heaven on earth, but it's one hell of a ride.""",52,11,1,7,15,1,1,0,0,0,,"{""NP"": {""CD#NN"": 1}, ""VP"": {""VBZ#NP"": 2}, ""S"": {""``#S#,#CC#S#."": 1}}",0.387,0.483,0.13,"{"","": 4, ""L"": 2, ""^"": 1, ""P"": 2, ""N"": 3, ""&"": 1, ""$"": 1, ""D"": 1}"
Every day is a fresh start. ,28,6,1,3,20,1,0,0,0,1,,"{""NP"": {""DT#JJ#NN"": 1}, ""VP"": {""VBZ#NP"": 1}}",0.0,0.635,0.365,"{""D"": 2, ""N"": 2, ""V"": 1, ""A"": 1, "","": 1}"
"Always an honor to collaborate with living legends like Daddy Yankee and NATTI NATASHA!The ""No Lo Trates"" video is out now: ",124,22,3,11,18,1,1,2,1,0,,"{""NP"": {""NP#CC#NP"": 1, ""DT#NNP#NNPS#NN"": 1, ""DT#NN#S"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VB#PP#``#NP"": 1, ""VBZ#ADVP#ADVP"": 1}, ""S"": {""ADVP#NP#VP#:"": 1}}",0.084,0.687,0.229,"{""R"": 3, ""D"": 3, ""N"": 7, ""P"": 3, ""V"": 3, ""&"": 1, ""^"": 2, "","": 4}"
"New day, new opportunity. ",26,4,1,3,18,1,0,0,0,1,,"{""NP"": {""NNP#NN"": 1, ""JJ#NN"": 1, ""NP#,#NP#."": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.517,0.483,"{""A"": 2, ""N"": 2, "","": 2}"
"Summer just got hotter Daddy Yankee and NATTI NATASHA  Thank you to all the fans! ""No Lo Trates"" hit 100 million views and still on the climb  ",143,27,1,14,17,3,1,2,1,0,"🔥:3,😉:1","{""NP"": {""NNPS"": 1, ""NNP#NNP#NNP#CC#NNP#NNP"": 1, ""PDT#DT#NNS"": 1, ""DT#NNP#NNP"": 1, ""QP#NNS"": 1, ""NP#CC#RB"": 1, ""``#NP#VP"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VBD#S"": 1, ""VBN#NP#PP"": 1}, ""S"": {""NP#ADVP#VP#."": 1, ""NP"": 1}, ""QP"": {""CD#CD"": 1}}",0.073,0.834,0.093,"{""N"": 8, ""R"": 2, ""V"": 3, ""A"": 1, ""&"": 2, ""^"": 2, ""O"": 1, ""P"": 2, ""X"": 1, ""D"": 3, "","": 3, ""$"": 2}"
"Want to see exclusive, behind-the-scenes footage from the ""No Lo Trates"" video shoot, featuring yours truly, Daddy Yankee and NATTI NATASHA?!  ",143,21,1,8,18,1,1,2,0,1,🔥:1,"{""NP"": {""JJ#,#JJ#NN"": 1, ""DT#``#DT#NNP#NNPS#NN#NN"": 1, ""NNP#NNP#NNP"": 1, ""NP#,#NP#CC#NP"": 1}, ""VP"": {""VBG#NP"": 1, ""VB#NP#,#S"": 1, ""VB#S"": 1}}",0.173,0.602,0.225,"{""V"": 3, ""P"": 2, ""A"": 2, "","": 6, ""N"": 7, ""D"": 2, ""O"": 1, ""R"": 1, ""&"": 1, ""^"": 2}"
