fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Lets hit the sun ,17,4,1,4,22,1,1,0,0,0,,"{""VP"": {""VBD#NP"": 1}}",0.0,1.0,0.0,"{""L"": 1, ""V"": 1, ""D"": 1, ""N"": 1}"
"For you to have an idea, this is what we are dealing with  ",59,13,1,11,16,4,0,0,1,1,,"{""NP"": {""DT"": 1}, ""VP"": {""VBG#PP"": 1, ""VBP#VP"": 1, ""VBZ#SBAR"": 1}, ""S"": {""SBAR#,#NP#VP"": 1}, ""SBAR"": {""IN#S"": 1, ""WHNP#S"": 1}, ""WHNP"": {""WP"": 1}, ""PP"": {""IN"": 1}}",0.0,1.0,0.0,"{""P"": 3, ""O"": 4, ""V"": 4, ""D"": 1, ""N"": 1, "","": 1}"
PAINFUL TAKE A SECOND AND PLEASE WATCH THIS PLEASE    ,54,9,1,4,7,1,0,0,1,2,,"{""NP"": {""NNP#NNP#CC#NNP"": 1, ""NNP#NNP#NNP"": 1, ""NP#NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.232,0.4,0.368,"{""A"": 2, ""V"": 4, ""D"": 1, ""&"": 1, ""O"": 1}"
 ,1,0,1,0,1,1,1,0,0,2,,{},0.0,0.0,0.0,{}
,0,0,0,0,15,1,1,0,0,1,,{},0.0,0.0,0.0,{}
Puerto Rico: Protests over homophobic text messages ,52,7,1,2,7,1,0,0,1,0,,"{""NP"": {""JJ#NN#NNS"": 1, ""NP#:#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.241,0.759,0.0,"{""^"": 2, "","": 1, ""N"": 3, ""P"": 1, ""A"": 1}"
 ,1,0,2,0,7,1,0,0,1,1,,{},0.0,0.0,0.0,{}
Blurry my.,10,3,2,2,21,1,1,0,0,1,💀:1,"{""NP"": {""PRP$"": 1}, ""S"": {""VP#."": 1}}",0.583,0.417,0.0,"{""A"": 1, ""D"": 1, "","": 1}"
"Another day, another set. .",27,5,1,3,7,1,1,0,0,1,,"{""NP"": {""DT#NN#."": 1}, ""FRAG"": {""NP#,#NP#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""D"": 2, ""N"": 2, "","": 3}"
Hours of flow ,14,3,1,2,1,1,1,0,0,0,🎶:1,"{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""N"": 2, ""P"": 1}"
Its happening.   ,17,2,1,1,19,3,1,0,0,0,"🎶:1,📸:1,🎥:1","{""NP"": {""PRP$#NNS#."": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""L"": 1, ""V"": 1, "","": 1}"
.,1,1,2,1,16,3,1,0,0,1,🌾:3,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1}}",0.0,0.0,0.0,"{"","": 1}"
The making of....,17,3,1,1,1,1,1,0,0,0,,"{""NP"": {""NP#PP#:"": 1}, ""PP"": {""IN"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""D"": 1, ""N"": 1, ""P"": 1, "","": 1}"
Berluti,7,1,1,0,18,1,1,1,0,0,"😎:1,😁:1","{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 1}"
. Berluti. J O E  J O N A S,27,11,3,10,0,1,1,2,0,1,,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1, ""FRAG"": 1, ""NP"": 1}, ""NP"": {""NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP"": 1}, ""FRAG"": {""NP#."": 1}}",0.0,1.0,0.0,"{"","": 2, ""^"": 2, ""G"": 5, ""&"": 1, ""D"": 1}"
,0,0,0,0,0,1,1,0,0,0,"🙌:1,🏼:1",{},0.0,0.0,0.0,{}
,0,0,0,0,15,1,1,0,0,0,,{},0.0,0.0,0.0,{}
"The clock is ticking, and the LGBTQ  community needs to let the Assembly Majority know we wont forget if the surrogacy ban isnt overturned.  Carl E. Heastie (((Deborah Glick))) Helene Weinstein Joe Lentol Jeffrey Dinowitz Marcos Crespo why are you against our community on this?",278,45,1,22,23,32,0,7,0,0,,"{""NP"": {""DT#JJ#NN"": 1, ""DT#NNP#NNP"": 1, ""DT#JJ#NN#NN"": 1, ""NNP#NNP#NNP"": 1, ""NP#PRN#-RRB-"": 1, ""NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP"": 1, ""DT"": 1, ""NP#SBAR"": 1, ""NP#NP#."": 1}, ""VP"": {""VBG"": 1, ""VBZ#VP"": 1, ""VBD"": 1, ""VB#SBAR"": 1, ""VB#S"": 2, ""VBZ#S"": 1, ""VBP#NP#PP"": 1}, ""S"": {""NP#ADJP#S"": 1, ""S#,#CC#S#."": 1}, ""ADJP"": {""JJ"": 1}, ""SBAR"": {""IN#S"": 1, ""WHADVP#S"": 1}, ""ROOT"": {""NP"": 1}, ""NAC"": {""NNP"": 1, ""NAC#PRN"": 1}, ""PRN"": {""-LRB-#NP#-RRB-"": 1, ""-LRB-#NAC#-RRB-"": 1}, ""WHADVP"": {""WRB"": 1}}",0.075,0.891,0.035,"{""D"": 5, ""N"": 7, ""V"": 10, "","": 6, ""&"": 1, ""^"": 14, ""P"": 4, ""O"": 3, ""R"": 1}"
WE WON / GANAMOS!  ,19,4,1,3,14,3,0,0,1,0,,"{""NP"": {""NP#SBAR"": 1}, ""VP"": {""VBP"": 1, ""VBZ"": 1}, ""SBAR"": {""S"": 1}, ""FRAG"": {""NP#:#VP#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,0.334,0.666,"{""O"": 1, ""V"": 1, "","": 2, ""^"": 1}"
,0,0,0,0,22,1,1,0,0,0,👖:1,{},0.0,0.0,0.0,{}
Puerto Rican day parade with    ,32,5,1,2,22,1,1,0,0,3,"🏳:1,🌈:1","{""NP"": {""NNP#NNP#NN#NN"": 1}, ""PP"": {""IN"": 1}, ""FRAG"": {""NP#PP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""^"": 2, ""N"": 2, ""P"": 1}"
,0,0,0,0,19,3,1,0,0,1,,{},0.0,0.0,0.0,{}
..: Mariano,11,4,4,3,20,1,1,1,0,1,📷:1,"{""NP"": {""FW#."": 1}, ""ROOT"": {""NP"": 1, ""PRN"": 1}, ""VP"": {""VB"": 1}, ""PRN"": {"":#S"": 1}}",0.0,1.0,0.0,"{"","": 2, ""^"": 1}"
 ,1,0,1,0,1,1,1,0,0,2,,{},0.0,0.0,0.0,{}
 ,1,0,1,0,17,1,1,0,0,0,"🍋:1,🍯:1",{},0.0,0.0,0.0,{}
: Jwan Yosef,12,3,1,2,1,1,1,1,0,0,📸:1,"{""VP"": {""VBZ"": 1}, ""PRN"": {"":#S"": 1}, ""ROOT"": {""PRN"": 1}}",0.0,1.0,0.0,"{"","": 1, ""!"": 1, ""^"": 1}"
s out.,6,2,1,2,2,1,1,0,0,0,,"{""PRT"": {""RP"": 1}, ""VP"": {""VB#PRT"": 1}, ""S"": {""VP#."": 1}}",0.0,1.0,0.0,"{""G"": 1, ""T"": 1, "","": 1}"
Almost home. ,13,2,1,0,1,1,1,0,0,0,,"{""ADVP"": {""RB#NN"": 1}, ""VP"": {""ADVP"": 1}, ""S"": {""VP#."": 1}}",0.0,1.0,0.0,"{""R"": 1, ""N"": 1, "","": 1}"
You are more beautiful than you think.,38,7,1,5,18,32,0,0,0,0,,"{""ADJP"": {""RBR#JJ"": 1, ""ADJP#SBAR"": 1}, ""VP"": {""VBP"": 1, ""VBP#ADJP"": 1}, ""SBAR"": {""IN#S"": 1}}",0.0,0.589,0.411,"{""O"": 2, ""V"": 2, ""R"": 1, ""A"": 1, ""P"": 1, "","": 1}"
Help me in celebrating MAC Cosmetics 25th anniversary of ! Honored to have been part of a campaign that is working to end HIV/AIDS,130,24,1,17,17,1,1,1,0,1,,"{""NP"": {""NNP#NNPS"": 1, ""JJ#NN"": 1, ""NP#SBAR"": 1}, ""PP"": {""IN"": 1, ""IN#S"": 1}, ""S"": {""NP#NP"": 1, ""VP#."": 1}, ""VP"": {""VBG#S"": 2, ""VB#NP#PP"": 1, ""VBZ#VP"": 1, ""VBN#NP"": 1, ""VB#VP"": 1, ""VBN#S"": 1}, ""ROOT"": {""VP"": 1}, ""WHNP"": {""WDT"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.0,0.644,0.356,"{""V"": 8, ""O"": 1, ""P"": 6, ""^"": 2, ""N"": 4, ""$"": 1, "","": 1, ""D"": 1}"
HEY!!! ,7,1,1,0,22,3,1,0,0,0,"🔷:2,🔵:1","{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""!"": 1, "","": 1}"
   ,3,0,1,0,3,32,1,0,0,3,"💁:1,🏻:1",{},0.0,0.0,0.0,{}
Snowing in west Hollywood. ,27,4,1,2,6,32,0,0,0,1,,"{""NP"": {""JJ#NNP"": 1}, ""VP"": {""VBG#PP"": 1}, ""S"": {""VP#."": 1}}",0.0,1.0,0.0,"{""V"": 1, ""P"": 1, ""^"": 2, "","": 1}"
Sleepy daddy here ,18,3,1,1,0,1,1,0,0,0,"🙋:1,🏻:1","{""VP"": {""VB#ADVP"": 1}, ""S"": {""ADVP#VP"": 1}}",0.0,1.0,0.0,"{""A"": 1, ""N"": 1, ""R"": 1}"
