fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
"... its by far one of my proudest moments of a product to date. No cap. But youll see for yourself in a couple days, cause  will be available on AUGUST 15th at Fenty Beauty Sephora Harvey Nichols Boots and ",206,40,1,23,21,2,0,4,0,2,,"{""NP"": {""PRP$"": 1, ""RB#CD"": 1, ""PRP$#JJ#NNS"": 1, "":#NP#PP#."": 1, ""DT#NN#."": 1, ""DT#NN#NNS"": 1, ""NNP#NNP#NNP#NNP#NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 2}, ""ADJP"": {""JJ#PP"": 1}, ""VP"": {""VB#ADJP"": 1, ""MD#VP"": 1, ""VBP#SBAR"": 1}, ""S"": {""PP#,#NP#VP"": 1, ""CC#NP#VP"": 1}, ""SBAR"": {""S"": 1}}",0.036,0.794,0.17,"{"","": 4, ""L"": 2, ""P"": 9, ""A"": 3, ""$"": 2, ""D"": 4, ""N"": 6, ""&"": 2, ""V"": 3, ""O"": 1, ""^"": 7}"
"when the foundation takeova aint ova! we back and badder than ever with a brand new delicious formula. Meet the PRO FILTR HYDRATING Foundation, and she comes in 50 shades!!  Im so hype that I dont have to hide this anymore...",225,41,1,29,21,2,1,0,0,0,"💪:3,🏿:1,🏽:1,🏻:1","{""WHADVP"": {""WRB"": 1}, ""NP"": {""DT#NN#NN#NN"": 1, ""ADJP#ADJP#NN"": 1, ""DT#NNP#NNP#NNP#NNP"": 1, ""CD#NNS"": 1, ""DT"": 1}, ""VP"": {""VBP"": 1, ""VBP#CC#VBP#PP"": 1, ""NNP#NP"": 1, ""VBZ#PP"": 1, ""VB#NP#ADVP"": 1, ""VB#S"": 1, ""VBP#VP"": 1, ""VBZ#SBAR"": 1}, ""S"": {""CC#NP#VP"": 1, ""S#PRN#NP#ADVP#VP#:"": 1}, ""SBAR"": {""WHADVP#S"": 1, ""IN#S"": 1}, ""FRAG"": {""SBAR#."": 1}, ""ROOT"": {""FRAG"": 1}, ""ADJP"": {""RB#PP"": 1, ""JJ#JJ"": 1}, ""PRN"": {"",#S"": 1}}",0.0,0.859,0.141,"{""R"": 4, ""D"": 3, ""N"": 11, ""V"": 6, "","": 5, ""O"": 4, ""&"": 2, ""A"": 3, ""P"": 6, ""$"": 1, ""L"": 1}"
,0,0,0,0,21,2,1,0,0,0,,{},0.0,0.0,0.0,{}
,0,0,0,0,17,2,1,0,1,0,,{},0.0,0.0,0.0,{}
Lavender leopard lace. GET  INTO  IT. All new Savage X Fenty by Rihanna hits  at Midnight EST 8/1 tonight! Shot by ,115,21,3,13,15,2,1,1,1,1,👏:2,"{""NP"": {""DT#JJ#NNP#NNP#NNP"": 1, ""CD#NN"": 1, ""NP#NP"": 1}, ""ADJP"": {""JJ"": 1}, ""VP"": {""VBD#ADJP"": 1, ""VBZ#PP"": 1, ""VB#PP"": 1}, ""S"": {""VP#."": 1}, ""PP"": {""IN"": 1}}",0.148,0.852,0.0,"{""A"": 2, ""N"": 3, "","": 3, ""V"": 3, ""P"": 4, ""O"": 1, ""D"": 1, ""^"": 6, ""$"": 1}"
New August Savage X Fenty by Rihanna drops MIDNIGHT TONIGHT only at  !!,71,13,1,6,15,2,1,1,1,0,,"{""NP"": {""NNP#NNP#NNP#NNP#NNP"": 1}, ""PP"": {""RB#IN#NP"": 1}, ""VP"": {""VBZ#NP"": 1}}",0.246,0.754,0.0,"{""A"": 1, ""^"": 5, ""P"": 2, ""V"": 1, ""N"": 1, ""R"": 2, "","": 1}"
almost drop my phone. how?,26,5,1,3,19,2,1,0,0,0,,"{""S"": {""ADVP#VP#."": 1}, ""ROOT"": {""FRAG"": 1}, ""FRAG"": {""WRB#."": 1}}",0.311,0.689,0.0,"{""R"": 2, ""V"": 1, ""D"": 1, ""N"": 1, "","": 2}"
"Our 5th Annual  is just 2 months away!!! Im so excited to announce our host Seth Meyers ... and for the main event, the one and only Pharrell Williams is performing!!! To support the   and learn more, follow Clara Lionel Fdn! ",226,41,1,25,14,2,1,3,0,3,,"{""NP"": {""PRP$#JJ#NN"": 1, ""RB#CD#NNS"": 1, ""NP#ADJP"": 1, ""DT#JJ#NN"": 1, ""RB#NNP#NNP"": 1, ""NP#CC#NP"": 1, ""DT"": 1, ""JJR"": 1, ""NNP#NNP#NNP"": 1}, ""ADVP"": {""NP#RB"": 1}, ""S"": {""NP#NP"": 1, ""PP#,#NP#VP"": 1, ""S#:#CC#S#."": 1}, ""VP"": {""VB#S"": 1, ""VBZ#ADVP#NP"": 1, ""VP#CC#VP#,#VP"": 1, ""VBZ#ADJP"": 1}, ""ADJP"": {""RB#JJ#S"": 1, ""VBG#RB#S"": 1}}",0.0,0.845,0.155,"{""D"": 5, ""A"": 4, ""N"": 4, ""V"": 7, ""R"": 4, ""$"": 2, "","": 6, ""L"": 1, ""P"": 3, ""^"": 7, ""&"": 3}"
"We will be available in Hong Kong & Macau at T Galleria by DFS Official, Sephora Hong Kong, Harvey Nichols HK, Beauty Bazaar, and Beauty Avenue. In Seoul, you can find us in Duty Free locations at , Shinsegae Duty Free, and in Jeju at The Shilla DF. ",250,48,1,31,0,2,0,5,0,1,,"{""NP"": {""NNP#NNP#CC#NNP"": 1, ""NNP#NNP#NNP"": 3, ""NP#,#NP#,#NP#,#NP#,#CC#NP"": 1, ""NNP#NNP#NNS"": 1, ""NP#ADVP"": 1, ""NP#,#NP#,"": 1, ""DT#NNP#NNP"": 1}, ""PP"": {""PP#CC#PP"": 1}, ""ADJP"": {""JJ#PP"": 1}, ""VP"": {""VB#ADJP#PP"": 1, ""MD#VP"": 2, ""VB#NP#PP#PP"": 1}, ""S"": {""PP#,#NP#VP#."": 1}, ""ADVP"": {""IN"": 1}}",0.0,0.743,0.257,"{""O"": 3, ""V"": 4, ""A"": 3, ""P"": 8, ""^"": 22, ""&"": 3, "","": 9, ""N"": 2, ""D"": 1, ""!"": 1}"
"When I launched Fenty Beauty in 2017, it was important to me to make sure it was available globally so everyone had access to it. And now we are continuing to expand our Fenty Beauty family to Hong Kong, Macau, Seoul and Jeju in September!",239,45,1,27,0,2,1,1,0,0,,"{""WHADVP"": {""WRB"": 1}, ""NP"": {""CD"": 1, ""PRP$#NNP#NN#NN"": 1, ""NNP#NNP#,#NNP#,#NNP#CC#NNP"": 1}, ""VP"": {""VBD#NP"": 2, ""VBD#ADJP"": 1, ""VB#ADJP#ADVP"": 1, ""VBD#ADJP#PP#S#SBAR"": 1, ""VB#NP#PP#PP"": 1, ""VBG#S"": 1, ""VBP#VP"": 1}, ""S"": {""SBAR#,#NP#VP#."": 1, ""CC#ADVP#NP#VP#."": 1}, ""SBAR"": {""WHADVP#S"": 1, ""S"": 1, ""IN#S"": 1}, ""ADJP"": {""JJ"": 2, ""JJ#SBAR"": 1}}",0.0,0.706,0.294,"{""R"": 4, ""O"": 6, ""V"": 8, ""^"": 10, ""P"": 7, ""$"": 1, "","": 5, ""A"": 3, ""N"": 3, ""&"": 2, ""D"": 1}"
Nobody:Me: Album coming in 2019Navy in July:,44,9,3,5,18,2,1,0,0,0,,"{""NP"": {""NP#VP"": 1, ""NP#:#NP#:"": 1, ""NP#:#NP"": 1}, ""VP"": {""VBG#PP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""N"": 2, "","": 3, ""O"": 1, ""V"": 1, ""P"": 2, ""^"": 2}"
when u ran outta towels,23,5,1,3,23,2,1,0,0,0,,"{""WHADVP"": {""WRB"": 1}, ""NP"": {""NN#NNS"": 1}, ""VP"": {""VBD#NP"": 1}, ""SBAR"": {""WHADVP#S"": 1}, ""ROOT"": {""SBAR"": 1}}",0.0,1.0,0.0,"{""R"": 1, ""O"": 1, ""V"": 1, ""P"": 1, ""N"": 1}"
.yusef williams coming through with this hair for  shot by Chen Man,67,12,1,8,23,2,1,2,0,1,,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1}, ""NP"": {""NP#VP"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VBG#PRT#PP#PP"": 1}}",0.0,1.0,0.0,"{"","": 1, ""^"": 4, ""V"": 1, ""P"": 4, ""D"": 1, ""N"": 2}"
 by Chen Man,12,3,1,3,17,2,1,1,0,1,,"{""ROOT"": {""PP"": 1}}",0.0,1.0,0.0,"{""P"": 1, ""^"": 1, ""N"": 1}"
  shot by the lovely Chen Man,29,6,2,5,17,2,1,1,0,1,,"{""NP"": {""DT#JJ"": 1}, ""VP"": {""VBD#PP"": 1}, ""SINV"": {""VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.568,0.432,"{""N"": 1, ""P"": 1, ""D"": 1, ""A"": 1, ""^"": 2}"
"August Issue  on stands July 15th!  kim kyees Priscilla Ono  yusef williams  Chen Man Chief Editors: Simona Sha, WeiTianVisual Direction: Xiaomu FAN",148,23,7,8,10,2,1,4,0,1,"💅:1,🏿:2,💄:1,💇:1,📷:1","{""NP"": {""NNP#CD"": 1, ""NN#NNS"": 1, ""NNP#NNP#NN#NNS#NNP#NNP#NNP#NNP"": 1, ""NP#NP"": 1, ""NP#,#NP#:#NP"": 1}, ""VP"": {""VBZ#NP"": 1}, ""S"": {""NP#ADVP#VP#."": 1}, ""ROOT"": {""FRAG"": 1}, ""FRAG"": {""NP#:#NP"": 1}}",0.0,0.863,0.137,"{""^"": 15, ""N"": 4, ""P"": 1, ""V"": 1, ""$"": 1, "","": 4}"
,0,0,0,0,0,2,1,0,0,0,🏿:1,{},0.0,0.0,0.0,{}
reppin  and the whole ,22,4,1,2,1,2,1,0,0,1,,"{""NP"": {""NP#CC#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""V"": 1, ""&"": 1, ""D"": 1, ""A"": 1}"
Military rulers need to be held accountable. Praying for no more killings or abuse today.Fight for human rights in  and stand with protesters in .    ,150,26,4,14,16,2,1,0,0,5,"💙:3,🙏:3,🏿:5,💪:2","{""NP"": {""JJ#NNS"": 2, ""DT#JJR#NNS"": 1, ""NP#CC#NP"": 1}, ""ADJP"": {""JJ"": 1}, ""S"": {""ADJP"": 1, ""S#VP#."": 1}, ""VP"": {""VBN#S"": 1, ""VB#VP"": 1, ""VBP#S"": 1, ""VBG#PP"": 1, ""VBD#PP#PP"": 1, ""VBP#PP#PP"": 1, ""VP#CC#VP"": 1}, ""PP"": {""IN"": 2}}",0.383,0.545,0.072,"{""A"": 4, ""N"": 6, ""V"": 6, ""P"": 6, "","": 3, ""D"": 1, ""&"": 2}"
"With more protests planned for today, June 30, I send my  and I pray for the safety of the Sudanese people. They have a right to speak out and demand peace, justice and a transition to civilian rule. Over 100 were killed & hundreds more were wounded during the June 3rd protests",278,52,1,33,16,2,1,0,0,0,,"{""NP"": {""JJR#NNS"": 1, ""NP#VP"": 1, ""NNP#CD"": 1, ""PRP$"": 1, ""DT#NNP#NNS"": 1, ""NP#,#NP#CC#NP"": 1, ""JJ#NN"": 1, ""DT#NN#S"": 1, ""CD"": 1, ""JJR"": 1, ""NP#NP"": 1, ""CC#NP"": 1, ""DT#NNP"": 1, ""JJ#NNS"": 1}, ""VP"": {""VBN#PP"": 2, ""VBP#NP"": 2, ""VB#PRT"": 1, ""VB#NP#PP"": 1, ""VP#CC#VP"": 1, ""VBD#VP"": 2, ""VBN#SBAR"": 1}, ""S"": {""NP#,#NP#VP"": 1, ""NP#ADJP"": 1, ""PP#,#S#CC#S#."": 1}, ""ADJP"": {""JJ#PP"": 1}, ""ROOT"": {""SINV"": 1}, ""PRT"": {""RP"": 1}, ""SBAR"": {""S"": 1}, ""SINV"": {""PP#VP#NP"": 1}}",0.169,0.635,0.195,"{""P"": 8, ""A"": 4, ""N"": 11, ""V"": 8, "","": 5, ""^"": 3, ""$"": 3, ""O"": 3, ""D"": 6, ""&"": 4, ""T"": 1, ""R"": 1}"
,0,0,0,0,3,2,1,0,1,0,,{},0.0,0.0,0.0,{}
,0,0,0,0,0,2,1,0,1,0,,{},0.0,0.0,0.0,{}
,0,0,0,0,0,2,1,0,1,0,,{},0.0,0.0,0.0,{}
.FETY,5,1,1,0,17,2,1,1,0,0,,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1, ""NP"": 1}}",0.0,1.0,0.0,"{"","": 1, ""!"": 1}"
who are you wearing Ri?Me: meFETY,33,8,4,7,17,2,1,1,0,0,,"{""WHNP"": {""WP"": 1}, ""NP"": {""NP#:#ADVP"": 1}, ""VP"": {""VBG#NP"": 1}, ""SQ"": {""VBP#NP#VP"": 1}, ""SBARQ"": {""WHNP#SQ"": 1}, ""ROOT"": {""SBARQ"": 1}}",0.0,1.0,0.0,"{""O"": 3, ""V"": 2, ""^"": 2, "","": 2}"
