fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Celebrating the legend who started it all. Happy bday !,55,10,1,6,19,4,1,0,0,1,,"{""NP"": {""DT"": 1, ""NP#SBAR"": 1, ""JJ#NN#."": 1}, ""WHNP"": {""WP"": 1}, ""S"": {""NP#NP"": 1, ""VP#."": 1}, ""VP"": {""VBD#S"": 1, ""VBG#NP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.476,0.524,"{""V"": 2, ""D"": 2, ""N"": 2, ""O"": 2, "","": 2, ""A"": 1}"
"Thanks Taylor Swift for the merch! When I find myself getting too excited for Lover to drop, Ill just look at my shirt and socks. ",130,25,1,14,15,1,1,1,0,1,,"{""NP"": {""NP#NP#."": 1, ""PRP$#NN#CC#NNS"": 1}, ""ROOT"": {""NP"": 1}, ""WHADVP"": {""WRB"": 1}, ""ADJP"": {""RB#JJ#PP"": 1}, ""VP"": {""VBG#ADJP#PP"": 1, ""VBP#S"": 1, ""VBP#PP"": 1}, ""S"": {""SBAR#,#NP#ADVP#VP#."": 1}, ""SBAR"": {""WHADVP#S"": 1}}",0.144,0.528,0.328,"{""N"": 5, ""^"": 2, ""P"": 4, ""D"": 2, "","": 3, ""R"": 3, ""O"": 2, ""V"": 4, ""A"": 1, ""L"": 1, ""&"": 1}"
"Lucky to do what I do with the best team around. Happy  to all the DJs out there, and to our listeners whove become part of the On Air/Ryan Seacrest family :)",158,32,1,22,15,1,1,1,0,1,,"{""ADJP"": {""JJ"": 1, ""JJ#PP"": 1}, ""WHNP"": {""WP"": 1}, ""NP"": {""DT#JJS#NN"": 1, ""PDT#DT#NN"": 1, ""RB"": 1, ""PRP$#NNS"": 1, ""ADJP#NN"": 1, ""DT#NNP#NNP#NNP#NN"": 1}, ""PP"": {""PP#,#CC#PP"": 1, ""IN#NP#:"": 1}, ""VP"": {""VBP#PP#ADVP"": 1, ""VB#SBAR"": 1, ""VBP#NP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""FRAG"": {""ADJP#S#."": 1}, ""ROOT"": {""FRAG"": 1, ""PRN"": 1}, ""PRN"": {""S#-RRB-"": 1}}",0.0,0.663,0.337,"{""A"": 3, ""P"": 8, ""V"": 4, ""O"": 2, ""D"": 4, ""N"": 5, "","": 2, ""X"": 1, ""R"": 1, ""&"": 1, ""^"": 2, ""E"": 1}"
"""Don't let the internet rush you. No one is posting their failures."" ",69,12,1,7,17,4,0,0,0,1,,"{""NP"": {""PRP$#NNS"": 1}, ""VP"": {""VB#S"": 1, ""VB#RB#VP"": 1, ""VBG#NP"": 1, ""VBZ#VP"": 1}, ""S"": {""``#VP#."": 1}}",0.167,0.833,0.0,"{"","": 4, ""V"": 4, ""D"": 3, ""N"": 4, ""O"": 1}"
Whoever told 90s Ryan he had boyband potential...lied. ,55,8,1,5,18,1,1,0,0,1,,"{""WHNP"": {""WP"": 1}, ""NP"": {""NP#SBAR"": 1}, ""VP"": {""VBN#NP"": 1, ""VBD#VP"": 1, ""VBD#NP"": 1, ""VBD"": 1}, ""SBAR"": {""S"": 1, ""WHNP#S"": 1}, ""FRAG"": {""SBAR#:#VP#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""O"": 2, ""V"": 3, ""^"": 2, ""N"": 2, "","": 2}"
"Not sure if this helps, but I usually look in the mirror and tell myself to be like terry crews. You got this  good luck tonight!",129,26,1,19,17,4,0,1,1,0,,"{""ADJP"": {""RB#JJ"": 1}, ""NP"": {""DT"": 1, ""NN#NNS"": 1, ""DT#JJ#NN"": 1}, ""VP"": {""VBZ"": 1, ""VB#PP"": 2, ""VB#S"": 1, ""VP#CC#VP"": 1, ""VBD#NP#NP"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""S#,#CC#S"": 1}, ""SBAR"": {""IN#S"": 1}, ""FRAG"": {""ADJP#SBAR#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.042,0.565,0.393,"{""R"": 2, ""A"": 2, ""P"": 4, ""O"": 4, ""V"": 5, "","": 3, ""&"": 2, ""D"": 2, ""N"": 4, ""^"": 1}"
Monday is a hard day only for those who perceive it negatively. ,64,12,1,8,16,1,0,0,0,1,,"{""NP"": {""DT#JJ#NN#RB"": 1, ""DT"": 1, ""NP#SBAR"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBP#NP#ADVP"": 1, ""VBZ#NP"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.123,0.877,0.0,"{""^"": 1, ""V"": 2, ""D"": 1, ""A"": 1, ""N"": 1, ""R"": 2, ""P"": 1, ""O"": 3, "","": 1}"
Happy bday Kylie Jenner! Keep crushing it,41,7,1,3,22,1,1,1,0,0,,"{""NP"": {""JJ#NN"": 1, ""NP#NP#."": 1}, ""ROOT"": {""NP"": 1}, ""VP"": {""VBG#NP"": 1, ""VB#S"": 1}}",0.218,0.435,0.347,"{""A"": 1, ""N"": 1, ""^"": 2, "","": 1, ""V"": 2, ""O"": 1}"
My copilot this a.m. Vanessa Hudgens,36,6,1,3,14,1,1,1,0,0,,"{""NP"": {""NP#NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""D"": 2, ""N"": 2, ""^"": 2}"
This is us...with Milo Ventimiglia,34,5,1,3,14,1,1,1,0,0,,"{""NP"": {""DT"": 1}, ""FRAG"": {""PP"": 1, ""NP#VP"": 1}, ""VP"": {""VBZ#NP#:#FRAG"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""O"": 2, ""V"": 1, "","": 1, ""P"": 1, ""^"": 2}"
"29 years ago when I was an intern at STAR 94 in Atlanta, with no clue that I would one day be inducted into the Radio Hall of Fame.Thank you to everyone who voted, whether it was by choice...or if the On Air/Ryan Seacrest team wore you down. Its a dream come true!",264,54,3,37,16,1,1,1,0,0,,"{""NP"": {""CD#NNS"": 1, ""NNP#CD"": 1, ""CD#NN"": 1, ""DT#NNP#NNP"": 1, ""NP#SBAR"": 2, ""DT#NNP#NNP#NNP#NN"": 1}, ""ADVP"": {""NP#RB"": 1}, ""WHADVP"": {""WRB"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBD"": 1, ""VBD#PP"": 1, ""VBN#PP#NP#PP#,#SBAR"": 1, ""VB#VP"": 1, ""MD#NP#VP"": 1, ""VBD#NP#PRT"": 1, ""VBD#NP#PP#,#PP"": 1, ""VB#ADJP"": 1}, ""SBAR"": {""WHNP#S"": 1, ""IN#S"": 3, ""SBAR#:#CC#SBAR"": 1, ""WHADVP#S"": 1}, ""PRT"": {""RP"": 1}, ""FRAG"": {""ADVP#SBAR#."": 1}, ""ROOT"": {""FRAG"": 1, ""SQ"": 1}, ""ADJP"": {""JJ"": 1}, ""SQ"": {""MD#NP#VP#."": 1}}",0.041,0.866,0.094,"{""$"": 3, ""N"": 10, ""R"": 3, ""O"": 6, ""V"": 9, ""D"": 5, ""P"": 11, ""^"": 5, "","": 6, ""&"": 1, ""L"": 1, ""A"": 1}"
"For a good time, scroll through your contact list. Its like going through a yearbook of your life.",98,18,1,9,19,1,0,0,0,0,,"{""NP"": {""DT#JJ#NN"": 1, ""PRP$#NN#NN"": 1, ""PRP$"": 1}, ""VP"": {""VB#PP"": 1, ""VBG#PP"": 1, ""VBP#S"": 1}, ""S"": {""PP#,#VP#."": 1}}",0.0,0.722,0.278,"{""P"": 5, ""D"": 4, ""A"": 1, ""N"": 5, "","": 3, ""R"": 1, ""L"": 1, ""V"": 1}"
The day we all forgot to pack swimsuits ,40,8,1,6,19,1,1,0,0,1,,"{""NP"": {""DT#NN#SBAR"": 1}, ""ADVP"": {""DT"": 1}, ""VP"": {""VBD#S"": 1}, ""S"": {""NP#ADVP#VP"": 1}, ""SBAR"": {""S"": 1}, ""FRAG"": {""NP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""D"": 1, ""N"": 2, ""O"": 1, ""X"": 1, ""V"": 2, ""P"": 1}"
Trying out the rugged look. Wish me luck!,41,8,1,4,14,1,1,0,0,0,,"{""PRT"": {""RP"": 1}, ""NP"": {""DT#JJ#NN"": 1}, ""VP"": {""VBG#PRT#NP"": 1}, ""S"": {""VP#."": 1}, ""ROOT"": {""SQ"": 1}, ""SQ"": {""VBD#NP#NP#."": 1}}",0.0,0.5,0.5,"{""V"": 2, ""P"": 1, ""D"": 1, ""A"": 1, ""N"": 2, "","": 2, ""O"": 1}"
Clearly my dad was a little nervous to meet his fave. Lionel Richie - please have them home by midnight. Thanks and have a great show!,134,26,1,15,4,1,1,1,0,0,,"{""NP"": {""DT#RB"": 1, ""DT#JJ#NN"": 1}, ""ADJP"": {""NP#JJ"": 1}, ""VP"": {""VBD#ADJP#S"": 1, ""VBP#NP#ADVP#PP"": 1, ""VB"": 1, ""VP#CC#VP"": 1}, ""S"": {""ADVP#NP#VP#."": 1, ""VP#."": 1}, ""ROOT"": {""FRAG"": 1}, ""FRAG"": {""NP#:#S#."": 1}}",0.053,0.5,0.447,"{""R"": 1, ""D"": 4, ""N"": 6, ""V"": 5, ""A"": 3, ""P"": 2, "","": 4, ""^"": 2, ""O"": 1, ""&"": 1}"
Such an incredible day at Children's with back-to-back visits from Shawn Mendes and ac. The kids will be wearing those smiles for a very long time. Thank you both for making this happen :),188,34,1,21,0,4,1,3,0,0,,"{""NP"": {""PDT#DT#JJ#NN"": 1, ""JJ#NNS"": 1, ""NP#CC#NP"": 1, ""DT#NNS"": 1, ""DT#ADJP#NN"": 1, ""DT"": 1, ""NP#SBAR"": 1}, ""VP"": {""VBZ#PP#PP"": 1, ""VBG#NP"": 2, ""VB#VP"": 1, ""MD#VP"": 1, ""VBP"": 1, ""VB#NP#ADVP#SBAR#-RRB-"": 1}, ""S"": {""VP#:"": 1}, ""ROOT"": {""VP"": 1}, ""ADJP"": {""RB#JJ"": 1}, ""ADVP"": {""DT"": 1}, ""SBAR"": {""S"": 1, ""IN#S"": 1}}",0.0,0.772,0.228,"{""A"": 4, ""D"": 5, ""N"": 5, ""P"": 5, ""^"": 3, ""&"": 1, "","": 2, ""V"": 7, ""R"": 1, ""O"": 2, ""E"": 1}"
Happy ! I told Georgia no parties  shes always booked and busy.,63,12,1,6,19,4,1,0,0,1,,"{""INTJ"": {""UH#."": 1}, ""ROOT"": {""INTJ"": 1}, ""NP"": {""DT#NNS"": 1, ""NP#SBAR"": 1}, ""VP"": {""ADVP#VBN"": 1, ""VBZ#UCP"": 1, ""VBD#NP"": 1}, ""ADJP"": {""JJ"": 1}, ""UCP"": {""VP#CC#ADJP"": 1}, ""SBAR"": {""S"": 1}}",0.138,0.44,0.421,"{""A"": 2, "","": 2, ""O"": 1, ""V"": 2, ""^"": 1, ""D"": 1, ""N"": 1, ""L"": 1, ""R"": 1, ""&"": 1}"
Levine ChildrenseRyan Seacrest FndnWe couldn't do Levine Childrenselp from your incredible doctors and staff members :),119,16,1,5,18,11,0,3,0,0,,"{""NP"": {""NNP#NNP#NNP#NNP"": 1, ""PRP$#JJ#NNS"": 1, ""NN#NNS"": 1, ""NP#CC#NP#:"": 1}, ""VP"": {""MD#RB#VP"": 1}, ""PRN"": {""S#-RRB-"": 1}, ""ROOT"": {""PRN"": 1}}",0.0,0.833,0.167,"{""^"": 6, ""V"": 2, ""P"": 1, ""D"": 1, ""A"": 1, ""N"": 3, ""&"": 1, ""E"": 1}"
"Thanks QVC for inviting me back to talk about my skincare line POLISHED for men! Im telling you, this stuff works. Get it for yourself or the men in your life! ",160,31,1,21,0,1,1,2,1,0,,"{""NP"": {""PRP$#JJ#NN"": 1, ""DT#NNS"": 1, ""NP#CC#NP"": 1}, ""PRT"": {""RP"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VB#PP"": 1, ""VBG#NP#PRT#S"": 1, ""VBD#PP"": 1, ""VBG#NP"": 1, ""VBZ"": 1, ""VB#NP#PP"": 1}, ""S"": {""S#,#NP#VP#."": 1, ""VP#."": 1}}",0.0,0.834,0.166,"{""N"": 7, ""^"": 1, ""P"": 6, ""V"": 6, ""O"": 4, ""R"": 1, ""D"": 4, "","": 4, ""L"": 1, ""&"": 1}"
