fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Wishing the couple a happy married life. . Wish I cud hv been there in person to wish u guys. .   Jordy patel,109,23,1,13,15,1,1,1,0,2,,"{""NP"": {""VBN#NN"": 1, ""NP#FRAG"": 1, ""NN#NNS"": 1, ""NP#SBAR#."": 1, ""NP#VP"": 1}, ""X"": {""SYM"": 1}, ""FRAG"": {""X#:#NP#."": 1, ""NP"": 1}, ""VP"": {""VBG#NP"": 1, ""VBN#ADVP"": 1, ""VBP#NP"": 1}, ""S"": {""VP#."": 1}, ""ROOT"": {""ADJP"": 1}, ""SBAR"": {""S"": 1}, ""PP"": {""IN#FRAG"": 1}, ""ADVP"": {""RB#PP"": 1}, ""ADJP"": {""RB#JJ"": 1}}",0.0,0.56,0.44,"{""V"": 6, ""D"": 2, ""N"": 4, ""A"": 2, "","": 4, ""O"": 2, ""R"": 1, ""P"": 2, ""^"": 2}"
Hyderabad see u on 2nd Nov . .         ,39,8,2,7,13,1,1,0,0,9,,"{""NP"": {""CD"": 1, ""NNP#."": 1}, ""VP"": {""VBP#NP#NP"": 1}}",0.0,1.0,0.0,"{""^"": 2, ""V"": 1, ""O"": 1, ""P"": 1, ""$"": 1, "","": 2}"
Yaad hai hum sab ka IIFA 2017 performance in Madrid? Fond memories . .   ,73,14,1,11,6,1,1,0,0,3,,"{""NP"": {""NNP#NNP#NNP#NNP#NNP#NNP"": 1, ""CD#NN"": 1, ""NP#NP#."": 2, ""NNP#."": 1}, ""ROOT"": {""NP"": 2}}",0.0,0.791,0.209,"{""^"": 3, ""!"": 2, ""G"": 2, ""$"": 1, ""N"": 2, ""P"": 1, "","": 3, ""A"": 1}"
The best entertaining director who has given me the maximum films and hits . . Happy birthday! ,95,17,1,10,19,1,1,0,0,1,,"{""ADJP"": {""JJS#VBG"": 1}, ""NP"": {""DT#ADJP#NN"": 1, ""DT#JJ#NNS"": 1, ""NNP#."": 1, ""NP#CC#NP"": 1, ""NP#SBAR"": 1, ""NP#."": 1, ""JJ#NN#."": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBN#NP#NP"": 1, ""VBZ#VP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""ROOT"": {""NP"": 2}}",0.0,0.52,0.48,"{""D"": 2, ""A"": 4, ""N"": 3, ""O"": 2, ""V"": 3, ""&"": 1, "","": 3}"
Happy birthday majha bhau... all the happiness! Mahesh Manjrekar,64,9,1,2,16,1,1,1,0,0,,"{""NP"": {""JJ#NN#NN#NN"": 1, ""PDT#DT#NN"": 1, ""NP#:#NP#."": 1}, ""ROOT"": {""NP"": 2}}",0.0,0.48,0.52,"{""A"": 1, ""N"": 3, ""G"": 1, "","": 2, ""X"": 1, ""D"": 1, ""^"": 2}"
Happy  May you prosper and grow forever.,40,7,2,4,7,1,1,0,0,1,,"{""NP"": {""JJ#NNP"": 1}, ""VP"": {""VBZ"": 1, ""VBP#ADVP"": 1, ""VP#CC#VP"": 1}, ""S"": {""NP#NP#VP#."": 1}}",0.0,0.619,0.381,"{""A"": 1, ""V"": 3, ""O"": 1, ""&"": 1, ""R"": 1, "","": 1}"
"On this Eid, sending my best wishes to everyone. Have a blessed Eid Ul Adha! ",77,15,1,10,11,1,0,0,0,1,,"{""NP"": {""DT#NNP"": 1, ""PRP$#JJS"": 1}, ""VP"": {""VBG#NP"": 1, ""VBZ#PP"": 1, ""VBN#NP"": 1}, ""S"": {""PP#,#S#VP#."": 1}, ""ROOT"": {""SQ"": 1}, ""SQ"": {""VBP#NP#VP#."": 1}}",0.0,0.524,0.476,"{""P"": 2, ""D"": 3, ""^"": 4, "","": 3, ""V"": 3, ""A"": 2, ""N"": 1}"
"Saare tweets bharat ki devotion mein,slow motion mein, stream now: ",67,11,2,3,11,1,0,0,1,0,,"{""VP"": {""VBZ"": 1}, ""NP"": {""JJ#NN#NN#NN"": 1, ""JJ#NN#NN"": 1, ""NN#RB"": 1, ""NP#,#NP"": 2}, ""SINV"": {""ADVP#VP#NP#:"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.75,0.25,"{""^"": 4, ""N"": 5, "","": 3, ""A"": 1, ""R"": 1}"
Best wishes Karan. . Welcome to the Indian film industry with pal pal dil ke paas Sunny Deol  ,94,18,1,12,10,1,0,1,1,1,,"{""NP"": {""JJS#NNS"": 1, ""NNP#."": 1, ""NP#NP#."": 1, ""DT#JJ#NN#NN"": 1, ""NN#NN#NN"": 1, ""NN#NN#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1, ""SINV"": 1}, ""VP"": {""VB#PP"": 1}, ""SINV"": {""VP#NP"": 1}}",0.0,0.528,0.472,"{""A"": 1, ""V"": 2, ""^"": 4, "","": 2, ""P"": 2, ""D"": 1, ""N"": 4, ""G"": 3}"
 and Aayush Sharma to star in a film inspired by true events involving the Indian army in  Karan Lalit Butani,109,20,1,11,4,1,1,2,0,2,,"{""NP"": {""JJ#NNS"": 1, ""DT#JJ#NN"": 1, ""NNP#NNP#NNP"": 1, ""NP#VP"": 1, ""NP#SBAR"": 1}, ""PP"": {""VBG#NP"": 1}, ""VP"": {""VBN#PP"": 1, ""VB#PP"": 1}, ""SBAR"": {""S"": 1}, ""FRAG"": {""CC#NP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,0.739,0.261,"{""&"": 1, ""^"": 6, ""P"": 4, ""N"": 4, ""D"": 2, ""V"": 2, ""A"": 1}"
