fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging,
"(INTERVIEW) I just finished up an interview about Proof of Conspiracy on Cheddar TV (Cheddar), which, courtesy of a quick rip by reader FactsMatter314, you can now listen to at the link below. It's a wide-ranging interview, so I hope you'll check it out!",254,44,1,25,14,1,0,2,1,0,,"{""NP"": {""NP#PRN"": 1, ""WDT"": 1, ""DT#JJ#NN"": 2, ""NN#NNS"": 1}, ""PRN"": {""-LRB-#NP#-RRB-"": 2}, ""PRT"": {""RP"": 2}, ""VP"": {""VBD#PRT#NP#PP"": 1, ""PP#ADVP"": 1, ""VB#S"": 1, ""MD#ADVP#VP"": 1, ""VBZ#NP"": 1, ""VB#NP#PRT"": 1, ""MD#VP"": 1, ""VBP#SBAR"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""SBAR#,#NP#,#NP#,#NP#VP#."": 1, ""S#,#IN#S#."": 1}, ""SBAR"": {""PRN#S"": 1, ""S"": 1}}",0.072,0.788,0.139,"{"","": 10, ""N"": 10, ""O"": 4, ""R"": 2, ""V"": 5, ""T"": 2, ""D"": 5, ""P"": 9, ""^"": 2, ""A"": 2, ""$"": 1, ""L"": 2}","['{"","": 10, ""N"": 10, ""O"": 4, ""R"": 2, ""V"": 5, ""T"": 2, ""D"": 5, ""P"": 9, ""^"": 2, ""A"": 2, ""$"": 1, ""L"": 2}']"
"(MEDIA NOTE) I'll be on the Stephanie Miller Show (Stephanie Miller) in 15 minutes (9:30AM EST), and then on Cheddar TV at 10:10AM EST.",135,24,1,13,13,1,0,1,0,0,,"{""NP"": {""-LRB-#NNP#NNP#-RRB-"": 1, ""DT#NNP#NNP#NNP"": 1, ""NP#PRN"": 1, ""NNP#NNP#NNP"": 2, ""CD#NNS#PRN"": 1, ""RB"": 1, ""NP#,#CC#NP"": 1}, ""PRN"": {""-LRB-#NP#-RRB-"": 2}, ""VP"": {""VB#PP#PP"": 1, ""MD#VP"": 1}, ""S"": {""NP#NP#VP#."": 1}}",0.0,1.0,0.0,"{"","": 8, ""N"": 8, ""L"": 1, ""V"": 1, ""P"": 4, ""D"": 1, ""^"": 6, ""$"": 3, ""&"": 1, ""R"": 1}","['{"","": 8, ""N"": 8, ""L"": 1, ""V"": 1, ""P"": 4, ""D"": 1, ""^"": 6, ""$"": 3, ""&"": 1, ""R"": 1}']"
Many thanks to the inimitable Rob Reiner for his kind words about my new book Proof of Conspiracy! Purchase Proof of Conspiracy ($17.99):,137,23,1,12,13,1,1,1,1,0,,"{""NP"": {""JJ#NNS"": 1, ""DT#JJ#NNP#NNP"": 1, ""PRP$#NN#NNS"": 1, ""PRP$#JJ#NN#NN"": 1, ""NP#PP#PP#PP#."": 1, ""$#CD"": 1, ""NP#PP#PRN#:"": 1}, ""ROOT"": {""NP"": 2}, ""PRN"": {""-LRB-#NP#-RRB-"": 1}}",0.306,0.514,0.18,"{""A"": 3, ""N"": 6, ""P"": 5, ""D"": 3, ""^"": 4, "","": 3, ""V"": 1, ""$"": 1}","['{""A"": 3, ""N"": 6, ""P"": 5, ""D"": 3, ""^"": 4, "","": 3, ""V"": 1, ""$"": 1}']"
"BREAKING NEWS: The Person Who Illegally Doctored That White House Hurricane Map Has Been Revealed, and to the Surprise of No One in America It Was the President of the United States",181,32,1,18,11,1,0,0,1,0,,"{""NP"": {""DT#NNP#NNP#NNP#NNP#NNP"": 1, ""NP#VP"": 1, ""DT#NNP"": 2, ""DT#CD"": 1, ""DT#NNP#NNPS"": 1, ""NP#SBAR"": 1, ""NP#:#NP"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBN"": 1, ""VBN#VP"": 1, ""VBD#NP"": 2}, ""S"": {""PP#NP#VP"": 1, ""S#,#CC#S"": 1}, ""PP"": {""PP#PP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""ROOT"": {""NP"": 1}}",0.061,0.803,0.136,"{""V"": 6, ""N"": 8, "","": 2, ""D"": 6, ""O"": 2, ""R"": 1, ""A"": 1, ""&"": 1, ""P"": 4, ""$"": 1, ""^"": 2}","['{""V"": 6, ""N"": 8, "","": 2, ""D"": 6, ""O"": 2, ""R"": 1, ""A"": 1, ""&"": 1, ""P"": 4, ""$"": 1, ""^"": 2}']"
"(BOOK NEWS) Big book news for those willing to act fast: PROOF OF CONSPIRACY has just had a price drop from $21.24 to $17.99. According to news articles, the average Amazon product changes price at least 10 times a day, so I don't know how long this lasts.",256,48,1,27,4,1,0,0,1,0,,"{""NP"": {""PRN#JJ#NN"": 1, ""NP#NN"": 1, ""DT#ADJP"": 1, ""NP#:#NP"": 1, ""DT#NN#NN"": 1, ""QP"": 2, ""NN#NNS"": 1, ""DT#JJ#NNP#NN#NNS"": 1, ""NP#NP"": 1, ""DT"": 1}, ""PRN"": {""-LRB-#NP#-RRB-"": 1}, ""VP"": {""VB#ADVP"": 1, ""VBN#NP#PP"": 1, ""VBZ#ADVP#VP"": 1, ""VBP#NP"": 1, ""VBZ"": 1, ""VB#SBAR"": 1, ""VBP#RB#VP"": 1}, ""S"": {""PP#,#NP#VP"": 1, ""S#,#IN#S#."": 1}, ""ADJP"": {""JJ#S"": 1}, ""PP"": {""VBG#PP"": 1}, ""QP"": {""$#CD#TO#$#CD"": 1, ""IN#JJS#CD#NNS"": 1}, ""WHADVP"": {""WRB#RB"": 1}, ""SBAR"": {""WHADVP#S"": 1}}",0.125,0.841,0.034,"{"","": 7, ""N"": 14, ""A"": 6, ""P"": 8, ""D"": 4, ""V"": 8, ""R"": 2, ""$"": 3, ""^"": 1, ""O"": 2}","['{"","": 7, ""N"": 14, ""A"": 6, ""P"": 8, ""D"": 4, ""V"": 8, ""R"": 2, ""$"": 3, ""^"": 1, ""O"": 2}']"
"Kathryn Clark Macmillan Publishers (i.e., the link I gave you in the first tweet immediately re-directs you to the link above)",126,21,1,11,3,1,0,2,0,0,,"{""NP"": {""NNP#NNP#NNP#NNPS"": 1, ""DT#NN#NN"": 1, ""DT#JJ#NN"": 1, ""NP#ADJP"": 2, ""NP#PRN"": 1}, ""ADJP"": {""RB#JJ#NP"": 1, ""ADJP#PP"": 1, ""RB#NP#PP"": 1, ""NP#JJ"": 1}, ""PRN"": {""-LRB-#FW#,#ADJP#-RRB-"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 3, ""N"": 4, "","": 3, ""L"": 1, ""D"": 3, ""O"": 3, ""V"": 2, ""P"": 3, ""A"": 1, ""R"": 1}","['{""^"": 3, ""N"": 4, "","": 3, ""L"": 1, ""D"": 3, ""O"": 3, ""V"": 2, ""P"": 3, ""A"": 1, ""R"": 1}']"
"Kathryn Clark Macmillan Publishers Or, more simply, here's the link:",68,10,1,3,3,1,0,2,1,0,,"{""NP"": {""NNP#NNP#NNP#NNPS#NNP"": 1}, ""ADVP"": {""RBR#JJ"": 1}, ""VP"": {""VBZ#NP"": 1}, ""S"": {""NP#,#ADVP#,#ADVP#VP#:"": 1}}",0.0,1.0,0.0,"{""^"": 3, ""N"": 2, ""&"": 1, "","": 3, ""R"": 2, ""L"": 1, ""D"": 1}","['{""^"": 3, ""N"": 2, ""&"": 1, "","": 3, ""R"": 2, ""L"": 1, ""D"": 1}']"
"Kathryn Clark Macmillan Publishers Hi, the link is """"... in other words, where it says ""www"" in the book it should be "" the time the book was printed we didn't appreciate that the Macmillan intranet would receive differently ""http://"" and ""www.""",245,42,1,22,3,1,0,2,0,0,,"{""NP"": {""NNP#NNP#NNP#NNPS#NNP"": 1, ""JJ#NNS"": 1, ""``#NP#PP"": 1, ""DT#NNP#NN"": 1, ""NP#SBAR"": 1, ""``#S#CC#``#NP"": 1, ""NP#NP"": 1}, ""S"": {""NP"": 1, ""S#,#NP#VP"": 1, ""ADJP#:#NP"": 1, ""PP#,#SBAR#NP#VP"": 1, ""S#:#S#."": 1}, ""VP"": {""VBZ"": 1, ""VBZ#NP"": 1, ""VB#ADVP"": 1, ""MD#VP"": 2, ""VB#SBAR"": 1, ""VBD#RB#VP"": 1, ""VBN#SBAR"": 1, ""VBD#VP"": 1}, ""WHADVP"": {""WRB"": 1}, ""SBAR"": {""WHADVP#S"": 1, ""IN#S"": 1, ""S"": 2}, ""ADJP"": {""JJ"": 1}}",0.053,0.947,0.0,"{""^"": 5, ""N"": 7, ""!"": 1, "","": 9, ""D"": 5, ""V"": 10, ""P"": 3, ""A"": 1, ""R"": 2, ""O"": 3, ""U"": 2, ""&"": 1}","['{""^"": 5, ""N"": 7, ""!"": 1, "","": 9, ""D"": 5, ""V"": 10, ""P"": 3, ""A"": 1, ""R"": 2, ""O"": 3, ""U"": 2, ""&"": 1}']"
"I normally never post things like this, but now that I've seen this... I... well, I seriously can't *unsee* it and it's messing me up right now. Dude totally *does* look like a centaur without its hind legs.",207,38,1,22,2,1,0,0,1,0,,"{""NP"": {""NN#NNS"": 1, ""DT"": 2, ""NP#:#NP"": 1, ""PRP#CC#PRP"": 1, ""NP#ADJP"": 1, ""PRP$#JJ#NNS"": 1}, ""ADVP"": {""RB#RB"": 1}, ""VP"": {""VBN#NP"": 1, ""VBP#VP"": 1, ""VBP#FRAG"": 1, ""VBG#NP#ADVP"": 1, ""VBZ#VP"": 1, ""VB#ADJP#ADVP"": 1, ""MD#RB#VP"": 1, ""VBZ#PP"": 1}, ""S"": {""NP#ADVP#ADVP#NP#VP#."": 1, ""ADVP#,#NP#ADVP#VP#."": 1}, ""SBAR"": {""ADVP#IN#S"": 1, ""X#S"": 1}, ""FRAG"": {""NP#,#CC#SBAR#."": 1}, ""X"": {""SYM"": 2, ""X#NP"": 1}, ""ADJP"": {""JJ#SBAR"": 1, ""RB#JJ"": 1}, ""PP"": {""X#IN#NP"": 1}}",0.157,0.777,0.066,"{""O"": 8, ""R"": 7, ""V"": 7, ""N"": 4, ""P"": 3, "","": 10, ""&"": 2, ""L"": 3, ""!"": 1, ""T"": 1, ""D"": 1, ""A"": 1}","['{""O"": 8, ""R"": 7, ""V"": 7, ""N"": 4, ""P"": 3, "","": 10, ""&"": 2, ""L"": 3, ""!"": 1, ""T"": 1, ""D"": 1, ""A"": 1}']"
"3/ This is part of a broader idea that's in my head and I think many others': an impeachment pre-election; a court battle over whether there will be a Senate trial that drags on awhile; and a Senate trial post-election, with a new Senate. Thus, Trump caring about the 2020 Senate.",280,51,1,28,1,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""DT"": 1, ""DT#JJR#NN"": 1, ""JJ#NNS"": 1, ""DT#NN#NN"": 2, ""NP#:#NP"": 1, ""NP#CC#S"": 1, ""NP#SBAR"": 2, ""EX"": 1, ""DT#NNP#NN"": 1, ""DT#NNP#NN#NN"": 1, ""DT#JJ#NNP"": 1, ""NP#,#PP"": 1, ""NP#:#NP#:#CC#NP"": 1, ""DT#NNP#NNP"": 1}, ""WHNP"": {""WDT"": 2}, ""VP"": {""VBP#NP"": 1, ""VBZ#PP"": 3, ""MD#VP"": 1, ""VBZ#NP"": 1}, ""S"": {""ADVP#,#NP#VP#."": 1}, ""PP"": {""IN#ADVP"": 1, ""IN#SBAR"": 1}, ""SBAR"": {""WHNP#S"": 2, ""IN#S"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.087,0.848,0.065,"{""G"": 1, ""O"": 3, ""V"": 6, ""N"": 15, ""P"": 7, ""D"": 8, ""A"": 3, ""L"": 1, ""&"": 2, "","": 8, ""R"": 3, ""^"": 1, ""$"": 1}","['{""G"": 1, ""O"": 3, ""V"": 6, ""N"": 15, ""P"": 7, ""D"": 8, ""A"": 3, ""L"": 1, ""&"": 2, "","": 8, ""R"": 3, ""^"": 1, ""$"": 1}']"
