fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Love u keitan Harry Hingorani for the set up. Pooja Dadlani for making it happen. Mitumindblowing @IFFM for the thought. My Ursa minipro 4.6k is set up! Quite an awesome camera Blackmagic Design now only if I can shoot well.,224,40,1,22,11,1,1,6,0,0,,"{""NP"": {""NN#NN"": 1, ""VBG#NNS"": 1, ""NP#PP#."": 1, ""PRP$#NNP#NNP#CD#NN"": 1, ""RB#DT#JJ#NN"": 1}, ""PP"": {""IN#S"": 1}, ""PRT"": {""RP"": 2}, ""VP"": {""VBP#NP#PRT"": 1, ""VBG#NP"": 1, ""VBP"": 1, ""VBN#PRT"": 1, ""VBZ#VP"": 1, ""VB#ADVP"": 1, ""MD#VP"": 1, ""VBD#NP#ADVP#SBAR"": 1}, ""ROOT"": {""NP"": 1}, ""SBAR"": {""RB#IN#S"": 1}}",0.051,0.718,0.232,"{""V"": 8, ""O"": 3, ""^"": 7, ""P"": 4, ""D"": 4, ""N"": 5, ""T"": 2, "","": 5, ""G"": 1, ""@"": 1, ""$"": 1, ""R"": 4, ""A"": 1}"
"The trailer of our first Netflix US series  is here. A thrilling tale of espionage, vengeance, love and duty. Hope u enjoy it...Netflix India Red Chillies Entertainment Emraan Hashmi Gaurav Verma Bilal Siddiqi Ribhu Dasgupta",224,36,3,13,10,1,1,7,0,1,,"{""NP"": {""PRP$#JJ#NNP#NNP#NN"": 1, ""DT#VBG#NN"": 1, ""NN#,#NN#,#NN#CC#NN"": 1, ""NP#PP#."": 1, ""NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP"": 1}, ""VP"": {""VBZ#ADVP"": 1, ""VBN#S"": 1}, ""ROOT"": {""NP"": 1, ""SINV"": 1}, ""SINV"": {""VP#:#NP"": 1}}",0.0,0.633,0.367,"{""D"": 3, ""N"": 8, ""P"": 2, ""A"": 3, ""^"": 12, ""V"": 4, ""R"": 1, "","": 5, ""&"": 1, ""O"": 2}"
Its such a wonderful university. Please use this opportunity girls. Lots of luck to all of you.,95,17,1,12,9,1,0,0,1,0,,"{""NP"": {""PRP$#JJ"": 1, ""DT#JJ#NN"": 1, ""NP#NP#."": 1, ""DT#NN#NNS"": 1, ""DT"": 1, ""NP#PP#PP#."": 1}, ""ROOT"": {""NP"": 2}, ""INTJ"": {""UH"": 1}, ""S"": {""INTJ#VP#."": 1}}",0.0,0.504,0.496,"{""L"": 1, ""A"": 2, ""D"": 3, ""N"": 5, "","": 3, ""V"": 2, ""P"": 3, ""O"": 1}"
"May today and every day hereafter bring peace of mind, patience in our hearts, prosperity in our actions and prayers of thankfulness for the gifts that we have. May you all be loving and loved all your lives. Eid Mubarak to everyone.",233,42,1,23,10,1,1,0,0,0,,"{""NP"": {""NNP#NN"": 1, ""NP#CC#NP"": 1, ""PRP$#NNS"": 2, ""DT#NNS"": 1, ""NP#,#NP#,#NP#CC#NP"": 1, ""NP#NP"": 1, ""PDT#PRP$#NNS"": 1, ""NP#PP#."": 1}, ""VP"": {""VBP"": 1, ""VBP#NP#SBAR"": 1, ""VB#ADJP"": 1, ""VBD#NP"": 1, ""VP#CC#VP"": 1}, ""S"": {""NP#ADVP#VP#."": 1, ""NP#RB#VP#."": 1}, ""SBAR"": {""IN#S"": 1}, ""ROOT"": {""NP"": 1}, ""ADJP"": {""JJ"": 1}}",0.0,0.725,0.275,"{""V"": 7, ""N"": 14, ""&"": 3, ""D"": 7, ""P"": 7, "","": 5, ""O"": 2, ""^"": 2}"
On the way to La Trobe University University.. Thank you for the kind gesture of offering a scholarship to a girl student from India for higher education and supporting the work at Meer Foundation,196,34,1,21,4,1,1,2,0,0,,"{""NP"": {""NNP#NNP#NNP#NNP#."": 1, ""NP#TO#NP"": 1, ""DT#NN#NN"": 2, ""JJR#NN"": 1}, ""PP"": {""IN#S"": 1}, ""FRAG"": {""PP#."": 1}, ""ROOT"": {""FRAG"": 1}, ""VP"": {""VBG#NP#PP#PP#PP"": 1, ""VBG#NP#PP"": 1, ""VP#CC#VP"": 1, ""VB#NP#PP"": 1}}",0.0,0.767,0.233,"{""P"": 8, ""D"": 5, ""N"": 9, ""^"": 6, "","": 1, ""V"": 3, ""O"": 1, ""A"": 1, ""&"": 1}"
What an exciting teaser! Wishing Karan and Sahher all the best with this beautiful film. Sunny Deol has made this with all his heart and soul...  Love to the team!  ,165,30,2,19,17,1,0,1,1,1,,"{""NP"": {""WP"": 1, ""DT#JJ#NN"": 2, ""NP#NP#."": 1, ""PDT#DT#JJS"": 1, ""DT"": 1, ""DT#PRP$#NN#CC#NN#:#NN"": 1}, ""ROOT"": {""NP"": 1}, ""VP"": {""VBG#NP"": 1, ""VB#NP#PP"": 1, ""VBN#NP#PP"": 1, ""VBZ#VP"": 1}, ""S"": {""S#CC#S#."": 1}}",0.044,0.502,0.454,"{""O"": 2, ""D"": 6, ""A"": 3, ""N"": 5, "","": 4, ""V"": 4, ""^"": 4, ""&"": 2, ""X"": 1, ""P"": 3}"
Beautiful homes are made by beautiful home makers. Bas!,55,9,1,5,14,1,1,0,0,0,,"{""NP"": {""JJ#NNS"": 1, ""JJ#NN#NNS"": 1}, ""VP"": {""VBN#PP"": 1, ""VBP#VP"": 1, ""VB"": 1}, ""S"": {""VP#."": 1}}",0.0,0.464,0.536,"{""A"": 2, ""N"": 3, ""V"": 2, ""P"": 1, "","": 2, ""^"": 1}"
"Ready ho jaiye, Bauua ki Meerut to Mars wali mohabbat dekhne ke liye, Catch the World TV Premiere of ZERO, tonight at 8 PM, only on Zee Cinema   Anushka Sharma  Red Chillies Entertainment Colour Yellow Productions",213,36,3,16,7,1,1,4,0,4,,"{""ADJP"": {""JJ"": 1}, ""NP"": {""NNP#,#NNP#NNPS#NNP"": 1, ""NNP#NNP#JJ#NN#NN#NN"": 1, ""DT#NNP#NNP#NNP"": 1, ""RB"": 1, ""CD"": 1, ""NP#,#NP"": 1, ""NNP#NNP#NNP#NNP#NNP"": 1, ""NNP#NNP#NNP#NNP#NNPS"": 1, ""NP#,#ADVP#NP"": 1}, ""VP"": {""VBP#NP#PP#,#VBP#NP"": 1}, ""ADVP"": {""RB#PP"": 1}, ""SINV"": {""ADJP#VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.862,0.138,"{""A"": 3, ""!"": 1, ""^"": 10, "","": 4, ""P"": 4, ""G"": 5, ""V"": 1, ""D"": 1, ""N"": 8, ""R"": 2, ""$"": 1}"
A decade of DDecor and a family like relationship. Its so satisfying making beautiful homes. Thank u so much D'Decor Sanjana Ajay and Sanjay.,141,24,1,12,10,1,1,1,0,0,,"{""NP"": {""NP#CC#NP"": 2, ""NP#PP#PP#."": 1, ""PRP$#ADJP#NN"": 1, ""NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}, ""ADJP"": {""RB#JJ"": 1}, ""VP"": {""VBZ#NP"": 1, ""VB#NP#ADVP"": 1}, ""S"": {""VP#."": 1}, ""ADVP"": {""RB#RB#NP"": 1}}",0.0,0.566,0.434,"{""D"": 2, ""N"": 6, ""P"": 2, ""&"": 2, "","": 3, ""L"": 1, ""R"": 2, ""A"": 3, ""V"": 2, ""O"": 1, ""^"": 3}"
A decade of DDecor and a family like relationship. Its so satisfying making beautiful homes. Thank u so much D'Decor Sanjana Ajay and Sanjay.,141,24,1,12,10,1,0,1,0,0,,"{""NP"": {""NP#CC#NP"": 2, ""NP#PP#PP#."": 1, ""PRP$#ADJP#NN"": 1, ""NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}, ""ADJP"": {""RB#JJ"": 1}, ""VP"": {""VBZ#NP"": 1, ""VB#NP#ADVP"": 1}, ""S"": {""VP#."": 1}, ""ADVP"": {""RB#RB#NP"": 1}}",0.0,0.566,0.434,"{""D"": 2, ""N"": 6, ""P"": 2, ""&"": 2, "","": 3, ""L"": 1, ""R"": 2, ""A"": 3, ""V"": 2, ""O"": 1, ""^"": 3}"
