fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
,0,0,0,0,16,4,1,0,0,0,,{},0.0,0.0,0.0,{}
,0,0,0,0,3,1,1,0,0,0,,{},0.0,0.0,0.0,{}
headed to the Verizon event in nyc to see some of you at 1:30pm today xx ,73,16,1,11,14,1,0,1,1,0,,"{""NP"": {""DT#NNP#NN"": 1, ""DT"": 1, ""CD#NN#NN#NN"": 1}, ""PP"": {""IN"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VBD#PP#PP#S"": 1}, ""SINV"": {""VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,1.0,0.0,"{""V"": 2, ""P"": 5, ""D"": 2, ""^"": 2, ""N"": 3, ""O"": 1, ""$"": 1, ""E"": 1}"
,0,0,0,0,15,4,1,0,0,0,"🖤:1,🌸:1",{},0.0,0.0,0.0,{}
Vote now for  for Video Music Awards Song of Summer on Matteo Vessella instagram story! ,88,15,1,7,17,1,0,2,1,1,,"{""NP"": {""NNP#NNP#NNS#NN"": 1, ""NNPS"": 1, ""NNP#NNP#NN#NN"": 1}, ""PP"": {""ADVP#IN#IN#NP"": 1}, ""VP"": {""VB#PP#PP"": 1}, ""S"": {""VP#."": 1}}",0.0,0.81,0.19,"{""V"": 1, ""R"": 1, ""P"": 4, ""N"": 5, ""^"": 4, "","": 1}"
"Put together this amazing experience in NYC with Verizon this Fri & Sat, which has an installation to go behind the making of my album, a limited Merch shop, & more. Follow Verizon for details & exclusive access for  members. See you there x ",242,44,1,24,21,1,1,1,1,1,,"{""PRT"": {""RP"": 1}, ""NP"": {""DT#JJ#NN"": 1, ""DT#NNPS#CC#NNPS"": 1, ""DT#JJ#NNP#NN"": 1, ""JJR"": 1, ""NP#,#CC#NP#."": 1, ""NP#,#NP"": 1, ""DT#NN#S"": 1, ""NP#,#SBAR"": 1, ""JJ#NN"": 1, ""NP#CC#NP"": 1, ""SYM"": 1}, ""VP"": {""VBD#PRT#NP#PP#PP"": 1, ""VB#PP"": 1, ""VBZ#NP"": 1, ""VB#S"": 1}, ""WHNP"": {""WDT"": 1}, ""S"": {""VP#."": 1, ""NP#ADVP#NP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""SINV"": {""VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.043,0.82,0.137,"{""V"": 5, ""R"": 3, ""D"": 7, ""A"": 3, ""N"": 9, ""P"": 7, ""^"": 5, ""&"": 3, "","": 5, ""O"": 1, ""E"": 1}"
Ive never been happier. Thank you ,34,6,1,3,15,1,1,0,0,0,🌸:1,"{""VP"": {""VBN"": 1, ""VBN#VP"": 1}, ""S"": {""NP#ADVP#VP#."": 1}}",0.55,0.45,0.0,"{""L"": 1, ""R"": 1, ""V"": 2, ""A"": 1, "","": 1, ""O"": 1}"
Performing Video Music Awards August 26th! x Vote ,50,8,2,2,18,1,1,1,1,0,,"{""NP"": {""NNP#NNP#NNP#NNP#NNP#NNP#."": 1, ""SYM"": 1, ""NP#NP"": 1}, ""ROOT"": {""NP"": 2}}",0.0,0.646,0.354,"{""V"": 2, ""N"": 3, ""^"": 1, ""$"": 1, "","": 1, ""G"": 1}"
,0,0,0,0,17,1,0,0,0,0,,{},0.0,0.0,0.0,{}
I love life I love tour. Thank you  ,36,8,1,6,20,1,1,0,1,0,,"{""NP"": {""NP#SBAR"": 1}, ""VP"": {""VBP#NP"": 2}, ""SBAR"": {""S"": 1}}",0.0,0.216,0.784,"{""O"": 3, ""V"": 3, ""N"": 2, "","": 1}"
I love you guys!!!,18,4,1,3,14,1,0,0,0,0,,"{""NP"": {""NNS#NNS"": 1}, ""S"": {""NP#NP"": 1}, ""VP"": {""VBP#S"": 1}}",0.0,0.283,0.717,"{""O"": 2, ""V"": 1, ""N"": 1, "","": 1}"
Cant believe I get to be a part of this album The Big Day out now youre truly the best man thank you! ,102,23,1,18,17,1,1,1,0,1,,"{""NP"": {""DT#NNP#NNP"": 1, ""RB#DT#JJS#NN"": 1, ""NP#SBAR"": 1}, ""ADVP"": {""RB#RB"": 1}, ""VP"": {""VB#NP#VP"": 1, ""VBP#S"": 1, ""VBP#SBAR"": 1}, ""S"": {""NP#ADVP#VP"": 1}, ""SBAR"": {""S"": 2}}",0.0,0.645,0.355,"{""V"": 5, ""O"": 2, ""P"": 3, ""D"": 4, ""N"": 4, ""A"": 2, ""R"": 2, ""L"": 1, "","": 1}"
Thank you guys for the Video Music Awards noms! Vote now at ,60,12,1,7,14,1,1,1,1,0,,"{""NP"": {""DT#NNP#NNP#NNS#NNS"": 1}, ""PP"": {""IN"": 1}, ""S"": {""NP#NP"": 1, ""VP#."": 1}, ""VP"": {""VB#S"": 1, ""VB#ADVP#PP"": 1}}",0.0,0.633,0.367,"{""V"": 2, ""O"": 1, ""N"": 5, ""P"": 2, ""D"": 1, "","": 1, ""R"": 1}"
Wow well Im melting,19,4,1,3,3,1,0,0,1,0,,"{""VP"": {""VBD#ADVP"": 1}, ""SINV"": {""VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.253,0.747,"{""!"": 2, ""L"": 1, ""V"": 1}"
My life is a dream.,19,5,1,4,19,1,1,0,0,0,,"{""VP"": {""VBZ#NP"": 1}}",0.0,0.6,0.4,"{""D"": 2, ""N"": 2, ""V"": 1, "","": 1}"
"Keep families together.. Please support organizations like KIND, that are working to  imprisoned at the border.Read about whats going on here: Donate: ",151,23,5,9,17,1,1,1,2,1,,"{""NP"": {""JJ#NNS"": 1, ""DT"": 1, ""RB"": 1, ""NP#VP#:#NP"": 1}, ""ADVP"": {""RB#."": 1}, ""FRAG"": {""NP#ADVP#."": 1}, ""ROOT"": {""FRAG"": 1}, ""INTJ"": {""VB"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VBG#PP"": 1, ""VB#PP"": 1, ""VBG#S"": 1, ""VBP#VP"": 1}, ""S"": {""INTJ#VP"": 1, ""S#,#NP#VP#:"": 1}}",0.095,0.537,0.368,"{""V"": 9, ""N"": 4, ""R"": 2, "","": 5, ""P"": 5, ""O"": 1, ""D"": 1, ""L"": 1}"
