fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
happy happy birthday to my favorite dance partner Madonna. Love ya pal.,71,12,1,5,15,1,0,1,0,0,,"{""ADJP"": {""JJ#JJ"": 1}, ""NP"": {""ADJP#NN"": 1, ""PRP$#JJ#NN#NN"": 1}, ""VP"": {""VBZ"": 2}, ""S"": {""ADVP#NP#VP#."": 1}}",0.0,0.354,0.646,"{""A"": 3, ""N"": 4, ""P"": 1, ""D"": 2, ""^"": 1, "","": 2, ""V"": 1}"
"Tonight: John Travolta, marlon wayans and  Ask Again, Yes author Mary Beth Keane! Plus, music from Caroline Jones! ",115,18,1,7,13,1,0,3,0,2,,"{""NP"": {""NN#NNS"": 1, ""NNP#NN#NNP#NNP#NNP"": 1, ""NP#,#NP"": 1, ""NP#,#NP#CC#NP"": 1, ""NP#:#NP#."": 1, ""NP#,#NP#."": 1}, ""ROOT"": {""NP"": 2}}",0.0,0.838,0.162,"{""N"": 3, "","": 6, ""^"": 9, ""&"": 1, ""V"": 2, ""R"": 1, ""!"": 1, ""P"": 1}"
Wheel of Musical Impressions w/ ac  ,36,6,1,3,12,1,0,1,1,1,,"{""X"": {""SYM"": 1, ""X#PP"": 1}, ""NP"": {""JJ#NNP#NN"": 1}, ""FRAG"": {""X#:#NP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,0.725,0.275,"{""N"": 3, ""P"": 2, ""^"": 1}"
Kate UptonYou know I am.,24,5,1,4,22,1,0,2,0,0,,"{""VP"": {""VBP"": 1, ""VBP#SBAR"": 1}, ""SBAR"": {""S"": 1}}",0.0,1.0,0.0,"{""^"": 2, ""V"": 2, ""O"": 1, "","": 1}"
YOU were the one making ME laugh! Thanks again for doing that. I was honored.,77,15,1,8,22,1,0,0,1,0,,"{""NP"": {""NNP#NN"": 1, ""NP#VP"": 1, ""DT"": 1}, ""VP"": {""VBG#NP"": 2, ""VBD#NP"": 1, ""VB#ADVP#PP"": 1, ""VBD#ADJP"": 1}, ""S"": {""VP#."": 1}, ""PP"": {""IN#S"": 1}, ""ADJP"": {""VBN"": 1}}",0.0,0.509,0.491,"{""O"": 4, ""V"": 5, ""D"": 1, ""$"": 1, "","": 3, ""N"": 1, ""R"": 1, ""P"": 1, ""A"": 1}"
"Tonight on the show: Ice Cube, Kieran Culkin and Wheel of Musical Impressions with ac! Plus, music from JUANES & ac! ",117,21,1,10,12,1,0,4,0,1,,"{""NP"": {""NN#NN"": 1, ""NP#,#NP#CC#NP"": 1, ""JJ#NNS"": 1, ""NP#:#NP#PP#."": 1, ""NNP#CC#NNP"": 1, ""NP#,#NP#."": 1}, ""ROOT"": {""NP"": 2}}",0.0,0.884,0.116,"{""N"": 6, ""P"": 4, ""D"": 1, "","": 5, ""^"": 7, ""&"": 2, ""V"": 1}"
Jonathan Groff sings a voice memo as Disney's Frozen 2s Kristoff  ,66,11,1,4,12,1,0,1,1,1,,"{""NP"": {""DT#NN#NN"": 1, ""NNP#POS"": 1, ""NP#NNP#NNP#NNP"": 1}, ""VP"": {""VBZ#NP#PP"": 1}}",0.0,1.0,0.0,"{""^"": 3, ""V"": 1, ""D"": 1, ""N"": 3, ""P"": 1, ""Z"": 1, ""A"": 1}"
"Tonight: Henry Golding, Jonathan Groff and music from Yung Rnzl  ft. SWIZZ BEATZ! ",82,13,1,5,12,1,0,3,0,1,👑:1,"{""NP"": {""NNP#NNP#NN#NNP#NNP"": 1, ""NP#,#NP#CC#NP"": 1, ""NP#:#NP#."": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""N"": 3, "","": 4, ""^"": 6, ""&"": 1, ""P"": 1, ""V"": 1, ""A"": 1}"
"Fun show tonight with COMMON, Kate Upton, and music from COMMON ft. SWIZZ BEATZ! ",81,14,1,7,12,1,0,4,0,1,,"{""NP"": {""RB"": 1, ""NP#,#NP#,#CC#NP"": 1, ""NNP#NNP#NNP#NNP"": 1}, ""VP"": {""VBP#NP#PP#PP"": 1}}",0.0,0.784,0.216,"{""A"": 2, ""N"": 4, ""P"": 2, ""^"": 4, "","": 4, ""&"": 1, ""V"": 1}"
"Fun show tonight with a very special guest! Plus, Lil Rel Howery and a performance from Natalie Merchant! ",106,18,1,10,15,1,0,2,0,1,,"{""NP"": {""RB"": 1, ""DT#RB#JJ#NN"": 1, ""NNP#NNP#NNP"": 1, ""NP#CC#NP"": 1, ""NP#,#NP#."": 1}, ""VP"": {""VBP#NP#PP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.671,0.329,"{""A"": 2, ""N"": 4, ""P"": 2, ""D"": 2, ""R"": 1, "","": 3, ""V"": 1, ""^"": 5, ""&"": 1}"
