fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Thank  you .Teen Choice Awards and a special thank you to all my fans  couldnt of done this without you ,104,20,1,12,3,1,1,1,0,0,"🏽:2,🙏:1","{""NP"": {""NN#NNS"": 1, ""DT#JJ"": 1, ""NP#CC#NP"": 1, ""PDT#PRP$#NNS"": 1, ""DT"": 1}, ""VP"": {""VBG#NP"": 1, ""VBP#NP#PP"": 1, ""VBN#NP#PP"": 1}, ""S"": {""VP#."": 1}, ""ROOT"": {""SINV"": 1}, ""PP"": {""IN#S"": 1}, ""SINV"": {""VP#VP#NP"": 1}}",0.0,0.584,0.416,"{""V"": 4, ""O"": 4, "","": 1, ""^"": 1, ""N"": 3, ""&"": 1, ""D"": 2, ""A"": 1, ""P"": 3, ""X"": 1}"
Thanks for the nomination ,26,4,1,2,16,1,0,0,1,0,🏽:1,"{""ROOT"": {""NP"": 1}}",0.0,0.508,0.492,"{""N"": 2, ""P"": 1, ""D"": 1}"
,0,0,0,0,18,1,0,0,1,0,,{},0.0,0.0,0.0,{}
.Disney Music .Disneys Aladdin  .Zhavia  A Whole New World Out Now! Film in theatres May 24!,92,16,1,8,13,1,1,3,0,0,,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1, ""NP"": 3, ""FRAG"": 1}, ""NP"": {""NNP#NNP#."": 2, ""NNP#NNP#NNP#NNP"": 1, ""NNP#CD"": 1, ""NP#NP"": 1, ""NP#PP#."": 1}, ""ADJP"": {""NNP#NNP"": 1}, ""FRAG"": {""NP#ADJP#ADVP#."": 1}}",0.0,1.0,0.0,"{"","": 5, ""^"": 2, ""N"": 4, ""Z"": 1, ""G"": 1, ""D"": 1, ""A"": 2, ""P"": 2, ""R"": 1, ""V"": 1, ""$"": 1}"
 out now   ,11,2,1,2,19,2,1,0,1,2,👁:1,"{""FRAG"": {""ADVP#ADVP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""P"": 1, ""R"": 1}"
If you know nothing shut your fucking mouth,43,8,1,5,23,1,0,0,0,0,,"{""NP"": {""PRP$#VBG#NN"": 1}, ""VP"": {""VBP#S"": 1}, ""SBAR"": {""IN#S"": 1}, ""ROOT"": {""SBAR"": 1}}",0.0,1.0,0.0,"{""P"": 1, ""O"": 1, ""V"": 2, ""N"": 2, ""D"": 1, ""A"": 1}"
So if you have anything to say @ me and Ill put you the fuck straight,69,16,1,14,23,1,0,0,0,0,,"{""NP"": {""NN#S"": 1}, ""X"": {""SYM"": 1}, ""FRAG"": {""X#NP"": 1, ""ADVP#SBAR"": 1}, ""VP"": {""VB#FRAG"": 1, ""VBP#NP"": 1, ""VBD#NP#NP#ADVP"": 1}, ""S"": {""S#CC#S"": 1}, ""SBAR"": {""IN#S"": 1}, ""ROOT"": {""FRAG"": 1}}",0.312,0.594,0.094,"{""P"": 4, ""O"": 3, ""V"": 3, ""N"": 2, ""&"": 1, ""L"": 1, ""D"": 1, ""A"": 1}"
And does nothing but love and support me when lord knows I dont deserve it,74,15,1,11,23,1,0,0,0,0,,"{""VP"": {""VBZ#NP"": 1, ""VBZ#S"": 1, ""VB#CC#VB#NP#SBAR"": 1, ""VP#CC#VP"": 1}, ""WHADVP"": {""WRB"": 1}, ""ADJP"": {""JJ"": 1}, ""S"": {""NP#ADJP#S"": 1}, ""SBAR"": {""WHADVP#S"": 1}, ""FRAG"": {""CC#S"": 1}, ""ROOT"": {""FRAG"": 1}}",0.226,0.597,0.177,"{""&"": 3, ""V"": 5, ""N"": 2, ""O"": 3, ""R"": 1, ""^"": 1}"
My tweet was not about Gigi Hadid so leave her the fuck alone she is the most amazing woman Ive ever known,106,22,1,14,23,1,0,1,0,0,,"{""NP"": {""DT#ADJP#NN#NN"": 1, ""NP#ADJP"": 1}, ""ADVP"": {""NP#RB"": 1}, ""ADJP"": {""RBS#JJ"": 1, ""RB#VBN"": 1}, ""VP"": {""VBZ#NP"": 1, ""VBP#NP#ADVP#SBAR"": 1, ""VBD#RB#PP#SBAR"": 1}, ""SBAR"": {""S"": 1, ""IN#S"": 1}}",0.244,0.616,0.14,"{""D"": 3, ""N"": 3, ""V"": 4, ""R"": 3, ""P"": 2, ""^"": 2, ""O"": 2, ""A"": 2, ""L"": 1}"
To any dumb fuck out there that wants to make theyre own stories up,67,14,1,10,23,1,0,0,0,0,,"{""NP"": {""DT#JJ#NN"": 1, ""RB"": 1, ""JJ#JJ#NNS"": 1, ""NP#PP#SBAR"": 1}, ""WHNP"": {""WDT"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VB#NP#PRT"": 1, ""VBZ#S"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""ROOT"": {""PP"": 1}}",0.362,0.638,0.0,"{""P"": 3, ""D"": 2, ""A"": 2, ""N"": 2, ""R"": 1, ""O"": 1, ""V"": 2, ""T"": 1}"
"And you arent the person you said you were,",43,9,1,6,20,1,0,0,0,0,,"{""NP"": {""NP#SBAR"": 1}, ""VP"": {""VBD"": 1, ""VBD#SBAR"": 1, ""VBP#NP"": 1}, ""S"": {""NP#VP#,"": 1, ""CC#NP#VP"": 1}, ""SBAR"": {""S"": 2}}",0.0,1.0,0.0,"{""&"": 1, ""O"": 3, ""V"": 3, ""D"": 1, ""N"": 1, "","": 1}"
This aint a place for feelings.,31,6,1,4,20,1,0,0,0,0,,"{""NP"": {""DT"": 1}, ""VP"": {""VBP#NP"": 1}}",0.0,1.0,0.0,"{""D"": 2, ""V"": 1, ""N"": 2, ""P"": 1, "","": 1}"
How about you all go fuck yourselves with your irrelevant bullshit ,67,11,1,7,20,1,0,0,0,0,🏽:1,"{""WHADVP"": {""WRB"": 1}, ""NP"": {""RB#PRP"": 1, ""NN#NNS"": 1, ""PRP$#ADJP#NN"": 1}, ""ADJP"": {""JJ"": 1}, ""VP"": {""VB#NP#PP"": 1}, ""S"": {""NP#RB#VP"": 1}, ""SBAR"": {""WHADVP#S"": 1}, ""ROOT"": {""SBAR"": 1}}",0.448,0.552,0.0,"{""R"": 1, ""P"": 2, ""O"": 2, ""D"": 2, ""V"": 2, ""A"": 1, ""N"": 1}"
thanks for all the love & support on this the last 3 years ,59,13,1,10,20,1,1,0,0,0,,"{""NP"": {""PDT#DT#NN"": 1, ""DT"": 1, ""NP#CC#NP"": 1, ""DT#JJ#CD#NNS"": 1, ""NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.449,0.551,"{""N"": 3, ""P"": 2, ""D"": 3, ""&"": 1, ""V"": 1, ""O"": 1, ""A"": 1, ""$"": 1}"
I be about ..,13,4,1,3,7,1,0,0,1,0,,"{""PP"": {""IN"": 1}, ""VP"": {""VB#PP#."": 1}}",0.0,1.0,0.0,"{""O"": 1, ""V"": 1, ""P"": 1, "","": 1}"
Thanks ,7,1,1,0,7,1,0,0,1,0,,"{""ROOT"": {""NP"": 1}}",0.0,0.0,1.0,"{""N"": 1}"
Well thats a cute way to put it .. erm thanks,45,11,1,9,6,1,0,0,1,0,,"{""NP"": {""DT#JJ#NN#S"": 1, ""JJ#NNS"": 1}, ""VP"": {""VBZ#NP"": 1}, ""S"": {""NP#VP#.#."": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.467,0.533,"{""!"": 2, ""L"": 1, ""D"": 1, ""A"": 1, ""N"": 2, ""P"": 1, ""V"": 1, ""O"": 1, "","": 1}"
You aint SPECIAL haha ,22,4,1,3,6,1,0,0,1,0,,"{""NP"": {""JJ#NN"": 1}, ""VP"": {""VBP#NP"": 1}}",0.725,0.275,0.0,"{""O"": 1, ""V"": 1, ""A"": 1, ""!"": 1}"
Why are you laughing then?     It was the best ,47,9,1,7,6,1,0,0,1,0,,"{""WHADVP"": {""WRB"": 1}, ""NP"": {""DT#JJS"": 1}, ""VP"": {""VBG#ADVP"": 1, ""VBD#NP"": 1}, ""SQ"": {""VBP#NP#VP"": 1}, ""SBARQ"": {""WHADVP#SQ#."": 1}, ""ROOT"": {""SBARQ"": 1}}",0.0,0.486,0.514,"{""R"": 2, ""V"": 3, ""O"": 2, "","": 1, ""D"": 1, ""A"": 1}"
Gorillaz are fuckin heavy,25,4,1,1,6,1,0,0,1,0,,"{""ADJP"": {""JJ"": 1}, ""S"": {""ADJP"": 1}, ""VP"": {""VBN#S"": 1, ""VBP#VP"": 1}}",0.0,1.0,0.0,"{""^"": 1, ""V"": 1, ""R"": 1, ""A"": 1}"
Dont hate procreate ,20,3,1,2,6,1,0,0,1,0,🏽:1,"{""ADJP"": {""JJ"": 1}, ""VP"": {""VBP#ADJP"": 1}}",0.0,0.4,0.6,"{""V"": 2, ""N"": 1}"
Nah tho my screens smashed ,27,5,1,3,6,1,0,0,1,0,🏽:1,"{""NP"": {""PRP$#NNS"": 1}, ""VP"": {""VBD"": 1, ""VBP#SBAR"": 1}, ""SBAR"": {""S"": 1}}",0.259,0.741,0.0,"{""!"": 1, ""P"": 1, ""D"": 1, ""N"": 1, ""V"": 1}"
Good morning! sending happy vibes and love ,43,7,1,3,5,1,1,0,0,0,,"{""INTJ"": {""JJ#NN#."": 1}, ""ROOT"": {""INTJ"": 1}, ""NP"": {""JJ#NNS#CC#NN"": 1}, ""VP"": {""VBG#NP"": 1}}",0.0,0.265,0.735,"{""A"": 2, ""N"": 3, "","": 1, ""V"": 1, ""&"": 1}"
"Currently  happy, could be happier. Thanks for all the love and thoughts yesterday just had a vent ha x",103,19,1,12,20,1,0,0,0,0,😃:1,"{""ADJP"": {""JJ"": 1, ""JJR"": 1}, ""VP"": {""VB#ADJP"": 1, ""MD#VP"": 1, ""VBD#NP"": 1}, ""S"": {""ADVP#ADJP#,#VP#."": 1, ""NP#NP#ADVP#VP"": 1}, ""ROOT"": {""SBAR"": 1}, ""NP"": {""PDT#DT#NN"": 1, ""NP#CC#NP"": 1, ""DT#JJ#NN"": 1, ""SYM"": 1, ""NP#NP"": 1}, ""SBAR"": {""NP#IN#S"": 1}}",0.0,0.42,0.58,"{""R"": 2, ""A"": 2, "","": 2, ""V"": 3, ""N"": 5, ""P"": 1, ""D"": 3, ""&"": 1, ""!"": 1, ""E"": 1}"
,0,0,0,0,16,1,1,0,0,0,,{},0.0,0.0,0.0,{}
Neelam because Gigi bought me it,32,6,1,3,21,1,0,1,0,0,,"{""S"": {""NP#NP"": 1}, ""VP"": {""VBD#S"": 1, ""VB#SBAR"": 1}, ""SBAR"": {""IN#S"": 1}}",0.0,1.0,0.0,"{""^"": 2, ""P"": 1, ""V"": 1, ""O"": 2}"
Sometimes I cry ,16,3,1,2,19,1,0,0,0,0,"🔈:1,🎧:1,🎶:1","{""X"": {""ADVP#NP"": 1}, ""FRAG"": {""X#NP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.756,0.244,0.0,"{""R"": 1, ""O"": 1, ""V"": 1}"
Gigi Hadid love you,19,4,1,3,15,1,0,1,0,0,,"{""VP"": {""VBP#NP"": 1}}",0.0,0.417,0.583,"{""^"": 2, ""V"": 1, ""O"": 1}"
".Seabrook Crisps bring back your tomato ketchup flavor, you know  Yorkshire makes the best crisps ",98,15,1,6,0,1,0,1,0,0,🏽:1,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1}, ""NP"": {""PRP$#NN#NN#NN"": 1, ""DT#JJS#NNS"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VBZ#NP"": 1, ""VBP#SBAR"": 1, ""VBP#PRT#NP#,#SBAR"": 1}, ""SBAR"": {""S"": 2}}",0.0,0.769,0.231,"{"","": 2, ""^"": 3, ""V"": 3, ""T"": 1, ""D"": 2, ""N"": 4, ""O"": 1, ""A"": 1}"
 PENSHOPPE,10,1,1,0,19,2,1,1,0,1,,"{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 1}"
"thank you for the votes on the cover, did those just for you guys :)   ",71,15,2,11,2,1,0,0,0,3,"🙏:1,🏽:1","{""NP"": {""DT#NNS"": 1, ""DT"": 1}, ""PP"": {""ADVP#IN#NP"": 1}, ""VP"": {""VB#NP#PP"": 1, ""VBD#NP#PP"": 1}, ""SINV"": {""S#,#VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.703,0.297,"{""V"": 2, ""O"": 3, ""P"": 3, ""D"": 2, ""N"": 3, "","": 1, ""R"": 1, ""E"": 1}"
Thank you for the birthday love today ! ,40,8,1,5,4,1,0,0,0,0,,"{""NP"": {""DT#NN#NN#NN"": 1}, ""VP"": {""VB#NP#PP"": 1}, ""S"": {""VP#."": 1}}",0.0,0.417,0.583,"{""V"": 1, ""O"": 1, ""P"": 1, ""D"": 1, ""N"": 3, "","": 1}"
 out now   ,11,2,1,2,17,2,1,0,1,2,🔥:1,"{""FRAG"": {""ADVP#ADVP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""P"": 1, ""R"": 1}"
Noon EST on Wednesday  ,23,4,1,3,0,2,1,0,0,2,,"{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 2, ""N"": 1, ""P"": 1}"
"Fuck me, I can not wait to get on stage ! Mans got tunes that bang for days ! Haha feelin ready ",96,22,1,18,21,1,0,0,0,0,😎:1,"{""VP"": {""VB#PP"": 1, ""VB#S"": 1, ""MD#RB#VP"": 1, ""VBZ#NP"": 1, ""VBD#SBAR"": 1, ""VBP#ADJP"": 1}, ""S"": {""S#,#NP#VP#."": 1}, ""SBAR"": {""S"": 1}, ""ADJP"": {""JJ"": 1}}",0.137,0.625,0.238,"{""V"": 7, ""O"": 2, "","": 3, ""R"": 1, ""P"": 4, ""N"": 3, ""^"": 1, ""!"": 1, ""A"": 1}"
HA ,3,1,1,1,13,1,0,0,1,0,,"{""ROOT"": {""NP"": 1}}",0.0,0.0,1.0,"{""!"": 1}"
